ID,Size,Predicted %,Actual value
0,4,3.1705770450221935E-4,NO
1,1,0.4908835985757625,NO
2,2,0.28205482795086634,NO
3,4,0.6999957699710243,NO
4,13,1.585791309863622E-4,NO
5,69,3.1705770450221935E-4,NO
6,9,3.1705770450221935E-4,NO
7,50,3.1705770450221935E-4,NO
8,2,2.8840053065697637E-5,NO
9,88,3.1705770450221935E-4,YES
10,2,0.666631423133855,NO
11,1,6.34437254155564E-5,NO
12,3,0.2307823710283567,NO
13,1,0.22093126205855987,NO
14,1,0.4908835985757625,NO
15,1,0.4908835985757625,NO
16,50,3.1705770450221935E-4,NO
17,1,0.4908835985757625,NO
18,8,3.1705770450221935E-4,NO
19,117,3.1705770450221935E-4,YES
20,2,0.03125929450954732,NO
21,8,3.1705770450221935E-4,NO
22,26,3.1705770450221935E-4,NO
23,1,0.4908835985757625,NO
24,15,3.1705770450221935E-4,YES
25,11,1.585791309863622E-4,YES
26,8,7.930214115781125E-5,YES
27,108,3.1705770450221935E-4,YES
28,2,0.28205482795086634,NO
29,17,3.1705770450221935E-4,NO
30,3,3.1705770450221935E-4,NO
31,1,0.4908835985757625,NO
32,1,0.4908835985757625,NO
33,1,0.4908835985757625,NO
34,2,3.1705770450221935E-4,NO
35,1,0.22093126205855987,NO
36,1,0.28205482795086634,NO
37,1,0.47058933303474787,YES
38,1,0.4908835985757625,NO
39,1,0.4908835985757625,NO
40,3,0.9468054946167607,NO
41,1,0.4908835985757625,NO
42,2,0.28205482795086634,NO
43,3,0.8980875630978891,NO
44,37,3.1705770450221935E-4,NO
45,4,3.1705770450221935E-4,NO
46,18,3.1705770450221935E-4,NO
47,3,6.34437254155564E-5,NO
48,52,0.9996829422954978,NO
49,1,0.22093126205855987,NO
50,7,3.1705770450221935E-4,YES
51,1,0.4908835985757625,NO
52,1,1.0573059843518714E-4,NO
53,4,0.2000380662352493,NO
54,1,0.4908835985757625,NO
55,36,0.9996829422954978,NO
56,32,0.9996829422954978,NO
57,23,0.9996829422954978,NO
58,14,3.1705770450221935E-4,NO
59,0,8.134710811030667E-6,NO
60,1,0.22093126205855987,NO
61,1,0.4908835985757625,NO
62,2,0.28205482795086634,NO
63,12,0.6999957699710243,NO
64,12,1.0573059843518714E-4,NO
65,4,3.1705770450221935E-4,NO
66,22,0.9996829422954978,NO
67,2,0.9996829422954978,NO
68,26,3.1705770450221935E-4,NO
69,1,0.4908835985757625,NO
70,10,0.9996829422954978,NO
71,1,0.4908835985757625,NO
72,10,0.9996829422954978,NO
73,20,3.1705770450221935E-4,NO
74,12,3.1705770450221935E-4,NO
75,3,3.1705770450221935E-4,NO
76,6,3.1705770450221935E-4,NO
77,7,3.1705770450221935E-4,NO
78,9,3.1705770450221935E-4,NO
79,15,3.1705770450221935E-4,NO
80,3,0.9996829422954978,NO
81,1,0.4908835985757625,NO
82,2,0.28205482795086634,NO
83,27,3.1705770450221935E-4,NO
84,10,3.1705770450221935E-4,NO
85,17,3.1705770450221935E-4,NO
86,15,0.9996829422954978,NO
87,1,0.4908835985757625,NO
88,1,0.4908835985757625,NO
89,1,0.1250297406614323,NO
90,11,1.585791309863622E-4,NO
91,1,0.22093126205855987,NO
92,1,0.4908835985757625,NO
93,25,1.585791309863622E-4,YES
94,0,0.0161339842190906,NO
95,0,3.1705770450221935E-4,NO
96,0,0.28205482795086634,NO
97,0,0.1250297406614323,NO
98,0,0.1250297406614323,NO
99,0,0.1250297406614323,NO
100,0,3.1705770450221935E-4,NO
101,14,3.1705770450221935E-4,NO
102,7,1.0573059843518714E-4,NO
103,11,3.1705770450221935E-4,NO
104,12,3.1705770450221935E-4,NO
105,16,3.1705770450221935E-4,NO
106,8,3.1705770450221935E-4,NO
107,6,1.585791309863622E-4,NO
108,2,0.28205482795086634,NO
109,2,0.47058933303474787,NO
110,3,1.585791309863622E-4,NO
111,1,0.33336857686614507,NO
112,13,1.585791309863622E-4,NO
113,29,3.1705770450221935E-4,NO
114,9,1.585791309863622E-4,NO
115,1,0.22093126205855987,NO
116,1,1.2690033247887107E-5,NO
117,10,0.2500396510705789,NO
118,4,4.531858968548898E-5,NO
119,2,1.0573059843518714E-4,NO
120,28,0.9996829422954978,NO
121,5,1.585791309863622E-4,NO
122,1,0.4908835985757625,NO
123,18,0.5,NO
124,1,0.4908835985757625,NO
125,1,0.4908835985757625,NO
126,9,1.585791309863622E-4,NO
127,42,3.1705770450221935E-4,NO
128,11,1.585791309863622E-4,NO
129,12,3.1705770450221935E-4,NO
130,3,0.2307823710283567,NO
131,22,0.9996829422954978,NO
132,10,0.9996829422954978,YES
133,14,3.1705770450221935E-4,YES
134,4,6.34437254155564E-5,NO
135,11,3.1705770450221935E-4,NO
136,10,3.1705770450221935E-4,YES
137,6,3.1705770450221935E-4,YES
138,1,0.22093126205855987,NO
139,2,1.0573059843518714E-4,NO
140,0,7.930214115781125E-5,NO
141,0,1.4420442419173417E-5,NO
142,1,0.4908835985757625,NO
143,2,0.4908835985757625,NO
144,12,3.1705770450221935E-4,NO
145,2,0.03125929450954732,NO
146,0,8.134710811030667E-6,NO
147,0,0.0161339842190906,NO
148,0,0.0161339842190906,NO
149,18,3.1705770450221935E-4,NO
150,15,3.1705770450221935E-4,NO
151,10,3.1705770450221935E-4,YES
