ID,Size,Predicted %,Actual value
0,4,0.0013332318797907852,NO
1,1,0.6703906372856746,NO
2,2,0.6976682734363695,NO
3,4,0.7692215411695705,NO
4,13,0.8695222629538745,NO
5,69,0.0013332318797907852,NO
6,9,2.2270016489759107E-4,NO
7,50,0.0013332318797907852,NO
8,2,0.19232351157006825,NO
9,88,0.0013332318797907852,YES
10,2,0.0013332318797907852,NO
11,1,2.6721639422308655E-4,NO
12,3,0.9253697395060538,NO
13,1,0.39801130684694325,NO
14,1,0.6703906372856746,NO
15,1,0.6703906372856746,NO
16,50,0.0013332318797907852,NO
17,1,0.6703906372856746,NO
18,8,0.0013332318797907852,NO
19,117,0.0013332318797907852,YES
20,2,0.19232351157006825,NO
21,8,1.670437240056339E-4,NO
22,26,0.0013332318797907852,NO
23,1,0.6703906372856746,NO
24,15,4.452020366612278E-4,YES
25,11,2.2270016489759107E-4,YES
26,8,1.670437240056339E-4,YES
27,108,0.0013332318797907852,YES
28,2,0.6976682734363695,NO
29,17,0.0013332318797907852,NO
30,3,0.0013332318797907852,NO
31,1,0.6703906372856746,NO
32,1,0.6703906372856746,NO
33,1,0.6703906372856746,NO
34,2,0.9089915021150499,NO
35,1,0.39801130684694325,NO
36,1,0.0013332318797907852,NO
37,1,0.7142720743744084,YES
38,1,0.6703906372856746,NO
39,1,0.6703906372856746,NO
40,3,0.9523751930140096,NO
41,1,0.6703906372856746,NO
42,2,0.6976682734363695,NO
43,3,0.9253697395060538,NO
44,37,0.0013332318797907852,NO
45,4,0.0013332318797907852,NO
46,18,0.999866356091045,NO
47,3,0.5263120869575688,NO
48,52,0.0013332318797907852,NO
49,1,0.39801130684694325,NO
50,7,6.675058800145758E-4,YES
51,1,0.6703906372856746,NO
52,1,4.452020366612278E-4,NO
53,4,0.7692215411695705,NO
54,1,0.6703906372856746,NO
55,36,0.999866356091045,NO
56,32,0.0013332318797907852,NO
57,23,0.999866356091045,NO
58,14,0.9090411995634005,NO
59,0,3.427448110094053E-5,NO
60,1,0.39801130684694325,NO
61,1,0.6703906372856746,NO
62,2,0.6976682734363695,NO
63,12,0.0013332318797907852,NO
64,12,0.0013332318797907852,NO
65,4,6.675058800145758E-4,NO
66,22,0.999866356091045,NO
67,2,0.999866356091045,NO
68,26,0.0013332318797907852,NO
69,1,0.6703906372856746,NO
70,10,0.0013332318797907852,NO
71,1,0.6703906372856746,NO
72,10,0.49999999999999994,NO
73,20,0.999866356091045,NO
74,12,0.0013332318797907852,NO
75,3,0.0013332318797907852,NO
76,6,0.0013332318797907852,NO
77,7,0.0013332318797907852,NO
78,9,0.0013332318797907852,NO
79,15,0.0013332318797907852,NO
80,3,0.999866356091045,NO
81,1,0.6703906372856746,NO
82,2,0.6976682734363695,NO
83,27,0.0013332318797907852,NO
84,10,0.49999999999999994,NO
85,17,0.0013332318797907852,NO
86,15,0.999866356091045,NO
87,1,0.6703906372856746,NO
88,1,0.6703906372856746,NO
89,1,0.5882214195204793,NO
90,11,0.0013332318797907852,NO
91,1,0.39801130684694325,NO
92,1,0.6703906372856746,NO
93,25,6.675058800145758E-4,YES
94,0,2.1913734599008303E-5,NO
95,0,0.0013332318797907852,NO
96,0,4.452020366612278E-4,NO
97,0,0.5882214195204793,NO
98,0,0.5882214195204793,NO
99,0,0.5882214195204793,NO
100,0,0.0013332318797907852,NO
101,14,0.0013332318797907852,NO
102,7,0.6451487719770522,NO
103,11,6.675058800145758E-4,NO
104,12,6.675058800145758E-4,NO
105,16,0.9374634500272083,NO
106,8,0.8064383985242698,NO
107,6,0.8917130746416867,NO
108,2,0.6976682734363695,NO
109,2,0.7142720743744084,NO
110,3,0.0013332318797907852,NO
111,1,4.452020366612278E-4,NO
112,13,0.8695222629538745,NO
113,29,0.9089915021150499,NO
