ID,Size,Predicted %,Actual value
0,4,1.590330788804071E-4,NO
1,1,0.03853237949345451,NO
2,2,1.9884668920262478E-5,NO
3,4,5.302226935312831E-5,NO
4,13,1.590330788804071E-4,NO
5,69,1.590330788804071E-4,NO
6,9,1.590330788804071E-4,NO
7,50,1.590330788804071E-4,NO
8,2,8.837825894829872E-6,NO
9,88,0.9998409669211195,NO
10,2,1.590330788804071E-4,NO
11,1,8.372684952610603E-6,NO
12,3,7.952918721170668E-5,NO
13,1,8.507134082641703E-7,NO
14,1,0.03853237949345451,NO
15,1,0.03853237949345451,NO
16,50,1.590330788804071E-4,NO
17,1,0.03853237949345451,NO
18,8,1.590330788804071E-4,NO
19,117,0.9998409669211195,NO
20,2,1.1362861623071154E-5,NO
21,8,1.590330788804071E-4,NO
22,26,1.590330788804071E-4,NO
23,1,0.03853237949345451,NO
24,15,0.9998409669211195,NO
25,11,1.590330788804071E-4,NO
26,8,1.590330788804071E-4,NO
27,108,0.9998409669211195,NO
28,2,5.891918644387359E-6,NO
29,17,1.590330788804071E-4,NO
30,3,1.590330788804071E-4,NO
31,1,0.03853237949345451,NO
32,1,0.03853237949345451,NO
33,1,0.03853237949345451,NO
34,2,1.590330788804071E-4,YES
35,1,8.507134082641703E-7,NO
36,1,5.302226935312831E-5,NO
37,1,1.590330788804071E-4,NO
38,1,0.03853237949345451,NO
39,1,0.03853237949345451,NO
40,3,1.060535358248844E-5,NO
41,1,0.03853237949345451,NO
42,2,5.891918644387359E-6,NO
43,3,6.1185281268738E-6,NO
44,38,1.590330788804071E-4,NO
45,4,1.590330788804071E-4,NO
46,18,1.590330788804071E-4,NO
47,3,0.20001908882667344,NO
48,52,1.590330788804071E-4,NO
49,1,8.507134082641703E-7,NO
50,7,1.590330788804071E-4,YES
51,1,0.03853237949345451,NO
52,1,2.2725206799381872E-5,NO
53,4,3.181471112242301E-5,NO
54,1,0.03853237949345451,NO
55,36,1.590330788804071E-4,NO
56,32,1.590330788804071E-4,NO
57,23,1.590330788804071E-4,YES
58,14,1.590330788804071E-4,NO
59,0,2.209485764283221E-6,NO
60,1,8.507134082641703E-7,NO
61,1,0.03853237949345451,NO
62,2,5.891918644387359E-6,NO
63,12,1.590330788804071E-4,NO
64,12,1.590330788804071E-4,NO
65,4,1.590330788804071E-4,NO
66,22,1.590330788804071E-4,NO
67,2,1.590330788804071E-4,NO
68,26,1.590330788804071E-4,NO
69,1,0.03853237949345451,NO
70,10,1.590330788804071E-4,NO
71,1,0.03853237949345451,NO
72,10,1.590330788804071E-4,NO
73,20,1.590330788804071E-4,NO
74,12,1.590330788804071E-4,NO
75,3,1.590330788804071E-4,NO
76,6,1.590330788804071E-4,NO
77,7,1.590330788804071E-4,NO
78,9,1.590330788804071E-4,NO
79,15,1.590330788804071E-4,NO
80,3,1.590330788804071E-4,NO
81,1,0.03853237949345451,NO
82,2,1.9884668920262478E-5,NO
83,27,1.590330788804071E-4,NO
84,10,1.590330788804071E-4,NO
85,17,1.590330788804071E-4,NO
86,15,1.590330788804071E-4,NO
87,1,0.03853237949345451,NO
88,1,0.03853237949345451,NO
89,1,2.2725206799381872E-5,NO
90,11,1.590330788804071E-4,NO
91,1,8.507134082641703E-7,NO
92,1,0.03853237949345451,NO
93,28,1.590330788804071E-4,NO
94,0,1.3256938018511988E-6,NO
95,0,1.590330788804071E-4,NO
96,0,5.302226935312831E-5,NO
97,0,5.302226935312831E-5,NO
98,0,5.302226935312831E-5,NO
99,0,5.302226935312831E-5,NO
100,0,1.590330788804071E-4,NO
101,14,7.952918721170668E-5,NO
102,7,0.9998409669211195,NO
103,12,1.590330788804071E-4,NO
104,12,1.590330788804071E-4,NO
105,16,1.590330788804071E-4,NO
106,8,1.590330788804071E-4,NO
107,6,1.590330788804071E-4,NO
108,2,1.9884668920262478E-5,NO
109,2,1.060535358248844E-5,NO
110,3,1.590330788804071E-4,NO
111,1,1.590330788804071E-4,NO
112,13,1.590330788804071E-4,NO
113,29,1.590330788804071E-4,NO
114,9,1.590330788804071E-4,NO
115,1,8.507134082641703E-7,NO
116,1,5.891918644387359E-6,NO
117,10,1.590330788804071E-4,NO
118,4,3.9767756303189374E-5,NO
119,2,1.590330788804071E-4,NO
120,28,1.590330788804071E-4,YES
121,5,7.952918721170668E-5,NO
122,1,0.03853237949345451,NO
123,18,1.590330788804071E-4,NO
124,1,0.03853237949345451,NO
125,1,0.03853237949345451,NO
126,9,7.952918721170668E-5,NO
127,42,1.590330788804071E-4,NO
128,11,1.590330788804071E-4,NO
129,12,1.590330788804071E-4,NO
130,3,1.5907861665234958E-5,NO
131,22,1.590330788804071E-4,NO
132,10,0.9998409669211195,NO
133,14,0.9998409669211195,NO
134,4,7.952918721170668E-5,NO
135,11,1.590330788804071E-4,NO
136,10,1.590330788804071E-4,NO
137,6,1.590330788804071E-4,NO
138,1,8.507134082641703E-7,NO
139,2,1.590330788804071E-4,NO
140,0,7.952918721170668E-5,NO
141,0,3.699593044765076E-6,NO
142,1,0.03853237949345451,NO
143,2,7.952918721170668E-5,NO
144,12,1.590330788804071E-4,NO
145,2,1.1362861623071154E-5,NO
146,0,2.209485764283221E-6,NO
147,0,1.3256938018511988E-6,NO
148,0,1.3256938018511988E-6,NO
149,18,1.590330788804071E-4,YES
150,15,1.590330788804071E-4,NO
151,10,1.590330788804071E-4,NO
152,19,1.590330788804071E-4,NO
153,1,8.507134082641703E-7,NO
154,17,1.590330788804071E-4,NO
155,2,1.9884668920262478E-5,NO
156,12,1.590330788804071E-4,NO
157,34,1.590330788804071E-4,YES
158,13,1.590330788804071E-4,NO
159,5,1.590330788804071E-4,NO
160,5,1.590330788804071E-4,NO
161,37,1.590330788804071E-4,NO
162,11,1.590330788804071E-4,NO
163,1,0.03853237949345451,NO
164,1,0.03853237949345451,NO
165,26,1.590330788804071E-4,NO
166,22,1.590330788804071E-4,NO
167,9,1.590330788804071E-4,NO
168,2,5.891918644387359E-6,NO
169,8,7.952918721170668E-5,NO
170,4,4.545206625093177E-6,NO
171,5,1.590330788804071E-4,NO
172,1,1.590330788804071E-4,NO
173,9,1.590330788804071E-4,NO
174,4,5.302226935312831E-5,NO
175,16,1.590330788804071E-4,NO
176,30,1.590330788804071E-4,NO
177,2,5.891918644387359E-6,NO
178,1,0.03853237949345451,NO
179,1,0.03853237949345451,NO
180,6,1.590330788804071E-4,NO
181,1,0.03853237949345451,NO
182,5,7.952918721170668E-5,NO
183,13,1.590330788804071E-4,NO
184,5,1.590330788804071E-4,NO
185,5,1.590330788804071E-4,NO
