ID,Size,Predicted %,Actual value
0,4,0.0013160582121885503,NO
1,1,0.1369889260520585,NO
2,2,3.296653412165105E-4,NO
3,4,2.1982520664551154E-4,NO
4,13,0.0013160582121885503,NO
5,69,0.9998680816768345,NO
6,9,6.588962519175917E-4,NO
7,50,0.0013160582121885503,NO
8,2,1.8843344067330558E-4,NO
9,88,0.9998680816768345,NO
10,2,0.0013160582121885503,NO
11,1,0.0013160582121885503,NO
12,3,0.0013160582121885503,NO
13,1,0.33784072938168824,NO
14,1,0.1369889260520585,NO
15,1,0.1369889260520585,NO
16,50,0.0013160582121885503,NO
17,1,0.1369889260520585,NO
18,8,0.0013160582121885503,NO
19,113,0.9998680816768345,NO
20,2,0.833296683714127,NO
21,8,6.588962519175917E-4,NO
22,26,0.0013160582121885503,NO
23,1,0.1369889260520585,NO
24,15,0.0013160582121885503,NO
25,11,0.0013160582121885503,NO
26,8,6.588962519175917E-4,NO
27,108,0.9998680816768345,NO
28,2,0.3846270952436422,NO
29,17,0.0013160582121885503,NO
30,3,0.0013160582121885503,NO
31,1,0.1369889260520585,NO
32,1,0.1369889260520585,NO
33,1,0.1369889260520585,NO
34,1,0.9998680816768345,YES
35,22,0.0013160582121885503,NO
36,4,0.9998680816768345,NO
37,18,0.0013160582121885503,NO
38,3,6.588962519175917E-4,NO
39,49,0.0013160582121885503,NO
40,1,0.33784072938168824,NO
41,4,0.908992785670587,NO
42,27,0.0013160582121885503,YES
43,23,0.0013160582121885503,YES
44,11,0.0013160582121885503,YES
45,12,0.9998680816768345,NO
46,12,0.0013160582121885503,NO
47,5,6.28269318176743E-5,YES
48,7,0.0013160582121885503,NO
49,15,0.0013160582121885503,YES
50,9,0.9998680816768345,YES
51,1,0.1369889260520585,NO
52,15,0.9998680816768345,YES
53,12,0.0013160582121885503,NO
54,3,6.588962519175917E-4,NO
55,7,0.0013160582121885503,NO
56,3,0.0013160582121885503,NO
57,5,0.0013160582121885503,NO
58,3,4.3945720574889186E-4,YES
59,4,0.0013160582121885503,NO
60,1,0.1369889260520585,NO
61,2,3.296653412165105E-4,NO
62,15,0.9998680816768345,YES
63,1,0.1369889260520585,NO
64,1,0.1369889260520585,NO
65,1,0.7142453280811727,NO
66,11,0.9998680816768345,NO
67,1,0.33784072938168824,NO
68,1,0.1369889260520585,NO
69,25,0.0013160582121885503,NO
70,0,6.28269318176743E-5,NO
71,0,0.0013160582121885503,NO
72,0,6.588962519175917E-4,NO
73,0,0.908992785670587,NO
74,0,0.908992785670587,NO
75,0,0.908992785670587,NO
76,0,0.0013160582121885503,NO
77,7,0.0013160582121885503,NO
78,7,0.0013160582121885503,NO
79,12,0.0013160582121885503,NO
80,16,0.0013160582121885503,NO
81,8,6.588962519175917E-4,NO
82,6,0.0013160582121885503,NO
83,2,3.296653412165105E-4,NO
84,2,0.5555474114942087,NO
85,2,3.296653412165105E-4,NO
86,2,0.5555474114942087,YES
87,13,0.9998680816768345,NO
88,29,0.9998680816768345,NO
89,9,0.0013160582121885503,NO
90,1,0.33784072938168824,NO
91,1,0.303046053752181,NO
92,10,6.588962519175917E-4,NO
93,4,6.588962519175917E-4,NO
94,3,2.637670549156726E-4,YES
95,29,0.0013160582121885503,YES
96,5,0.908992785670587,NO
97,1,0.1369889260520585,NO
98,18,0.0013160582121885503,NO
99,1,0.1369889260520585,NO
100,1,0.1369889260520585,NO
101,9,0.0013160582121885503,NO
102,42,0.0013160582121885503,NO
103,2,0.833296683714127,NO
104,3,2.637670549156726E-4,NO
105,11,0.0013160582121885503,NO
106,10,0.0013160582121885503,NO
107,14,0.0013160582121885503,NO
108,4,0.0013160582121885503,NO
109,11,0.0013160582121885503,YES
110,6,0.0013160582121885503,NO
111,2,1.8843344067330558E-4,NO
112,2,9.423447726343356E-5,YES
113,0,0.0013160582121885503,NO
114,0,6.943937460630237E-5,NO
115,1,0.1369889260520585,NO
116,1,0.1369889260520585,NO
117,19,0.0013160582121885503,NO
118,15,0.9998680816768345,NO
119,10,0.0013160582121885503,NO
120,19,0.0013160582121885503,NO
121,1,0.33784072938168824,NO
122,17,0.9998680816768345,NO
123,2,3.296653412165105E-4,NO
124,9,0.0013160582121885503,NO
125,31,0.0013160582121885503,NO
126,13,0.0013160582121885503,NO
127,5,0.0013160582121885503,NO
128,5,0.0013160582121885503,NO
129,37,0.0013160582121885503,NO
130,8,0.9998680816768345,YES
131,23,0.0013160582121885503,YES
132,22,0.9998680816768345,NO
133,8,0.0013160582121885503,YES
134,5,0.0013160582121885503,NO
135,1,0.0013160582121885503,NO
136,9,0.0013160582121885503,NO
137,4,2.1982520664551154E-4,NO
138,15,0.0013160582121885503,NO
139,2,0.3846270952436422,NO
140,1,0.1369889260520585,NO
141,6,0.0013160582121885503,NO
142,1,0.1369889260520585,NO
143,5,6.588962519175917E-4,NO
144,13,0.0013160582121885503,NO
145,5,0.9998680816768345,NO
146,5,0.908992785670587,NO
147,17,0.9998680816768345,NO
148,16,0.0013160582121885503,NO
149,2,0.833296683714127,NO
150,13,0.0013160582121885503,NO
151,43,0.0013160582121885503,YES
152,21,0.9998680816768345,NO
153,27,0.9998680816768345,NO
154,2,1.8843344067330558E-4,NO
155,41,0.0013160582121885503,NO
156,1,0.9998680816768345,NO
157,1,0.303046053752181,NO
158,21,0.9998680816768345,YES
159,8,0.9998680816768345,NO
160,4,4.3945720574889186E-4,NO
161,8,0.0013160582121885503,NO
162,24,6.588962519175917E-4,YES
163,8,6.588962519175917E-4,NO
164,4,2.637670549156726E-4,NO
165,2,0.833296683714127,NO
166,14,0.0013160582121885503,YES
167,7,0.9998680816768345,NO
168,4,2.1982520664551154E-4,NO
169,1,0.33784072938168824,NO
170,3,1.0148181196285122E-4,NO
171,1,0.1369889260520585,NO
172,3,2.637670549156726E-4,NO
173,17,0.0013160582121885503,YES
174,5,0.0013160582121885503,NO
175,0,3.9982601690658415E-5,NO
176,0,0.2941336263022713,NO
177,8,0.0013160582121885503,NO
178,7,0.9998680816768345,NO
179,1,0.1369889260520585,NO
180,6,0.9998680816768345,NO
181,1,0.6299185601320324,NO
182,1,0.33784072938168824,NO
183,1,0.33784072938168824,NO
184,7,0.9998680816768345,NO
185,7,0.0013160582121885503,NO
186,1,0.1369889260520585,NO
187,16,0.9998680816768345,NO
188,1,0.1369889260520585,NO
189,1,0.33784072938168824,NO
190,1,0.303046053752181,NO
191,0,0.3846270952436421,NO
192,15,0.0013160582121885503,NO
193,2,0.5555474114942087,NO
194,1,0.1369889260520585,NO
195,1,0.1369889260520585,NO
196,1,0.1369889260520585,NO
197,1,0.1369889260520585,NO
198,15,0.0013160582121885503,NO
199,21,0.0013160582121885503,NO
200,3,2.637670549156726E-4,NO
201,0,6.943937460630237E-5,NO
202,1,0.1369889260520585,NO
203,10,0.0013160582121885503,NO
204,29,0.0013160582121885503,NO
205,18,0.0013160582121885503,NO
206,4,0.0013160582121885503,NO
207,1,0.1369889260520585,NO
208,51,0.0013160582121885503,YES
209,8,0.0013160582121885503,NO
210,7,0.0013160582121885503,NO
211,1,0.1369889260520585,NO
212,3,1.0148181196285122E-4,NO
213,4,2.637670549156726E-4,NO
214,1,0.33784072938168824,NO
215,1,0.1369889260520585,NO
216,0,3.9982601690658415E-5,NO
217,0,0.2941336263022713,NO
218,0,0.2941336263022713,NO
219,0,0.0013160582121885503,NO
220,0,0.0013160582121885503,NO
221,0,0.0013160582121885503,NO
222,0,0.0013160582121885503,NO
223,0,0.0013160582121885503,NO
224,0,6.28269318176743E-5,NO
225,1,0.0013160582121885503,NO
226,1,0.1369889260520585,NO
227,1,0.0013160582121885503,NO
228,1,0.1369889260520585,NO
229,5,4.3945720574889186E-4,NO
230,4,0.0013160582121885503,NO
231,8,0.0013160582121885503,NO
232,11,0.0013160582121885503,NO
233,9,0.0013160582121885503,NO
234,10,0.9998680816768345,NO
235,10,0.0013160582121885503,NO
236,1,0.33784072938168824,NO
237,20,0.0013160582121885503,YES
238,13,0.0013160582121885503,NO
239,18,0.9998680816768345,YES
240,53,0.0013160582121885503,YES
241,1,0.6299185601320324,NO
242,17,0.0013160582121885503,NO
243,43,0.0013160582121885503,NO
244,36,0.0013160582121885503,NO
245,10,0.0013160582121885503,NO
246,25,0.9998680816768345,NO
247,6,6.588962519175917E-4,NO
248,13,0.0013160582121885503,NO
249,4,0.7691761251781738,YES
250,6,0.0013160582121885503,NO
251,7,0.0013160582121885503,NO
252,29,0.0013160582121885503,NO
253,1,0.1369889260520585,NO
254,1,0.1369889260520585,NO
255,1,0.0013160582121885503,NO
256,1,0.1369889260520585,NO
257,1,0.1369889260520585,NO
258,1,0.1369889260520585,NO
259,1,0.1369889260520585,NO
260,4,0.0013160582121885503,YES
261,0,6.28269318176743E-5,NO
262,0,6.28269318176743E-5,NO
263,0,6.28269318176743E-5,NO
264,0,6.28269318176743E-5,NO
265,0,6.28269318176743E-5,NO
266,0,6.28269318176743E-5,NO
267,0,6.28269318176743E-5,NO
268,3,0.0013160582121885503,NO
269,3,6.588962519175917E-4,NO
270,0,0.0013160582121885503,NO
271,0,0.0013160582121885503,NO
272,0,0.0013160582121885503,NO
273,0,0.0013160582121885503,NO
274,0,0.0013160582121885503,NO
275,0,0.0013160582121885503,NO
276,2,0.833296683714127,NO
277,1,0.1369889260520585,NO
278,1,0.1369889260520585,YES
279,1,0.1369889260520585,YES
280,5,0.9998680816768345,NO
