ID,Size,Predicted %,Actual value
0,4,3.090234857849197E-4,NO
1,1,0.003802864758160375,NO
2,2,3.8648836670016234E-5,NO
3,4,1.0305028854080793E-4,NO
4,13,3.090234857849197E-4,NO
5,69,3.090234857849197E-4,NO
6,9,3.090234857849197E-4,NO
7,50,3.090234857849197E-4,NO
8,2,1.717799841962415E-5,NO
9,88,0.9996909765142151,NO
10,2,3.090234857849197E-4,NO
11,1,1.627392266631949E-5,NO
12,3,1.545595054095827E-4,NO
13,1,1.6535485151134336E-6,NO
14,1,0.003802864758160375,NO
15,1,0.003802864758160375,NO
16,50,3.090234857849197E-4,NO
17,1,0.003802864758160375,NO
18,8,3.090234857849197E-4,NO
19,117,0.9996909765142151,NO
20,2,2.2085781174080127E-5,NO
21,8,3.090234857849197E-4,NO
22,26,3.090234857849197E-4,NO
23,1,0.003802864758160375,NO
24,15,3.090234857849197E-4,NO
25,11,3.090234857849197E-4,NO
26,8,3.090234857849197E-4,NO
27,108,0.9996909765142151,NO
28,2,1.1452130096197895E-5,NO
29,17,3.090234857849197E-4,NO
30,3,3.090234857849197E-4,NO
31,1,0.003802864758160375,NO
32,1,0.003802864758160375,NO
33,1,0.003802864758160375,NO
34,2,3.090234857849197E-4,YES
35,1,1.6535485151134336E-6,NO
36,1,1.0305028854080793E-4,NO
37,1,3.090234857849197E-4,NO
38,1,0.003802864758160375,NO
39,1,0.003802864758160375,NO
40,3,2.061345646437995E-5,NO
41,1,0.003802864758160375,NO
42,2,1.1452130096197895E-5,NO
43,3,1.1892586161786744E-5,NO
44,38,3.090234857849197E-4,NO
45,4,3.090234857849197E-4,NO
46,18,3.090234857849197E-4,NO
47,3,0.20003710116250306,NO
48,52,3.090234857849197E-4,NO
49,1,1.6535485151134336E-6,NO
50,7,3.090234857849197E-4,YES
51,1,0.003802864758160375,NO
52,1,4.416961130742049E-5,NO
53,4,6.183527083848628E-5,NO
54,1,0.003802864758160375,NO
55,36,3.090234857849197E-4,NO
56,32,3.090234857849197E-4,NO
57,23,3.090234857849197E-4,YES
58,14,3.090234857849197E-4,NO
59,0,4.2946102641185316E-6,NO
60,1,1.6535485151134336E-6,NO
61,1,0.003802864758160375,NO
62,2,1.1452130096197895E-5,NO
63,12,3.090234857849197E-4,NO
64,12,3.090234857849197E-4,NO
65,4,3.090234857849197E-4,NO
66,22,3.090234857849197E-4,NO
67,2,3.090234857849197E-4,NO
68,26,3.090234857849197E-4,NO
69,1,0.003802864758160375,NO
70,10,3.090234857849197E-4,NO
71,1,0.003802864758160375,NO
72,10,3.090234857849197E-4,NO
73,20,3.090234857849197E-4,NO
74,12,3.090234857849197E-4,NO
75,3,3.090234857849197E-4,NO
76,6,3.090234857849197E-4,NO
77,7,3.090234857849197E-4,NO
78,9,3.090234857849197E-4,NO
79,15,3.090234857849197E-4,NO
80,3,3.090234857849197E-4,NO
81,1,0.003802864758160375,NO
