ID,Size,Predicted %,Actual value
0,4,0.14782733386418195,NO
1,1,0.007166954289794151,NO
2,2,0.019702934710382466,NO
3,4,0.02568819147648771,NO
4,13,0.3081138783773581,NO
5,69,0.993807650935715,NO
6,9,0.1925465383060618,NO
7,50,0.9999999999679012,NO
8,2,0.01042630808752246,NO
9,88,1.0,NO
10,2,0.14015522139791559,NO
11,1,0.01127172717329957,NO
12,3,0.025171838775971036,NO
13,1,0.008184176524475215,NO
14,1,0.007166954289794151,NO
15,1,0.007166954289794151,NO
16,50,0.9976982398332744,NO
17,1,0.007166954289794151,NO
18,8,0.18124727863142184,NO
19,117,0.9999999996313749,YES
20,2,0.022459168180828853,NO
21,8,0.27367931370542115,NO
22,26,0.9999992393892866,NO
23,1,0.007166954289794151,NO
24,15,0.78058171198004,NO
25,11,0.480598051278204,NO
26,8,0.45112854571913313,NO
27,108,0.9999999984429819,NO
28,2,0.007603598753167823,NO
29,17,0.8605390040410705,NO
30,3,0.5149305815663814,NO
31,1,0.007166954289794151,NO
32,1,0.007166954289794151,NO
33,1,0.007166954289794151,NO
34,2,0.746118983590851,YES
35,1,0.008184176524475215,NO
36,1,0.007603598753167823,NO
37,1,0.14086101377027227,NO
38,1,0.007166954289794151,NO
39,1,0.007166954289794151,NO
40,3,0.009266742548081429,NO
41,1,0.007166954289794151,NO
42,18,0.9999350973909177,NO
43,3,0.030855254122540463,NO
44,52,0.9999992567283594,NO
45,7,0.0624199991789697,NO
46,10,0.999999999921286,NO
47,1,0.007166954289794151,NO
48,1,0.10668268546333785,NO
49,4,0.04081904516882139,NO
50,1,0.09459053331648437,NO
51,36,0.999999999998998,NO
52,32,0.9999589171960485,NO
53,24,1.0,NO
54,14,0.024551479261171738,NO
55,0,0.007761747726465172,NO
56,1,0.008184176524475215,NO
57,1,0.007166954289794151,NO
58,2,0.007603598753167823,NO
59,12,0.6052766468685794,NO
60,12,0.10805798899183203,NO
61,4,0.29056817607046503,NO
62,22,0.8428077853596418,NO
63,2,0.963130988349016,NO
64,28,0.9983144680241812,NO
65,1,0.007166954289794151,NO
66,10,0.814556387957096,NO
67,1,0.007166954289794151,NO
68,7,1.0,NO
69,7,0.06323864326265993,NO
70,1,0.9999996879459374,NO
71,21,1.0,YES
72,12,0.9877990234018248,NO
73,3,0.14156229078675925,NO
74,6,0.7786142337817671,NO
75,7,0.7272576152691219,NO
76,9,0.9965046581986974,NO
77,15,0.23495049888701192,NO
78,3,0.9998097814886511,NO
79,1,0.007166954289794151,NO
80,2,0.019702934710382466,NO
81,27,0.9932032815208842,NO
82,10,0.37402480969448604,NO
83,17,0.3811276315835558,NO
84,15,0.9999915315105938,NO
85,1,0.007166954289794151,NO
86,1,0.007166954289794151,NO
87,1,0.007166954289794151,NO
88,1,0.09459053331648437,NO
89,11,0.9983279693413862,NO
90,1,0.008184176524475215,NO
91,1,0.007166954289794151,NO
92,28,0.9999999999395262,NO
93,0,0.006796669932831145,NO
94,0,0.01932284002780129,YES
95,0,0.007603598753167823,YES
96,0,0.09459053331648437,NO
97,0,0.09459053331648437,YES
98,0,0.09459053331648437,YES
99,0,0.29984146452501503,YES
100,14,0.5250752037093116,NO
101,7,0.12594409902783607,NO
102,12,0.9999999989769633,YES
103,12,0.12460868761197033,NO
104,16,0.5311650926778356,YES
105,8,0.20046896541999426,NO
106,6,0.04758021908826434,NO
107,2,0.019702934710382466,NO
108,2,0.011236803038743068,NO
109,3,0.22478699144453226,NO
110,1,0.1553150407200262,NO
111,13,0.1391593035443098,NO
112,29,0.9998884628327891,NO
113,9,0.020034381144539645,NO
114,1,0.008184176524475215,NO
115,1,0.015548687317353382,NO
116,10,0.06709963842686875,NO
117,4,0.04804071579240128,NO
118,2,0.3970863472512671,NO
119,33,0.9988361372828788,NO
120,5,0.06492257501553376,NO
121,1,0.007166954289794151,NO
122,18,0.37816191276545486,NO
123,1,0.007166954289794151,NO
124,1,0.007166954289794151,NO
125,9,0.2894655280552127,NO
126,5,0.012880939303485956,NO
127,42,0.9998141999695888,NO
128,3,0.023948714088536147,YES
129,1,0.008184176524475215,NO
130,0,0.006796669932831145,NO
131,0,0.010048205888106029,NO
132,11,0.31783881497474126,NO
133,12,0.0662791405183381,NO
134,3,0.00974750828330595,NO
