ID,Size,Predicted %,Actual value
0,4,0.06603665467593246,NO
1,1,0.06179244699080163,NO
2,2,0.06179244699080163,NO
3,4,0.06603665467593246,NO
4,13,0.34593144624790473,NO
5,69,1.0,NO
6,9,0.11344334135775382,NO
7,50,1.0,NO
8,2,0.07839616078563998,NO
9,88,1.0,NO
10,2,0.23059021177650227,NO
11,1,0.23059021177650227,NO
12,3,0.07985991513000659,NO
13,1,0.06179244699080163,NO
14,1,0.06179244699080163,NO
15,1,0.06179244699080163,NO
16,50,0.9999999999994386,NO
17,1,0.06179244699080163,NO
18,8,0.3353548610066286,NO
19,113,1.0,NO
20,2,0.06179244699080163,NO
21,8,0.867372827588301,NO
22,26,0.9999940702130923,NO
23,1,0.06179244699080163,NO
24,15,0.40839681543038503,NO
25,11,0.13215647342532627,NO
26,8,0.09981583614962135,NO
27,108,1.0,NO
28,2,0.06179244699080163,NO
29,17,0.9608004540067357,NO
30,3,0.7730847789438974,NO
31,1,0.06179244699080163,NO
32,1,0.06179244699080163,NO
33,1,0.06179244699080163,NO
34,1,0.06179244699080163,YES
35,22,1.0,NO
36,4,1.0,NO
37,18,0.9994206145699742,NO
38,3,0.0629673704070553,NO
39,49,0.9999999999437728,NO
40,1,0.06179244699080163,NO
41,4,0.08367907792990446,NO
42,27,1.0,YES
43,23,0.9909474584005439,YES
44,11,0.9999998179608268,YES
45,12,0.9876897521434223,NO
46,12,0.3970281546230176,NO
47,5,0.06603665467593246,YES
48,7,0.813177677338904,NO
49,15,0.9399503137029788,YES
50,9,0.9983688255212372,YES
51,1,0.06179244699080163,NO
52,15,1.0,YES
53,12,0.9999999486375297,NO
54,3,0.9796428623583298,NO
55,7,0.8489822845719869,NO
56,3,0.28311883199830506,NO
57,5,0.9982305860024413,NO
58,3,0.07985991513000659,YES
59,4,0.9982305860024413,NO
60,1,0.06179244699080163,NO
61,2,0.06179244699080163,NO
62,15,0.999999999716562,YES
63,1,0.06179244699080163,NO
64,1,0.06179244699080163,NO
65,1,0.7695414205558483,NO
66,11,0.9999999562254246,NO
67,1,0.06179244699080163,NO
68,1,0.06179244699080163,NO
69,25,0.9999999999998549,NO
70,0,0.06241551379159782,NO
71,0,0.06241551379159782,NO
72,0,0.06241551379159782,NO
73,0,0.06241551379159782,NO
74,0,0.06241551379159782,NO
75,0,0.06241551379159782,NO
76,0,0.06241551379159782,NO
77,7,0.07906478758831777,NO
78,7,0.07906478758831777,NO
79,12,0.2947218812214817,NO
80,16,0.783065539451629,NO
81,8,0.19867276099965095,NO
82,6,0.09015712908673228,NO
83,2,0.06179244699080163,NO
84,2,0.06179244699080163,NO
85,2,0.06179244699080163,NO
86,2,0.06179244699080163,YES
87,13,0.34593144624790473,NO
88,29,0.9999950654430781,NO
89,9,0.09014292370800765,NO
90,1,0.06179244699080163,NO
91,1,0.06179244699080163,NO
92,10,0.13215647342532627,NO
93,4,0.06603665467593246,NO
94,3,0.07985991513000659,YES
95,29,0.9999950654430781,YES
96,5,0.16956469355984738,NO
97,1,0.06179244699080163,NO
98,18,0.36582959246657604,NO
