ID,Size,Predicted %,Actual value
0,4,0.014636749535429237,NO
1,1,0.08049032225953501,NO
2,2,0.08574951683435653,NO
3,4,0.08968498448448625,NO
4,13,0.23237990986784282,NO
5,69,0.9999999284127119,NO
6,9,0.11734211761787924,NO
7,50,0.9999358604704216,NO
8,2,0.07880365875134436,NO
9,88,1.0,YES
10,2,0.5302507947398637,NO
11,1,0.07913321481117264,NO
12,3,0.09163869131439216,NO
13,1,0.07393601676952283,NO
14,1,0.08049032225953501,NO
15,1,0.08049032225953501,NO
16,50,0.9168785109770139,NO
17,1,0.08049032225953501,NO
18,8,0.035057426625455274,NO
19,117,0.5302604869395292,YES
20,2,0.07880365875134436,NO
21,8,0.1033893686232847,NO
22,26,0.7299392167065741,NO
23,1,0.08049032225953501,NO
24,15,0.2955672133883002,YES
25,11,0.14689595584849607,YES
26,8,0.1033893686232847,YES
27,108,0.6307481918258582,YES
28,2,0.08574951683435653,NO
29,17,0.6113298185930974,NO
30,3,0.049696758670779925,NO
31,1,0.08049032225953501,NO
32,1,0.08049032225953501,NO
33,1,0.08049032225953501,NO
34,2,0.040737592375436886,NO
35,1,0.07393601676952283,NO
36,1,0.08574951683435653,NO
37,1,0.06261353104840535,YES
38,1,0.08049032225953501,NO
39,1,0.08049032225953501,NO
40,3,0.08425976464457736,NO
41,1,0.08049032225953501,NO
42,2,0.08574951683435653,NO
43,3,0.09163869131439216,NO
44,37,0.9999998294684983,NO
45,4,0.8352144706125917,NO
46,18,0.9242219547596422,NO
47,3,0.06703025107970279,NO
48,52,0.9998656664418474,NO
49,1,0.07393601676952283,NO
50,7,0.1884486255928931,YES
51,1,0.08049032225953501,NO
52,1,0.13916540896683352,NO
53,4,0.08968498448448625,NO
54,1,0.08049032225953501,NO
55,36,0.9999997097953021,NO
56,32,0.8941276124905191,NO
57,23,0.9746680297905285,NO
58,14,0.28026773708092795,NO
59,0,0.07012480306139753,NO
60,1,0.07393601676952283,NO
61,1,0.08049032225953501,NO
62,2,0.08574951683435653,NO
63,12,0.1456232551585452,NO
64,12,0.17168104079798638,NO
65,4,0.16337025448373507,NO
66,22,0.6459474842019552,NO
67,2,0.21241096163844167,NO
68,26,0.7655666543900954,NO
69,1,0.08049032225953501,NO
70,10,0.3168164445474466,NO
71,1,0.08049032225953501,NO
72,10,0.16149188941076228,NO
73,20,0.5287461601163803,NO
74,12,0.2344882071702026,NO
75,3,0.06637762106253958,NO
76,6,0.058819653943668115,NO
77,7,0.03850697182799085,NO
78,9,0.11850074414896236,NO
79,15,0.17930523404952592,NO
80,3,0.7032352197561237,NO
81,1,0.08049032225953501,NO
82,2,0.08574951683435653,NO
83,27,0.7802623119339526,NO
84,10,0.16149188941076228,NO
85,17,0.24364714958511755,NO
86,15,0.880835160212696,NO
87,1,0.08049032225953501,NO
88,1,0.08049032225953501,NO
89,1,0.15056206077812112,NO
90,11,0.8262948463268892,NO
91,1,0.07393601676952283,NO
92,1,0.08049032225953501,NO
93,25,0.9753538879034467,YES
94,0,0.07636911266242481,NO
95,0,0.13730103522623385,NO
96,0,0.08417173810872598,NO
97,0,0.14798477082539288,NO
98,0,0.14798477082539288,NO
99,0,0.14798477082539288,NO
