ID,Size,Predicted %,Actual value
0,4,0.026430305076540036,NO
1,1,0.2844928779674429,NO
2,2,0.3737608562566322,NO
3,4,0.4171016520864767,NO
4,13,0.8223828909522267,NO
5,69,0.9999999969165293,NO
6,9,0.6219532247326439,NO
7,50,0.999998742206393,NO
8,2,0.3148569531474029,NO
9,88,1.0,YES
10,2,0.9725954581677235,NO
11,1,0.33341132438839555,NO
12,3,0.42000028323399113,NO
13,1,0.27610971699799486,NO
14,1,0.2844928779674429,NO
15,1,0.2844928779674429,NO
16,50,0.9854350569824915,NO
17,1,0.2844928779674429,NO
18,8,0.1574106186622437,NO
19,117,0.9999956716324729,YES
20,2,0.36408574345285094,NO
21,8,0.4685427405529856,NO
22,26,0.9816761970250024,NO
23,1,0.2844928779674429,NO
24,15,0.9080297284479899,YES
25,11,0.6090605237606385,YES
26,8,0.4925333531641634,YES
27,108,1.0,YES
28,2,0.3068156445489975,NO
29,17,0.9630909568186805,NO
30,3,0.22816176583202707,NO
31,1,0.2844928779674429,NO
32,1,0.2844928779674429,NO
33,1,0.2844928779674429,NO
34,2,0.14200611721786832,NO
35,1,0.27610971699799486,NO
36,1,0.3022811698332633,NO
37,1,0.22490516461580612,YES
38,1,0.2844928779674429,NO
39,1,0.2844928779674429,NO
40,3,0.32248805200217495,NO
41,1,0.2844928779674429,NO
42,2,0.3068156445489975,NO
43,3,0.33163423691678673,NO
44,37,0.9999999999140997,NO
45,4,3.754441914037027E-5,NO
46,18,0.9995315706286794,NO
47,3,0.30944439065141727,NO
48,52,0.9999999958200616,NO
49,1,0.27610971699799486,NO
50,7,0.834009877281776,YES
51,1,0.2844928779674429,NO
52,1,0.589453583482491,NO
53,4,0.44579881046832615,NO
54,1,0.2844928779674429,NO
55,36,0.9999999999990048,NO
56,32,0.9992096624051177,NO
57,23,0.9962852776241297,NO
58,14,0.725688784976937,NO
59,0,0.2565433560640453,NO
60,1,0.27610971699799486,NO
61,1,0.2844928779674429,NO
62,2,0.3068156445489975,NO
63,12,0.8915717953529415,NO
64,12,0.8352317034319945,NO
65,4,0.7003462674186027,NO
66,22,0.990811437397055,NO
67,2,0.050793685940879074,NO
68,26,0.9994676464858337,NO
69,1,0.2844928779674429,NO
70,10,0.010393447230107789,NO
71,1,0.2844928779674429,NO
72,10,0.7011170466070196,NO
73,20,0.9554254995297052,NO
74,12,0.9539997718342972,NO
75,3,0.41159439376181234,NO
76,6,0.3838423899889514,NO
77,7,0.12365494570015932,NO
78,9,0.0060821313236759916,NO
79,15,0.7108266939265536,NO
80,3,0.9847382983524516,NO
81,1,0.2844928779674429,NO
82,2,0.3737608562566322,NO
83,27,0.9974845195511622,NO
84,10,0.8412469234322123,NO
85,17,0.7911990765927469,NO
86,15,0.9994824426452382,NO
87,1,0.2844928779674429,NO
88,1,0.2844928779674429,NO
89,1,0.5994719001712856,NO
90,11,0.9984920957114366,NO
91,1,0.27610971699799486,NO
92,1,0.2844928779674429,NO
93,25,0.9999839086229626,YES
94,0,0.26454955433032296,NO
95,0,0.5176092583167017,NO
96,0,0.2982707150197211,NO
97,0,0.594880288646826,NO
98,0,0.594880288646826,NO
99,0,0.594880288646826,NO
100,0,0.9582266565399378,NO
101,14,0.8186811897622146,NO
102,7,0.44346500133075395,NO
103,11,0.9960389375129128,NO
104,12,0.7517892372828475,NO
105,16,0.905636079429304,NO
106,8,0.6694252086952691,NO
107,6,0.510603455186305,NO
108,2,0.3737608562566322,NO
109,2,0.22865932480532278,NO
110,3,0.7063389337070446,NO
111,1,0.4788784126179021,NO
112,13,0.783327399780562,NO
113,29,0.9969340799096911,NO
114,9,0.4280192309816334,NO
115,1,0.27610971699799486,NO
116,1,0.11918689158515838,NO
117,10,0.561172113125284,NO
118,4,0.20245929635261137,NO
119,2,0.6187688232834646,NO
120,28,0.9891246027763119,NO
121,5,0.47976625641373355,NO
122,1,0.2844928779674429,NO
123,18,0.9477222116666071,NO
124,1,0.2844928779674429,NO
125,1,0.2844928779674429,NO
126,9,0.6207425765140158,NO
127,42,0.9999978133367837,NO
128,11,0.8160575723199203,NO
129,12,0.7285042211800158,NO
130,3,0.34939377247351167,NO
131,22,0.9870454112576529,NO
132,10,0.8811654707029707,YES
133,14,0.9748733250643546,YES
134,4,0.3509480078107568,NO
135,11,0.8655764923894115,NO
136,10,0.4952329885115048,YES
137,6,0.8581388479761571,YES
138,1,0.27610971699799486,NO
139,2,0.9182721133039544,NO
140,0,0.548058235845056,NO
141,0,0.10906534051842466,NO
142,1,0.2844928779674429,NO
143,2,0.3464453568259581,NO
144,12,0.7117626565116193,NO
145,2,0.36408574345285094,NO
146,0,0.2565433560640453,NO
147,0,0.26454955433032296,NO
148,0,0.26454955433032296,NO
149,18,0.9907261393338965,NO
150,15,0.9170491127189151,NO
151,10,0.8711611722102389,YES
152,19,0.9896772394257974,NO
153,1,0.27610971699799486,NO
154,17,0.9434430461005452,YES
155,2,0.3737608562566322,NO
156,12,0.9951162492216641,NO
157,34,0.9999859840564342,NO
158,13,0.9466421765282692,NO
159,5,0.603314747316365,NO
160,5,0.8198538009096835,NO
161,37,0.999431628213907,NO
162,11,0.9999999510953219,NO
163,1,0.2844928779674429,NO
164,1,0.2844928779674429,NO
165,26,0.9998252585668992,NO
166,22,0.9985175378199698,NO
167,9,0.5481694884859317,NO
168,2,0.3068156445489975,NO
169,8,0.5631500521528847,NO
170,4,0.42723907226034114,NO
171,5,0.753795513206026,NO
172,1,0.02604213672987166,NO
173,9,0.6227214927219598,NO
174,4,0.4171016520864767,NO
175,16,0.9739099622254749,NO
176,30,0.9992644899869849,NO
177,2,0.3068156445489975,NO
178,1,0.2844928779674429,NO
179,6,0.9975852578076049,NO
180,1,0.2844928779674429,NO
181,5,0.5002937202801249,NO
182,13,0.9160254216649235,NO
183,5,0.5676319628734998,NO
184,5,0.47868389286260915,NO
185,17,0.7192767020146599,YES
186,16,0.9237925630455144,NO
187,2,0.36408574345285094,NO
188,13,0.9670092216559313,NO
189,46,0.9999999943560914,NO
190,21,0.9999932272458862,NO
191,27,0.9990037986258589,NO
192,2,0.3148569531474029,NO
193,41,0.9999316944375383,NO
194,0,0.2565433560640453,NO
195,0,0.2565433560640453,NO
196,0,0.10906534051842466,NO
197,1,0.589453583482491,NO
198,21,0.5357394575899624,NO
199,6,0.39319724001903555,NO
200,5,0.49090979632111853,NO
201,6,0.5737642383930089,NO
202,21,0.9998813986262024,NO
203,1,0.029974370767332024,NO
204,8,0.9879410026799947,NO
205,23,0.9998878645562741,NO
206,8,0.5846665000069389,NO
207,4,0.42723907226034114,NO
208,2,0.36408574345285094,NO
209,19,0.9338710746664813,NO
210,7,0.4480950949537237,NO
211,4,0.436449332589894,NO
212,1,0.27610971699799486,NO
213,3,0.4008631052315642,NO
214,1,0.2844928779674429,NO
215,3,0.34939377247351167,NO
216,17,0.9999753805523087,NO
217,5,0.3906869793310581,NO
218,0,0.1941443690199405,NO
219,0,0.2565433560640453,NO
220,8,0.4977714116399851,NO
221,7,0.557967663569917,NO
222,1,0.2844928779674429,NO
223,6,0.5659756014352378,NO
224,1,0.27610971699799486,NO
225,1,0.27610971699799486,NO
226,1,0.21029779664644954,NO
227,1,0.27610971699799486,NO
228,1,0.27610971699799486,NO
229,7,0.47358675869757594,NO
230,7,0.7491540351912795,NO
231,1,0.2844928779674429,NO
232,16,0.9691563392232575,NO
233,1,0.2844928779674429,NO
234,0,0.3086176037199623,NO
235,15,0.8811569830002347,NO
236,2,0.22865932480532278,NO
237,1,0.2844928779674429,NO
238,1,0.2844928779674429,NO
239,1,0.2844928779674429,NO
240,1,0.2844928779674429,NO
241,19,0.6541920286979513,NO
242,21,0.9941071861858555,NO
243,3,0.34939377247351167,NO
244,0,0.10906534051842466,NO
245,1,0.2844928779674429,NO
246,10,0.9515538934137477,NO
247,29,0.9950383401877038,NO
248,17,0.988292570339171,NO
249,4,0.17466724011797402,NO
250,1,0.2844928779674429,NO
251,51,0.9999999999127508,NO
252,8,0.6515330974728044,NO
253,7,0.550176348301257,NO
254,1,0.2844928779674429,NO
255,3,0.4008631052315642,NO
256,4,0.42723907226034114,NO
257,1,0.27610971699799486,NO
258,1,0.2844928779674429,NO
259,0,0.2565433560640453,NO
260,0,0.2565433560640453,NO
261,0,0.1941443690199405,NO
262,0,0.2565433560640453,NO
263,0,0.2565433560640453,NO
264,0,9.577112918003128E-8,NO
265,0,1.0629270641363301E-8,NO
266,0,0.9999999442139668,NO
267,0,5.041347770165621E-9,NO
268,0,6.020636872122737E-68,NO
269,0,0.26454955433032296,NO
270,1,0.33341132438839555,NO
271,1,0.2844928779674429,NO
272,1,0.33341132438839555,NO
273,1,0.2844928779674429,NO
274,5,0.38165467948563353,NO
275,4,0.21553204643238139,NO
276,8,0.6305417380048468,NO
277,11,0.6576530031916763,NO
278,9,0.4618256437895391,YES
279,10,0.7117999876673778,NO
280,10,0.5893082769276489,NO
281,19,0.9999352432405135,NO
282,3,0.2719744406013782,NO
283,13,0.8457416714800907,NO
284,11,0.6054574420784884,NO
285,1,0.27610971699799486,NO
286,0,0.2565433560640453,NO
287,0,0.26454955433032296,NO
288,0,0.26454955433032296,NO
