ID,Size,Predicted %,Actual value
0,4,0.01039214559343391,NO
1,1,0.001351132179853618,NO
2,2,0.0023565836311633865,NO
3,4,0.0030304779482193452,NO
4,13,0.5312804185618967,NO
5,69,1.0,NO
6,9,0.06343487922481586,NO
7,50,1.0,NO
8,2,0.0019478245489797153,NO
9,88,1.0,NO
10,2,0.9999633258334024,NO
11,1,0.006118799072501856,NO
12,3,0.003319790332613628,NO
13,1,0.0014547608517151956,NO
14,1,0.001351132179853618,NO
15,1,0.001351132179853618,NO
16,50,0.9999999999999997,NO
17,1,0.001351132179853618,NO
18,8,0.054828446697294496,NO
19,113,1.0,NO
20,2,0.0025371321554879473,NO
21,8,0.4156999142837064,NO
22,26,0.9999999993863147,NO
23,1,0.001351132179853618,NO
24,15,0.9351313383524348,NO
25,11,0.05027170228448891,NO
26,8,0.011918769285618643,NO
27,108,1.0,NO
28,2,0.0014013115238766369,NO
29,17,0.9999787429685337,NO
30,3,0.2006644745152151,NO
31,1,0.001351132179853618,NO
32,1,0.001351132179853618,NO
33,1,0.001351132179853618,NO
34,1,0.004429380396200079,YES
35,22,1.0,NO
36,4,1.0,NO
37,18,0.9999427703779089,NO
38,3,0.0032014479081588746,NO
39,49,1.0,NO
40,1,0.0014547608517151956,NO
41,4,0.003910584032503584,NO
42,27,1.0,YES
43,23,0.9999996956037254,YES
44,11,0.9999998736169349,YES
45,12,0.9901336252255035,NO
46,12,0.5025315122717839,NO
47,5,0.0038019664519607396,YES
48,7,0.4299869242501946,NO
49,15,0.9995306055220754,YES
50,9,0.9997377791665782,YES
51,1,0.001351132179853618,NO
52,15,1.0,YES
53,12,0.9999996635962033,NO
54,3,0.5997021375583614,NO
55,7,0.39258668550537623,NO
56,3,0.03924063484557576,NO
57,5,0.9997494881041872,NO
58,3,0.002458217882277191,YES
59,4,0.9839085460100975,NO
60,1,0.001351132179853618,NO
61,2,0.0023565836311633865,NO
62,15,0.999999999405141,YES
63,1,0.001351132179853618,NO
64,1,0.001351132179853618,NO
65,1,0.06419110391721083,NO
66,11,0.9999998821133843,NO
67,1,0.0014547608517151956,NO
68,1,0.001351132179853618,NO
69,25,0.9999999999999998,NO
70,0,0.0014271859673506792,NO
71,0,0.011746392211187787,NO
72,0,0.001416360534358695,NO
73,0,0.0013656430396464386,NO
74,0,0.0013656430396464386,NO
75,0,0.0013656430396464386,NO
76,0,0.9284230455916965,NO
77,7,0.0038833838192627755,NO
78,7,0.0036073792118397974,NO
79,12,0.1815035806488799,NO
80,16,0.9836445548112632,NO
81,8,0.06315883513433442,NO
82,6,0.006207141827057537,NO
83,2,0.0023565836311633865,NO
84,2,0.0017445509704132082,NO
85,2,0.0023565836311633865,NO
86,2,0.0017445509704132082,YES
87,13,0.3485963719717974,NO
88,29,0.9999999999999035,NO
89,9,0.010661752474039584,NO
90,1,0.0014547608517151956,NO
91,1,0.002088813427807875,NO
92,10,0.030111752722311185,NO
93,4,0.0043483108246610384,NO
94,3,0.0019748426415926415,YES
95,29,0.9999999999982322,YES
96,5,0.010901258581437343,NO
97,1,0.001351132179853618,NO
98,18,0.9860195827787394,NO
99,1,0.001351132179853618,NO
100,1,0.001351132179853618,NO
101,9,0.02095942293629254,NO
102,42,1.0,NO
103,2,0.0025371321554879473,NO
104,3,0.0019748426415926415,NO
105,11,0.0587948806541798,NO
106,10,0.11279209653754647,NO
107,14,0.9951496479507499,NO
108,4,0.0045199672205293,NO
