ID,Size,Predicted %,Actual value
0,4,0.0010558161157580433,NO
1,1,1.3615414389052613E-4,NO
2,2,2.3768909199111066E-4,NO
3,4,3.0584499242992713E-4,NO
4,13,0.10239969831792178,NO
5,69,1.0,NO
6,9,0.006770871321615821,NO
7,50,1.0,NO
8,2,1.9638859615071192E-4,NO
9,88,1.0,NO
10,2,0.9996357387440895,NO
11,1,6.192523594451537E-4,NO
12,3,3.3513070974599055E-4,NO
13,1,1.4661052818243814E-4,NO
14,1,1.3615414389052613E-4,NO
15,1,1.3615414389052613E-4,NO
16,50,0.9999999999999968,NO
17,1,1.3615414389052613E-4,NO
18,8,0.005804596373745352,NO
19,113,1.0,NO
20,2,2.5594117488816036E-4,NO
21,8,0.06682113586647416,NO
22,26,0.9999999939026548,NO
23,1,1.3615414389052613E-4,NO
24,15,0.5919894914164435,NO
25,11,0.005299337694612793,NO
26,8,0.0012125978515744125,NO
27,108,1.0,NO
28,2,1.412171176933263E-4,NO
29,17,0.9997888382968463,NO
30,3,0.024643906570918382,NO
31,1,1.3615414389052613E-4,NO
32,1,1.3615414389052613E-4,NO
33,1,1.3615414389052613E-4,NO
34,1,4.47591110777233E-4,YES
35,22,1.0,NO
36,4,1.0,NO
37,18,0.9994316787835725,NO
38,3,3.231496214310759E-4,NO
39,49,1.0,NO
40,1,1.4661052818243814E-4,NO
41,4,3.9498145026077954E-4,NO
42,27,1.0,YES
43,23,0.9999969756421495,YES
44,11,0.9999987443071585,YES
45,12,0.9099136476342485,NO
46,12,0.09228906907844626,NO
47,5,3.839730874992166E-4,YES
48,7,0.07056576759165813,NO
49,15,0.9953557537868751,YES
50,9,0.9974007634186011,YES
51,1,1.3615414389052613E-4,NO
52,15,1.0,YES
53,12,0.9999966576293561,NO
54,3,0.13102773040737706,NO
55,7,0.06107812435105986,NO
56,3,0.004093970746428495,NO
57,5,0.9975165678120734,NO
58,3,2.4796281112895476E-4,YES
59,4,0.8602199780037737,NO
60,1,1.3615414389052613E-4,NO
61,2,2.3768909199111066E-4,NO
62,15,0.999999994089707,YES
63,1,1.3615414389052613E-4,NO
64,1,1.3615414389052613E-4,NO
65,1,0.006856534092282166,NO
66,11,0.9999988287244774,NO
67,1,1.4661052818243814E-4,NO
68,1,1.3615414389052613E-4,NO
69,25,0.9999999999999984,NO
70,0,1.438279649240965E-4,NO
71,0,0.001194873218992937,NO
72,0,1.4273561544827856E-4,NO
73,0,1.3761820733677315E-4,NO
74,0,1.3761820733677315E-4,NO
75,0,1.3761820733677315E-4,NO
76,0,0.5662550585751733,NO
77,7,3.922245133542043E-4,NO
78,7,3.6425711799451026E-4,NO
79,12,0.02183167137037911,NO
80,16,0.8582191981850766,NO
81,8,0.006739632687351631,NO
82,6,6.282432687062752E-4,NO
83,2,2.3768909199111066E-4,NO
84,2,1.7586141610343041E-4,NO
85,2,2.3768909199111066E-4,NO
86,2,1.7586141610343041E-4,YES
87,13,0.05110862130455188,NO
88,29,0.9999999999990419,NO
89,9,0.00108347269326708,NO
90,1,1.4661052818243814E-4,NO
91,1,2.106304954665351E-4,NO
92,10,0.0031150452177920347,NO
93,4,4.3936682751560157E-4,NO
94,3,1.9911753085044442E-4,YES
95,29,0.9999999999824354,YES
96,5,0.0011080528602988892,NO
97,1,1.3615414389052613E-4,NO
98,18,0.8765212893731811,NO
99,1,1.3615414389052613E-4,NO
100,1,1.3615414389052613E-4,NO
101,9,0.002150051406752374,NO
102,42,1.0,NO
103,2,2.5594117488816036E-4,NO
104,3,1.9911753085044442E-4,NO
105,11,0.006247960003285094,NO
106,10,0.012633871836620215,NO
107,14,0.9538106287288293,NO
108,4,4.567823174521157E-4,NO
109,11,0.038472813455682875,YES
110,6,0.003737599461649657,NO
111,2,1.9638859615071192E-4,NO
112,2,8.610244404592085E-4,YES
113,0,0.007458062540043903,NO
114,0,2.2250096447742735E-4,NO
115,1,1.3615414389052613E-4,NO
116,1,1.3615414389052613E-4,NO
117,19,0.9997822470189316,NO
118,15,0.7104868236544924,NO
119,10,0.37586121305637377,NO
120,19,0.9999994732307697,NO
121,1,1.4661052818243814E-4,NO
122,17,0.9570773367001115,NO
123,2,2.3768909199111066E-4,NO
124,9,0.9999841621364727,NO
125,31,0.9999999999999998,NO
126,13,0.9983397329551317,NO
127,5,0.0014321472820886933,NO
128,5,0.0014321472820886933,NO
129,37,1.0,NO
130,8,1.0,YES
131,23,0.9999985547639754,YES
132,22,0.9999999997078296,NO
133,8,5.788022496305206E-4,YES
134,5,0.018226053517049912,NO
135,1,0.02790155786538603,NO
136,9,0.01629576842952159,NO
137,4,3.0584499242992713E-4,NO
138,15,0.9640099968802114,NO
139,2,1.412171176933263E-4,NO
140,1,1.3615414389052613E-4,NO
141,6,0.9999983323457844,NO
