ID,Size,Predicted %,Actual value
0,4,0.01,NO
1,1,0.6672716348805923,NO
2,2,0.6909475277418232,NO
3,4,0.7749648578930112,NO
4,13,0.865545353769038,NO
5,69,0.44,NO
6,9,0.05751515151515151,NO
7,50,0.07,NO
8,2,0.17143168154278327,NO
9,88,0.05,YES
10,2,0.07203609022556391,NO
11,1,0.08626285723021802,NO
12,3,0.9231596181270219,NO
13,1,0.39708455241705354,NO
14,1,0.6672716348805923,NO
15,1,0.6672716348805923,NO
16,50,0.3905498682603946,NO
17,1,0.6672716348805923,NO
18,8,0.023571428571428573,NO
19,117,0.3,YES
20,2,0.17143168154278327,NO
21,8,0.0,NO
22,26,0.68,NO
23,1,0.6672716348805923,NO
24,15,0.3688807967058741,YES
25,11,0.07655555555555556,YES
26,8,0.0,YES
27,108,0.25,YES
28,2,0.6909475277418232,NO
29,17,0.5509047619047619,NO
30,3,0.2937857142857143,NO
31,1,0.6672716348805923,NO
32,1,0.6672716348805923,NO
33,1,0.6672716348805923,NO
34,2,0.14833333333333337,NO
35,1,0.39708455241705354,NO
36,1,0.4624173653355969,NO
37,1,0.4464303827206063,YES
38,1,0.6672716348805923,NO
39,1,0.6672716348805923,NO
40,3,0.9495645365064662,NO
41,1,0.6672716348805923,NO
42,2,0.6909475277418232,NO
43,3,0.9231596181270219,NO
44,37,0.81,NO
45,4,0.44708730158730153,NO
46,18,0.6058809523809523,NO
47,3,0.48671364746364737,NO
48,52,0.6860714285714287,NO
49,1,0.39708455241705354,NO
50,7,0.19391233766233765,YES
51,1,0.6672716348805923,NO
52,1,0.022789383444091607,NO
53,4,0.7749648578930112,NO
54,1,0.6672716348805923,NO
55,36,0.84,NO
56,32,0.42,NO
57,23,0.6,NO
58,14,0.9043280069603599,NO
59,0,0.0,NO
60,1,0.39708455241705354,NO
61,1,0.6672716348805923,NO
62,2,0.6909475277418232,NO
63,12,0.2042936507936508,NO
64,12,0.47700000000000004,NO
65,4,0.5717244100952956,NO
66,22,0.9171428571428573,NO
67,2,0.17146423751686907,NO
68,26,0.37799999999999995,NO
69,1,0.6672716348805923,NO
70,10,0.8892893772893773,NO
71,1,0.6672716348805923,NO
72,10,0.4924920912420913,NO
73,20,0.41993473895582334,NO
74,12,0.06166666666666666,NO
75,3,0.2753627824417299,NO
76,6,0.024,NO
77,7,0.19907936507936508,NO
78,9,0.4816666666666667,NO
79,15,0.09574999999999999,NO
80,3,0.261311507936508,NO
81,1,0.6672716348805923,NO
82,2,0.6909475277418232,NO
83,27,0.6650595238095238,NO
84,10,0.4924920912420913,NO
85,17,0.41,NO
86,15,0.5830357142857143,NO
87,1,0.6672716348805923,NO
88,1,0.6672716348805923,NO
89,1,0.5797294372294372,NO
90,11,0.31,NO
91,1,0.39708455241705354,NO
92,1,0.6672716348805923,NO
93,25,0.32799999999999996,YES
94,0,0.0,NO
95,0,0.14333333333333334,NO
96,0,0.13357238970905963,NO
97,0,0.31371608946608953,NO
98,0,0.31371608946608953,NO
99,0,0.31371608946608953,NO
100,0,0.03,NO
101,14,0.05243181818181818,NO
102,7,0.679428137351125,NO
103,11,0.27,NO
104,12,0.38477132224500643,NO
105,16,0.9322682989095527,NO
106,8,0.7932441935781025,NO
107,6,0.8899802565091082,NO
108,2,0.6909475277418232,NO
109,2,0.6946162834779676,NO
110,3,0.2410249343919709,NO
111,1,0.3260871990689009,NO
112,13,0.865545353769038,NO
113,29,0.9279880952380952,NO
114,9,0.05751515151515151,NO
115,1,0.39708455241705354,NO
116,1,0.0,NO
117,10,0.7681877240406654,NO
118,4,0.0,NO
119,2,0.5404295012732357,NO
120,28,0.74,NO
121,5,0.9314680138563161,NO
122,1,0.6672716348805923,NO
123,18,0.6867698412698413,NO
124,1,0.6672716348805923,NO
125,1,0.6672716348805923,NO
126,9,0.6841292041292042,NO
127,42,0.46,NO
128,11,0.6716357487721698,NO
129,12,0.47700000000000004,NO
130,3,0.9231596181270219,NO
131,22,0.9171428571428573,NO
132,10,0.831773088023088,YES
133,14,0.12466666666666666,YES
134,4,0.6853401007105746,NO
135,11,0.8854715007215007,NO
136,10,0.15504029304029304,YES
137,6,0.2191703501339051,YES
138,1,0.39708455241705354,NO
139,2,0.047886363636363644,NO
140,0,0.08524564445397775,NO
141,0,0.0,NO
142,1,0.6672716348805923,NO
143,2,0.5260580084778157,NO
144,12,0.8902261904761904,NO
145,2,0.17143168154278327,NO
146,0,0.0,NO
147,0,0.0,NO
148,0,0.0,NO
149,18,0.19,NO
150,15,0.26730519480519477,NO
151,10,0.14507925407925407,YES
152,19,0.09657142857142857,NO
153,1,0.39708455241705354,NO
154,17,0.21819444444444444,YES
155,2,0.6909475277418232,NO
156,12,0.04000000000000001,NO
157,34,0.84,NO
158,13,0.5334047619047617,NO
159,5,0.3147967499752168,NO
160,5,0.15264252063531247,NO
161,37,0.44,NO
162,11,0.7,NO
163,1,0.6672716348805923,NO
164,1,0.6672716348805923,NO
165,26,0.34666666666666673,NO
166,22,0.35433699633699633,NO
167,9,0.7696111111111111,NO
168,2,0.6909475277418232,NO
169,8,0.6297060162060163,NO
170,4,0.7254623153994519,NO
171,5,0.14457142857142857,NO
172,1,0.12505218205218205,NO
173,9,0.052287878787878786,NO
174,4,0.7749648578930112,NO
175,16,0.809,NO
176,30,0.7906547619047619,NO
177,2,0.6909475277418232,NO
178,1,0.6672716348805923,NO
179,6,0.38866666666666666,NO
180,1,0.6672716348805923,NO
181,5,0.9314680138563161,NO
182,13,0.0783095238095238,NO
183,5,0.20228644213655655,NO
184,5,0.9314680138563161,NO
185,17,0.32611111111111113,YES
186,16,0.9322682989095527,NO
187,2,0.17143168154278327,NO
188,13,0.035,NO
189,46,0.83,NO
190,21,0.5332380952380952,NO
191,27,0.24333333333333335,NO
192,2,0.17143168154278327,NO
193,41,0.75,NO
194,0,0.0,NO
195,0,0.0,NO
196,0,0.0,NO
197,1,0.022789383444091607,NO
198,21,0.18,NO
199,6,0.011555555555555557,NO
200,5,0.01,NO
201,6,0.8899802565091082,NO
202,21,0.64,NO
203,1,0.15641608762478265,NO
204,8,0.6,NO
205,23,0.76,NO
206,8,0.0,NO
207,4,0.7254623153994519,NO
208,2,0.17143168154278327,NO
209,19,0.3845357142857143,NO
210,7,0.6961866744366746,NO
211,4,0.7749648578930112,NO
212,1,0.39708455241705354,NO
213,3,0.9231596181270219,NO
214,1,0.6672716348805923,NO
215,3,0.9231596181270219,NO
216,17,0.69,NO
217,5,0.0895021645021645,NO
218,0,0.0,NO
219,0,0.0,NO
220,8,0.010216450216450216,NO
221,7,0.25730828839262704,NO
222,1,0.6672716348805923,NO
223,6,0.35925804896857527,NO
224,1,0.39708455241705354,NO
225,1,0.39708455241705354,NO
226,1,0.4376291388787783,NO
227,1,0.39708455241705354,NO
228,1,0.39708455241705354,NO
229,7,0.679428137351125,NO
230,7,0.021619047619047618,NO
231,1,0.6672716348805923,NO
232,16,0.2893095238095238,NO
233,1,0.6672716348805923,NO
234,0,0.34367499490056197,NO
235,15,0.0475,NO
236,2,0.6946162834779676,NO
237,1,0.6672716348805923,NO
238,1,0.6672716348805923,NO
239,1,0.6672716348805923,NO
240,1,0.6672716348805923,NO
241,19,0.4265909090909091,NO
242,21,0.36,NO
243,3,0.9231596181270219,NO
244,0,0.0,NO
245,1,0.6672716348805923,NO
246,10,0.5227142857142858,NO
247,29,0.8964563492063492,NO
248,17,0.25752380952380954,NO
249,4,0.0,NO
250,1,0.6672716348805923,NO
251,51,0.97,NO
252,8,0.6297060162060163,NO
253,7,0.6961866744366746,NO
254,1,0.6672716348805923,NO
255,3,0.9231596181270219,NO
256,4,0.7254623153994519,NO
257,1,0.39708455241705354,NO
258,1,0.6672716348805923,NO
259,0,0.0,NO
260,0,0.0,NO
261,0,0.0,NO
262,0,0.0,NO
263,0,0.0,NO
264,0,0.025,NO
265,0,0.0769047619047619,NO
266,0,0.05,NO
267,0,0.04,NO
268,0,0.06,NO
269,0,0.0,NO
270,1,0.08626285723021802,NO
271,1,0.6672716348805923,NO
272,1,0.08626285723021802,NO
273,1,0.6672716348805923,NO
274,5,0.01,NO
275,4,0.0,NO
276,8,0.02,NO
277,11,0.07655555555555556,NO
278,9,0.14633333333333332,YES
279,10,0.17958886946386948,NO
280,10,0.6648330077479198,NO
281,19,0.428,NO
282,3,0.48671364746364737,NO
283,13,0.865545353769038,NO
284,11,0.2292380952380952,NO
285,1,0.39708455241705354,NO
286,0,0.0,NO
287,0,0.0,NO
288,0,0.0,NO
289,25,0.138,NO
290,1,0.39708455241705354,NO
291,2,0.6869083126353256,NO
292,60,0.59,NO
293,1,0.4376291388787783,NO
294,17,0.71,NO
295,43,0.59,NO
296,36,0.08,NO
297,19,0.16857142857142857,NO
298,24,0.62,NO
299,6,0.6791423423718516,NO
300,13,0.3612691073294521,NO
301,5,0.13777777777777778,NO
302,9,0.6841292041292042,YES
303,9,0.6841292041292042,YES
304,6,0.04203174603174603,NO
305,7,0.679428137351125,NO
306,29,0.5992579365079362,NO
307,1,0.6672716348805923,NO
308,1,0.6672716348805923,NO
309,1,0.08626285723021802,NO
310,1,0.6672716348805923,NO
311,1,0.6672716348805923,NO
312,1,0.6672716348805923,NO
313,1,0.6672716348805923,NO
314,6,0.35925804896857527,NO
315,0,0.0,NO
316,0,0.0,NO
317,0,0.0,NO
318,0,0.0,NO
319,0,0.0,NO
320,0,0.0,NO
321,0,0.0,NO
322,3,0.03357142857142857,NO
323,3,0.48671364746364737,NO
324,0,0.14833333333333334,NO
325,0,0.5724998894702287,NO
326,0,0.5724998894702287,NO
327,0,0.5724998894702287,NO
328,0,0.14473684210526316,NO
329,0,0.02,NO
330,2,0.17143168154278327,NO
331,1,0.6672716348805923,NO
332,1,0.08626285723021802,NO
333,1,0.08626285723021802,NO
334,5,0.4609315796498652,NO
335,1,0.2034585917550422,NO
336,2,0.6909475277418232,NO
337,2,0.17143168154278327,NO
338,2,0.17143168154278327,NO
339,1,0.6672716348805923,NO
340,6,0.8624173228302485,NO
341,1,0.39708455241705354,NO
342,10,0.4924920912420913,NO
343,1,0.4718028021058339,NO
344,10,0.4924920912420913,NO
345,2,0.17143168154278327,NO
346,2,0.6909475277418232,NO
347,4,0.7254623153994519,NO
348,26,0.26857142857142857,NO
349,0,0.0,NO
350,0,0.0,NO
351,0,0.0,NO
352,0,0.0,NO
353,7,0.5015411532911532,NO
354,1,0.6672716348805923,NO
355,1,0.6672716348805923,NO
356,1,0.6672716348805923,NO
357,1,0.6672716348805923,NO
358,3,0.9231596181270219,NO
359,2,0.6909475277418232,NO
360,5,0.15264252063531247,NO
361,1,0.6672716348805923,NO
362,1,0.39708455241705354,NO
363,1,0.6672716348805923,NO
364,4,0.6853401007105746,NO
365,2,0.17143168154278327,NO
366,4,0.7254623153994519,NO
367,6,0.8899802565091082,NO
368,3,0.9231596181270219,NO
369,1,0.39708455241705354,NO
370,1,0.6672716348805923,NO
371,1,0.6672716348805923,NO
372,3,0.12580359148003026,NO
373,1,0.6672716348805923,NO
374,1,0.6672716348805923,NO
375,4,0.7473373015873016,NO
376,0,0.0,NO
377,0,0.0,NO
378,0,0.0,NO
379,0,0.0,NO
380,0,0.0,NO
381,0,0.0,NO
382,0,0.0,NO
383,0,0.0,NO
384,0,0.0,NO
385,0,0.0,NO
386,0,0.0,NO
387,0,0.0,NO
388,0,0.0,NO
389,1,0.0,NO
390,1,0.0,NO
391,1,0.6672716348805923,NO
392,1,0.39708455241705354,NO
393,1,0.39708455241705354,NO
394,1,0.4376291388787783,NO
395,1,0.0,NO
396,1,0.6672716348805923,NO
397,1,0.0,NO
398,1,0.0,NO
399,1,0.39708455241705354,NO
400,1,0.0,NO
401,1,0.39708455241705354,NO
402,1,0.4376291388787783,NO
403,1,0.0,NO
404,0,0.0,NO
405,0,0.0,NO
406,1,0.6672716348805923,NO
407,1,0.39708455241705354,NO
408,1,0.4376291388787783,NO
409,27,0.5354880952380952,NO
410,0,0.0,NO
411,0,0.0,NO
412,0,0.0,NO
413,0,0.0,NO
414,0,0.0,NO
415,0,0.0,NO
416,0,0.0,NO
417,0,0.0,NO
418,47,0.4246666666666667,NO
419,1,0.39708455241705354,NO
420,1,0.6672716348805923,NO
421,49,0.408,NO
422,0,0.37227128427128425,NO
423,0,0.08524564445397775,NO
424,1,0.6672716348805923,NO
425,1,0.6672716348805923,NO
426,1,0.6672716348805923,NO
427,1,0.6672716348805923,NO
428,1,0.25,NO
429,3,0.2835714285714286,NO
430,1,0.4376291388787783,NO
431,1,0.12,NO
