ID,Size,Predicted %,Actual value
0,4,0.0,NO
1,1,0.0017187795480356543,NO
2,2,0.0,NO
3,4,0.0,NO
4,13,0.0,NO
5,69,0.04,NO
6,9,0.0,NO
7,50,0.0,NO
8,2,0.0,NO
9,88,0.8,NO
10,2,0.01,NO
11,1,0.0017187795480356543,NO
12,3,0.17911634970611615,NO
13,1,0.0017187795480356543,NO
14,1,0.0017187795480356543,NO
15,1,0.0017187795480356543,NO
16,50,0.09,NO
17,1,0.0017187795480356543,NO
18,8,0.05351165552166117,NO
19,117,0.89,NO
20,2,0.0,NO
21,8,0.08485714285714285,NO
22,26,0.0,NO
23,1,0.0017187795480356543,NO
24,15,0.5941904761904762,NO
25,11,0.66,NO
26,8,0.1829848484848485,NO
27,108,0.95,NO
28,2,0.015928383736311013,NO
29,17,0.01,NO
30,3,0.0,NO
31,1,0.0017187795480356543,NO
32,1,0.0017187795480356543,NO
33,1,0.0017187795480356543,NO
34,2,0.00101010101010101,YES
35,1,0.0017187795480356543,NO
36,1,0.015928383736311013,NO
37,1,0.015928383736311013,NO
38,1,0.0017187795480356543,NO
39,1,0.0017187795480356543,NO
40,3,0.0,NO
41,1,0.0017187795480356543,NO
42,2,0.015928383736311013,NO
43,3,0.0,NO
44,38,0.01,NO
45,4,0.0,NO
46,18,0.2933333333333334,NO
47,3,0.023595346430390258,NO
48,52,0.01,NO
49,1,0.0017187795480356543,NO
50,7,0.05351165552166117,YES
51,1,0.0017187795480356543,NO
52,1,0.0017187795480356543,NO
53,4,0.0,NO
54,1,0.0017187795480356543,NO
55,36,0.09,NO
56,32,0.14,NO
57,23,0.005,YES
58,14,0.0,NO
59,0,0.0,NO
60,1,0.0017187795480356543,NO
61,1,0.0017187795480356543,NO
62,2,0.015928383736311013,NO
63,12,0.0,NO
64,12,0.0,NO
65,4,0.0,NO
66,22,0.32,NO
67,2,0.00101010101010101,NO
68,26,0.03,NO
69,1,0.0017187795480356543,NO
70,10,0.0,NO
71,1,0.0017187795480356543,NO
72,10,0.004,NO
73,20,0.11,NO
74,12,0.02128571428571429,NO
75,3,0.0,NO
76,6,0.0033210180623973727,NO
77,7,0.0,NO
