ID,Size,Predicted %,Actual value
0,4,0.019879518072289156,NO
1,1,0.6688643614421931,NO
2,2,0.03369047619047619,NO
3,4,0.9419621769617537,NO
4,13,0.21,NO
5,69,0.45,NO
6,9,0.26875,NO
7,50,0.08,NO
8,2,0.006593406593406593,NO
9,88,0.14,YES
10,2,0.209,NO
11,1,0.08022426879917424,NO
12,3,0.3445348124098123,NO
13,1,0.39913760264085224,NO
14,1,0.6688643614421931,NO
15,1,0.6688643614421931,NO
16,50,0.22,NO
17,1,0.6688643614421931,NO
18,8,0.05,NO
19,117,0.44,YES
20,2,0.0,NO
21,8,0.09,NO
22,26,0.46,NO
23,1,0.6688643614421931,NO
24,15,0.28,YES
25,11,0.2559166666666667,YES
26,8,0.1,YES
27,108,0.3,YES
28,2,0.704211506678035,NO
29,17,0.39,NO
30,3,0.12,NO
31,1,0.6688643614421931,NO
32,1,0.6688643614421931,NO
33,1,0.6688643614421931,NO
34,2,0.10833333333333334,NO
35,1,0.39913760264085224,NO
36,1,0.49570177551539046,NO
37,1,0.680895793831197,YES
38,1,0.6688643614421931,NO
39,1,0.6688643614421931,NO
40,3,1.0,NO
41,1,0.6688643614421931,NO
42,2,0.704211506678035,NO
43,3,0.9869092087618037,NO
44,37,0.57,NO
45,4,0.3245833333333333,NO
46,18,0.59,NO
47,3,0.1095508658008658,NO
48,52,0.71,NO
49,1,0.39913760264085224,NO
50,7,0.15,YES
51,1,0.6688643614421931,NO
52,1,0.04924503657262279,NO
53,4,0.7703213175713177,NO
54,1,0.6688643614421931,NO
55,36,0.89,NO
56,32,0.4,NO
57,23,0.63,NO
58,14,0.29,NO
59,0,0.0,NO
60,1,0.39913760264085224,NO
61,1,0.6688643614421931,NO
62,2,0.704211506678035,NO
63,12,0.42,NO
64,12,0.29,NO
65,4,0.5066183811937683,NO
66,22,0.76,NO
67,2,0.19289285714285712,NO
68,26,0.48,NO
69,1,0.6688643614421931,NO
70,10,0.57,NO
71,1,0.6688643614421931,NO
72,10,0.24,NO
73,20,0.57,NO
74,12,0.2,NO
75,3,0.2685,NO
76,6,0.17,NO
77,7,0.2275,NO
78,9,0.41,NO
79,15,0.44,NO
80,3,0.42133333333333334,NO
81,1,0.6688643614421931,NO
82,2,0.03369047619047619,NO
83,27,0.56,NO
84,10,0.44,NO
85,17,0.3075,NO
86,15,0.89,NO
87,1,0.6688643614421931,NO
88,1,0.6688643614421931,NO
89,1,0.5797294372294372,NO
90,11,0.395625,NO
91,1,0.39913760264085224,NO
92,1,0.6688643614421931,NO
93,25,0.49,YES
94,0,0.0,NO
95,0,0.22,NO
96,0,0.15656621891180714,NO
97,0,0.4817983405483405,NO
98,0,0.4817983405483405,NO
99,0,0.4817983405483405,NO
100,0,0.18,NO
101,14,0.35,NO
102,7,0.06,NO
103,11,0.27,NO
104,12,0.15107142857142858,NO
105,16,0.36,NO
106,8,0.06,NO
107,6,0.0678021978021978,NO
108,2,0.03369047619047619,NO
109,2,0.8042486359100136,NO
110,3,0.17597835497835498,NO
111,1,0.21744172494172492,NO
112,13,0.2075,NO
113,29,0.63,NO
114,9,0.03,NO
115,1,0.39913760264085224,NO
116,1,0.0,NO
117,10,0.14416666666666667,NO
118,4,0.05683816183816183,NO
119,2,0.470764663441134,NO
120,28,0.71,NO
121,5,0.019887640449438203,NO
122,1,0.6688643614421931,NO
123,18,0.31,NO
124,1,0.6688643614421931,NO
125,1,0.6688643614421931,NO
126,9,0.20506349206349206,NO
127,42,0.35,NO
128,11,0.51,NO
129,12,0.44,NO
130,3,0.6983486231261,NO
131,22,0.75,NO
132,10,0.27,YES
133,14,0.43,YES
134,4,0.17344751288443241,NO
135,11,0.5717261904761904,NO
136,10,0.13,YES
137,6,0.28714285714285714,YES
138,1,0.39913760264085224,NO
139,2,0.28408730158730156,NO
140,0,0.08639458072791406,NO
141,0,0.0,NO
142,1,0.6688643614421931,NO
143,2,0.48911881898769805,NO
144,12,0.36,NO
145,2,0.0,NO
146,0,0.0,NO
147,0,0.0,NO
148,0,0.0,NO
149,18,0.32,NO
150,15,0.24,NO
151,10,0.10714285714285715,YES
152,19,0.16,NO
153,1,0.39913760264085224,NO
154,17,0.13,YES
155,2,0.03369047619047619,NO
156,12,0.2571428571428572,NO
157,34,0.69,NO
158,13,0.33,NO
159,5,0.1457142857142857,NO
160,5,0.18321428571428572,NO
161,37,0.41,NO
162,11,0.43,NO
163,1,0.6688643614421931,NO
164,1,0.6688643614421931,NO
165,26,0.56,NO
166,22,0.42,NO
167,9,0.71,NO
168,2,0.704211506678035,NO
169,8,0.24478632478632484,NO
170,4,0.6398733766233768,NO
171,5,0.0775,NO
172,1,0.05,NO
173,9,0.14,NO
174,4,0.9419621769617537,NO
175,16,0.59,NO
176,30,0.64,NO
177,2,0.704211506678035,NO
178,1,0.6688643614421931,NO
179,6,0.508,NO
180,1,0.6688643614421931,NO
181,5,0.02,NO
182,13,0.17,NO
183,5,0.15,NO
184,5,0.03503049759229534,NO
185,17,0.41,YES
186,16,0.29,NO
187,2,0.0,NO
188,13,0.33,NO
189,46,0.92,NO
190,21,0.49,NO
191,27,0.41,NO
192,2,0.006593406593406593,NO
193,41,0.69,NO
194,0,0.0,NO
195,0,0.0,NO
196,0,0.0,NO
197,1,0.04924503657262279,NO
198,21,0.2075,NO
199,6,0.12869747899159664,NO
200,5,0.30195288173900414,NO
201,6,0.2905233336924513,NO
202,21,0.9,NO
203,1,0.12339673913043477,NO
204,8,0.44,NO
205,23,0.68,NO
206,8,0.01875,NO
207,4,0.6398733766233768,NO
208,2,0.0,NO
209,19,0.34,NO
210,7,0.9060988455988457,NO
211,4,0.0115,NO
212,1,0.39913760264085224,NO
213,3,0.6224331186529329,NO
214,1,0.6688643614421931,NO
215,3,0.6983486231261,NO
216,17,0.82,NO
217,5,0.08,NO
218,0,0.0,NO
219,0,0.0,NO
220,8,0.0175,NO
221,7,0.16355555555555554,NO
222,1,0.6688643614421931,NO
223,6,0.29474440836940835,NO
224,1,0.39913760264085224,NO
225,1,0.39913760264085224,NO
226,1,0.4376291388787783,NO
227,1,0.39913760264085224,NO
228,1,0.39913760264085224,NO
229,7,0.16690476190476186,NO
230,7,0.049090909090909095,NO
231,1,0.6688643614421931,NO
232,16,0.29,NO
233,1,0.6688643614421931,NO
234,0,0.39787878787878783,NO
235,15,0.2,NO
236,2,0.8042486359100136,NO
237,1,0.6688643614421931,NO
238,1,0.6688643614421931,NO
239,1,0.6688643614421931,NO
240,1,0.6688643614421931,NO
241,19,0.39899999999999997,NO
242,21,0.45,NO
243,3,0.6983486231261,NO
244,0,0.0,NO
245,1,0.6688643614421931,NO
246,10,0.34,NO
247,29,0.58,NO
248,17,0.52,NO
249,4,0.018333333333333333,NO
250,1,0.6688643614421931,NO
251,51,0.92,NO
252,8,0.16,NO
253,7,0.35875,NO
254,1,0.6688643614421931,NO
255,3,0.6224331186529329,NO
256,4,0.6398733766233768,NO
257,1,0.39913760264085224,NO
258,1,0.6688643614421931,NO
259,0,0.0,NO
260,0,0.0,NO
261,0,0.0,NO
262,0,0.0,NO
263,0,0.0,NO
264,0,0.01,NO
265,0,0.01,NO
266,0,0.06,NO
267,0,0.02,NO
268,0,0.0,NO
269,0,0.0,NO
270,1,0.08022426879917424,NO
271,1,0.6688643614421931,NO
272,1,0.08022426879917424,NO
273,1,0.6688643614421931,NO
274,5,0.009166666666666667,NO
275,4,0.01,NO
276,8,0.1,NO
277,11,0.15657142857142858,NO
278,9,0.18,YES
279,10,0.1675,NO
280,10,0.2,NO
281,19,0.41,NO
282,3,0.6162575757575757,NO
283,13,0.5,NO
284,11,0.1,NO
285,1,0.39913760264085224,NO
286,0,0.0,NO
287,0,0.0,NO
288,0,0.0,NO
289,25,0.45,NO
290,1,0.39913760264085224,NO
291,2,0.2767080690627202,NO
292,60,0.68,NO
293,1,0.4376291388787783,NO
294,17,0.53,NO
295,43,0.57,NO
296,36,0.12,NO
297,19,0.44,NO
298,24,0.5,NO
299,6,0.11,NO
300,13,0.2,NO
301,5,0.09464285714285715,NO
302,9,0.6,YES
303,9,0.6,YES
304,6,0.03538461538461539,NO
305,7,0.33909090909090905,NO
306,29,0.61,NO
307,1,0.6688643614421931,NO
308,1,0.6688643614421931,NO
309,1,0.08022426879917424,NO
310,1,0.6688643614421931,NO
