ID,Size,Predicted %,Actual value
0,4,0.05041666666666665,NO
1,1,0.01697725688766721,NO
2,2,0.0075,NO
3,4,0.0,NO
4,13,0.22,NO
5,69,0.49,NO
6,9,0.0,NO
7,50,0.21,NO
8,2,0.0,NO
9,88,0.46,NO
10,2,0.37,NO
11,1,0.11064879127272814,NO
12,3,0.07833333333333334,NO
13,1,0.051218992110044416,NO
14,1,0.01697725688766721,NO
15,1,0.01697725688766721,NO
16,50,0.32,NO
17,1,0.01697725688766721,NO
18,8,0.13,NO
19,113,0.78,NO
20,2,0.3209352869352869,NO
21,8,0.02,NO
22,26,0.4,NO
23,1,0.01697725688766721,NO
24,15,0.04,NO
25,11,0.02,NO
26,8,0.01,NO
27,108,0.81,NO
28,2,0.0626917143999019,NO
29,17,0.16,NO
30,3,0.16,NO
31,1,0.01697725688766721,NO
32,1,0.01697725688766721,NO
33,1,0.01697725688766721,NO
34,1,0.23392156862745103,YES
35,22,0.39,NO
36,4,0.57,NO
37,18,0.11,NO
38,3,0.03541666666666666,NO
39,49,0.17,NO
40,1,0.051218992110044416,NO
41,4,0.3550000000000001,NO
42,27,0.35,YES
43,23,0.03,YES
44,11,0.59,YES
45,12,0.37,NO
46,12,0.42,NO
47,5,0.0,YES
48,7,0.27,NO
49,15,0.43,YES
50,9,0.75,YES
51,1,0.01697725688766721,NO
52,15,0.56,YES
53,12,0.59,NO
54,3,0.35,NO
55,7,0.29,NO
56,3,0.17,NO
57,5,0.11,NO
58,3,0.0,YES
59,4,0.41,NO
60,1,0.01697725688766721,NO
61,2,0.0075,NO
62,15,0.54,YES
63,1,0.01697725688766721,NO
64,1,0.01697725688766721,NO
65,1,0.1761980519480519,NO
66,11,0.57,NO
67,1,0.051218992110044416,NO
68,1,0.01697725688766721,NO
69,25,0.39,NO
70,0,0.0,NO
71,0,0.05164459171181655,NO
72,0,0.04861989296393322,NO
73,0,0.4430543428112357,NO
74,0,0.4430543428112357,NO
75,0,0.4430543428112357,NO
76,0,0.26122792504514986,NO
77,7,0.03,NO
78,7,0.03,NO
79,12,0.3,NO
80,16,0.14,NO
81,8,0.02,NO
82,6,0.02,NO
83,2,0.0075,NO
84,2,0.11207539111215581,NO
85,2,0.0075,NO
86,2,0.11207539111215581,YES
87,13,0.67,NO
88,29,0.79,NO
89,9,0.0,NO
90,1,0.051218992110044416,NO
91,1,0.03429083803278453,NO
92,10,0.05,NO
93,4,0.021666666666666664,NO
94,3,0.0,YES
95,29,0.71,YES
96,5,0.05,NO
97,1,0.01697725688766721,NO
98,18,0.12,NO
99,1,0.01697725688766721,NO
100,1,0.01697725688766721,NO
101,9,0.01,NO
102,42,0.13,NO
103,2,0.3209352869352869,NO
104,3,0.0,NO
105,11,0.24,NO
106,10,0.0,NO
107,14,0.31,NO
108,4,0.0,NO
109,11,0.01,YES
110,6,0.35,NO
111,2,0.0,NO
112,2,0.1220462642465175,YES
113,0,0.492186089568269,NO
114,0,0.0,NO
115,1,0.01697725688766721,NO
116,1,0.01697725688766721,NO
117,19,0.07,NO
118,15,0.23,NO
119,10,0.67,NO
120,19,0.23,NO
121,1,0.051218992110044416,NO
122,17,0.27,NO
123,2,0.0075,NO
124,9,0.74,NO
125,31,0.37,NO
126,13,0.55,NO
127,5,0.0,NO
128,5,0.0,NO
129,37,0.16,NO
130,8,0.51,YES
131,23,0.35,YES
132,22,0.56,NO
133,8,0.09,YES
134,5,0.3521666666666667,NO
135,1,0.09,NO
136,9,0.23,NO
137,4,0.0,NO
