ID,Size,PredictedProbability,ActualValue
0,8,2.933270586338074E-6,NO
1,10,1.356608796251435E-5,NO
2,9,3.617459874074317E-5,NO
3,9,3.5009964020023068E-6,NO
4,1,0.26066352469573273,YES
5,0,0.04405308143026702,NO
6,1,0.26066352469573273,NO
7,2,0.13698684107419914,NO
8,17,2.1705387391389424E-5,NO
9,1,1.808795369483854E-5,NO
10,10,3.617459874074317E-5,NO
11,2,1.0850809527500274E-4,NO
12,1,9.866318798564265E-6,NO
13,2,0.37974700064881356,NO
14,1,0.1277956131969214,NO
15,1,0.26066352469573273,NO
16,7,3.617459874074317E-5,NO
17,24,5.425993527972832E-5,NO
18,6,7.752140406767047E-6,NO
19,1,0.26066352469573273,NO
20,3,0.21428615727134745,NO
21,2,0.13698684107419914,NO
22,1,0.9090828366482557,YES
23,3,0.7522121471415927,NO
24,5,3.617459874074317E-5,NO
25,1,0.23605162509335667,NO
26,0,0.03571464564039179,NO
27,1,0.23605162509335667,NO
28,0,0.04405308143026702,NO
29,8,1.0850809527500274E-4,NO
30,1,2.7131439790031214E-5,NO
31,0,1.3235531842082284E-6,NO
32,0,0.09569419980837292,NO
33,10,5.425993527972832E-5,NO
34,10,5.425993527972832E-5,NO
35,0,6.78321882256929E-7,NO
36,0,0.03571464564039179,NO
37,0,1.2059042960258916E-6,NO
38,0,4.598794431226474E-7,NO
39,2,0.3076929498892659,NO
40,1,1.0850809527500274E-4,NO
41,12,5.425993527972832E-5,NO
42,1,0.26066352469573273,NO
43,1,0.1277956131969214,NO
44,7,1.0850809527500274E-4,NO
45,1,5.426523525040305E-6,NO
46,8,5.425993527972832E-5,NO
47,1,0.23605162509335667,NO
48,2,0.13698684107419914,NO
49,1,0.26066352469573273,NO
50,1,0.1277956131969214,NO
51,18,0.9999891470707373,NO
52,37,1.0850809527500274E-4,NO
53,1,0.1277956131969214,NO
54,8,5.425993527972832E-5,NO
55,3,0.3773589928464401,NO
56,29,3.617459874074317E-5,NO
57,1,0.23605162509335667,NO
58,1,0.26066352469573273,YES
59,11,1.0850809527500274E-4,NO
60,1,0.26066352469573273,NO
61,0,4.598794431226474E-7,NO
62,0,0.03571464564039179,NO
63,2,0.13698684107419914,NO
64,1,0.26066352469573273,NO
65,1,0.1277956131969214,NO
66,5,1.808795369483854E-5,NO
67,1,0.23605162509335667,NO
68,24,5.425993527972832E-5,NO
69,27,5.425993527972832E-5,NO
70,16,5.425993527972832E-5,NO
