ID,Size,PredictedProbability,ActualValue
0,5,3.763643206624012E-5,NO
1,9,7.526719855486978E-5,NO
2,1,2.5092717591500595E-6,NO
3,7,2.688504492491007E-6,NO
4,2,7.526719855486978E-5,NO
5,2,0.04854434922170884,NO
6,3,0.018692266021289018,NO
7,1,0.03283853816214879,NO
8,8,3.763643206624012E-5,NO
9,1,0.027322598811257877,NO
10,1,0.014405850071582368,NO
11,6,7.526719855486978E-5,NO
12,0,0.004842795519161021,NO
13,16,7.526719855486978E-5,NO
14,8,1.8818924310286427E-5,NO
15,3,0.018692266021289018,NO
16,1,0.03283853816214879,NO
17,1,0.03283853816214879,NO
18,9,2.5091584282631606E-5,NO
19,2,0.9999247328014451,YES
20,5,7.526719855486978E-5,NO
21,0,1.5682978009328236E-6,NO
22,12,3.763643206624012E-5,NO
23,2,7.526719855486978E-5,NO
24,8,7.526719855486978E-5,NO
25,15,3.763643206624012E-5,NO
26,3,1.2546106943015583E-5,NO
27,25,7.526719855486978E-5,NO
28,1,0.007634153657670414,NO
29,7,7.526719855486978E-5,NO
30,1,0.03283853816214879,NO
31,1,0.03283853816214879,NO
32,18,0.9999247328014451,NO
33,3,0.20370411675405006,NO
34,1,0.03283853816214879,NO
35,1,0.03283853816214879,NO
36,1,3.763643206624012E-5,NO
37,1,0.03283853816214879,NO
38,4,0.07500159966275345,NO
39,1,0.03283853816214879,NO
40,1,0.03283853816214879,YES
41,0,3.0725911960429945E-7,NO
42,1,8.364141253617491E-6,NO
43,0,3.0725911960429945E-7,NO
44,0,7.5277397208714114E-6,NO
45,0,9.409798611490118E-7,NO
46,1,1.8818924310286427E-5,NO
47,1,0.03283853816214879,NO
48,1,0.03283853816214879,NO
49,0,0.004842795519161021,NO
50,13,3.763643206624012E-5,NO
51,2,6.273132174894925E-6,NO
52,18,2.5091584282631606E-5,NO
53,2,3.763643206624012E-5,NO
54,5,7.526719855486978E-5,NO
55,25,1.8818924310286427E-5,NO
56,5,3.9619965292910405E-6,NO
57,4,0.013334310279413272,NO
58,1,0.014405850071582368,NO
59,1,0.014405850071582368,NO
60,4,1.2546106943015583E-5,NO
61,1,0.03283853816214879,NO
62,1,0.027322598811257877,NO
63,0,8.961713766446986E-7,NO
64,6,1.981006113384866E-6,NO
65,1,1.5055252777694139E-5,NO
66,64,7.526719855486978E-5,NO
67,1,0.027322598811257877,NO
68,1,0.03283853816214879,NO
69,10,1.8818924310286427E-5,NO
70,1,1.7506573718431271E-6,NO
71,1,0.014405850071582368,NO
72,2,0.015874172834313544,NO
73,1,0.03283853816214879,NO
74,27,0.9999247328014451,NO
75,1,0.03283853816214879,NO
76,1,0.03283853816214879,NO
77,1,0.03283853816214879,NO
78,2,0.04854434922170884,NO
79,6,0.5,NO
80,5,7.526719855486978E-5,NO
81,3,0.018692266021289018,NO
82,4,0.013334310279413272,NO
83,1,0.03283853816214879,NO
84,10,1.075384449940854E-5,NO
85,8,7.526719855486978E-5,NO
86,0,0.004842795519161021,NO
87,2,0.07142972364788024,NO
88,7,2.5092717591500595E-6,NO
89,5,2.5091584282631606E-5,NO
90,8,1.981006113384866E-6,NO
91,16,3.763643206624012E-5,NO
92,6,1.2546106943015583E-5,NO
93,7,7.526719855486978E-5,NO
94,1,0.03283853816214879,NO
95,1,0.03283853816214879,NO
96,3,8.364141253617491E-6,NO
97,10,5.01851833264747E-6,NO
98,2,0.023256370365269678,NO
99,0,3.0725911960429945E-7,NO
100,1,0.014405850071582368,NO
101,8,3.763643206624012E-5,NO
102,12,2.5091584282631606E-5,NO
103,19,3.763643206624012E-5,NO
104,10,0.9999247328014451,YES
105,2,7.526719855486978E-5,NO
106,0,0.004842795519161021,NO
107,1,0.014405850071582368,NO
108,24,0.5,NO
109,7,3.763643206624012E-5,NO
110,14,0.9999247328014451,NO
111,0,0.0036234591775115873,NO
112,2,0.023256370365269678,NO
113,1,0.014405850071582368,NO
114,11,3.763643206624012E-5,NO
115,11,1.8818924310286427E-5,NO
116,1,0.03283853816214879,NO
117,18,2.5091584282631606E-5,NO
118,1,0.03283853816214879,NO
119,0,0.004842795519161021,NO
120,1,0.03283853816214879,NO
121,1,0.03283853816214879,NO
122,1,9.180291749671805E-7,NO
123,26,7.526719855486978E-5,YES
124,3,0.20370411675405006,NO
125,9,8.364141253617491E-6,NO
126,1,0.014405850071582368,NO
127,1,0.03283853816214879,NO
128,4,0.013334310279413272,NO
129,3,0.20370411675405006,NO
130,10,1.2546106943015583E-5,NO
131,3,1.8818924310286427E-5,NO
132,15,2.5091584282631606E-5,NO
133,1,0.03283853816214879,NO
134,1,0.014405850071582368,NO
135,0,0.004842795519161021,NO
136,12,0.9999247328014451,YES
137,1,0.014405850071582368,NO
138,1,0.027322598811257877,YES
139,7,6.273132174894925E-6,NO
140,7,3.763643206624012E-5,NO
141,3,0.018692266021289018,NO
142,0,0.0036234591775115873,NO
143,53,3.763643206624012E-5,YES
144,1,0.014405850071582368,NO
145,1,0.027322598811257877,NO
146,21,7.526719855486978E-5,NO
147,0,3.0111230886896197E-6,NO
148,1,0.03283853816214879,YES
149,1,0.03283853816214879,NO
150,30,3.763643206624012E-5,NO
151,64,0.9999247328014451,NO
152,14,2.5091584282631606E-5,NO
153,0,3.0725911960429945E-7,NO
154,4,8.364141253617491E-6,NO
155,7,0.9999247328014451,YES
156,1,0.055557414276931824,NO
157,10,1.8818924310286427E-5,NO
158,2,7.526719855486978E-5,NO
159,0,3.763643206624012E-5,NO
160,0,0.010417050573802307,NO
161,1,0.014405850071582368,NO
162,0,4.6756807557396324E-7,NO
163,5,0.37500039207445024,NO
164,6,0.5,NO
165,7,3.763643206624012E-5,NO
166,1,0.03283853816214879,NO
167,10,6.843409112683575E-6,NO
168,7,3.136585763664536E-6,NO
169,1,0.03283853816214879,NO
170,2,1.1235576328887791E-6,NO
171,8,9.409639234431752E-6,NO
172,1,0.03283853816214879,NO
173,18,7.526719855486978E-5,NO
174,1,0.03283853816214879,NO
175,1,0.014405850071582368,YES
176,0,0.0036234591775115873,NO
177,2,1.8818924310286427E-5,NO
178,1,0.03283853816214879,NO
179,1,0.03283853816214879,NO
180,0,0.004842795519161021,NO
181,10,5.01851833264747E-6,NO
182,6,0.13235375517261994,NO
183,4,3.763643206624012E-5,NO
184,1,0.014405850071582368,NO
185,0,0.004842795519161021,NO
186,12,7.526719855486978E-5,YES
187,4,3.763643206624012E-5,NO
188,1,0.027322598811257877,NO
189,5,1.8818924310286427E-5,NO
