ID,Size,PredictedProbability,ActualValue
0,30,0.9999978315660779,YES
1,1,0.002318024060498665,NO
2,1,0.00248207045419922,NO
3,7,0.0062581744141040644,NO
4,10,0.21638177325979016,NO
5,7,0.02659117833172416,NO
6,7,0.011309145723422393,NO
7,14,0.2295317275869743,NO
8,4,0.0028898200665391275,NO
9,46,1.0,NO
10,1,0.002318024060498665,NO
11,1,0.002318024060498665,NO
12,2,0.0024052602589088694,NO
13,1,0.002318024060498665,NO
14,31,0.99999999999934,NO
15,5,0.007036114550407285,NO
16,4,0.0028898200665391275,NO
17,0,0.0023181577875468315,NO
18,0,0.004597611829398733,NO
19,5,0.008017987075646214,NO
20,10,0.4482867309679547,NO
21,4,0.006045050916071693,NO
22,6,0.01566469092596442,NO
23,5,0.007793340403191861,NO
24,3,0.004217646559074116,NO
25,2,0.0027881494104595324,NO
26,1,0.002318024060498665,NO
27,34,0.9999999999897122,NO
28,1,0.002318024060498665,NO
29,0,0.003743856015658375,NO
30,0,0.0023181577875468315,NO
31,1,0.0018120637026534565,NO
32,0,0.00233562989186471,NO
33,1,0.002318024060498665,YES
34,4,0.08680311073487204,NO
35,1,0.0027505482076851484,NO
36,10,0.7963828654607785,NO
37,0,0.003154604464267772,NO
38,1,0.9106307040514826,NO
39,1,0.002318024060498665,NO
40,1,0.002318024060498665,NO
41,1,0.002318024060498665,NO
42,0,0.0020619878762385586,NO
43,1,0.9100605663141331,NO
44,3,0.9623477726728519,NO
45,1,0.002318024060498665,NO
46,0,0.0023181577875468315,NO
47,4,0.0030942069209113914,NO
48,8,0.034508993659775826,NO
49,8,0.01191240994408625,NO
50,1,0.002318024060498665,NO
51,1,0.00248207045419922,NO
52,1,0.0027505482076851484,NO
53,9,0.01811119023330652,NO
54,4,0.0055853151894841415,NO
55,7,0.008715769175340816,NO
56,9,0.13255217227638058,NO
57,2,0.0025754644149228404,NO
58,0,0.002482213621554947,NO
59,0,0.0027507068183000648,NO
60,1,0.00248207045419922,YES
61,0,0.003773424054960298,NO
62,0,0.002482213621554947,NO
63,1,0.002318024060498665,NO
64,1,0.002318024060498665,NO
65,17,0.8274046355684219,NO
66,1,0.002318024060498665,NO
67,0,0.00233562989186471,NO
68,0,0.002824142116776641,NO
69,5,0.0569007334929744,NO
70,5,0.006315553906455896,NO
71,0,0.0023181577875468315,NO
72,1,0.003154422637868419,NO
73,0,0.0024206267327559375,NO
74,3,0.0025877219155044707,NO
75,1,0.004597347213926535,NO
76,10,0.029280239757342084,NO
77,1,0.7034227779690199,NO
78,1,0.009006104788165667,NO
79,1,0.002318024060498665,NO
80,4,0.004709128445885435,NO
81,1,0.002318024060498665,NO
82,7,0.011309145723422393,NO
83,1,0.00248207045419922,NO
84,11,0.06868700044974778,NO
85,4,0.012041812244065872,NO
86,6,0.04575296419034045,NO
87,4,0.003711551528276978,NO
88,1,0.00248207045419922,NO
89,3,0.9419823425747718,NO
90,2,0.01968341947757192,NO
91,3,0.004217646559074116,NO
92,0,0.0023181577875468315,NO
93,1,0.002318024060498665,NO
94,1,0.023031908710719907,NO
95,10,0.026865808018485284,NO
96,1,0.0027505482076851484,NO
97,1,0.002318024060498665,NO
98,11,0.3007951110480262,NO
99,1,0.002318024060498665,NO
100,7,0.019451789039964768,NO
101,1,0.002318024060498665,NO
102,1,0.002318024060498665,NO
103,1,0.002318024060498665,NO
104,5,0.008017987075646214,NO
105,3,0.04854011548936637,NO
106,7,0.006045168357111819,NO
107,7,0.011309145723422393,NO
108,0,1.0,NO
109,31,0.9999905177338885,NO
110,7,0.008558026847750186,NO
111,1,0.002318024060498665,NO
112,1,0.002318024060498665,NO
113,6,0.06331875808845305,NO
114,10,0.15773786888720998,NO
115,2,0.0024052602589088694,NO
116,2,0.0024052602589088694,NO
117,6,0.004301901914553308,NO
118,4,0.0028898200665391275,NO
119,1,0.002318024060498665,NO
120,1,0.00248207045419922,NO
121,5,0.004551602606168147,NO
122,30,0.999999992249275,NO
123,8,0.01191240994408625,NO
124,0,0.0027507068183000648,NO
125,10,0.7992708938359282,NO
126,3,0.0025877219155044707,NO
127,1,0.00248207045419922,NO
128,17,0.983176637482105,NO
129,0,0.0023181577875468315,NO
130,0,0.0023181577875468315,NO
131,4,0.004709128445885435,NO
132,11,0.3728419921619481,NO
133,1,0.002318024060498665,NO
134,13,0.17381056861692395,NO
135,9,0.02505498498653238,NO
136,1,0.0027505482076851484,NO
137,1,0.002318024060498665,NO
138,4,0.005041538019993361,NO
139,3,0.003070414582562996,NO
140,22,0.9999999989152127,NO
141,2,0.0024052602589088694,NO
142,0,0.003743856015658375,NO
143,8,0.08162733356702055,NO
144,14,0.2825896442936017,NO
145,1,0.0016922246489326632,NO
146,1,0.0016922246489326632,NO
147,3,0.004217646559074116,NO
148,1,0.8814320923399446,NO
149,1,0.00248207045419922,NO
150,20,0.9927244679260788,YES
151,1,0.00248207045419922,NO
152,1,0.0016922246489326632,NO
153,1,0.9894238514966349,NO
154,9,0.03332414611434504,NO
155,6,0.004766284556756005,NO
156,0,0.0058415648459023035,NO
157,9,0.03332414611434504,NO
158,1,0.00248207045419922,NO
159,3,0.011942518464609607,NO
160,2,0.006999930580735074,NO
161,8,0.05181737658642544,NO
162,9,0.07325891651841253,NO
163,0,0.0023181577875468315,NO
164,7,0.012579815975441956,NO
165,1,0.004597347213926535,NO
166,2,0.005771335946959678,NO
167,5,0.007036114550407285,NO
168,29,0.999999996355995,YES
169,5,0.01401977100246245,NO
170,12,0.974776718283519,NO
171,0,0.00240846480021776,NO
172,0,0.002824142116776641,NO
173,2,0.0024052602589088694,NO
174,12,0.9353196832347207,NO
175,1,0.002318024060498665,YES
176,1,0.0016922246489326632,NO
177,3,0.004217646559074116,YES
178,17,0.5188806462707951,YES
179,4,0.008982596646309555,YES
180,9,0.8090600438533254,YES
181,28,0.9999634516547089,NO
182,1,0.00248207045419922,NO
183,1,0.002318024060498665,NO
184,11,0.034551805300476614,NO
185,16,0.9999696004680617,NO
186,4,0.006929309609664741,NO
187,15,0.9449162143042948,NO
188,3,0.0034920069477142627,NO
189,1,0.002318024060498665,YES
190,2,0.0035688273462667103,NO
191,1,0.0027505482076851484,NO
192,3,0.01396369334122044,NO
193,13,0.23549612878115106,NO
194,6,0.009731460267253142,NO
195,1,0.003154422637868419,NO
196,1,0.002318024060498665,NO
197,0,0.0023181577875468315,NO
198,9,0.2733282015158434,NO
199,9,0.03394349141701916,NO
200,5,0.004796401006653071,NO
201,0,0.002482213621554947,NO
202,0,0.0034373236922603367,NO
203,5,0.680457230964472,NO
204,0,0.002207954708199351,NO
205,3,0.005002847178598323,NO
206,1,0.0018120637026534565,NO
207,1,0.002318024060498665,NO
208,3,0.0038115680240220547,NO
209,1,0.009006104788165667,NO
210,4,0.0055853151894841415,NO
211,1,0.00248207045419922,NO
212,11,0.1372400869098445,NO
213,2,0.0035688273462667103,NO
214,0,0.002824142116776641,NO
215,0,0.003405445544515972,NO
216,8,0.01191240994408625,NO
217,1,0.002318024060498665,NO
218,1,0.00248207045419922,NO
219,1,0.002318024060498665,NO
220,49,1.0,NO
221,8,0.01353322376103109,NO
222,19,0.948662785205023,NO
223,1,0.002318024060498665,NO
224,0,0.003743856015658375,NO
225,1,0.0027505482076851484,NO
226,7,0.012579815975441956,NO
227,0,0.0027507068183000648,NO
228,0,0.003154604464267772,NO
229,1,0.002318024060498665,NO
230,1,0.002318024060498665,NO
231,0,0.0020619878762385586,NO
232,1,0.9395197281554374,NO
233,16,0.9992782407684734,NO
234,7,0.02689548793571954,NO
235,4,0.0028898200665391275,NO
236,10,0.02983165042968982,NO
237,3,0.005002847178598323,NO
238,3,0.004217646559074116,NO
239,1,0.002318024060498665,NO
240,3,0.0037800942934404134,NO
241,12,0.8520822247761486,NO
242,10,0.9921179112724141,NO
243,54,1.0,YES
244,12,0.33493292895744414,NO
245,3,0.005002847178598323,NO
246,1,0.0016922246489326632,NO
247,1,0.002318024060498665,NO
248,3,0.006059249334499391,NO
249,24,0.9999761595672089,NO
250,5,0.007614353368857511,NO
251,8,0.01842155188913978,NO
252,1,0.002318024060498665,NO
253,16,0.9904352121690716,NO
254,10,0.22964292854508406,NO
255,0,0.00233562989186471,NO
256,1,0.002318024060498665,NO
257,23,0.9999560988547244,YES
258,1,0.0016922246489326632,NO
259,1,0.002318024060498665,NO
260,17,0.6648459887064927,YES
261,1,0.00248207045419922,NO
262,18,0.9950832613172654,NO
263,1,0.00248207045419922,NO
264,0,0.0023181577875468315,NO
265,6,0.00700395277981284,NO
266,1,0.026335137377900185,NO
267,3,0.0025877219155044707,NO
268,1,0.002318024060498665,YES
269,3,0.005735533976291723,NO
270,7,0.0058460182729459164,NO
271,17,0.6333121857926638,NO
272,1,0.00248207045419922,NO
273,4,0.014099838264625686,NO
274,3,0.01163115468460081,NO
275,0,0.0027507068183000648,NO
276,21,0.9891464984067749,NO
277,2,0.025336235046661146,NO
278,3,0.002801416307377303,NO
279,18,0.9902925119445788,NO
280,1,0.00248207045419922,NO
281,6,0.03918010003825017,NO
282,1,0.002318024060498665,NO
283,3,0.005002847178598323,NO
284,6,0.014073011032339423,NO
285,17,0.997293961867959,NO
286,1,0.0027505482076851484,NO
287,8,0.09914748122995955,NO
288,6,0.060365194058247716,YES
289,1,0.00248207045419922,NO
290,3,0.003070414582562996,NO
291,1,0.002318024060498665,NO
292,1,0.9236761264256197,NO
293,1,0.0033055298104058234,NO
294,22,0.9985326992210655,NO
295,7,0.027980583420054682,NO
296,1,0.003154422637868419,NO
297,0,0.00240846480021776,NO
298,8,0.02301314126827904,NO
299,27,0.9999993758333829,YES
300,10,0.038058787420198616,NO
301,17,0.9999982860726787,YES
302,8,0.017256910408855155,NO
303,4,0.004709128445885435,NO
304,3,0.0038115680240220547,NO
305,0,0.0023181577875468315,NO
306,1,0.002318024060498665,YES
307,1,0.002318024060498665,YES
308,5,0.0038780428583927496,NO
309,1,0.002318024060498665,NO
310,0,1.0,NO
311,7,0.008715769175340816,NO
312,1,0.002318024060498665,NO
313,10,0.18786427709213635,NO
314,1,0.0037787180800249363,NO
315,1,0.002318024060498665,NO
316,4,0.003673943756214434,NO
317,4,0.03792199111338976,YES
318,1,0.12051198107175354,NO
319,0,0.001705085538563495,NO
320,15,0.5890578900601594,NO
321,0,0.0027507068183000648,NO
322,0,0.00240846480021776,NO
323,2,0.0035688273462667103,NO
324,3,0.002801416307377303,NO
325,2,0.002603926281880889,NO
326,1,0.003154422637868419,NO
327,7,0.008143084974704767,NO
328,0,0.00233562989186471,NO
329,3,0.008349244939299465,NO
330,8,0.08712161229405999,NO
331,38,0.9999999926324783,NO
332,1,0.002318024060498665,NO
333,7,0.008143084974704767,NO
334,2,0.003920709807813271,NO
335,4,0.011900111338624614,NO
336,39,0.9999999999999998,NO
337,5,0.006464209539139886,NO
338,1,0.002318024060498665,NO
339,6,0.9999999535781442,NO
340,4,0.006565897828911085,NO
341,1,0.003743640353283516,NO
342,6,0.004766284556756005,NO
343,1,0.002318024060498665,NO
344,1,0.002318024060498665,NO
345,0,0.002824142116776641,NO
346,9,0.026358583292894134,NO
347,1,0.002318024060498665,NO
348,1,0.002318024060498665,NO
349,11,0.9924034538249633,NO
350,4,0.00938119454832781,NO
351,0,0.002824142116776641,NO
352,1,0.00248207045419922,NO
353,1,0.002318024060498665,NO
354,11,0.04528489399317793,NO
355,3,0.004515520638838845,NO
356,2,0.002854015395984814,NO
357,1,0.002318024060498665,NO
358,1,0.0018120637026534565,NO
359,11,0.999999999969058,NO
360,0,0.002622078292968961,NO
361,1,0.002318024060498665,NO
362,1,0.00248207045419922,NO
363,0,0.0023181577875468315,NO
364,3,0.004515520638838845,NO
365,1,0.002318024060498665,NO
366,17,0.999935162691701,NO
367,0,0.00233562989186471,NO
368,4,0.0055853151894841415,NO
369,10,0.15633910402386988,NO
370,8,0.04525942908135026,YES
371,13,0.2912344862910423,NO
372,2,0.005512456835060077,NO
373,7,0.008558026847750186,NO
374,1,0.00248207045419922,NO
375,1,0.002318024060498665,NO
376,0,0.0020619878762385586,NO
377,1,0.002318024060498665,NO
378,4,0.0034400258458531386,NO
379,2,0.0030896322170244914,NO
380,1,0.002318024060498665,NO
381,0,0.0023181577875468315,NO
382,3,0.0027708017989588694,NO
383,1,0.002318024060498665,NO
384,1,0.002318024060498665,NO
385,0,0.002482213621554947,NO
386,5,0.007793340403191861,NO
387,1,0.00248207045419922,NO
388,19,0.9658165635041267,YES
389,11,0.7060508154980671,NO
390,16,0.8473320434690903,YES
391,1,0.009006104788165667,NO
392,1,0.002318024060498665,NO
393,13,0.23549612878115106,NO
394,1,0.002318024060498665,NO
395,1,0.0027505482076851484,NO
396,1,0.00248207045419922,NO
397,6,0.009350340873552833,NO
398,1,0.002318024060498665,NO
399,0,0.002824142116776641,NO
400,8,0.011132043851500758,NO
401,1,0.002318024060498665,NO
402,15,0.5589368197972043,NO
403,0,0.0023181577875468315,NO
404,0,0.003154604464267772,NO
405,0,0.00240846480021776,NO
406,10,0.038058787420198616,YES
407,3,0.004515520638838845,NO
408,3,0.00456532424305909,NO
409,10,0.008957062454579025,NO
410,5,0.006995779447597583,NO
411,8,0.006992729562071197,NO
412,7,0.39804510902239154,NO
413,31,0.999999999999999,YES
414,4,0.04700786475666164,NO
415,2,0.004244014116733283,NO
416,1,0.002318024060498665,NO
417,1,0.002318024060498665,NO
418,4,0.005041538019993361,NO
419,7,0.0062581744141040644,NO
420,8,0.03233318571641149,NO
421,1,0.0027505482076851484,NO
422,9,0.09753741424672045,NO
423,1,0.00248207045419922,NO
424,1,0.002318024060498665,NO
