ID,Size,PredictedProbability,ActualValue
0,8,3.235375001063357E-4,NO
1,10,0.0021388817903294794,NO
2,9,0.003024608640619306,NO
3,9,7.609343689810984E-4,NO
4,1,1.0188368280410148E-4,YES
5,0,1.045435177375525E-4,NO
6,1,1.0188368280410148E-4,NO
7,2,1.0455714364801617E-4,NO
8,17,0.09027999989262929,NO
9,1,0.0021458601465776227,NO
10,10,0.0022244164748710885,NO
11,2,0.008301803886863959,NO
12,1,1.5678615023347503E-4,NO
13,2,1.0374527297365338E-4,NO
14,1,1.026809868845568E-4,NO
15,1,1.0188368280410148E-4,NO
16,7,3.29174707937149E-4,NO
17,24,0.9999814066455602,NO
18,6,4.147993847509758E-4,NO
19,1,1.0188368280410148E-4,NO
20,3,1.9919621108052348E-4,NO
21,2,1.0455714364801617E-4,NO
22,1,0.9996914259918949,YES
23,3,1.0926048127219098E-4,NO
24,5,2.7396503649325366E-4,NO
25,1,1.1375102697082175E-4,NO
26,0,1.0536163451072284E-4,NO
27,1,1.1375102697082175E-4,NO
28,0,1.045435177375525E-4,NO
29,8,8.536620956877962E-4,NO
30,1,1.0374527297365338E-4,NO
31,0,1.7048564829606327E-4,NO
32,0,1.0488523748366192E-4,NO
33,10,0.0010237520625142598,NO
34,10,0.01582056345338867,NO
35,0,1.4215737205934485E-4,NO
36,0,1.0536163451072284E-4,NO
37,0,1.904452719355943E-4,NO
38,0,1.1672064155720827E-4,NO
39,2,1.9211375188261996E-4,NO
40,1,0.13875748447128952,NO
41,12,0.0029026874237550035,NO
42,1,1.0188368280410148E-4,NO
43,1,1.026809868845568E-4,NO
44,7,3.4337734611808316E-4,NO
45,1,5.641016891871217E-4,NO
46,8,8.231043605995707E-4,NO
47,1,1.1375102697082175E-4,NO
48,2,1.0455714364801617E-4,NO
49,1,1.0188368280410148E-4,NO
50,1,1.026809868845568E-4,NO
51,18,0.958219375665365,NO
52,37,0.9999999999999999,NO
53,1,1.026809868845568E-4,NO
54,8,0.004783015958477483,NO
55,3,1.3088863358475805E-4,NO
56,29,0.9237428197321249,NO
57,1,1.1375102697082175E-4,NO
58,1,1.0188368280410148E-4,YES
59,11,0.005334836294469141,NO
60,1,1.0188368280410148E-4,NO
61,0,1.1672064155720827E-4,NO
62,0,1.0536163451072284E-4,NO
63,2,1.0455714364801617E-4,NO
64,1,1.0188368280410148E-4,NO
65,1,1.026809868845568E-4,NO
66,5,3.1061853888682354E-4,NO
67,1,1.1375102697082175E-4,NO
68,24,0.9984711409729937,NO
69,27,0.9990446236242915,NO
70,16,0.7329395560488645,NO
71,1,1.0188368280410148E-4,NO
72,1,2.7371102146091437E-4,NO
73,5,1.800226454651993E-4,NO
74,7,5.288284037738307E-4,NO
75,23,0.9981274576570195,NO
76,2,1.0455714364801617E-4,NO
77,5,0.004710190727359257,NO
78,3,1.1540788553648796E-4,NO
79,29,1.0,NO
80,2,1.0374527297365338E-4,NO
81,44,0.999999999999476,NO
82,9,7.550296752860452E-4,NO
83,1,1.0188368280410148E-4,NO
84,1,1.0188368280410148E-4,NO
85,1,0.13875748447128952,NO
86,1,0.03054339299978117,NO
87,1,1.0188368280410148E-4,NO
88,12,0.3833147097228769,NO
89,1,1.0188368280410148E-4,NO
90,0,0.004573153949896316,NO
91,4,1.1767532124605318E-4,NO
92,0,1.7048564829606327E-4,NO
93,5,0.0010550159628069915,NO
94,1,0.03054339299978117,NO
95,7,1.0,NO
96,16,0.027036063450093382,NO
97,1,1.3854068409576795E-4,NO
98,11,0.5720072650242803,NO
99,0,1.045435177375525E-4,NO
100,3,1.7797954574119796E-4,NO
101,1,1.0374527297365338E-4,NO
102,7,4.121171598357339E-4,NO
103,4,1.1676160176777804E-4,NO
104,3,6.909470152475178E-4,NO
105,4,2.6103567100762214E-4,NO
106,0,2.8085542126492756E-4,NO
107,6,2.95811938535722E-4,YES
108,7,4.121171598357339E-4,NO
109,5,2.473071209630347E-4,YES
110,15,0.009707879299135642,NO
111,6,0.9997936723464175,NO
112,6,4.520492811258006E-4,NO
113,1,1.0188368280410148E-4,NO
114,2,3.1292683336127326E-4,NO
115,22,0.9999318346141474,NO
116,1,1.6655431469099033E-4,NO
117,3,0.0010409480262352276,NO
118,1,5.052741924980453E-4,NO
119,1,1.0188368280410148E-4,NO
120,6,0.41175972969455465,NO
121,1,1.0188368280410148E-4,YES
122,1,1.0188368280410148E-4,NO
123,4,3.8513480995202226E-4,NO
124,5,0.0014684723661623682,NO
125,6,2.95811938535722E-4,NO
126,1,1.0188368280410148E-4,NO
127,0,1.4215737205934485E-4,NO
128,2,1.5713860431778727E-4,NO
129,1,1.0188368280410148E-4,NO
130,1,2.746617050900361E-4,NO
131,1,1.3854068409576795E-4,NO
132,8,3.235375001063357E-4,NO
133,11,0.005334836294469141,NO
134,0,1.0536163451072284E-4,NO
135,1,1.0188368280410148E-4,NO
136,1,1.0188368280410148E-4,NO
137,0,1.4215737205934485E-4,NO
138,1,1.1375102697082175E-4,NO
139,2,0.031714986177752515,NO
140,1,1.1375102697082175E-4,NO
141,12,0.002626982939377884,NO
142,30,0.9988048279766351,NO
143,2,2.3193971433522266E-4,NO
144,1,1.0188368280410148E-4,NO
145,8,0.0027841645554543383,NO
146,0,1.0488523748366192E-4,NO
147,18,0.4881909972466892,NO
148,4,2.1621477321592727E-4,NO
149,17,0.16020857147409326,NO
150,2,1.0374527297365338E-4,NO
151,1,1.0188368280410148E-4,NO
152,6,3.2769660813539446E-4,NO
153,5,4.028152433208005E-4,NO
154,1,1.0188368280410148E-4,NO
155,27,1.0,YES
156,0,1.045435177375525E-4,NO
157,8,0.002759984391612543,NO
158,0,1.4215737205934485E-4,NO
159,27,0.9958681980297458,NO
160,0,1.273594386230126E-4,NO
161,11,0.12094887798951327,NO
162,0,1.4215737205934485E-4,NO
163,1,1.0188368280410148E-4,NO
164,35,0.9999999940512846,NO
165,4,1.1676160176777804E-4,NO
166,2,2.3193971433522266E-4,NO
167,11,0.011895145614389365,NO
168,48,8.789526557902507E-44,NO
169,0,1.045435177375525E-4,NO
170,3,0.14937810301368298,NO
171,1,1.0188368280410148E-4,NO
172,3,2.90011591692431E-4,NO
173,3,1.461339615250427E-4,NO
174,15,0.030393074342123037,NO
175,11,0.01128977495840431,NO
176,1,1.1375102697082175E-4,NO
177,7,3.683895556635259E-4,NO
178,1,1.0188368280410148E-4,NO
179,1,1.0188368280410148E-4,NO
180,27,0.8522335727997358,NO
181,1,1.0188368280410148E-4,NO
182,1,1.0188368280410148E-4,NO
183,1,1.0188368280410148E-4,NO
184,0,1.0488523748366192E-4,NO
185,16,0.16426408079956234,NO
186,15,0.04772938289931454,NO
187,7,3.4606383636262816E-4,NO
188,1,1.026809868845568E-4,NO
189,3,3.501250676511907E-4,NO
190,1,8.047368367857089E-4,NO
191,1,1.0188368280410148E-4,NO
192,1,1.0188368280410148E-4,NO
193,2,1.5713860431778727E-4,NO
194,1,1.026809868845568E-4,NO
195,0,1.0536163451072284E-4,NO
196,1,1.026809868845568E-4,NO
197,0,1.1672064155720827E-4,NO
198,1,1.0188368280410148E-4,NO
199,1,1.2109129629393311E-4,NO
200,11,0.007226943391627197,NO
201,3,1.3088863358475805E-4,NO
202,10,0.0079621279254769,NO
203,4,2.6103567100762214E-4,NO
204,6,2.95811938535722E-4,NO
205,1,1.0188368280410148E-4,NO
206,15,0.33229753259289346,NO
207,1,1.026809868845568E-4,NO
208,9,2.95593300684622E-4,NO
209,7,4.1454786542197115E-4,NO
210,1,1.026809868845568E-4,NO
211,10,0.0028142540026867406,NO
212,1,1.0930699283055918E-4,NO
213,0,1.1672064155720827E-4,NO
214,2,1.1130420454718365E-4,NO
215,6,1.9147307164658745E-4,NO
216,1,1.026809868845568E-4,NO
217,0,1.0536163451072284E-4,NO
218,108,1.0,NO
219,0,1.0488523748366192E-4,NO
220,2,1.9211375188261996E-4,NO
221,1,1.026809868845568E-4,NO
222,9,0.0011594658789262579,NO
223,10,0.0010733546954313706,NO
224,14,0.27613294326600685,NO
225,1,1.0188368280410148E-4,NO
226,1,1.0188368280410148E-4,NO
227,0,1.045435177375525E-4,NO
228,2,1.9062214677435286E-4,NO
229,4,5.762427668077901E-4,NO
230,4,2.395219619330888E-4,NO
231,1,1.0845824428408604E-4,NO
232,6,2.95811938535722E-4,YES
233,1,1.0188368280410148E-4,NO
234,0,1.1963925473124202E-4,NO
235,1,1.7460532598407647E-4,NO
236,0,1.045435177375525E-4,NO
237,9,8.429109002957085E-4,NO
238,0,1.0488523748366192E-4,NO
239,15,0.025125477591766865,NO
240,1,1.0188368280410148E-4,NO
241,1,1.0188368280410148E-4,NO
242,1,1.0188368280410148E-4,NO
243,0,1.6015168921203776E-4,NO
