ID,Size,PredictedProbability,ActualValue
0,5,0.03931656482057657,NO
1,9,0.015,NO
2,1,0.013294880478499237,NO
3,7,0.0,NO
4,2,0.005151515151515152,NO
5,2,0.04168315493859453,NO
6,3,0.02925014243909928,NO
7,1,0.025419343415961165,NO
8,8,0.0,NO
9,1,0.025419343415961165,NO
10,1,0.025419343415961165,NO
11,6,0.0,NO
12,0,0.0022862179820885937,NO
13,16,0.02,NO
14,8,0.0,NO
15,3,0.02925014243909928,NO
16,1,0.025419343415961165,NO
17,1,0.025419343415961165,NO
18,9,0.023207401003902683,NO
19,2,0.375514652014652,YES
20,5,0.01579397210976158,NO
21,0,0.0,NO
22,12,0.0,NO
23,2,0.20914682539682541,NO
24,8,0.08510289135361279,NO
25,15,0.01,NO
26,3,0.02925014243909928,NO
27,25,0.11166666666666666,NO
28,1,0.025419343415961165,NO
29,7,0.02,NO
30,1,0.025419343415961165,NO
31,1,0.025419343415961165,NO
32,18,0.72,NO
33,3,0.16179626778729675,NO
34,1,0.025419343415961165,NO
35,1,0.025419343415961165,NO
36,1,0.09747256398572188,NO
37,1,0.025419343415961165,NO
38,4,0.04056456582318411,NO
39,1,0.025419343415961165,NO
40,1,0.025419343415961165,YES
41,0,0.0022862179820885937,NO
42,1,0.011685283965527092,NO
43,0,0.0022862179820885937,NO
44,0,0.0022862179820885937,NO
45,0,0.0,NO
46,1,0.0016666666666666666,NO
47,1,0.025419343415961165,NO
48,1,0.025419343415961165,NO
49,0,0.0022862179820885937,NO
50,13,0.01,NO
51,2,0.04168315493859453,NO
52,18,0.0,NO
53,2,0.056657718349642526,NO
54,5,0.01579397210976158,NO
55,25,0.0,NO
56,5,0.0,NO
57,4,0.04056456582318411,NO
58,1,0.025419343415961165,NO
59,1,0.025419343415961165,NO
60,4,0.05190639640759671,NO
61,1,0.025419343415961165,NO
62,1,0.025419343415961165,NO
63,0,0.0,NO
64,6,0.0,NO
65,1,0.0,NO
66,64,0.07,NO
67,1,0.025419343415961165,NO
68,1,0.025419343415961165,NO
69,10,0.0,NO
70,1,0.011685283965527092,NO
71,1,0.025419343415961165,NO
72,2,0.0141670498727866,NO
73,1,0.025419343415961165,NO
74,27,0.08,NO
75,1,0.025419343415961165,NO
76,1,0.025419343415961165,NO
77,1,0.025419343415961165,NO
78,2,0.04168315493859453,NO
79,6,0.0477378477913832,NO
80,5,0.09976190476190475,NO
81,3,0.02925014243909928,NO
82,4,0.04056456582318411,NO
83,1,0.025419343415961165,NO
84,10,0.0,NO
85,8,0.05233766233766234,NO
86,0,0.0022862179820885937,NO
87,2,0.04168315493859453,NO
88,7,0.0,NO
89,5,0.005,NO
90,8,0.0,NO
91,16,0.08487373643471262,NO
92,6,0.0477378477913832,NO
93,7,0.0,NO
94,1,0.025419343415961165,NO
95,1,0.025419343415961165,NO
96,3,0.0,NO
97,10,0.0,NO
98,2,0.04168315493859453,NO
99,0,0.0022862179820885937,NO
100,1,0.025419343415961165,NO
101,8,0.0,NO
102,12,0.014333333333333332,NO
103,19,0.06416666666666666,NO
104,10,0.435,YES
105,2,0.3486666666666667,NO
106,0,0.0022862179820885937,NO
107,1,0.025419343415961165,NO
108,24,0.4731666666666666,NO
109,7,0.01,NO
110,14,0.4338888888888889,NO
111,0,0.0022862179820885937,NO
112,2,0.04168315493859453,NO
113,1,0.025419343415961165,NO
114,11,0.2600483405483405,NO
115,11,0.0,NO
116,1,0.025419343415961165,NO
117,18,0.0,NO
118,1,0.025419343415961165,NO
119,0,0.0022862179820885937,NO
120,1,0.025419343415961165,NO
121,1,0.025419343415961165,NO
122,1,0.025419343415961165,NO
123,26,0.034,YES
124,3,0.16179626778729675,NO
125,9,0.023207401003902683,NO
126,1,0.025419343415961165,NO
127,1,0.025419343415961165,NO
128,4,0.04056456582318411,NO
