ID,Size,PredictedProbability,ActualValue
0,0,0.03763888888888889,NO
1,1,0.0,NO
2,1,0.0,NO
3,0,0.044733143818676026,NO
4,1,0.2561198629649246,NO
5,6,0.0,NO
6,6,0.026587301587301583,NO
7,0,0.044733143818676026,NO
8,1,0.23264733273006527,NO
9,0,0.0350569345849128,NO
10,4,0.0,NO
11,1,0.2561198629649246,NO
12,11,0.06875,NO
13,2,0.15416274934352556,NO
14,1,0.2561198629649246,NO
15,1,0.12801792739663076,NO
16,1,0.2561198629649246,NO
17,1,0.12801792739663076,NO
18,0,0.044733143818676026,NO
19,0,0.0350569345849128,NO
20,1,0.07708255402344615,NO
21,0,0.044733143818676026,NO
22,1,0.2561198629649246,NO
23,11,0.15,NO
24,1,0.2561198629649246,NO
25,2,0.01,NO
26,26,0.08,NO
27,17,0.11,YES
28,3,0.34805024038438376,NO
29,0,0.0350569345849128,NO
30,5,0.09,NO
31,6,0.138,NO
32,2,0.43336936481616667,NO
33,3,0.7324963582412949,NO
34,1,0.2561198629649246,NO
35,6,0.00875,NO
36,4,0.47379100760957116,NO
37,1,0.0,NO
38,11,0.1,NO
39,1,0.12801792739663076,NO
40,0,0.0350569345849128,NO
41,6,0.6044447186506355,NO
42,1,0.2561198629649246,NO
43,1,0.0,NO
44,12,0.04,NO
45,1,0.12801792739663076,NO
46,5,0.0,NO
47,11,0.0,NO
48,6,0.2688888888888889,NO
49,2,0.18582836234214012,NO
50,2,0.055669108669108666,NO
51,1,0.3496943779930885,NO
52,3,0.3407298995474469,NO
53,28,0.05,NO
54,7,0.0,NO
55,18,0.12,NO
56,2,0.08288888888888887,NO
57,1,0.2561198629649246,NO
58,34,0.07,NO
59,30,0.07833333333333332,NO
60,17,0.07,NO
61,0,0.0,NO
62,1,0.2561198629649246,NO
63,4,0.7105427146383029,NO
64,0,0.0350569345849128,NO
65,0,0.0,NO
66,23,0.13773809523809527,NO
67,1,0.12801792739663076,NO
68,2,0.0,NO
69,24,0.9158155096537448,YES
70,1,0.2561198629649246,NO
71,0,0.044733143818676026,NO
72,6,0.005,NO
73,1,0.12801792739663076,NO
74,3,0.22,NO
75,5,0.03,NO
76,14,0.01,NO
77,5,0.8438649851596096,NO
78,2,0.43336936481616667,NO
79,8,0.0,NO
80,1,0.2561198629649246,NO
81,0,0.0,NO
82,4,0.47379100760957116,NO
83,13,0.23396158008658008,NO
84,4,0.18278174603174605,NO
85,1,0.2561198629649246,NO
86,7,0.0,NO
87,14,0.01,YES
88,2,0.02857142857142857,NO
89,2,0.23641704941829284,NO
90,1,0.0,NO
91,27,0.2068888888888889,NO
92,1,0.12801792739663076,NO
93,1,0.2561198629649246,NO
94,1,0.12801792739663076,NO
95,1,0.07708255402344615,NO
96,1,0.12801792739663076,NO
97,1,0.12801792739663076,NO
98,4,0.7088115286100928,NO
99,1,0.12801792739663076,NO
100,1,0.23264733273006527,NO
101,1,0.2561198629649246,NO
102,9,1.0,YES
103,2,0.0,NO
104,29,0.37,NO
105,6,0.0,NO
106,1,0.2561198629649246,NO
107,1,0.2561198629649246,NO
108,5,0.8438649851596096,YES
109,1,0.2561198629649246,NO
110,3,0.0,NO
111,28,0.03,NO
112,0,0.0,NO
113,1,0.07708255402344615,NO
114,0,0.0,NO
115,5,0.0,NO
116,1,0.2561198629649246,NO
117,0,0.0,NO
118,5,0.0,NO
119,0,0.0,NO
120,0,0.0,NO
121,0,0.044733143818676026,NO
122,7,0.033283475783475784,NO
123,1,0.23264733273006527,NO
124,0,0.09423619609528328,NO
125,8,0.0,NO
126,0,0.0,NO
127,1,0.2561198629649246,NO
128,4,0.04,NO
129,4,0.3365463147963148,NO
130,0,0.0,NO
131,1,0.2561198629649246,NO
132,27,0.32,NO
133,1,0.2561198629649246,NO
134,2,0.0,NO
135,5,0.0,NO
136,20,0.26,NO
137,4,0.01,NO
138,15,0.01,NO
139,11,0.21108974358974358,YES
140,1,0.0,NO
141,1,0.0,NO
142,15,0.02,NO
143,7,0.0,NO
144,30,0.5528384687208217,NO
145,5,0.8438649851596096,YES
146,10,0.14004203970264342,NO
147,0,0.0,NO
148,1,0.00951646990152197,NO
149,1,0.0,NO
150,1,0.23264733273006527,NO
151,1,0.2561198629649246,NO
152,0,0.0,NO
153,6,0.6044447186506355,NO
154,0,0.0,NO
155,3,0.22117991013694102,NO
156,0,0.0,NO
157,0,0.0,NO
158,31,0.15016666666666667,NO
159,1,0.0,NO
160,0,0.0,NO
161,0,0.0,NO
162,1,0.0,NO
163,0,0.044733143818676026,NO
164,1,0.0,NO
165,1,0.12801792739663076,NO
166,2,0.0,NO
167,2,0.01,NO
168,4,0.2076623376623377,NO
169,1,0.23264733273006527,NO
170,8,0.0,NO
171,1,0.12801792739663076,NO
172,2,0.23641704941829284,YES
173,4,0.0,NO
174,3,0.7324963582412949,YES
175,4,0.1318792022869195,NO
176,50,0.0475,NO
177,2,0.15416274934352556,NO
178,1,0.2561198629649246,NO
179,1,0.12801792739663076,NO
180,25,0.6809610667110667,NO
181,2,0.0,NO
182,4,0.0,NO
183,7,0.0,NO
184,10,0.0,NO
185,7,0.04,NO
186,2,0.0,NO
187,1,0.12801792739663076,NO
188,9,0.0,NO
189,9,0.0,NO
190,4,0.1318792022869195,NO
191,0,0.0350569345849128,NO
192,10,0.014642857142857147,NO
193,9,1.0,YES
194,20,0.06,NO
195,35,0.07723076923076923,NO
196,7,0.0,NO
197,1,0.0,NO
198,0,0.09423619609528328,NO
199,4,0.0,NO
200,3,0.08,NO
201,6,0.10378079665017856,NO
202,5,0.0,NO
203,0,0.0,NO
204,5,0.04807230631838491,NO
205,5,0.00857142857142857,NO
206,1,0.23264733273006527,YES
207,0,0.044733143818676026,NO
208,1,0.23264733273006527,NO
209,0,0.0,NO
210,4,0.0,NO
211,0,0.0,NO
212,1,0.2561198629649246,NO
213,9,0.04,NO
214,4,0.5403356091256887,NO
215,1,0.2561198629649246,NO
216,0,0.0,NO
217,4,0.5549186711385475,NO
218,24,0.5585714285714286,NO
219,1,0.2561198629649246,NO
220,16,0.03916666666666666,NO
221,5,0.0868235294117647,NO
222,4,0.0,NO
223,1,0.0,NO
224,58,0.07861111111111112,NO
225,1,0.12801792739663076,NO
226,1,0.12801792739663076,NO
227,10,0.1,NO
228,20,0.07,NO
229,13,0.05842424242424242,NO
230,8,0.0,NO
231,4,0.310144261300238,NO
232,7,0.06,NO
