ID,Size,PredictedProbability,ActualValue
0,8,0.0,NO
1,10,0.0,NO
2,9,0.02125,NO
3,9,0.0,NO
4,1,0.4057485348749576,YES
5,0,0.013866068686938694,NO
6,1,0.4057485348749576,NO
7,2,0.058532834762278635,NO
8,17,0.0,NO
9,1,0.0,NO
10,10,0.0,NO
11,2,0.0,NO
12,1,0.0,NO
13,2,0.5433637041383641,NO
14,1,0.2244710027636148,NO
15,1,0.4057485348749576,NO
16,7,0.0,NO
17,24,0.055,NO
18,6,0.0,NO
19,1,0.4057485348749576,NO
20,3,0.21905749018360782,NO
21,2,0.058532834762278635,NO
22,1,0.4429285714285714,YES
23,3,0.8575945878959623,NO
24,5,0.01,NO
25,1,0.3718093586259701,NO
26,0,0.003435506534412273,NO
27,1,0.3718093586259701,NO
28,0,0.013866068686938694,NO
29,8,0.06109092070204064,NO
30,1,0.00907953461433633,NO
31,0,0.0,NO
32,0,0.05929529640665218,NO
33,10,0.0,NO
34,10,0.02,NO
35,0,0.0,NO
36,0,0.003435506534412273,NO
37,0,0.0,NO
38,0,0.0,NO
39,2,0.15111187341527396,NO
40,1,0.16,NO
41,12,0.0,NO
42,1,0.4057485348749576,NO
43,1,0.2244710027636148,NO
44,7,0.01,NO
45,1,0.0,NO
46,8,0.0,NO
47,1,0.3718093586259701,NO
48,2,0.058532834762278635,NO
49,1,0.4057485348749576,NO
50,1,0.2244710027636148,NO
51,18,0.27,NO
52,37,0.22,NO
53,1,0.2244710027636148,NO
54,8,0.0,NO
55,3,0.20891726888404571,NO
56,29,0.04,NO
57,1,0.3718093586259701,NO
58,1,0.4057485348749576,YES
59,11,0.0375,NO
60,1,0.4057485348749576,NO
61,0,0.0,NO
62,0,0.003435506534412273,NO
63,2,0.058532834762278635,NO
64,1,0.4057485348749576,NO
65,1,0.2244710027636148,NO
66,5,0.0,NO
67,1,0.3718093586259701,NO
68,24,0.06,NO
69,27,0.6125,NO
70,16,0.01,NO
71,1,0.4057485348749576,NO
72,1,0.0,NO
73,5,0.01,NO
74,7,0.0,NO
75,23,0.01,NO
76,2,0.058532834762278635,NO
77,5,0.07,NO
78,3,0.0,NO
79,29,0.0525,NO
80,2,0.5433637041383641,NO
81,44,0.1310909090909091,NO
82,9,0.2765595238095238,NO
83,1,0.4057485348749576,NO
84,1,0.4057485348749576,NO
85,1,0.16,NO
86,1,0.0,NO
87,1,0.4057485348749576,NO
