ID,Size,PredictedProbability,ActualValue
0,33,0.18,YES
1,4,0.1636185953351361,YES
2,4,0.0,NO
3,0,0.0,NO
4,15,0.13,NO
5,0,0.004505029402109549,NO
6,0,0.0,NO
7,7,0.0,NO
8,1,0.013241882492229115,NO
9,19,0.03,NO
10,6,0.01,NO
11,6,0.002244897959183673,NO
12,2,0.056487328203977186,NO
13,3,0.0,NO
14,3,0.0,NO
15,2,0.057611510572778364,NO
16,11,0.0,NO
17,17,0.0,NO
18,1,0.031297329605780466,NO
19,1,0.031297329605780466,NO
20,1,0.013241882492229115,NO
21,0,0.0,NO
22,1,0.031297329605780466,YES
23,0,0.0,NO
24,1,0.0,NO
25,1,0.0,NO
26,3,0.026783477605671152,NO
27,1,0.031297329605780466,NO
28,16,0.02,NO
29,2,0.0,NO
30,1,0.0,NO
31,6,0.01,YES
32,1,0.031297329605780466,NO
33,11,0.0,NO
34,0,0.004505029402109549,NO
35,1,0.0,NO
36,0,0.1284766622266622,NO
37,0,0.004505029402109549,NO
38,1,0.031297329605780466,NO
39,5,0.0,NO
40,1,0.031297329605780466,NO
41,14,0.0,NO
42,9,0.23265873015873018,NO
43,12,0.23797619047619045,YES
44,1,0.013241882492229115,NO
45,2,0.009065545828025824,NO
46,1,0.024339632863283837,NO
47,4,0.18068204018204026,NO
48,4,0.042190476190476195,NO
49,1,0.031297329605780466,NO
50,9,0.004265608465608465,NO
51,1,0.031297329605780466,NO
52,1,0.03137715515995006,NO
53,31,0.0,NO
54,4,0.028236033731720424,NO
55,1,0.0,NO
56,1,0.031297329605780466,NO
57,2,0.020212043027925876,NO
58,35,0.16,NO
59,1,0.008115772767731717,NO
60,28,0.55,NO
61,1,0.031297329605780466,NO
62,1,0.031297329605780466,NO
63,1,0.031297329605780466,NO
64,12,0.01,NO
65,16,0.033928571428571426,NO
66,0,0.0,NO
67,5,0.0,NO
68,1,0.031297329605780466,NO
69,0,0.004505029402109549,NO
70,10,0.0,NO
71,1,0.031297329605780466,NO
72,39,0.02,NO
73,2,0.056487328203977186,NO
74,5,0.03,NO
75,0,0.0,NO
76,8,0.0,NO
77,0,0.0029252741593714725,NO
78,16,0.5355952380952381,NO
79,0,0.0029252741593714725,NO
80,2,0.020212043027925876,NO
81,1,0.014341491841491843,NO
82,0,0.0,NO
83,1,0.031297329605780466,NO
84,0,0.0,NO
85,0,0.004505029402109549,NO
86,1,0.008115772767731717,NO
87,6,0.01,NO
88,4,0.0,NO
89,1,0.008115772767731717,NO
90,6,0.04,NO
91,1,0.031297329605780466,NO
92,0,0.0029252741593714725,NO
93,4,5.0E-4,NO
94,11,0.2160357142857143,NO
95,10,0.0014285714285714286,NO
96,1,0.031297329605780466,YES
97,3,0.09074131097660508,NO
98,17,0.3196190476190477,NO
99,17,0.02666666666666666,NO
100,6,0.060525953468153995,NO
101,8,0.0,NO
102,4,0.0,NO
103,3,0.21980443146322085,NO
104,6,0.0,NO
