ID,Size,PredictedProbability,ActualValue
0,25,0.09093143278446793,YES
1,3,0.2916673185537494,NO
2,0,0.003195841758807039,NO
3,0,0.15386215023452485,NO
4,1,0.08858624120066076,NO
5,8,6.007088364269838E-5,NO
6,1,0.08858624120066076,NO
7,1,0.08858624120066076,NO
8,0,0.003195841758807039,NO
9,7,0.07144696189495366,NO
10,0,0.003195841758807039,NO
11,1,0.08858624120066076,NO
12,1,0.08858624120066076,NO
13,3,1.0011012113324657E-4,NO
14,0,0.003195841758807039,NO
15,14,0.45000150190742244,NO
16,1,0.08858624120066076,NO
17,10,0.16326943472103875,NO
18,4,0.2500375431746508,YES
19,2,0.10493973669571667,NO
20,1,0.08858624120066076,NO
21,4,0.5,NO
22,1,0.08858624120066076,NO
23,0,0.15386215023452485,NO
24,1,0.08858624120066076,NO
25,0,0.003195841758807039,NO
26,1,0.08858624120066076,NO
27,10,0.16326943472103875,NO
28,10,0.16326943472103875,NO
29,35,1.5015015015015014E-4,NO
30,1,0.08858624120066076,NO
31,16,0.3846207167448416,NO
32,2,0.10493973669571667,NO
33,1,0.08858624120066076,NO
34,0,6.007088364269838E-5,NO
35,14,0.45000150190742244,NO
36,30,3.002101471029721E-4,NO
37,5,0.16806890267144262,NO
38,7,0.14666949699011123,NO
39,1,0.08858624120066076,NO
40,16,3.002101471029721E-4,NO
41,1,0.08858624120066076,NO
42,1,0.08858624120066076,NO
43,2,0.10493973669571667,NO
44,1,0.08858624120066076,NO
45,4,0.10897586487100588,NO
46,0,0.003195841758807039,NO
47,47,3.002101471029721E-4,NO
48,1,0.08858624120066076,NO
49,1,0.08858624120066076,NO
50,0,0.003195841758807039,NO
51,0,3.002101471029721E-4,NO
52,0,0.003195841758807039,NO
53,2,0.10493973669571667,NO
54,2,0.10493973669571667,NO
55,5,0.16806890267144262,NO
56,0,0.003195841758807039,NO
57,0,0.003195841758807039,NO
58,1,0.08858624120066076,NO
59,25,0.09093143278446793,NO
60,1,0.08858624120066076,NO
61,4,0.10897586487100588,NO
62,4,0.10897586487100588,NO
63,13,0.2000360425301856,NO
64,0,3.002101471029721E-4,NO
65,1,0.08858624120066076,NO
66,58,3.002101471029721E-4,NO
67,9,0.3333667033737111,NO
68,6,0.2021295633500358,NO
69,14,0.999699789852897,YES
70,4,0.10897586487100588,NO
71,0,0.15386215023452485,NO
72,1,0.08858624120066076,NO
73,1,0.08858624120066076,NO
74,2,0.10493973669571667,NO
75,1,0.08858624120066076,NO
76,6,0.2021295633500358,NO
77,1,0.08858624120066076,NO
78,1,0.08858624120066076,NO
79,1,0.08858624120066076,NO
80,1,0.08858624120066076,NO
81,12,3.002101471029721E-4,NO
82,4,0.2500375431746508,NO
83,21,1.5015015015015014E-4,NO
84,1,0.08858624120066076,NO
85,0,0.009203358470259552,NO
86,0,0.003195841758807039,NO
87,1,0.08858624120066076,NO
88,7,0.14666949699011123,NO
89,8,0.5,NO
90,2,0.10493973669571667,NO
91,3,0.2916673185537494,NO
92,3,0.2916673185537494,NO
