ID,Size,PredictedProbability,ActualValue
0,26,0.9999852163460103,YES
1,2,0.3333341546676813,NO
2,0,7.581573691405814E-7,NO
3,3,0.7780977457393415,NO
4,1,0.3225806653071009,NO
5,0,8.21324903596246E-6,NO
6,8,1.4779721020731962E-4,NO
7,1,0.3225806653071009,NO
8,0,4.45303552673493E-7,NO
9,7,2.956643377974941E-5,NO
10,0,1.4783653989801415E-5,NO
11,1,0.3225806653071009,NO
12,1,0.42553238337703364,NO
13,3,7.390952872581323E-5,NO
14,0,7.581573691405814E-7,NO
15,14,1.4779721020731962E-4,NO
16,1,0.16883129600073718,NO
17,1,3.3599981287590123E-6,NO
18,10,7.390952872581323E-5,NO
19,13,1.4779721020731962E-4,NO
20,4,4.927544710059079E-5,NO
21,2,4.927544710059079E-5,NO
22,1,0.3225806653071009,NO
23,0,7.581573691405814E-7,NO
24,5,7.390952872581323E-5,NO
25,0,0.12738923677853145,NO
26,1,3.3599981287590123E-6,NO
27,1,0.3225806653071009,NO
28,7,4.927544710059079E-5,NO
29,10,3.695749587400955E-5,NO
30,16,7.390952872581323E-5,NO
31,35,7.390952872581323E-5,NO
32,1,0.16883129600073718,NO
33,2,5.475529338565681E-6,NO
34,1,0.3225806653071009,NO
35,0,1.0559842057315962E-5,NO
36,11,7.390952872581323E-5,NO
37,3,0.44117672636724625,NO
38,1,0.3225806653071009,NO
39,15,0.9999852163460103,NO
40,5,1.4779721020731962E-4,NO
41,30,7.390952872581323E-5,NO
42,7,6.4277830685719654E-6,NO
43,1,0.3225806653071009,NO
44,4,7.390952872581323E-5,NO
45,1,3.3599981287590123E-6,NO
46,1,0.16883129600073718,NO
47,2,2.688002115680042E-6,NO
48,4,7.39193627472891E-6,NO
49,1,0.16883129600073718,NO
50,0,0.044445043108087945,NO
51,47,7.390952872581323E-5,NO
52,1,0.29850761088964295,NO
53,1,0.16883129600073718,NO
54,1,0.16883129600073718,NO
55,1,0.3225806653071009,NO
56,0,4.45303552673493E-7,NO
57,0,2.2744652098115125E-6,NO
58,0,0.044445043108087945,NO
59,5,1.0559842057315962E-5,NO
60,2,3.695749587400955E-5,NO
61,2,1.6426228246518292E-5,NO
62,0,2.5057655973970876E-6,NO
63,0,7.581573691405814E-7,NO
64,1,0.16883129600073718,NO
65,2,0.47058833760581154,NO
66,25,1.4779721020731962E-4,NO
67,1,0.3225806653071009,NO
68,4,1.1372119125143063E-5,NO
69,4,1.4779721020731962E-4,NO
70,0,7.390952872581323E-5,NO
71,13,7.390952872581323E-5,NO
72,1,0.3225806653071009,NO
73,58,1.4779721020731962E-4,NO
74,9,1.4783653989801415E-5,NO
75,6,3.695749587400955E-5,NO
76,14,1.4779721020731962E-4,NO
77,4,1.2319772368585156E-5,NO
78,0,1.4779721020731962E-4,NO
79,1,1.0559842057315962E-5,NO
80,2,2.688002115680042E-6,NO
81,1,0.45454606545009996,NO
82,1,0.16883129600073718,NO
83,1,0.0854711330653913,NO
84,1,0.3225806653071009,NO
85,6,7.390952872581323E-5,NO
86,6,0.5000000000000002,NO
87,1,0.16883129600073718,NO
88,1,0.3225806653071009,NO
89,12,1.4779721020731962E-4,NO
90,19,7.390952872581323E-5,NO
91,4,9.239886193086174E-6,NO
92,0,3.3599981287590123E-6,NO
93,1,0.3225806653071009,NO
94,0,4.45303552673493E-7,NO
95,1,0.29850761088964295,NO
96,1,0.29850761088964295,NO
97,3,2.956643377974941E-5,NO
98,9,1.4779721020731962E-4,NO
99,3,0.8016873873271034,NO
100,1,0.3225806653071009,NO
101,1,0.45454606545009996,NO
102,1,4.927544710059079E-5,NO
103,0,0.044445043108087945,NO
104,1,0.3225806653071009,NO
105,4,2.174121592757822E-6,NO
106,2,0.17094100253644456,NO
107,3,5.475529338565681E-6,NO
108,42,7.390952872581323E-5,NO
109,9,3.695749587400955E-5,NO
110,1,0.29850761088964295,NO
111,1,0.16883129600073718,NO
112,1,0.16883129600073718,NO
113,1,0.3225806653071009,NO
114,4,0.6249988450035537,NO
115,1,0.3225806653071009,NO
116,0,7.581573691405814E-7,NO
117,4,4.223990348531502E-6,NO
118,6,2.956643377974941E-5,NO
119,0,1.4783653989801415E-5,NO
120,1,0.29850761088964295,NO
121,1,0.3225806653071009,NO
122,1,7.390952872581323E-5,NO
123,0,2.5057655973970876E-6,NO
124,4,1.2319772368585156E-5,NO
125,1,0.3225806653071009,NO
126,0,2.5057655973970876E-6,NO
127,0,4.45303552673493E-7,NO
128,4,2.174121592757822E-6,NO
129,3,7.390952872581323E-5,NO
130,1,0.3225806653071009,NO
131,1,0.29850761088964295,NO
132,0,2.2744652098115125E-6,NO
133,8,7.039944265343667E-6,NO
134,3,0.8016873873271034,NO
135,1,0.16883129600073718,NO
136,0,4.45303552673493E-7,NO
137,0,4.45303552673493E-7,NO
138,1,0.29850761088964295,NO
139,7,2.1119238082994866E-5,NO
140,0,2.025209758055542E-6,NO
141,2,2.688002115680042E-6,NO
142,0,4.45303552673493E-7,NO
143,7,1.0559842057315962E-5,NO
144,3,2.1119238082994866E-5,NO
145,1,0.3225806653071009,NO
146,11,7.390952872581323E-5,NO
147,6,1.847943089049566E-5,NO
148,1,0.0854711330653913,NO
149,10,7.390952872581323E-5,NO
150,6,6.719951099471791E-6,NO
151,0,1.1285540264340082E-6,NO
152,3,0.39215748798177386,NO
153,1,0.16883129600073718,NO
154,0,3.3599981287590123E-6,NO
155,3,0.8016873873271034,NO
156,1,0.16883129600073718,NO
157,13,7.390952872581323E-5,NO
158,15,4.927544710059079E-5,NO
159,1,0.29850761088964295,NO
160,1,0.3225806653071009,NO
161,1,0.29850761088964295,NO
162,10,7.390952872581323E-5,NO
163,9,0.7692246457820096,NO
164,1,1.0559842057315962E-5,NO
165,0,4.45303552673493E-7,NO
166,4,4.927544710059079E-5,NO
167,29,1.4779721020731962E-4,NO
168,0,0.044445043108087945,NO
169,13,1.4779721020731962E-4,NO
170,0,1.1285540264340082E-6,NO
171,1,0.3225806653071009,NO
172,8,7.390952872581323E-5,NO
173,2,2.4638937644963934E-5,NO
174,1,0.3225806653071009,NO
175,18,1.4779721020731962E-4,NO
176,2,0.3333341546676813,NO
177,3,0.44117672636724625,NO
178,4,1.6426228246518292E-5,NO
179,5,5.6861242258535904E-6,NO
180,2,3.695749587400955E-5,NO
181,6,7.390952872581323E-5,NO
182,1,0.3225806653071009,NO
183,4,0.7462675698978531,NO
184,9,7.390952872581323E-5,NO
185,0,4.45303552673493E-7,NO
186,1,0.3225806653071009,NO
187,0,0.044445043108087945,NO
188,1,0.16883129600073718,NO
189,1,5.2799767843788905E-6,NO
190,1,2.1119238082994866E-5,NO
191,0,4.45303552673493E-7,NO
192,7,4.927544710059079E-5,NO
193,0,0.12738923677853145,NO
194,3,0.44117672636724625,NO
195,1,0.29850761088964295,NO
196,0,6.4277830685719654E-6,NO
197,7,7.390952872581323E-5,NO
198,3,0.272727883638487,NO
199,0,1.1285540264340082E-6,NO
200,8,1.4779721020731962E-4,NO
201,0,1.1285540264340082E-6,NO
202,2,2.688002115680042E-6,NO
203,2,4.927544710059079E-5,NO
204,20,7.390952872581323E-5,NO
205,14,1.4779721020731962E-4,NO
206,15,1.847943089049566E-5,NO
207,6,0.454545658182161,NO
208,17,7.390952872581323E-5,NO
209,13,1.4779721020731962E-4,NO
210,1,0.3225806653071009,NO
211,4,2.1119238082994866E-5,NO
212,1,3.3599981287590123E-6,NO
213,0,0.044445043108087945,NO
214,1,0.16883129600073718,NO
215,1,0.3225806653071009,NO
216,0,9.855866463680657E-6,NO
217,1,0.3225806653071009,NO
218,4,0.2272745599989792,NO
219,0,0.044445043108087945,NO
220,9,6.4277830685719654E-6,NO
221,21,7.390952872581323E-5,NO
222,11,7.390952872581323E-5,NO
223,24,0.9090799129550788,YES
224,6,1.847943089049566E-5,NO
225,1,0.3225806653071009,NO
226,1,0.16883129600073718,NO
227,6,0.6849311323234639,NO
228,0,0.044445043108087945,NO
229,7,4.106658246988116E-6,NO
230,1,0.42553238337703364,NO
231,10,3.695749587400955E-5,NO
232,7,1.0559842057315962E-5,NO
233,7,4.106658246988116E-6,NO
234,7,4.106658246988116E-6,NO
235,1,0.0854711330653913,NO
236,7,4.106658246988116E-6,NO
237,1,0.3225806653071009,NO
238,8,4.927544710059079E-5,NO
239,1,0.3225806653071009,NO
240,0,3.3599981287590123E-6,NO
241,0,0.4761908114259176,NO
242,2,1.6426228246518292E-5,NO
243,12,7.390952872581323E-5,NO
244,6,7.390952872581323E-5,NO
245,2,0.17094100253644456,NO
246,3,1.4779721020731962E-4,NO
247,17,7.390952872581323E-5,NO
248,28,7.390952872581323E-5,YES
249,3,2.956643377974941E-5,NO
250,0,0.044445043108087945,NO
251,13,0.7692246457820096,NO
252,0,7.581573691405814E-7,NO
253,1,0.3225806653071009,NO
254,11,7.390952872581323E-5,NO
255,7,1.4783653989801415E-5,NO
256,0,7.581573691405814E-7,NO
257,1,0.3225806653071009,NO
258,1,7.390952872581323E-5,NO
259,8,4.927544710059079E-5,NO
260,15,7.390952872581323E-5,NO
261,1,0.3225806653071009,NO
262,2,1.6426228246518292E-5,NO
263,1,0.16883129600073718,NO
264,1,0.29850761088964295,NO
265,1,0.29850761088964295,NO
266,1,0.16883129600073718,NO
267,31,0.9999852163460103,NO
268,0,0.12738923677853145,NO
269,1,0.3225806653071009,NO
270,1,0.3225806653071009,NO
271,1,0.29850761088964295,NO
272,1,0.3225806653071009,NO
273,1,0.3225806653071009,NO
274,0,4.45303552673493E-7,NO
275,5,1.4779721020731962E-4,NO
276,2,0.3333341546676813,NO
277,0,0.12738923677853145,NO
278,1,0.3225806653071009,NO
279,0,3.695749587400955E-5,NO
280,0,1.6426228246518292E-5,NO
281,0,4.45303552673493E-7,NO
282,14,7.390952872581323E-5,NO
283,1,0.3225806653071009,NO
284,3,0.8016873873271034,NO
285,1,7.390952872581323E-5,NO
286,1,0.3225806653071009,NO
287,0,4.45303552673493E-7,NO
288,3,8.696372929198301E-6,NO
289,10,3.695749587400955E-5,NO
290,1,0.3225806653071009,NO
291,1,0.16883129600073718,NO
292,32,1.4779721020731962E-4,NO
293,1,0.3225806653071009,NO
294,5,5.6861242258535904E-6,NO
295,1,0.3225806653071009,NO
296,13,0.8333251201517543,NO
297,34,1.4779721020731962E-4,NO
298,0,7.581573691405814E-7,NO
299,0,4.45303552673493E-7,NO
300,80,1.4779721020731962E-4,NO
301,1,0.16883129600073718,NO
302,5,1.0559842057315962E-5,NO
303,2,0.4166668377784809,NO
304,5,7.390952872581323E-5,NO
305,10,1.4779721020731962E-4,NO
306,4,0.2272745599989792,NO
307,1,0.29850761088964295,NO
308,5,4.927544710059079E-5,NO
309,3,7.390952872581323E-5,NO
310,1,0.3225806653071009,NO
311,0,2.1119238082994866E-5,NO
312,1,3.605849877353744E-6,NO
313,8,1.2319772368585156E-5,NO
314,10,3.695749587400955E-5,NO
315,0,0.12738923677853145,NO
316,1,0.16883129600073718,NO
317,0,2.025209758055542E-6,NO
318,1,0.3225806653071009,NO
319,1,0.3225806653071009,NO
320,6,0.6849311323234639,NO
321,2,0.4166668377784809,NO
322,1,0.16883129600073718,NO
323,0,3.3599981287590123E-6,NO
324,0,1.1285540264340082E-6,NO
325,0,8.21324903596246E-6,NO
326,4,0.2272745599989792,NO
327,2,0.47058833760581154,NO
328,10,1.2319772368585156E-5,NO
329,6,7.390952872581323E-5,NO
330,1,0.0854711330653913,NO
331,0,8.21324903596246E-6,NO
332,1,0.3225806653071009,NO
333,3,1.3439721570400088E-5,NO
334,6,7.390952872581323E-5,NO
335,5,7.390952872581323E-5,NO
336,5,1.4779721020731962E-4,NO
337,1,0.16883129600073718,NO
338,0,3.3599981287590123E-6,NO
339,1,3.3599981287590123E-6,NO
340,33,7.390952872581323E-5,NO
341,4,2.174121592757822E-6,NO
342,13,0.9090799129550788,NO
343,1,0.3225806653071009,NO
344,0,0.044445043108087945,NO
345,2,0.17094100253644456,NO
346,4,0.6249988450035537,NO
347,0,2.025209758055542E-6,NO
348,2,5.475529338565681E-6,NO
349,12,4.927544710059079E-5,NO
350,1,0.29850761088964295,NO
351,7,1.6426228246518292E-5,NO
352,5,1.3439721570400088E-5,NO
353,4,2.174121592757822E-6,NO
354,12,1.4779721020731962E-4,NO
355,0,8.21324903596246E-6,NO
356,6,6.719951099471791E-6,NO
357,0,4.45303552673493E-7,NO
358,1,0.3225806653071009,NO
359,3,0.272727883638487,NO
360,0,4.45303552673493E-7,NO
361,4,0.5172412914148885,NO
362,4,2.174121592757822E-6,NO
363,16,7.390952872581323E-5,NO
364,1,5.475529338565681E-6,NO
365,11,4.927544710059079E-5,NO
366,8,1.4779721020731962E-4,NO
367,1,0.3225806653071009,NO
368,9,6.4277830685719654E-6,NO
369,8,1.2319772368585156E-5,NO
370,6,0.6849311323234639,NO
371,1,0.3225806653071009,NO
372,5,7.390952872581323E-5,NO
373,5,1.0559842057315962E-5,NO
374,2,2.956643377974941E-5,NO
375,0,0.044445043108087945,NO
376,7,2.956643377974941E-5,NO
377,0,8.21324903596246E-6,NO
378,2,7.390952872581323E-5,NO
379,1,0.3225806653071009,NO
380,9,1.4779721020731962E-4,NO
381,1,0.3225806653071009,NO
382,4,7.390952872581323E-5,NO
383,0,1.1285540264340082E-6,NO
384,2,0.15625158812745066,NO
385,16,7.390952872581323E-5,NO
386,4,9.239886193086174E-6,NO
387,0,0.044445043108087945,NO
388,0,2.1119238082994866E-5,NO
389,1,0.16883129600073718,NO
390,1,0.16883129600073718,NO
391,0,4.45303552673493E-7,NO
392,8,0.9090799129550788,YES
393,1,0.16883129600073718,NO
394,3,0.272727883638487,NO
395,1,0.16883129600073718,NO
396,0,4.45303552673493E-7,NO
397,13,7.390952872581323E-5,NO
398,0,6.4277830685719654E-6,NO
399,4,1.4779721020731962E-4,NO
400,0,4.45303552673493E-7,NO
401,5,1.3439721570400088E-5,NO
402,10,1.2319772368585156E-5,NO
403,9,3.695749587400955E-5,NO
404,4,9.239886193086174E-6,NO
405,1,1.4779721020731962E-4,NO
406,6,0.454545658182161,NO
407,9,1.4779721020731962E-4,NO
408,1,0.16883129600073718,NO
409,6,0.454545658182161,NO
410,1,0.3225806653071009,NO
411,0,4.45303552673493E-7,NO
412,1,0.0854711330653913,NO
413,1,0.3225806653071009,NO
414,21,7.390952872581323E-5,NO
415,0,0.044445043108087945,NO
416,10,7.390952872581323E-5,NO
417,4,1.2319772368585156E-5,NO
418,6,0.7142811886391184,NO
419,7,6.159962073623128E-6,NO
420,0,1.1285540264340082E-6,NO
421,18,1.4779721020731962E-4,NO
422,1,0.3225806653071009,NO
423,6,0.6849311323234639,NO
424,3,8.696372929198301E-6,NO
425,0,0.044445043108087945,NO
426,1,0.3225806653071009,NO
427,0,6.4277830685719654E-6,NO
428,1,0.0854711330653913,NO
429,1,0.3225806653071009,NO
430,9,7.390952872581323E-5,NO
431,46,7.390952872581323E-5,NO
432,24,7.390952872581323E-5,NO
433,28,7.390952872581323E-5,NO
434,1,0.3225806653071009,NO
435,34,7.390952872581323E-5,NO
436,0,7.390952872581323E-5,NO
437,17,1.4779721020731962E-4,NO
438,1,0.0854711330653913,NO
439,1,0.3225806653071009,NO
440,8,7.390952872581323E-5,NO
441,1,3.3599981287590123E-6,NO
442,1,0.3225806653071009,NO
443,1,7.390952872581323E-5,NO
444,4,9.239886193086174E-6,NO
445,9,7.390952872581323E-5,NO
446,1,0.29850761088964295,NO
447,4,0.2272745599989792,NO
448,0,0.044445043108087945,NO
449,4,9.239886193086174E-6,NO
450,1,0.3225806653071009,NO
451,1,0.3225806653071009,NO
452,11,7.390952872581323E-5,NO
453,10,1.2319772368585156E-5,NO
