ID,Size,PredictedProbability,ActualValue
0,26,0.9999494336569579,YES
1,2,0.14893692569239708,NO
2,0,2.593406730201674E-7,NO
3,3,0.8405796388256367,NO
4,1,0.4189723347152089,NO
5,0,2.809509628189496E-6,NO
6,8,5.056634304207119E-5,NO
7,1,0.4189723347152089,NO
8,0,1.5232362067153392E-7,NO
9,7,1.0114086900234647E-5,NO
10,0,5.0570945980115505E-6,NO
11,1,0.4189723347152089,NO
12,1,0.20588322787728425,NO
13,3,2.5284450063211126E-5,NO
14,0,2.593406730201674E-7,NO
15,14,5.056634304207119E-5,NO
16,1,0.23444979289296894,NO
17,1,1.1493486641120477E-6,NO
18,10,2.5284450063211126E-5,NO
19,13,5.056634304207119E-5,NO
20,4,1.6856584181781405E-5,NO
21,2,1.6856584181781405E-5,NO
22,1,0.4189723347152089,NO
23,0,2.593406730201674E-7,NO
24,5,0.9999494336569579,NO
25,0,0.08053719748785607,NO
26,1,1.1493486641120477E-6,NO
27,1,0.4189723347152089,NO
28,7,1.6856584181781405E-5,NO
29,10,1.2642544691395483E-5,NO
30,16,2.5284450063211126E-5,NO
31,35,2.5284450063211126E-5,NO
32,1,0.23444979289296894,NO
33,2,1.873009926952613E-6,NO
34,1,0.4189723347152089,NO
35,0,3.6122208656326084E-6,NO
36,11,2.5284450063211126E-5,NO
37,3,0.3870969583764957,NO
38,1,0.4189723347152089,NO
39,15,0.9999494336569579,NO
40,5,5.056634304207119E-5,NO
41,30,2.5284450063211126E-5,NO
42,7,2.1987493513689415E-6,NO
43,1,0.4189723347152089,NO
44,4,2.5284450063211126E-5,NO
45,1,1.1493486641120477E-6,NO
46,1,0.23444979289296894,NO
47,2,9.194793540105851E-7,NO
48,4,2.528560086173328E-6,NO
49,1,0.23444979289296894,NO
50,0,0.004629861588795243,NO
51,47,2.5284450063211126E-5,NO
52,1,0.3896104137773258,NO
53,1,0.23444979289296894,NO
54,1,0.23444979289296894,NO
55,1,0.4189723347152089,NO
56,0,1.5232362067153392E-7,NO
57,0,7.780212119703231E-7,NO
58,0,0.004629861588795243,NO
59,5,3.6122208656326084E-6,NO
60,2,1.2642544691395483E-5,NO
61,2,5.618987683178999E-6,NO
62,0,8.571418775521399E-7,NO
63,0,2.593406730201674E-7,NO
64,1,0.23444979289296894,NO
65,2,0.4886363766971589,NO
