ID,Size,PredictedProbability,ActualValue
0,26,1.523229246001523E-4,YES
1,3,0.3176477125858419,NO
2,2,0.06897004660351287,NO
3,0,1.1811549096475552E-6,NO
4,0,3.808943399101089E-5,NO
5,1,0.06340299602568022,NO
6,8,0.9998476770753999,NO
7,1,0.06340299602568022,NO
8,0,7.58055284971933E-7,NO
9,7,3.808943399101089E-5,NO
10,0,2.5393600812595224E-5,NO
11,1,0.06340299602568022,NO
12,1,0.06340299602568022,YES
13,3,1.523229246001523E-4,NO
14,0,1.1811549096475552E-6,NO
15,14,1.523229246001523E-4,NO
16,1,0.031325645357125946,NO
17,1,3.808943399101089E-5,NO
18,10,1.523229246001523E-4,NO
19,13,1.523229246001523E-4,NO
20,4,1.523229246001523E-4,NO
21,2,3.808943399101089E-5,NO
22,1,0.06340299602568022,NO
23,0,1.1811549096475552E-6,NO
24,4,1.523229246001523E-4,NO
25,1,0.06340299602568022,NO
26,0,0.02777977644125975,NO
27,1,3.808943399101089E-5,NO
28,1,0.06340299602568022,NO
29,10,1.523229246001523E-4,NO
30,10,5.078462241633233E-5,NO
31,35,1.523229246001523E-4,NO
32,16,1.523229246001523E-4,NO
33,1,0.031325645357125946,NO
34,2,8.019310499683237E-6,NO
35,0,1.523229246001523E-4,NO
36,14,5.078462241633233E-5,YES
37,5,1.523229246001523E-4,NO
38,30,1.523229246001523E-4,NO
39,7,1.2697122831966275E-5,NO
40,1,0.06340299602568022,NO
41,16,1.523229246001523E-4,NO
42,1,0.031325645357125946,NO
43,2,4.353371904208403E-6,NO
44,1,3.808943399101089E-5,NO
45,1,0.031325645357125946,NO
46,4,1.0157749855252064E-5,NO
47,0,0.00740851934578395,NO
48,47,1.523229246001523E-4,NO
49,1,0.06521811138511785,NO
50,1,0.031325645357125946,NO
51,1,0.06340299602568022,NO
52,1,0.031325645357125946,NO
53,1,0.06340299602568022,NO
54,0,3.8092045619033825E-6,NO
55,0,7.58055284971933E-7,NO
56,0,0.00740851934578395,NO
57,5,1.6929353806565202E-5,NO
58,2,3.808943399101089E-5,NO
59,2,5.078462241633233E-5,NO
60,0,3.716297824107623E-6,NO
61,0,1.1811549096475552E-6,NO
62,1,0.031325645357125946,NO
63,25,1.523229246001523E-4,NO
64,1,0.06340299602568022,NO
65,4,1.6929353806565202E-5,NO
66,4,1.523229246001523E-4,NO
67,13,1.523229246001523E-4,NO
68,0,1.523229246001523E-4,NO
69,1,0.06340299602568022,NO
70,58,1.523229246001523E-4,NO
71,9,1.523229246001523E-4,NO
72,6,5.078462241633233E-5,NO
73,14,1.523229246001523E-4,NO
74,4,1.6929353806565202E-5,NO
75,0,5.078462241633233E-5,NO
76,2,4.353371904208403E-6,NO
77,1,1.6929353806565202E-5,NO
78,1,0.1428726900724811,NO
79,1,0.031325645357125946,NO
80,1,0.06340299602568022,NO
81,1,0.06340299602568022,NO
82,1,0.013335310740776105,NO
83,6,0.12501428408181922,NO
84,1,0.031325645357125946,NO
85,12,1.523229246001523E-4,NO
86,4,1.523229246001523E-4,NO
87,21,1.523229246001523E-4,NO
88,1,0.06340299602568022,NO
89,0,1.523229246001523E-4,NO
90,2,3.808943399101089E-5,NO
91,0,7.58055284971933E-7,NO
92,1,0.06521811138511785,NO
93,1,0.06521811138511785,NO
94,3,5.078462241633233E-5,NO
95,8,1.523229246001523E-4,NO
96,3,0.38000073136839024,NO
97,1,0.06340299602568022,NO
98,1,0.1428726900724811,NO
99,0,0.00740851934578395,NO
100,1,0.06340299602568022,NO
101,1,1.523229246001523E-4,NO
102,4,4.6172101892594445E-6,NO
103,2,0.033335703511079735,NO
104,3,2.5393600812595224E-5,NO
105,42,1.523229246001523E-4,NO
106,9,5.078462241633233E-5,NO
107,1,0.06521811138511785,NO
108,1,0.031325645357125946,NO
109,1,0.031325645357125946,NO
110,4,0.2000091418820088,NO
111,1,0.06340299602568022,NO
112,1,0.06340299602568022,NO
113,0,1.1811549096475552E-6,NO
114,4,8.464820207218798E-6,NO
115,6,5.078462241633233E-5,NO
116,1,0.06521811138511785,NO
117,0,2.5393600812595224E-5,NO
118,1,1.523229246001523E-4,NO
119,0,3.716297824107623E-6,NO
120,4,1.523229246001523E-4,NO
121,1,0.06521811138511785,NO
122,1,0.06340299602568022,NO
123,0,3.716297824107623E-6,NO
124,0,7.58055284971933E-7,NO
125,1,0.06340299602568022,NO
126,4,4.6172101892594445E-6,NO
127,3,1.523229246001523E-4,NO
128,0,3.8092045619033825E-6,NO
129,8,1.523229246001523E-4,NO
130,1,0.031325645357125946,NO
131,3,0.38000073136839024,NO
132,0,7.58055284971933E-7,NO
133,1,0.06521811138511785,NO
134,0,7.58055284971933E-7,NO
135,0,3.047368292742387E-6,NO
136,0,7.58055284971933E-7,NO
137,7,3.0472011457476304E-5,NO
138,7,1.523229246001523E-4,NO
139,3,3.0472011457476304E-5,NO
140,1,0.06340299602568022,NO
141,11,1.523229246001523E-4,NO
142,6,3.0472011457476304E-5,NO
143,1,0.013335310740776105,NO
144,10,1.523229246001523E-4,NO
145,6,1.523229246001523E-4,NO
146,3,0.08696199428953767,NO
147,0,1.8139141728369978E-6,NO
148,1,0.031325645357125946,NO
149,0,1.523229246001523E-4,NO
