ID,Size,PredictedProbability,ActualValue
0,26,0.8814204980816326,YES
1,3,0.004390201845589622,NO
2,2,0.00451131915283284,NO
3,0,0.004199972775573764,NO
4,0,0.004223308931058124,NO
5,1,0.004100563916971821,NO
6,8,0.03722116758747699,NO
7,1,0.004100563916971821,NO
8,0,0.004199972775573764,NO
9,7,0.015681815718753808,NO
10,0,0.004199972775573764,NO
11,1,0.004100563916971821,NO
12,1,0.004100563916971821,YES
13,3,0.004925973643722995,NO
14,0,0.004199972775573764,NO
15,14,0.06662952029291237,NO
16,1,0.004100563916971821,NO
17,1,0.004100563916971821,NO
18,10,0.013383525905781804,NO
19,13,0.06592175064153583,NO
20,4,0.012971161246953175,NO
21,2,0.004175668872709332,NO
22,1,0.004100563916971821,NO
23,0,0.004199972775573764,NO
24,4,0.010996362824913855,NO
25,1,0.004100563916971821,NO
26,0,0.004223308931058124,NO
27,1,0.004100563916971821,NO
28,1,0.004100563916971821,NO
29,10,0.013383525905781804,NO
30,10,0.03481927561259873,NO
31,35,0.9999969743976406,NO
32,16,0.2672717470076225,NO
33,1,0.004100563916971821,NO
34,2,0.00451131915283284,NO
35,0,0.004300652346947898,NO
36,14,0.07780925033455688,YES
37,5,0.006021604371772659,NO
38,30,0.999985376907048,NO
39,7,0.0069721572717054,NO
40,1,0.004100563916971821,NO
41,16,0.10414242725294395,NO
42,1,0.004100563916971821,NO
43,2,0.004931670664218045,NO
44,1,0.004100563916971821,NO
45,1,0.004100563916971821,NO
46,4,0.0049739238996038505,NO
47,0,0.004199972775573764,NO
48,47,0.9999999999935721,NO
49,1,0.004100563916971821,NO
50,1,0.004100563916971821,NO
51,1,0.004100563916971821,NO
52,1,0.004100563916971821,NO
53,1,0.004100563916971821,NO
54,0,0.004712023199529213,NO
55,0,0.004199972775573764,NO
56,0,0.004199972775573764,NO
57,5,0.00749781288644218,NO
58,2,0.004175668872709332,NO
59,2,0.004931670664218045,NO
60,0,0.004199972775573764,NO
61,0,0.004199972775573764,NO
62,1,0.004100563916971821,NO
63,25,0.9935203236548861,NO
64,1,0.004100563916971821,NO
65,4,0.0049739238996038505,NO
66,4,0.005873596746995819,NO
67,13,0.02573427991289841,NO
68,0,0.021750024208150982,NO
69,1,0.004100563916971821,NO
70,58,0.999999174028224,NO
71,9,0.008706158340264046,NO
72,6,0.008061772286050258,NO
73,14,0.9983694392021868,NO
74,4,0.0049739238996038505,NO
75,0,0.004223308931058124,NO
76,2,0.004931670664218045,NO
77,1,0.01004051208262707,NO
78,1,0.009636004519895445,NO
79,1,0.004100563916971821,NO
80,1,0.004100563916971821,NO
81,1,0.004100563916971821,NO
82,1,0.004100563916971821,NO
83,6,0.009514627918915079,NO
84,1,0.004100563916971821,NO
85,12,0.050883289884102054,NO
86,4,0.004202032956349373,NO
87,21,0.9971752093262757,NO
88,1,0.004100563916971821,NO
89,0,0.004209614655316865,NO
90,2,0.004175668872709332,NO
91,0,0.004199972775573764,NO
92,1,0.004100563916971821,NO
93,1,0.004100563916971821,NO
94,3,0.0051848424456307635,NO
95,8,0.01681667838401233,NO
96,3,0.004390201845589622,NO
97,1,0.004100563916971821,NO
98,1,0.009636004519895445,NO
99,0,0.004199972775573764,NO
100,1,0.004100563916971821,NO
101,1,0.010022092938065691,NO
102,4,0.004604014174085527,NO
103,2,0.004175668872709332,NO
104,3,0.004390201845589622,NO
105,42,0.9999999971606,NO
106,9,0.015401090583468247,NO
107,1,0.004100563916971821,NO
108,1,0.004100563916971821,NO
109,1,0.004100563916971821,NO
110,4,0.005873596746995819,NO
111,1,0.004100563916971821,NO
112,1,0.004100563916971821,NO
113,0,0.004199972775573764,NO
114,4,0.004604014174085527,NO
115,6,0.006994450959052391,NO
116,1,0.004100563916971821,NO
117,0,0.004199972775573764,NO
118,1,0.004477842225238591,NO
119,0,0.004199972775573764,NO
120,4,0.0049739238996038505,NO
121,1,0.004100563916971821,NO
122,1,0.004100563916971821,NO
123,0,0.004199972775573764,NO
124,0,0.004199972775573764,NO
125,1,0.004100563916971821,NO
126,4,0.004604014174085527,NO
127,3,0.01208600180490637,NO
128,0,0.004712023199529213,NO
129,8,0.008076578879593956,NO
130,1,0.004100563916971821,NO
131,3,0.004390201845589622,NO
132,0,0.004199972775573764,NO
133,1,0.004100563916971821,NO
134,0,0.004199972775573764,NO
135,0,0.004199972775573764,NO
136,0,0.004199972775573764,NO
137,7,0.011190717114912329,NO
138,7,0.005424676588452798,NO
139,3,0.005601156248375823,NO
140,1,0.004100563916971821,NO
141,11,0.029508053131867752,NO
142,6,0.006994450959052391,NO
143,1,0.004100563916971821,NO
144,10,0.01816364803504309,NO
145,6,0.005483931324706568,NO
146,3,0.0051848424456307635,NO
147,0,0.004199972775573764,NO
148,1,0.004100563916971821,NO
149,0,0.004209614655316865,NO
150,3,0.004390201845589622,NO
151,1,0.004100563916971821,NO
152,15,0.039088487227096895,NO
153,1,0.004100563916971821,NO
154,1,0.004100563916971821,NO
155,1,0.004100563916971821,NO
156,10,0.06319415174781227,NO
157,1,0.01004051208262707,NO
158,0,0.004199972775573764,NO
159,9,0.015401090583468247,NO
160,13,0.03250449962853292,NO
161,29,0.9999806000229465,NO
162,0,0.004199972775573764,NO
163,0,0.004199972775573764,NO
164,1,0.004100563916971821,NO
165,8,0.009562866295242813,NO
166,2,0.010877495482749534,NO
167,1,0.004100563916971821,NO
168,18,0.5918228184466183,NO
169,3,0.004743014665957737,NO
170,4,0.004604014174085527,NO
171,2,0.00451131915283284,NO
172,4,0.012971161246953175,NO
173,5,0.006504666160950963,NO
174,2,0.011883947381298197,NO
175,6,0.004946729012066225,NO
176,1,0.004100563916971821,NO
177,4,0.0049739238996038505,NO
178,0,0.004199972775573764,NO
179,9,0.015401090583468247,NO
180,1,0.004100563916971821,NO
181,0,0.004199972775573764,NO
182,1,0.009636004519895445,NO
183,1,0.004100563916971821,NO
184,9,0.013061242269664118,NO
185,0,0.004199972775573764,NO
186,3,0.004743014665957737,NO
187,1,0.004100563916971821,NO
188,0,0.005860495208340932,NO
189,7,0.011190717114912329,NO
190,3,0.004743014665957737,NO
191,0,0.004199972775573764,NO
192,0,0.004199972775573764,NO
193,8,0.008590622657684385,NO
194,2,0.004931670664218045,NO
195,2,0.02649558001447052,NO
196,18,0.02028524879586251,NO
197,14,0.9968711495607434,NO
198,15,0.13670681293297546,NO
199,6,0.008061772286050258,NO
200,1,0.004100563916971821,NO
201,17,0.21317712463045438,NO
202,4,0.004202032956349373,NO
203,13,0.045348573135754536,NO
204,0,0.004199972775573764,NO
205,1,0.004100563916971821,NO
206,0,0.004712023199529213,NO
207,1,0.004100563916971821,NO
208,0,0.004223308931058124,NO
209,4,0.005873596746995819,NO
210,0,0.004199972775573764,NO
