ID,Size,PredictedProbability,ActualValue
0,25,0.9998892554842592,YES
1,3,0.04485193903187079,NO
2,0,0.03490896883812741,NO
3,0,0.03954420626165282,NO
4,1,0.039709160409312744,NO
5,8,0.7589122441392702,NO
6,1,0.03818667518835511,NO
7,1,0.039709160409312744,NO
8,0,0.039027348646458196,NO
9,7,0.3926317474784842,NO
10,0,0.018558335106024296,NO
11,1,0.039709160409312744,NO
12,1,0.039709160409312744,NO
13,3,0.08845765094651455,NO
14,0,0.03490896883812741,NO
15,14,0.8103007441210475,NO
16,1,0.039709160409312744,NO
17,10,0.21687227496124936,NO
18,4,0.12039330028174759,YES
19,2,0.040734251518331994,NO
20,1,0.039709160409312744,NO
21,4,0.6663120624674087,NO
22,1,0.039709160409312744,NO
23,0,0.03954420626165282,NO
24,1,0.039709160409312744,NO
25,0,0.03490896883812741,NO
26,1,0.039709160409312744,NO
27,10,0.3024193469846395,NO
28,10,0.34274359006033267,NO
29,35,0.9999999961592237,NO
30,1,0.03818667518835511,NO
31,16,0.9756747207856632,NO
32,2,0.05575798073077939,NO
33,1,0.039709160409312744,NO
34,0,0.07262887680280275,NO
35,14,0.8440903933271954,NO
36,30,0.9999999367218536,NO
37,5,0.0613752279801421,NO
38,7,0.11130012790095013,NO
39,1,0.039709160409312744,NO
40,16,0.9787092215844038,NO
41,1,0.03818667518835511,NO
42,1,0.03970916040931274,NO
43,2,0.047270704190527965,NO
44,1,0.03818667518835511,NO
45,4,0.07246587730240701,NO
46,0,0.0375299830560627,NO
47,47,1.0,NO
48,1,0.039709160409312744,NO
49,1,0.03818667518835511,NO
50,0,0.039027348646458196,NO
51,0,0.04789546642899881,NO
52,0,0.0375299830560627,NO
53,2,0.03446805791046231,NO
54,2,0.039174066696517476,NO
55,5,0.139018357420949,NO
56,0,0.03490896883812741,NO
57,0,0.022907894419295634,NO
58,1,0.03818667518835511,NO
59,25,0.9999623414413237,NO
60,1,0.039709160409312744,NO
61,4,0.05451792010827376,NO
62,4,0.14500102843029247,NO
63,13,0.6496805232807792,NO
64,0,0.9999999982719479,NO
65,1,0.039709160409312744,NO
66,58,0.9999999999992188,NO
67,9,0.27575348650107717,NO
68,6,0.13947685517303599,NO
69,14,0.9999968836515233,YES
70,4,0.09795045031036884,NO
71,0,0.03802779508061003,NO
72,1,0.03445627904247224,NO
73,1,0.03195011587712272,NO
74,2,0.047270704190527965,NO
75,1,0.03818667518835511,NO
76,6,0.11895002351628595,NO
77,1,0.039709160409312744,NO
78,1,0.039709160409312744,NO
79,1,0.03195011587712272,NO
80,1,0.03818667518835511,NO
81,12,0.9936273917008812,NO
82,4,0.07482809754852726,NO
83,21,0.9999777380236178,NO
84,1,0.039709160409312744,NO
85,0,0.06765865348347726,NO
86,0,0.039027348646458196,NO
87,1,0.03552149159782882,NO
88,7,0.1879386488676843,NO
89,8,0.9998392074877543,NO
90,2,0.040734251518331994,NO
91,3,0.037977394604539784,NO
92,3,0.04314113328595775,NO
93,1,0.039709160409312744,NO
94,1,0.03445627904247224,NO
95,0,0.0375299830560627,NO
96,1,0.039709160409312744,NO
97,1,0.9996117587054542,NO
98,4,0.049385636511671445,NO
99,42,0.9999999999999912,NO
100,9,0.21876613722300134,NO
101,4,0.07784072685840325,NO
102,1,0.03818667518835511,NO
103,1,0.03818667518835511,NO
104,0,0.03490896883812741,NO
105,4,0.047510501931101796,NO
106,6,0.14669119836172484,NO
107,1,0.03552149159782882,NO
108,0,0.018558335106024296,NO
109,1,0.0939653830964126,NO
110,4,0.06737608081263469,NO
111,0,0.022907894419295634,NO
112,0,0.022907894419295634,NO
113,1,0.039709160409312744,NO
114,0,0.039027348646458196,NO
115,0,0.04789546642899881,NO
116,4,0.049385636511671445,NO
117,3,0.22019590806333394,NO
118,3,0.04314113328595775,NO
119,0,0.039027348646458196,NO
120,0,0.039027348646458196,NO
121,0,0.027289915648309876,NO
122,0,0.039027348646458196,NO
123,7,0.21975030118232422,NO
124,7,0.1313957258261067,NO
125,3,0.07361613763877894,NO
126,1,0.039709160409312744,NO
127,11,0.7949209302444726,NO
128,6,0.09894737535968477,NO
129,1,0.03195011587712272,NO
130,10,0.2539940715868913,NO
131,3,0.05405607724827142,NO
132,0,0.03139717216086644,NO
133,1,0.03818667518835511,NO
134,0,0.06765865348347726,NO
135,3,0.04314113328595775,NO
136,10,0.8411407852614127,NO
137,1,0.039709160409312744,NO
138,1,0.03552149159782882,NO
139,1,0.16232323197821638,NO
140,9,0.30476952989774736,NO
141,13,0.53603737490511,NO
142,29,0.9999996753268501,YES
143,0,0.03139717216086644,NO
144,1,0.039709160409312744,NO
145,8,0.2155945272805855,NO
146,2,0.24676893589620755,NO
147,1,0.039709160409312744,NO
148,4,0.049385636511671445,NO
149,4,0.12039330028174759,YES
150,5,0.08927197396441548,NO
151,2,0.21008150829797925,NO
152,2,0.0536545494529144,NO
153,6,0.11136701576485834,NO
154,1,0.039709160409312744,NO
155,0,0.039027348646458196,NO
156,9,0.26708522632540155,NO
157,0,0.0375299830560627,NO
158,1,0.0711881456273474,NO
159,1,0.035521491597828816,NO
160,9,0.26482763878538423,NO
161,0,0.039027348646458196,NO
162,0,0.07137078622306249,NO
163,7,0.18970991752882188,NO
164,0,0.03139717216086644,NO
165,0,0.03139717216086644,NO
166,2,0.047270704190527965,NO
167,2,0.997161527955224,NO
168,18,0.358479227006156,NO
169,15,0.5761823673006681,NO
170,14,0.9999999999987792,NO
171,1,0.039709160409312744,NO
172,6,0.09986287229178228,NO
173,17,0.9215602460575515,NO
174,1,0.039709160409312744,NO
175,4,0.0720601610924809,NO
176,0,0.0375299830560627,NO
177,0,0.04789546642899881,NO
178,1,0.039709160409312744,NO
179,4,0.07784072685840325,NO
180,21,0.999999999998917,NO
181,0,0.0375299830560627,NO
182,11,0.4413318783700547,NO
183,24,1.0,NO
184,6,0.09894737535968477,NO
185,1,0.039709160409312744,NO
186,10,0.44944635455516874,NO
187,1,0.1953539917324177,NO
188,7,0.1313957258261067,NO
189,7,0.10733959590667133,NO
190,7,0.10733959590667133,NO
191,7,0.10733959590667133,NO
192,1,0.039709160409312744,NO
193,1,0.039709160409312744,NO
194,0,0.06765865348347726,NO
195,2,0.039174066696517476,NO
196,12,0.5756888043710243,NO
197,2,0.039174066696517476,NO
198,3,0.05964327253493032,NO
199,17,0.9910134326146925,NO
200,7,0.10733959590667133,NO
201,3,0.052013312490841006,NO
202,1,0.039709160409312744,NO
203,13,0.7578706603409471,NO
204,7,0.13610852441024962,NO
205,28,1.0,NO
206,0,0.03490896883812741,NO
207,1,0.039709160409312744,NO
208,1,0.9773603568501077,NO
209,1,0.039709160409312744,NO
210,1,0.03818667518835511,NO
211,2,0.039174066696517476,NO
212,1,0.03818667518835511,NO
213,31,0.9999999999923842,NO
214,1,0.039709160409312744,NO
215,5,0.10796259265818506,NO
216,1,0.039709160409312744,NO
217,1,0.039709160409312744,NO
218,0,0.039027348646458196,NO
219,0,0.03954420626165282,NO
220,0,0.046074170122002746,NO
221,1,0.039709160409312744,NO
222,0,0.06833115554481083,NO
223,0,0.039027348646458196,NO
224,1,0.039709160409312744,NO
225,14,0.4783394010215436,NO
226,3,0.04314113328595775,NO
227,1,0.0939653830964126,NO
228,1,0.039709160409312744,NO
229,10,0.30703601272402653,NO
230,0,0.039027348646458196,NO
231,3,0.052013312490841006,NO
232,1,0.039709160409312744,NO
233,32,0.9999998697640895,NO
234,1,0.03818667518835511,NO
235,1,0.039709160409312744,NO
236,5,0.08927197396441548,NO
237,1,0.039709160409312744,NO
238,33,0.999999999463668,NO
239,0,0.03490896883812741,NO
240,0,0.039027348646458196,NO
241,1,0.03818667518835511,NO
242,2,0.040734251518331994,NO
243,1,0.03552149159782882,NO
244,4,0.07784072685840325,NO
245,7,0.13880196753897533,NO
246,3,0.07385327157245933,NO
247,1,0.039709160409312744,NO
248,0,0.0375299830560627,NO
249,10,0.21861413607775607,NO
250,1,0.023314930002558767,NO
251,6,0.08276839315775833,NO
252,1,0.039709160409312744,NO
253,0,0.027289915648309876,NO
254,0,0.06765865348347726,NO
255,1,0.03818667518835511,NO
256,0,0.03139717216086644,NO
257,0,0.03954420626165282,NO
258,0,0.03954420626165282,NO
259,2,0.03644258064526255,NO
260,10,0.44806233807856766,NO
261,1,0.03195011587712272,NO
262,1,0.039709160409312744,NO
263,3,0.04485193903187079,NO
264,2,0.040734251518331994,NO
265,6,0.16637986984503367,NO
266,5,0.2931125034991589,NO
267,5,0.08311318322271818,NO
268,0,0.06765865348347726,NO
269,33,0.9999999962163082,NO
270,1,0.039709160409312744,NO
271,1,0.039709160409312744,NO
272,0,0.0375299830560627,NO
273,2,0.039174066696517476,NO
274,12,0.5504283294613979,NO
275,0,0.027289915648309876,NO
276,2,0.05575798073077939,NO
277,1,0.03552149159782882,NO
278,4,0.049385636511671445,NO
279,7,0.14302103163023247,NO
280,11,0.9994448201610757,YES
281,0,0.03954420626165282,NO
282,1,0.039709160409312744,NO
283,4,0.049385636511671445,NO
284,0,0.039027348646458196,NO
285,16,0.966420408607845,YES
286,1,0.03818667518835512,NO
287,9,0.32816115575152865,NO
288,8,0.24464324450909783,NO
289,0,0.039027348646458196,NO
290,1,0.039709160409312744,NO
291,9,0.26482763878538423,NO
292,6,0.08276839315775833,NO
293,1,0.039709160409312744,NO
294,5,0.13522301909366444,NO
295,0,0.0375299830560627,NO
296,7,0.16133450460555654,NO
297,2,0.17934780685295607,NO
298,0,0.03954420626165282,NO
299,2,0.9713981977014722,NO
300,1,0.039709160409312744,NO
301,9,0.6575879558105563,NO
302,1,0.039709160409312744,NO
303,4,0.07784072685840325,NO
304,0,0.03139717216086644,NO
305,2,0.06605334834385163,NO
306,0,0.039027348646458196,NO
307,16,0.9998494509840727,NO
308,0,0.0375299830560627,NO
309,0,0.047094494025213963,NO
310,4,0.07482809754852726,NO
311,0,0.039027348646458196,NO
312,8,0.9999999965520812,NO
313,13,0.8326349334003744,YES
314,0,0.07137078622306249,NO
315,4,0.07261689982068133,NO
316,10,0.44806233807856766,NO
317,9,0.2504635259298046,NO
318,4,0.08279359913651768,NO
319,1,0.46983984718197963,NO
320,6,0.09986287229178228,NO
321,1,0.03818667518835511,NO
322,6,0.09986287229178228,NO
323,1,0.039709160409312744,NO
324,1,0.03195011587712272,NO
325,21,0.9969103195267922,NO
326,10,0.35160402180239064,NO
327,0,0.0375299830560627,NO
328,0,0.039027348646458196,NO
329,4,0.06737608081263469,NO
330,6,0.1026338598373373,NO
331,0,0.039027348646458196,NO
332,7,0.1322521397976653,NO
333,0,0.03139717216086644,NO
334,6,0.08276839315775833,NO
335,1,0.039709160409312744,NO
336,3,0.052013312490841006,NO
337,0,0.0375299830560627,NO
338,1,0.039709160409312744,NO
339,1,0.03195011587712272,NO
340,46,1.0,NO
341,9,0.3214590635948253,NO
342,24,0.999869173251959,NO
343,26,0.9999995797746256,NO
344,34,0.9999999998569281,YES
345,17,0.9993583075759153,YES
346,0,0.09280414398084237,NO
347,1,0.039709160409312744,NO
348,1,0.03195011587712272,NO
349,1,0.039709160409312744,NO
350,8,0.16337540394992114,NO
351,1,0.9996360961315949,NO
352,4,0.08279359913651768,NO
353,9,0.3949754615379869,NO
354,0,0.0375299830560627,NO
355,1,0.039709160409312744,NO
356,1,0.03552149159782882,NO
357,4,0.07482809754852726,NO
358,1,0.039709160409312744,NO
359,13,0.4343182831701657,NO
360,1,0.039709160409312744,NO
361,10,0.44806233807856766,NO
362,1,0.03818667518835511,NO
363,1,0.039709160409312744,NO
364,8,0.4576388383364535,NO
365,23,0.9999546319506349,NO
366,6,0.08276839315775833,NO
367,1,0.03818667518835511,NO
368,0,0.046074170122002746,NO
369,5,0.09349819479286164,NO
370,2,0.039174066696517476,NO
371,4,0.07246587730240701,NO
372,1,0.03818667518835511,NO
373,1,0.039709160409312744,NO
374,4,0.9410291414157163,NO
375,21,1.0,NO
376,1,0.03552149159782882,NO
377,1,0.9995751281920877,NO
378,1,0.03818667518835511,NO
379,1,0.03552149159782882,NO
380,1,0.03818667518835511,NO
381,1,0.039709160409312744,NO
382,2,0.040734251518331994,NO
383,4,0.047510501931101796,NO
384,24,1.0,NO
385,1,0.039709160409312744,NO
386,62,1.0,NO
387,0,0.0375299830560627,NO
388,3,0.07088959720789637,NO
389,42,0.9999999999999621,NO
390,0,0.2817583150454439,NO
391,1,0.039709160409312744,NO
392,1,0.039709160409312744,NO
393,1,0.039709160409312744,NO
394,1,0.03818667518835511,NO
395,1,0.039709160409312744,NO
396,1,0.16232323197821638,NO
397,13,0.7330354010180129,NO
