ID,Size,PredictedProbability,ActualValue
0,26,0.9999744274329729,YES
1,3,0.011092922363912091,NO
2,2,0.017097111666021958,NO
3,0,0.011695140285319545,NO
4,0,6.031872965326086E-68,NO
5,1,0.010413907510082287,NO
6,8,4.2972047294932555E-66,NO
7,1,0.010413907510082287,NO
8,0,0.010715694981980543,NO
9,7,0.11716916064074678,NO
10,0,0.006442330810185896,NO
11,1,0.010413907510082287,NO
12,1,0.010413907510082287,YES
13,3,0.013944830613303096,NO
14,0,0.011695140285319545,NO
15,14,1.3315492661404236E-65,NO
16,1,0.011233866346565072,NO
17,1,5.957129538464237E-68,NO
18,10,0.10195932241090887,NO
19,13,0.4420223167251428,NO
20,4,7.168905348554894E-67,NO
21,2,6.0273832044643875E-68,NO
22,1,0.010413907510082287,NO
23,0,0.011695140285319545,NO
24,4,7.320432590532656E-67,NO
25,1,0.010413907510082287,NO
26,0,0.010543192027569299,NO
27,1,5.957129538464237E-68,NO
28,1,0.010413907510082287,NO
29,10,0.13567826711495948,NO
30,10,0.17544418512755572,NO
31,35,0.9999999999929722,NO
32,16,0.9885861940784108,NO
33,1,0.011233866346565072,NO
34,2,0.015856057929526747,NO
35,0,7.806763643029914E-68,NO
36,14,0.6972947437460066,YES
37,5,1.1824224298929947E-67,NO
38,30,0.9999999997781266,NO
39,7,0.030633413726644833,NO
40,1,0.010413907510082287,NO
41,16,7.205588305212289E-65,NO
42,1,0.011233866346565072,NO
43,2,0.012008049588512268,NO
44,1,5.957129538464237E-68,NO
45,1,0.011233866346565072,NO
46,4,0.029514501744642152,NO
47,0,0.011559138073179334,NO
48,47,1.0,NO
49,1,0.011366085492451392,NO
50,1,0.011233866346565072,NO
51,1,0.010413907510082287,NO
52,1,0.011233866346565072,NO
53,1,0.010413907510082287,NO
54,0,0.012095803211672735,NO
55,0,0.010715694981980543,NO
56,0,0.011559138073179334,NO
57,5,0.044035913023928196,NO
58,2,6.507352609699641E-68,NO
59,2,0.010262447997238421,NO
60,0,0.008237000071409838,NO
61,0,0.011695140285319545,NO
62,1,0.011233866346565072,NO
63,25,3.7787903391141155E-60,NO
64,1,0.010413907510082287,NO
65,4,0.018945196376120035,NO
66,4,1.701015217494686E-67,NO
67,13,0.28707846713208346,NO
68,0,8.923169408229674E-63,NO
69,1,0.010413907510082287,NO
70,58,1.887525184746148E-51,NO
71,9,4.7950792577719084E-67,NO
72,6,0.04134973089592032,NO
73,14,3.826384154289926E-60,NO
74,4,0.03442091426490326,NO
75,0,6.5121998968339055E-68,NO
76,2,0.012008049588512268,NO
77,1,0.048707268238696554,NO
78,1,0.022253817335246426,NO
79,1,0.011233866346565072,NO
80,1,0.010413907510082287,NO
81,1,0.010413907510082287,NO
82,1,0.01078622611238628,NO
83,6,0.03415916573042118,NO
84,1,0.011233866346565072,NO
85,12,5.983050770218024E-66,NO
86,4,7.853315614328748E-68,NO
87,21,0.999998621227334,NO
