ID,Size,PredictedProbability,ActualValue
0,26,0.998576503726757,YES
1,2,4.079911409012357E-4,NO
2,0,2.4235202657538337E-4,NO
3,3,2.294618845238665E-4,NO
4,1,2.1453456966541822E-4,NO
5,0,1.886956510699469E-4,NO
6,8,0.007029572950239449,NO
7,1,2.1453456966541822E-4,NO
8,0,2.1857139370477647E-4,NO
9,7,0.003511347971327207,NO
10,0,7.956690616296427E-4,NO
11,1,2.1453456966541822E-4,NO
12,1,9.3952220838873E-4,NO
13,3,3.9322678741570674E-4,NO
14,0,2.4235202657538337E-4,NO
15,14,0.023816104688310004,NO
16,1,2.1690148759039135E-4,NO
17,1,1.8482143468926058E-4,NO
18,10,0.0023201886675495807,NO
19,13,0.015612727156174113,NO
20,4,0.006807939350623217,NO
21,2,1.876213117190031E-4,NO
22,1,2.1453456966541822E-4,NO
23,0,2.4235202657538337E-4,NO
24,5,0.005943378762730881,NO
25,0,2.1903149464017662E-4,NO
26,1,1.8482143468926058E-4,NO
27,1,2.1453456966541822E-4,NO
28,7,0.0018684261449238826,NO
29,10,0.005922479213348046,NO
30,16,0.5348226515930748,NO
31,35,0.999999998816639,NO
32,1,2.1690148759039135E-4,NO
33,2,4.0353981602876893E-4,NO
34,1,2.1453456966541822E-4,NO
35,0,2.936372005073357E-4,NO
36,11,0.003135100422922004,NO
37,3,4.298628760503065E-4,NO
38,1,2.1453456966541822E-4,NO
39,15,0.05576442178254623,NO
40,5,3.3368906749332237E-4,NO
41,30,0.9999998720227652,NO
42,7,7.565037050520487E-4,NO
43,1,2.1453456966541822E-4,NO
44,4,0.054652431028143975,NO
45,1,1.8482143468926058E-4,NO
46,1,2.1690148759039135E-4,NO
47,2,2.649307522293761E-4,NO
48,4,8.031976638219777E-4,NO
49,1,2.1690148759039135E-4,NO
50,0,2.2098283927527912E-4,NO
51,47,1.0,NO
52,1,2.3787609937554508E-4,NO
53,1,2.1690148759039135E-4,NO
54,1,2.1690148759039135E-4,NO
55,1,2.1453456966541822E-4,NO
56,0,2.1857139370477647E-4,NO
57,0,2.566999420841359E-4,NO
58,0,2.2098283927527912E-4,NO
59,5,7.036026744888245E-4,NO
60,2,4.463757580122105E-4,NO
61,2,1.8969135727258903E-4,NO
62,0,5.221282642394481E-4,NO
63,0,2.4235202657538337E-4,NO
64,1,2.1690148759039135E-4,NO
65,2,2.4147951231360507E-4,NO
66,25,0.9998338022864346,NO
67,1,2.1453456966541822E-4,NO
68,4,6.220724386069884E-4,NO
69,4,8.554747461272929E-4,NO
70,0,0.9989414992840078,NO
71,13,0.009287086277043829,NO
72,1,2.1453456966541822E-4,NO
73,58,0.9999999999990961,NO
74,9,0.0012501919041812797,NO
75,6,8.568058743478445E-4,NO
76,14,0.9999815046815754,NO
77,4,4.7677912522057245E-4,NO
78,0,1.9077754766017838E-4,NO
79,1,0.0012391672070849863,NO
80,2,2.649307522293761E-4,NO
81,1,0.0019679918208001823,NO
82,1,2.1690148759039135E-4,NO
83,1,2.8302230902201394E-4,NO
84,1,2.1453456966541822E-4,NO
85,6,0.0010421441660648477,NO
86,6,0.0010421441660648477,NO
87,1,2.1690148759039135E-4,NO
88,1,2.1453456966541822E-4,NO
89,12,0.041134788335192976,NO
90,19,0.998862843030887,NO
91,4,2.911339097017762E-4,NO
92,0,2.796734110399123E-4,NO
93,1,2.1453456966541822E-4,NO
94,0,2.1857139370477647E-4,NO
95,1,2.3787609937554508E-4,NO
96,1,2.3787609937554508E-4,NO
97,3,4.7030426130055184E-4,NO
98,9,0.999818160049935,NO
99,3,2.3199345437732136E-4,NO
100,1,2.1453456966541822E-4,NO
101,1,0.0019679918208001823,NO
102,1,0.02609149273678468,NO
103,0,2.2098283927527912E-4,NO
104,1,2.1453456966541822E-4,NO
105,4,2.5451146547444557E-4,NO
106,2,2.2018724128515952E-4,NO
107,3,2.5442710451230603E-4,NO
108,42,0.9999999999999941,NO
109,9,0.0021985292349475426,NO
110,1,2.3787609937554508E-4,NO
111,1,2.1690148759039135E-4,NO
112,1,2.1690148759039135E-4,NO
113,1,2.1453456966541822E-4,NO
114,4,5.736338959323633E-4,NO
115,1,2.1453456966541822E-4,NO
116,0,2.4235202657538337E-4,NO
117,4,2.573193271509112E-4,NO
118,6,7.968249108616684E-4,NO
119,0,7.956690616296427E-4,NO
120,1,2.3787609937554508E-4,NO
121,1,2.1453456966541822E-4,NO
122,1,5.35173905188618E-4,NO
123,0,5.221282642394481E-4,NO
124,4,4.0627840207384973E-4,NO
125,1,2.1453456966541822E-4,NO
126,0,5.221282642394481E-4,NO
127,0,2.1857139370477647E-4,NO
128,4,2.5451146547444557E-4,NO
