ID,Size,PredictedProbability,ActualValue
0,26,0.02,YES
1,2,0.024178657012513715,NO
2,0,0.0010836488445705682,NO
3,3,0.2187229027959217,NO
4,1,0.0359899423099603,NO
5,0,0.011996690608970496,NO
6,8,0.0375,NO
7,1,0.0359899423099603,NO
8,0,0.0010836488445705682,NO
9,7,0.051336592466700845,NO
10,0,0.0010836488445705682,NO
11,1,0.0359899423099603,NO
12,1,0.06164556444522661,NO
13,3,2.5974025974025974E-4,NO
14,0,0.0010836488445705682,NO
15,14,0.026833333333333334,NO
16,1,0.0359899423099603,NO
17,1,0.0359899423099603,NO
18,10,0.0,NO
19,13,0.15258152958152954,NO
20,4,0.0,NO
21,2,0.046675810473474015,NO
22,1,0.0359899423099603,NO
23,0,0.0010836488445705682,NO
24,5,0.07225047175047175,NO
25,0,0.011996690608970496,NO
26,1,0.0359899423099603,NO
27,1,0.0359899423099603,NO
28,7,0.01449986527771144,NO
29,10,0.0,NO
30,16,0.04,NO
31,35,0.03083333333333333,NO
32,1,0.0359899423099603,NO
33,2,0.024178657012513715,NO
34,1,0.0359899423099603,NO
35,0,0.0,NO
36,11,0.27562301587301585,NO
37,3,0.051151061698764086,NO
38,1,0.0359899423099603,NO
39,15,0.035,NO
40,5,0.0,NO
41,30,0.03,NO
42,7,0.0,NO
43,1,0.0359899423099603,NO
44,4,0.02928571428571429,NO
45,1,0.0359899423099603,NO
46,1,0.0359899423099603,NO
47,2,0.0,NO
48,4,0.04875767923143647,NO
49,1,0.0359899423099603,NO
50,0,0.0010836488445705682,NO
51,47,0.01,NO
52,1,0.0359899423099603,NO
53,1,0.0359899423099603,NO
54,1,0.0359899423099603,NO
55,1,0.0359899423099603,NO
56,0,0.0010836488445705682,NO
57,0,0.0,NO
58,0,0.0010836488445705682,NO
59,5,0.0,NO
60,2,0.0,NO
61,2,0.046675810473474015,NO
62,0,0.0010836488445705682,NO
63,0,0.0010836488445705682,NO
64,1,0.0359899423099603,NO
65,2,0.046675810473474015,NO
66,25,0.1,NO
67,1,0.0359899423099603,NO
68,4,0.04875767923143647,NO
69,4,0.04450410958696839,NO
70,0,0.0,NO
71,13,0.0,NO
72,1,0.0359899423099603,NO
73,58,0.02,NO
74,9,0.03750107920233162,NO
75,6,0.0,NO
76,14,0.11321428571428571,NO
77,4,0.04875767923143647,NO
78,0,0.011996690608970496,NO
79,1,0.06164556444522661,NO
80,2,0.0,NO
81,1,0.017878907033753267,NO
82,1,0.0359899423099603,NO
83,1,0.0359899423099603,NO
84,1,0.0359899423099603,NO
85,6,0.05987530733426547,NO
86,6,0.05987530733426547,NO
87,1,0.0359899423099603,NO
88,1,0.0359899423099603,NO
89,12,0.0,NO
90,19,0.03,NO
91,4,0.0,NO
92,0,0.0,NO
93,1,0.0359899423099603,NO
94,0,0.0010836488445705682,NO
95,1,0.0359899423099603,NO
96,1,0.0359899423099603,NO
97,3,0.040290248325339534,NO
98,9,0.2833333333333333,NO
99,3,0.2187229027959217,NO
100,1,0.0359899423099603,NO
101,1,0.017878907033753267,NO
102,1,0.0,NO
103,0,0.0010836488445705682,NO
104,1,0.0359899423099603,NO
105,4,0.0,NO
106,2,0.046675810473474015,NO
107,3,0.2187229027959217,NO
108,42,0.01,NO
109,9,0.2956962742709646,NO
110,1,0.0359899423099603,NO
111,1,0.0359899423099603,NO
112,1,0.0359899423099603,NO
113,1,0.0359899423099603,NO
114,4,0.10683423349755175,NO
115,1,0.0359899423099603,NO
116,0,0.0010836488445705682,NO
117,4,0.0,NO
118,6,0.05386026325031368,NO
119,0,0.0010836488445705682,NO
120,1,0.0359899423099603,NO
121,1,0.0359899423099603,NO
122,1,4.49438202247191E-4,NO
123,0,0.0010836488445705682,NO
124,4,0.04875767923143647,NO
125,1,0.0359899423099603,NO
126,0,0.0010836488445705682,NO
127,0,0.0010836488445705682,NO
128,4,0.0,NO
129,3,0.0,NO
130,1,0.0359899423099603,NO
131,1,0.0359899423099603,NO
132,0,0.0,NO
133,8,0.0,NO
134,3,0.2187229027959217,NO
135,1,0.0359899423099603,NO
136,0,0.0010836488445705682,NO
137,0,0.0010836488445705682,NO
138,1,0.0359899423099603,NO
139,7,0.16574894730172024,NO
140,0,0.0010836488445705682,NO
141,2,0.0,NO
142,0,0.0010836488445705682,NO
143,7,0.0,NO
144,3,0.1450515370988277,NO
145,1,0.0359899423099603,NO
146,11,0.01,NO
147,6,0.05386026325031368,NO
148,1,0.0359899423099603,NO
