ID,Size,PredictedProbability,ActualValue
0,0,0.0,NO
1,1,0.34000015942576445,NO
2,1,0.14102442563380138,NO
3,8,1.0,YES
4,1,0.34000015942576445,NO
5,1,0.14102442563380138,NO
6,6,0.2544047619047619,NO
7,7,0.3,NO
8,3,0.02,NO
9,6,0.29440476190476184,NO
10,4,0.6695091575091575,NO
11,20,0.57,NO
12,1,0.14102442563380138,NO
13,4,0.74,NO
14,1,0.14102442563380138,NO
15,3,0.14182900432900433,NO
16,1,0.14102442563380138,NO
17,10,0.19272619047619044,NO
18,2,0.05545238095238095,NO
19,1,0.14102442563380138,NO
20,1,0.14102442563380138,YES
21,16,0.35,NO
22,1,0.14102442563380138,NO
23,1,0.6317150932360448,NO
24,4,0.029904761904761906,NO
25,1,0.34000015942576445,NO
26,1,0.34000015942576445,NO
27,0,0.0,NO
28,2,0.06,NO
29,5,0.0,NO
30,0,0.0,NO
31,1,0.34000015942576445,NO
32,1,0.14102442563380138,NO
33,4,0.12644769119769117,NO
34,0,0.0,NO
35,7,0.14,NO
36,0,0.2535294117647059,NO
37,10,0.19366666666666668,NO
38,1,0.6317150932360448,NO
39,32,0.73,YES
40,5,0.0,YES
41,6,0.0,NO
42,0,0.0,NO
43,4,0.0,NO
44,1,0.3172190079175967,NO
45,2,0.01,NO
46,1,0.14102442563380138,NO
47,1,0.3172190079175967,NO
48,1,0.14102442563380138,NO
49,1,0.34000015942576445,NO
50,5,0.09,YES
51,21,0.86,NO
52,3,0.0,YES
53,1,0.14102442563380138,NO
54,1,0.14102442563380138,YES
55,7,0.02,NO
56,6,0.66,NO
57,1,0.14102442563380138,NO
58,1,0.14102442563380138,NO
59,11,0.76,YES
60,9,0.15833333333333333,NO
61,1,0.34000015942576445,NO
62,6,0.02,NO
63,1,0.6317150932360448,NO
64,1,0.14102442563380138,NO
65,0,0.0,NO
66,0,0.0,NO
67,1,0.14102442563380138,NO
68,1,0.6317150932360448,NO
69,0,0.0,NO
70,3,0.39397564372332183,YES
71,3,0.2547499999999999,NO
72,2,0.8271891355548476,NO
73,1,0.14102442563380138,NO
74,5,0.02,NO
75,6,0.02,NO
76,1,0.3172190079175967,NO
77,0,0.0,NO
78,3,0.02,NO
79,1,0.34000015942576445,NO
80,1,0.14102442563380138,YES
81,10,0.56,NO
82,11,0.86,NO
83,1,0.6317150932360448,NO
84,1,0.26,NO
85,29,1.0,YES
86,1,0.14102442563380138,NO
87,2,0.28,NO
88,1,0.14102442563380138,NO
89,4,0.6695091575091575,NO
90,5,0.0,NO
91,4,0.1541269841269841,NO
92,2,0.8271891355548476,NO
93,1,0.14102442563380138,NO
94,0,0.0,NO
95,0,0.2834903848416231,NO
96,1,0.033785701999122925,NO
97,1,0.6317150932360448,NO
98,0,0.0,NO
99,2,0.35,NO
100,15,0.1,NO
101,50,0.62,YES
102,1,0.14102442563380138,NO
103,1,0.14102442563380138,NO
104,3,0.39397564372332183,YES
105,1,0.14102442563380138,NO
106,4,0.008333333333333335,NO
107,21,0.45,NO
108,25,0.56,NO
109,1,0.14102442563380138,NO
110,4,0.0,NO
111,10,0.21600000000000003,NO
112,1,0.6928690198690199,NO
113,3,0.39397564372332183,YES
114,1,0.14102442563380138,NO
115,1,0.14102442563380138,YES
116,2,0.5348089182059769,NO
117,2,0.20342500907245487,NO
118,1,0.6317150932360448,NO
119,2,0.5348089182059769,NO
120,3,0.07304761904761904,NO
121,1,0.14102442563380138,NO
122,34,1.0,YES
123,3,0.0,YES
124,29,0.75,YES
125,1,0.14102442563380138,NO
126,11,0.09,NO
127,1,0.34000015942576445,NO
128,1,0.14102442563380138,NO
129,2,0.5348089182059769,NO
130,1,0.14102442563380138,NO
131,0,0.0,NO
132,0,0.5498431013431013,NO
133,1,0.14102442563380138,NO
134,1,0.14102442563380138,NO
135,3,0.032,NO
136,0,0.0,NO
137,1,0.14102442563380138,NO
138,17,0.28,NO
139,1,0.34000015942576445,NO
140,1,0.14102442563380138,NO
141,1,0.14102442563380138,NO
142,2,0.08,YES
143,30,0.84,NO
144,0,0.0,NO
145,0,0.0,NO
146,7,0.24,NO
147,4,0.008333333333333335,NO
148,1,0.0,NO
149,0,0.0,NO
150,1,0.14102442563380138,YES
151,1,0.34000015942576445,NO
152,0,0.0,NO
153,1,0.14102442563380138,NO
154,2,0.3917691572964659,NO
155,2,0.3917691572964659,YES
156,1,0.14102442563380138,YES
157,2,0.5348089182059769,NO
158,1,0.14102442563380138,NO
159,0,0.0,NO
160,10,0.08,NO
161,2,0.05545238095238095,NO
162,1,0.6317150932360448,NO
163,7,0.6085714285714285,NO
164,11,0.56,YES
165,16,0.4,NO
166,1,0.34000015942576445,NO
167,9,0.42,NO
168,1,0.6317150932360448,NO
169,5,0.13,NO
170,0,0.0,NO
171,1,0.14102442563380138,NO
172,1,0.14102442563380138,NO
173,2,0.5385658916247154,NO
174,0,0.2834903848416231,NO
175,2,0.23576558122632832,YES
176,1,0.14102442563380138,NO
177,9,0.10066666666666667,YES
178,1,0.14102442563380138,NO
179,4,0.9005429292929292,NO
180,2,0.0,NO
181,20,0.65,NO
182,3,0.0,YES
183,0,0.06258797517418718,NO
184,3,0.0,NO
185,1,0.14102442563380138,NO
186,5,0.7,YES
187,13,0.31,NO
188,4,0.0,NO
189,1,0.34000015942576445,NO
190,1,0.14102442563380138,NO
191,0,0.0,NO
192,0,0.0,NO
193,0,0.0,NO
194,1,0.14102442563380138,NO
195,0,0.2834903848416231,NO
196,1,0.3172190079175967,NO
197,1,0.14102442563380138,NO
198,43,0.48,YES
199,34,0.54,NO
200,0,0.6196570911336274,NO
201,16,1.0,YES
202,17,0.47,NO
203,0,0.2834903848416231,NO
204,1,0.14102442563380138,NO
205,1,0.3172190079175967,NO
206,1,0.6928690198690199,NO
207,4,0.0,NO
208,1,0.6317150932360448,NO
209,1,0.14102442563380138,NO
210,1,0.6317150932360448,NO
211,3,0.0,YES
212,19,0.37,NO
213,1,0.14102442563380138,NO
214,1,0.14102442563380138,NO
215,2,0.5348089182059769,NO
216,4,0.029904761904761906,NO
217,3,0.0,YES
218,13,0.7,YES
219,1,0.6317150932360448,NO
220,1,0.6317150932360448,NO
221,1,0.30370370370370375,NO
222,1,0.34000015942576445,NO
223,7,0.03,NO
224,7,0.07,NO
225,1,0.6317150932360448,NO
226,1,0.34000015942576445,NO
227,1,0.14102442563380138,NO
228,2,0.3917691572964659,NO
229,1,0.14102442563380138,NO
230,54,0.61,NO
231,0,0.2834903848416231,NO
232,3,0.824564935064935,NO
233,1,0.14102442563380138,NO
234,1,0.26,NO
235,1,0.34000015942576445,NO
236,5,0.0,NO
237,0,0.19346948884448883,NO
238,1,0.14102442563380138,NO
239,1,0.14102442563380138,NO
240,15,0.49,NO
241,30,0.89,NO
242,1,0.34000015942576445,NO
243,3,0.38,NO
244,1,0.14102442563380138,NO
245,5,0.7,NO
246,1,0.14102442563380138,NO
247,5,0.7354999999999999,NO
248,0,0.0,NO
249,47,0.19,NO
250,1,0.14102442563380138,NO
251,1,0.302,NO
252,15,0.35,NO
253,1,0.6317150932360448,NO
254,1,0.45,NO
255,1,0.14102442563380138,YES
256,9,0.37,NO
257,1,0.34000015942576445,NO
258,1,0.14102442563380138,NO
259,1,0.14102442563380138,NO
260,1,0.14102442563380138,NO
261,1,0.14102442563380138,NO
262,50,0.38,NO
263,1,0.14102442563380138,NO
264,12,0.31,NO
265,30,0.79,YES
266,6,0.25,NO
267,1,0.34000015942576445,YES
268,2,0.29,NO
269,1,0.14102442563380138,NO
270,1,0.34000015942576445,NO
271,0,0.0,NO
272,0,0.0,NO
273,6,0.12,NO
274,9,0.88,NO
275,5,0.0,NO
276,6,0.42,NO
277,6,0.0,YES
278,3,0.02,NO
279,21,0.58,NO
280,1,0.3172190079175967,NO
281,2,0.3917691572964659,NO
282,3,0.032,NO
283,2,0.5385658916247154,NO
284,1,1.0,NO
285,3,0.095995670995671,NO
286,2,0.0,NO
287,5,0.0,NO
288,1,0.14102442563380138,NO
289,1,0.6317150932360448,NO
290,6,0.0,YES
291,14,0.77,NO
292,1,0.14102442563380138,NO
293,1,0.6317150932360448,NO
294,8,0.06,NO
295,1,0.34000015942576445,NO
296,1,0.05,NO
297,1,0.34000015942576445,NO
298,5,0.0,NO
299,39,0.37,NO
300,1,0.3172190079175967,NO
301,19,0.34,NO
302,0,0.0,NO
303,2,0.5348089182059769,NO
304,7,0.55,NO
305,1,0.6317150932360448,NO
306,1,0.26,NO
307,4,0.25,NO
