ID,Size,PredictedProbability,ActualValue
0,0,0.0,NO
1,1,0.26837551775855306,NO
2,1,0.1068742280282713,NO
3,8,0.9,YES
4,1,0.26837551775855306,NO
5,1,0.1068742280282713,NO
6,6,0.08,NO
7,7,0.13,NO
8,3,0.0,NO
9,6,0.282,NO
10,4,0.5085,NO
11,20,0.37,NO
12,1,0.1068742280282713,NO
13,4,0.66,NO
14,1,0.1068742280282713,NO
15,3,0.06,NO
16,1,0.1068742280282713,NO
17,10,0.04033333333333333,NO
18,2,0.0,NO
19,1,0.1068742280282713,NO
20,1,0.1068742280282713,YES
21,16,0.3,NO
22,1,0.1068742280282713,NO
23,1,0.6071136545156997,NO
24,4,0.0,NO
25,1,0.26837551775855306,NO
26,1,0.26837551775855306,NO
27,0,0.0,NO
28,2,0.01,NO
29,5,0.0,NO
30,0,0.0,NO
31,1,0.26837551775855306,NO
32,1,0.1068742280282713,NO
33,4,0.018000000000000002,NO
34,0,0.0,NO
35,7,0.06,NO
36,0,0.14,NO
37,10,0.02,NO
38,1,0.6071136545156997,NO
39,32,0.55,YES
40,5,0.0,YES
41,6,0.02,NO
42,0,0.0,NO
43,4,0.0,NO
44,1,0.04319675899771675,NO
45,2,0.0,NO
46,1,0.1068742280282713,NO
47,1,0.04319675899771675,NO
48,1,0.1068742280282713,NO
49,1,0.26837551775855306,NO
50,5,0.04,YES
51,21,0.67,NO
52,3,0.0,YES
53,1,0.1068742280282713,NO
54,1,0.1068742280282713,YES
55,7,0.0,NO
56,6,0.47,NO
57,1,0.1068742280282713,NO
58,1,0.1068742280282713,NO
59,11,0.61,YES
60,9,0.016666666666666663,NO
61,1,0.26837551775855306,NO
62,6,0.01,NO
63,1,0.6071136545156997,NO
64,1,0.1068742280282713,NO
65,0,0.0,NO
66,0,0.0,NO
67,1,0.1068742280282713,NO
68,1,0.6071136545156997,NO
69,0,0.0,NO
70,3,0.05960128133099202,YES
71,3,0.06,NO
72,2,0.5135448717948718,NO
73,1,0.1068742280282713,NO
74,5,0.01,NO
75,6,0.01,NO
76,1,0.04319675899771675,NO
77,0,0.0,NO
78,3,0.0,NO
79,1,0.26837551775855306,NO
80,1,0.1068742280282713,YES
81,10,0.5033333333333334,NO
82,11,0.74,NO
83,1,0.6071136545156997,NO
84,1,0.07,NO
85,29,0.88,YES
86,1,0.1068742280282713,NO
87,2,0.168,NO
88,1,0.1068742280282713,NO
89,4,0.5085,NO
90,5,0.0,NO
91,4,0.025,NO
92,2,0.5135448717948718,NO
93,1,0.1068742280282713,NO
94,0,0.0,NO
95,0,0.0358127919741362,NO
96,1,0.0,NO
97,1,0.6071136545156997,NO
98,0,0.0,NO
99,2,0.25625,NO
100,15,0.03,NO
101,50,0.54,YES
102,1,0.1068742280282713,NO
103,1,0.1068742280282713,NO
104,3,0.05960128133099202,YES
105,1,0.1068742280282713,NO
106,4,0.0,NO
107,21,0.41,NO
108,25,0.41,NO
109,1,0.1068742280282713,NO
110,4,0.0,NO
111,10,0.05,NO
112,1,0.18960714285714292,NO
113,3,0.05960128133099202,YES
114,1,0.1068742280282713,NO
115,1,0.1068742280282713,YES
116,2,0.09919673747305327,NO
117,2,0.02666666666666666,NO
118,1,0.6071136545156997,NO
119,2,0.09919673747305327,NO
120,3,0.013999999999999999,NO
121,1,0.1068742280282713,NO
122,34,0.8,YES
123,3,0.0,YES
124,29,0.58,YES
125,1,0.1068742280282713,NO
126,11,0.0,NO
127,1,0.26837551775855306,NO
128,1,0.1068742280282713,NO
129,2,0.09919673747305327,NO
130,1,0.1068742280282713,NO
131,0,0.0,NO
132,0,0.5720952380952381,NO
133,1,0.1068742280282713,NO
134,1,0.1068742280282713,NO
135,3,0.0,NO
136,0,0.0,NO
137,1,0.1068742280282713,NO
138,17,0.12,NO
139,1,0.26837551775855306,NO
140,1,0.1068742280282713,NO
141,1,0.1068742280282713,NO
142,2,0.05627659574468085,YES
143,30,0.44,NO
144,0,0.0,NO
145,0,0.0,NO
146,7,0.29,NO
147,4,0.0,NO
148,1,0.0,NO
149,0,0.0,NO
150,1,0.1068742280282713,YES
151,1,0.26837551775855306,NO
152,0,0.0,NO
153,1,0.1068742280282713,NO
154,2,0.057687242032133684,NO
155,2,0.057687242032133684,YES
156,1,0.1068742280282713,YES
157,2,0.09919673747305327,NO
158,1,0.1068742280282713,NO
159,0,0.0,NO
160,10,0.01,NO
161,2,0.0,NO
162,1,0.6071136545156997,NO
163,7,0.33,NO
164,11,0.38,YES
165,16,0.23,NO
166,1,0.26837551775855306,NO
167,9,0.205,NO
168,1,0.6071136545156997,NO
169,5,0.07,NO
170,0,0.0,NO
171,1,0.1068742280282713,NO
172,1,0.1068742280282713,NO
173,2,0.10498970555588202,NO
174,0,0.0358127919741362,NO
175,2,0.17,YES
176,1,0.1068742280282713,NO
177,9,0.0,YES
178,1,0.1068742280282713,NO
179,4,0.396,NO
