ID,Size,PredictedProbability,ActualValue
0,0,1.4306809025678633E-7,NO
1,1,0.12121214110615453,NO
2,2,7.582599454088656E-7,NO
3,3,3.032860405303364E-5,NO
4,1,0.014992525802836353,NO
5,10,1.516476195257764E-5,NO
6,6,7.582495963035106E-6,NO
7,3,2.1664508853030192E-6,NO
8,4,6.318834475513572E-7,NO
9,1,0.07194263285136565,NO
10,1,0.023206348660362135,NO
11,6,7.582495963035106E-6,NO
12,22,0.8333324908231348,NO
13,97,3.032860405303364E-5,NO
14,1,0.014992525802836353,NO
15,42,1.01099435116429E-5,NO
16,0,0.006934833501921285,NO
17,5,4.0440559041965125E-7,NO
18,1,0.023206348660362135,NO
19,0,1.753204229941243E-7,NO
20,1,0.023206348660362135,NO
21,1,0.003975358793340506,NO
22,1,0.023206348660362135,NO
23,0,7.343932047985913E-8,NO
24,1,2.0086378561920796E-7,NO
25,3,2.8346193100956596E-7,NO
26,0,0.006934833501921285,NO
27,1,7.582495963035106E-6,NO
28,1,2.2634649315445307E-7,NO
29,12,3.032860405303364E-5,NO
30,21,1.516476195257764E-5,NO
31,1,0.023206348660362135,NO
32,0,5.982335342039151E-8,NO
33,1,0.014992525802836353,NO
34,1,0.023206348660362135,NO
35,1,0.023206348660362135,NO
36,17,4.332882996649629E-6,NO
37,1,0.12121214110615453,NO
38,1,0.023206348660362135,NO
39,1,0.023206348660362135,NO
40,18,1.516476195257764E-5,NO
41,1,0.003975358793340506,NO
42,1,0.017825338011714074,NO
43,1,0.12121214110615453,NO
44,1,1.2132148087355518E-6,NO
45,1,0.12121214110615453,NO
46,1,7.777024778705987E-7,NO
47,7,1.01099435116429E-5,NO
48,7,1.516476195257764E-5,NO
49,0,0.006934833501921285,NO
50,9,1.01099435116429E-5,NO
51,102,1.516476195257764E-5,NO
52,23,1.01099435116429E-5,NO
53,0,0.006934833501921285,NO
54,7,5.055022861817032E-6,NO
55,8,1.516476195257764E-5,NO
56,1,0.003975358793340506,NO
57,1,1.01099435116429E-5,NO
58,0,1.4306809025678633E-7,NO
59,1,0.023206348660362135,NO
