ID,Size,PredictedProbability,ActualValue
0,1,0.1891585774661737,NO
1,18,2.3433472371936074E-6,NO
2,4,3.8000374683694383E-7,NO
3,60,7.02997581688319E-6,NO
4,4,1.40597539543058E-5,NO
5,29,0.9999859402460457,NO
6,1,0.1891585774661737,NO
7,2,2.0085846909692025E-6,NO
8,85,1.40597539543058E-5,NO
9,1,0.1891585774661737,NO
10,1,0.08266131398324292,NO
11,4,6.390968794177572E-7,NO
12,6,7.02997581688319E-6,NO
13,1,7.02997581688319E-6,NO
14,33,4.686672509385062E-6,NO
15,3,4.6867120465371764E-7,NO
16,1,9.311355430731665E-8,NO
17,15,4.686672509385062E-6,NO
18,1,0.00902669030736187,NO
19,1,7.02997581688319E-6,NO
20,7,7.02997581688319E-6,NO
21,1,4.686672509385062E-6,NO
22,1,0.00902669030736187,NO
23,12,1.3018653386945883E-7,NO
24,3,0.9999859402460457,YES
25,1,0.037987693010188964,NO
26,32,3.5150126188953024E-6,NO
27,1,0.00902669030736187,NO
28,1,0.00902669030736187,NO
29,17,1.40597539543058E-5,NO
30,1,0.00902669030736187,NO
31,1,0.00902669030736187,NO
32,0,1.2781921250583176E-6,NO
33,1,0.00902669030736187,NO
34,21,2.0085846909692025E-6,NO
35,1,0.1891585774661737,NO
36,1,0.07604833825276996,NO
37,10,2.8120140488221883E-6,NO
38,20,7.02997581688319E-6,NO
39,1,0.1891585774661737,NO
40,1,0.09244373911624097,NO
41,10,3.5150126188953024E-6,NO
42,1,0.07604833825276996,NO
43,14,2.3433472371936074E-6,NO
44,1,9.311355430731665E-8,NO
45,1,0.1891585774661737,NO
46,2,0.2102564520393595,NO
47,2,0.8266666054269167,NO
48,1,0.00902669030736187,NO
49,1,0.1891585774661737,NO
50,1,0.00902669030736187,NO
51,1,0.1891585774661737,NO
52,1,0.00902669030736187,NO
53,1,0.037987693010188964,NO
54,9,2.8120140488221883E-6,NO
55,2,1.4347087024838826E-7,NO
56,1,0.1891585774661737,NO
57,1,0.1891585774661737,NO
58,22,4.686672509385062E-6,NO
59,1,0.07604833825276996,NO
60,1,0.00902669030736187,NO
61,3,1.4060109781337175E-6,NO
62,1,0.09244373911624097,NO
63,1,8.57326030973132E-8,NO
64,6,7.02997581688319E-6,NO
65,1,0.5533216776663368,NO
66,2,3.429302359874419E-7,NO
67,1,0.08266131398324292,NO
68,44,7.02997581688319E-6,NO
69,0,1.4645984583636628E-7,NO
70,1,0.1891585774661737,NO
71,8,1.4060109781337175E-6,NO
72,1,3.700036556361177E-7,NO
73,1,0.5533216776663368,NO
74,1,0.09244373911624097,NO
75,1,0.037987693010188964,NO
76,1,0.1891585774661737,NO
77,1,0.009804056710356042,NO
78,1,0.5533216776663368,NO
79,17,7.02997581688319E-6,NO
80,5,0.6065573279274773,NO
81,2,2.0085846909692025E-6,NO
82,1,0.037987693010188964,NO
83,1,0.00902669030736187,NO
84,1,9.311355430731665E-8,NO
85,1,0.00902669030736187,NO
86,3,1.4060109781337175E-6,NO
87,0,7.988719927462424E-8,NO
88,10,7.02997581688319E-6,NO
89,1,0.08266131398324292,NO
90,10,7.02997581688319E-6,NO
91,1,0.00902669030736187,NO
92,10,1.40597539543058E-5,NO
93,1,0.1891585774661737,NO
94,1,0.00902669030736187,NO
95,1,0.1891585774661737,NO
96,1,5.624053401511859E-7,NO
97,1,0.5533216776663368,NO
98,6,2.8120140488221883E-6,NO
99,8,3.5150126188953024E-6,NO
100,30,7.02997581688319E-6,NO
101,4,2.3433472371936074E-6,NO
102,13,2.8120140488221883E-6,NO
103,0,2.7461227630015324E-8,NO
104,1,0.5533216776663368,NO
105,1,0.09244373911624097,NO
106,2,0.1676647266189649,NO
107,1,0.00902669030736187,NO
108,1,0.1891585774661737,NO
109,6,4.686672509385062E-6,NO
110,1,0.037987693010188964,NO
111,28,4.686672509385062E-6,NO
112,1,0.00902669030736187,NO
113,0,2.9231077955923337E-8,NO
114,6,3.8000374683694383E-7,NO
115,1,0.00902669030736187,NO
116,2,5.021476856515316E-7,NO
117,2,0.030303430545690974,NO
118,9,1.2781921250583176E-6,NO
119,13,7.02997581688319E-6,NO
120,1,0.00902669030736187,NO
121,10,1.40597539543058E-5,NO
122,4,7.02997581688319E-6,NO
123,1,0.1891585774661737,NO
124,0,3.3717382183795945E-8,NO
125,2,0.8266666054269167,NO
126,1,0.00902669030736187,NO
127,1,2.0085846909692025E-6,NO
128,21,1.40597539543058E-5,NO
129,3,1.5450708762637715E-7,NO
130,1,0.037987693010188964,NO
131,2,1.40597539543058E-5,NO
132,3,6.825314271595637E-8,NO
133,1,0.07604833825276996,NO
134,4,2.3433472371936074E-6,NO
135,1,0.1891585774661737,NO
136,1,0.1891585774661737,NO
137,1,0.037987693010188964,NO
138,1,0.1891585774661737,NO
139,1,0.09244373911624097,NO
140,12,1.3018653386945883E-7,NO
141,1,0.09244373911624097,NO
142,13,7.02997581688319E-6,NO
143,6,7.02997581688319E-6,NO
144,0,7.012721181131399E-4,NO
145,4,2.0085846909692025E-6,NO
146,51,4.686672509385062E-6,NO
147,1,0.00902669030736187,NO
148,12,7.02997581688319E-6,NO
149,1,0.1891585774661737,NO
150,0,2.7461227630015324E-8,NO
151,1,0.00902669030736187,NO
152,1,0.1891585774661737,NO
153,7,0.7421383219559627,NO
154,1,0.09244373911624097,NO
155,8,7.02997581688319E-6,NO
156,1,0.00902669030736187,NO
157,1,5.624053401511859E-7,NO
158,0,2.7461227630015324E-8,NO
159,0,2.9231077955923337E-8,NO
160,1,0.00902669030736187,NO
161,0,7.012721181131399E-4,NO
162,1,0.00902669030736187,NO
163,13,1.40597539543058E-5,NO
164,1,3.6051638925531376E-7,NO
165,1,0.1891585774661737,NO
166,9,7.02997581688319E-6,NO
167,1,0.07604833825276996,NO
168,17,1.40597539543058E-5,NO
169,0,7.012721181131399E-4,NO
170,1,0.5533216776663368,NO
171,0,7.988719927462424E-8,NO
172,0,8.955507516223127E-8,NO
173,1,0.0072993712035680355,NO
174,19,2.8120140488221883E-6,NO
175,2,9.373415306974665E-7,NO
176,1,0.1891585774661737,NO
177,1,0.7464324841605323,NO
178,12,1.40597539543058E-5,NO
179,1,0.00902669030736187,NO
180,1,0.1891585774661737,NO
181,1,0.00902669030736187,NO
182,1,0.5533216776663368,NO
183,1,0.1891585774661737,NO
184,3,5.021476856515316E-7,NO
185,6,7.02997581688319E-6,NO
186,6,1.2781921250583176E-6,NO
187,2,2.2677649906069174E-7,NO
188,1,0.5533216776663368,NO
189,1,0.037987693010188964,NO
190,1,0.1891585774661737,NO
191,9,2.3433472371936074E-6,NO
192,1,0.00902669030736187,NO
193,1,0.09244373911624097,NO
194,1,3.0565523312324633E-7,NO
195,0,2.4666916460307354E-7,NO
196,5,2.8120140488221883E-6,NO
197,1,0.00902669030736187,NO
198,1,0.037987693010188964,NO
199,0,8.955507516223127E-8,NO
200,2,1.1716763642413747E-6,NO
201,1,0.1891585774661737,NO
202,1,0.00902669030736187,NO
203,4,2.5563894782076743E-7,NO
204,6,6.695300234000744E-7,NO
205,0,7.988719927462424E-8,NO
206,3,4.686672509385062E-6,NO
207,1,0.00902669030736187,NO
208,7,3.700036556361177E-7,NO
209,1,0.09244373911624097,NO
210,4,1.2781921250583176E-6,NO
211,0,7.012721181131399E-4,NO
212,4,7.02997581688319E-6,NO
213,5,5.858388685342429E-7,NO
214,1,0.5533216776663368,NO
215,3,1.8500189626943676E-7,NO
216,6,1.1716763642413747E-6,NO
217,1,0.037987693010188964,NO
218,5,7.02997581688319E-6,NO
219,1,0.07604833825276996,NO
220,13,7.02997581688319E-6,NO
221,1,0.00902669030736187,NO
222,4,1.8500189626943676E-7,NO
223,1,0.00902669030736187,NO
224,1,0.1891585774661737,NO
225,18,4.686672509385062E-6,NO
226,1,0.1891585774661737,NO
227,1,0.07604833825276996,NO
228,1,3.6051638925531376E-7,NO
229,1,0.1891585774661737,NO
230,0,7.012721181131399E-4,NO
231,19,2.0085846909692025E-6,NO
232,32,1.40597539543058E-5,NO
233,1,0.08266131398324292,NO
234,39,1.2781921250583176E-6,NO
235,1,0.1891585774661737,NO
236,0,7.030064775016837E-7,NO
237,1,0.9329685195961641,YES
238,1,0.1891585774661737,NO
239,10,7.02997581688319E-6,NO
240,3,4.6867120465371764E-7,NO
241,4,7.02997581688319E-6,NO
242,1,0.07604833825276996,NO
243,1,0.1891585774661737,NO
244,1,2.812028282255652E-7,NO
245,6,3.5150126188953024E-6,NO
246,0,7.012721181131399E-4,NO
247,1,0.5533216776663368,NO
248,1,1.1716763642413747E-6,NO
249,1,0.1891585774661737,NO
250,0,8.955507516223127E-8,NO
251,1,0.1891585774661737,NO
252,1,0.00902669030736187,NO
253,1,0.5533216776663368,NO
254,2,1.4347087024838826E-7,NO
255,1,0.009804056710356042,NO
256,1,0.07604833825276996,NO
257,9,2.8120140488221883E-6,NO
258,1,0.07604833825276996,NO
259,1,0.037987693010188964,NO
260,8,1.40597539543058E-5,NO
261,1,0.00902669030736187,NO
262,1,0.1891585774661737,NO
263,1,0.5533216776663368,NO
264,1,0.00902669030736187,NO
265,4,3.1244756739259695E-7,NO
266,9,1.7575124871262212E-6,NO
267,1,0.07604833825276996,NO
268,14,7.02997581688319E-6,NO
269,1,0.1891585774661737,NO
270,7,2.8120140488221883E-6,NO
271,1,0.1891585774661737,NO
272,0,7.988719927462424E-8,NO
273,1,0.1891585774661737,NO
274,1,8.57326030973132E-8,NO
275,1,0.00902669030736187,NO
276,12,7.02997581688319E-6,NO
277,4,1.3519370689517648E-7,NO
278,1,0.07604833825276996,NO
279,1,0.09244373911624097,NO
280,5,0.04761965338430689,NO
281,1,0.00902669030736187,NO
282,1,0.00902669030736187,NO
283,1,7.030064775016837E-7,NO
284,1,0.00902669030736187,NO
285,3,1.0815476081033874E-6,NO
286,4,1.0815476081033874E-6,NO
287,1,0.00902669030736187,NO
288,0,2.7461227630015324E-8,NO
289,12,3.5150126188953024E-6,NO
290,4,2.0085846909692025E-6,NO
291,1,0.1891585774661737,NO
292,6,2.0085846909692025E-6,NO
293,21,2.0085846909692025E-6,NO
294,32,0.9999859402460457,NO
295,1,1.1716763642413747E-6,NO
296,0,8.955507516223127E-8,NO
297,6,5.207457287133467E-7,NO
298,18,7.02997581688319E-6,NO
299,3,7.02997581688319E-6,NO
300,1,1.1716763642413747E-6,NO
301,1,0.5533216776663368,NO
302,1,0.07604833825276996,NO
303,1,0.1891585774661737,NO
304,1,0.00902669030736187,NO
305,1,0.00902669030736187,NO
306,1,0.00902669030736187,NO
307,27,7.02997581688319E-6,NO
308,1,0.00902669030736187,NO
309,1,0.1891585774661737,NO
310,1,0.09244373911624097,NO
311,1,0.1891585774661737,NO
312,18,7.02997581688319E-6,NO
313,1,0.00902669030736187,NO
314,0,6.570162369736676E-8,NO
315,8,7.02997581688319E-6,NO
316,4,1.3519370689517648E-7,NO
317,3,9.373415306974665E-7,NO
318,2,0.1676647266189649,NO
319,1,0.1891585774661737,NO
320,7,3.5150126188953024E-6,NO
321,1,1.0262880607907366E-7,NO
322,0,7.012721181131399E-4,NO
323,1,0.5533216776663368,NO
324,1,0.09244373911624097,NO
325,5,8.787577879908961E-7,NO
326,3,0.9736838599965367,YES
327,1,0.1891585774661737,NO
328,6,2.0085846909692025E-6,NO
329,1,2.652856954504299E-7,NO
330,1,0.5533216776663368,NO
331,1,0.1891585774661737,NO
332,1,0.00902669030736187,NO
333,1,4.734056561466304E-8,NO
334,1,0.1891585774661737,NO
335,1,9.311355430731665E-8,NO
336,3,1.2781921250583176E-6,NO
337,0,3.3717382183795945E-8,NO
338,1,0.00902669030736187,NO
339,1,1.7575124871262212E-6,NO
340,1,4.734056561466304E-8,NO
341,1,0.5533216776663368,NO
342,1,0.1891585774661737,NO
343,5,2.8120140488221883E-6,NO
344,1,0.1891585774661737,NO
345,1,0.037987693010188964,NO
346,1,0.09244373911624097,NO
347,1,0.1891585774661737,NO
348,1,0.1891585774661737,NO
349,3,6.825314271595637E-8,NO
350,8,2.8120140488221883E-6,NO
351,1,0.1891585774661737,NO
352,1,4.734056561466304E-8,NO
353,12,1.3018653386945883E-7,NO
354,0,6.570162369736676E-8,NO
355,1,0.00902669030736187,NO
356,2,0.2102564520393595,NO
357,3,1.0815476081033874E-6,NO
358,0,2.7461227630015324E-8,NO
359,1,0.037987693010188964,NO
360,1,0.00902669030736187,NO
361,1,0.00902669030736187,NO
362,3,7.02997581688319E-6,NO
363,3,7.02997581688319E-6,NO
364,0,7.012721181131399E-4,NO
365,1,1.2781921250583176E-6,NO
366,4,1.7575124871262212E-6,NO
367,0,2.9231077955923337E-8,NO
368,5,2.3433472371936074E-6,NO
369,6,8.270662389080079E-7,NO
370,3,1.7575124871262212E-6,NO
371,1,2.8120140488221883E-6,NO
372,1,0.07604833825276996,NO
373,1,8.787577879908961E-7,NO
374,0,2.7461227630015324E-8,NO
375,1,0.07604833825276996,NO
376,6,4.260647678096138E-7,NO
377,1,0.00902669030736187,NO
378,4,2.8120140488221883E-6,NO
379,1,0.1891585774661737,NO
380,1,0.08266131398324292,NO
381,5,3.5150126188953024E-6,NO
382,1,0.00902669030736187,NO
383,0,2.7461227630015324E-8,NO
384,1,0.00902669030736187,NO
385,9,7.02997581688319E-6,NO
386,1,0.00902669030736187,NO
387,7,1.40597539543058E-5,NO
388,1,0.00902669030736187,NO
389,3,1.0042943626948833E-6,NO
390,1,5.624053401511859E-7,NO
391,0,1.3920936043739582E-7,NO
392,1,0.09244373911624097,NO
393,1,0.00902669030736187,NO
394,11,2.0085846909692025E-6,NO
395,1,0.1891585774661737,NO
396,12,7.02997581688319E-6,NO
397,12,1.5622339320334507E-6,NO
398,1,0.07604833825276996,NO
399,0,7.012721181131399E-4,NO
400,9,2.3433472371936074E-6,NO
401,1,0.00902669030736187,NO
402,12,7.02997581688319E-6,NO
403,1,0.1891585774661737,NO
404,22,0.2000016872084293,NO
405,1,0.037987693010188964,NO
406,3,6.390968794177572E-7,NO
407,0,7.012721181131399E-4,NO
408,0,7.012721181131399E-4,NO
409,1,0.5533216776663368,NO
410,0,2.7461227630015324E-8,NO
411,1,0.00902669030736187,NO
412,0,2.7461227630015324E-8,NO
413,3,1.4060109781337175E-6,NO
414,1,0.09244373911624097,NO
415,22,7.02997581688319E-6,NO
416,13,2.0085846909692025E-6,NO
417,4,1.7575124871262212E-6,NO
418,1,0.1891585774661737,NO
419,0,1.3920936043739582E-7,NO
420,6,7.02997581688319E-6,NO
421,2,1.4347087024838826E-7,NO
422,3,0.7272725820233437,NO
423,1,0.00902669030736187,NO
424,5,1.2781921250583176E-6,NO
425,5,1.5622339320334507E-6,NO
426,1,0.1891585774661737,NO
427,15,4.686672509385062E-6,NO
428,96,4.686672509385062E-6,NO
429,1,0.00902669030736187,NO
430,15,1.40597539543058E-5,NO
431,12,1.0042943626948833E-6,NO
432,3,2.3433472371936074E-6,NO
433,1,0.037987693010188964,NO
434,1,0.5533216776663368,NO
435,1,0.00902669030736187,NO
436,0,2.9231077955923337E-8,NO
437,2,3.1244756739259695E-7,NO
438,1,0.1891585774661737,NO
439,3,1.3390614812671326E-7,NO
440,1,0.037987693010188964,NO
441,5,1.8746858729484143E-7,NO
442,1,0.9102563968105684,NO
443,0,2.9231077955923337E-8,NO
444,1,0.1891585774661737,NO
445,3,4.2222667061476755E-8,NO
446,3,1.9000194561992316E-7,NO
