ID,Size,PredictedProbability,ActualValue
0,1,4.80691403551721E-5,NO
1,0,1.7739734999302514E-5,NO
2,1,1.6823430130286306E-5,NO
3,1,1.6823430130286306E-5,NO
4,1,4.80691403551721E-5,NO
5,31,0.9974225391731839,NO
6,3,9.364462264265365E-5,NO
7,1,1.5280665640588122E-4,NO
8,0,1.7739734999302514E-5,NO
9,7,1.1408787366649028E-4,NO
10,1,6.0214622180961445E-5,NO
11,0,1.7739734999302514E-5,NO
12,1,1.6823430130286306E-5,NO
13,1,1.6823430130286306E-5,NO
14,7,0.001083163412578711,NO
15,1,1.5003385760296563E-4,NO
16,1,6.0214622180961445E-5,NO
17,4,2.7426314347461643E-5,NO
18,0,1.7739734999302514E-5,NO
19,1,4.80691403551721E-5,NO
20,0,1.416145239541828E-5,NO
21,1,1.6823430130286306E-5,NO
22,1,1.3429972933198595E-5,NO
23,1,1.6823430130286306E-5,NO
24,20,0.6808968154078908,NO
25,3,9.364462264265365E-5,NO
26,3,1.5494130772455587E-4,NO
27,0,1.7739734999302514E-5,NO
28,1,1.3429972933198595E-5,NO
29,1,1.6823430130286306E-5,NO
30,2,3.894049574753422E-5,NO
31,0,2.017375805334719E-5,NO
32,1,8.272507225064495E-4,NO
33,1,1.3429972933198595E-5,NO
34,1,1.3429972933198595E-5,NO
35,1,1.3429972933198595E-5,NO
36,1,2.6310747169542315E-5,NO
37,1,1.882699175388342E-5,NO
38,1,1.3429972933198595E-5,NO
39,1,1.5003385760296563E-4,NO
40,0,2.9914599903707834E-5,NO
41,2,1.7338341178184285E-5,NO
42,1,1.3429972933198595E-5,NO
43,1,6.0214622180961445E-5,NO
44,1,1.6823430130286306E-5,NO
45,6,2.881011496947972E-5,NO
46,58,1.0,NO
47,1,1.6823430130286306E-5,NO
48,1,1.3429972933198595E-5,NO
49,3,9.364462264265365E-5,NO
50,1,1.6823430130286306E-5,NO
51,1,1.6823430130286306E-5,NO
52,1,1.882699175388342E-5,NO
53,1,1.6823430130286306E-5,NO
54,16,3.875382144502592E-4,NO
55,46,1.0,NO
56,1,3.7450556975056315E-5,NO
57,11,2.621288740196693E-4,NO
58,1,1.6823430130286306E-5,NO
59,0,2.017375805334719E-5,NO
60,2,6.266155718120775E-5,NO
61,3,2.3283906821586572E-4,NO
62,5,5.409526931529162E-5,NO
63,1,1.882699175388342E-5,NO
64,1,1.3429972933198595E-5,NO
65,2,3.558306398418516E-5,NO
66,1,1.6823430130286306E-5,NO
67,0,7.769455064301963E-5,NO
68,3,4.8232118640632104E-5,NO
69,0,2.9914599903707834E-5,NO
70,4,2.889896281115789E-5,NO
71,1,4.80691403551721E-5,NO
72,0,2.017375805334719E-5,NO
73,0,1.7739734999302514E-5,NO
74,1,7.250807100543556E-5,NO
75,2,1.3300505061398497E-5,NO
76,0,2.017375805334719E-5,NO
77,2,2.6057109056954458E-5,NO
78,1,1.5029401845920471E-5,NO
79,1,6.0214622180961445E-5,NO
80,3,2.365236062334956E-4,NO
81,1,1.6823430130286306E-5,NO
82,0,1.7739734999302514E-5,NO
83,1,4.80691403551721E-5,NO
84,1,6.0214622180961445E-5,NO
85,0,1.7739734999302514E-5,NO
86,1,1.6823430130286306E-5,NO
87,0,1.7739734999302514E-5,NO
88,13,2.2782555030192818E-4,NO
89,8,0.01607377082519803,NO
90,1,1.6823430130286306E-5,NO
91,1,1.6823430130286306E-5,NO
92,1,4.80691403551721E-5,NO
93,1,1.6823430130286306E-5,NO
94,1,1.015372452003888E-4,NO
95,0,2.9914599903707834E-5,NO
96,1,4.80691403551721E-5,NO
97,3,2.6137810197813082E-5,NO
98,1,1.6823430130286306E-5,NO
99,0,1.416145239541828E-5,NO
100,1,1.3429972933198595E-5,NO
101,1,1.6823430130286306E-5,NO
102,1,4.80691403551721E-5,NO
103,1,1.3429972933198595E-5,NO
104,1,4.80691403551721E-5,NO
105,1,6.0214622180961445E-5,NO
106,7,8.023325152863E-5,NO
107,4,2.1967870126372198E-5,NO
108,1,1.6823430130286306E-5,NO
109,1,0.036734023761882825,NO
110,12,0.0018492372060006463,NO
111,12,0.0018492372060006463,NO
112,1,1.6823430130286306E-5,NO
113,1,4.80691403551721E-5,NO
114,1,1.3429972933198595E-5,NO
115,1,1.1977371885247317E-4,NO
116,1,1.3429972933198595E-5,NO
117,1,1.3429972933198595E-5,NO
118,3,9.364462264265365E-5,NO
119,1,6.0214622180961445E-5,NO
120,12,0.020168634812765596,NO
121,1,6.13275596934055E-5,NO
122,1,1.3429972933198595E-5,NO
123,4,2.9238346765152434E-5,NO
124,6,4.50568356750632E-5,NO
125,1,1.6823430130286306E-5,NO
126,0,1.416145239541828E-5,NO
127,1,1.3429972933198595E-5,NO
128,1,1.3429972933198595E-5,NO
129,1,1.6823430130286306E-5,NO
130,1,3.7450556975056315E-5,NO
131,1,1.6823430130286306E-5,NO
132,1,1.6823430130286306E-5,NO
133,1,4.80691403551721E-5,NO
134,15,0.08476250895900386,NO
135,24,0.9998294911021001,NO
136,25,0.9947748200730072,NO
137,1,1.6823430130286306E-5,NO
138,5,3.819894813330901E-5,NO
139,1,6.0214622180961445E-5,NO
140,1,2.836944846511459E-5,NO
141,1,1.3429972933198595E-5,NO
142,1,1.3429972933198595E-5,NO
143,1,1.5029401845920471E-5,NO
