ID,Size,PredictedProbability,ActualValue
0,4,3.621704260671376E-4,NO
1,0,2.948679314498146E-4,NO
2,5,2.2985998850267352E-4,NO
3,1,1.5870170912291541E-4,NO
4,0,2.618262650678519E-4,NO
5,1,1.1045719534364935E-4,NO
6,1,1.1045719534364935E-4,NO
7,5,2.706324970212782E-4,NO
8,0,1.8555940176567012E-4,NO
9,1,1.1045719534364935E-4,NO
10,1,4.127041977114535E-4,NO
11,1,1.7755612356675412E-4,NO
12,0,1.6476437302868606E-4,NO
13,1,1.1045719534364935E-4,NO
14,1,4.127041977114535E-4,NO
15,1,1.1045719534364935E-4,NO
16,15,0.06135904694090961,NO
17,105,1.0,NO
18,7,1.7171548715209747E-65,NO
19,0,6.090765984291352E-4,NO
20,1,1.1045719534364935E-4,NO
21,2,1.5755387350220132E-4,NO
22,10,0.03595941067896927,NO
23,0,2.618262650678519E-4,NO
24,1,5.928831987803886E-4,NO
25,1,1.5870170912291541E-4,NO
26,1,5.928831987803886E-4,NO
27,10,0.001683878934900665,NO
28,6,2.721049825084566E-4,NO
29,1,1.5870170912291541E-4,NO
30,9,0.002064001213929593,NO
31,1,1.5870170912291541E-4,NO
32,9,0.9842817569409102,NO
33,0,1.8555940176567012E-4,NO
34,9,0.0013900363620661072,NO
35,1,1.1045719534364935E-4,NO
36,1,5.928831987803886E-4,NO
37,6,2.1454010090864802E-4,NO
38,0,2.948679314498146E-4,NO
39,8,4.182417166531669E-4,NO
40,1,1.7755612356675412E-4,NO
41,1,4.127041977114535E-4,NO
42,3,1.3219885827159863E-4,NO
43,3,2.6480649697937955E-4,NO
44,1,1.5870170912291541E-4,NO
45,0,2.561483037413908E-4,NO
46,0,3.833345269164758E-4,NO
47,2,1.6279412317759073E-4,NO
48,27,0.9955447995318781,NO
49,4,2.48710373636183E-4,NO
50,1,1.7755612356675412E-4,NO
51,29,0.9983220040271403,NO
52,5,1.2891162063649857E-4,NO
53,1,1.1045719534364935E-4,NO
54,3,8.283802281954786E-4,NO
55,1,4.127041977114535E-4,NO
56,0,1.1467705159025078E-4,NO
57,3,1.666399841646412E-4,NO
58,1,2.521930161483063E-4,NO
