ID,Size,PredictedProbability,ActualValue
0,11,2.5394816761439394E-5,NO
1,0,1.753671787618862E-6,NO
2,0,1.3987091730417352E-6,NO
3,1,1.1787814231743654E-6,NO
4,1,1.647144937198685E-6,NO
5,1,4.434635700278347E-6,NO
6,1,5.560047559631716E-6,NO
7,1,1.4779311388021745E-6,NO
8,11,3.300237164100902E-5,NO
9,2,2.511415606791454E-6,NO
10,1,1.647144937198685E-6,NO
11,4,3.1586511788808834E-6,NO
12,2,1.5309302033334443E-6,NO
13,1,1.4779311388021745E-6,NO
14,1,1.1787814231743654E-6,NO
15,1,1.1787814231743654E-6,NO
16,1,2.3365922751101407E-5,NO
17,2,1.8959639214171769E-6,NO
18,1,1.1787814231743654E-6,NO
19,1,2.3865195923990667E-6,NO
20,12,0.002730698134134586,NO
21,1,1.1787814231743654E-6,NO
22,1,5.235297107484658E-6,NO
23,1,1.1787814231743654E-6,NO
24,13,1.0030277803520701E-4,NO
25,1,1.4779311388021745E-6,NO
26,0,1.5502477824869102E-6,NO
27,1,1.4779311388021745E-6,NO
28,5,5.78586223294191E-5,NO
29,9,1.476374370615894E-4,NO
30,1,1.1787814231743654E-6,NO
31,0,1.753671787618862E-6,NO
32,7,3.7350306580223586E-6,NO
33,29,0.9611157400916939,NO
34,1,1.1787814231743654E-6,NO
35,4,3.1931632181656847E-6,NO
36,0,1.753671787618862E-6,NO
37,7,6.176437476055547E-5,NO
38,1,1.3137445099920833E-6,NO
39,8,3.0865865687740185E-5,NO
40,1,1.1787814231743654E-6,NO
41,1,1.4779311388021745E-6,NO
42,1,1.4779311388021745E-6,NO
43,3,8.936913948024174E-6,NO
44,1,5.560047559631716E-6,NO
45,1,1.1787814231743654E-6,NO
46,1,1.1787814231743654E-6,NO
47,5,1.5200731178302768E-5,NO
48,3,8.936913948024174E-6,NO
49,1,1.1787814231743654E-6,NO
50,0,1.2364603912080088E-6,NO
51,1,1.1787814231743654E-6,NO
52,3,2.530272361146458E-6,NO
53,1,1.4779311388021745E-6,NO
54,1,1.9034618089249744E-6,NO
55,1,1.4779311388021745E-6,NO
56,9,3.5003430002805535E-5,NO
57,1,1.1787814231743654E-6,NO
58,1,1.4779311388021745E-6,NO
59,1,4.434635700278347E-6,NO
60,1,1.1787814231743654E-6,NO
61,7,1.1777299215415614E-4,NO
62,6,5.0553964607251815E-6,NO
63,1,1.1787814231743654E-6,NO
64,13,0.031278762508363506,NO
65,1,1.4779311388021745E-6,NO
