ID,Size,PredictedProbability,ActualValue
0,1,0.5716995094569985,NO
1,1,1.979223488664547E-4,NO
2,1,0.13567137525120623,NO
3,3,0.0,NO
4,1,0.13567137525120623,NO
5,10,0.0,NO
6,1,0.13567137525120623,NO
7,45,0.01,NO
8,1,0.5716995094569985,NO
9,24,0.0,NO
10,1,0.1095197788397788,NO
11,5,0.0,NO
12,1,0.13567137525120623,NO
13,1,0.0,NO
14,2,0.23751952109194896,NO
15,1,0.1095197788397788,NO
16,0,0.0,NO
17,7,0.0,NO
18,1,0.0,NO
19,3,0.0,NO
20,1,0.032819734505740966,NO
21,0,0.0,NO
22,0,0.0,NO
23,12,0.0,NO
24,11,0.0,NO
25,2,0.23751952109194896,NO
26,4,0.0,NO
27,1,0.13567137525120623,NO
28,0,0.0,NO
29,14,0.0,NO
30,7,0.0,NO
31,1,0.0,NO
32,0,6.424949241490414E-4,NO
33,7,0.0,NO
34,8,0.0014285714285714286,NO
35,0,0.0,NO
36,1,1.979223488664547E-4,NO
37,9,0.0,NO
38,1,0.13567137525120623,NO
39,12,0.214728354978355,NO
40,32,0.0,NO
41,1,0.032819734505740966,NO
42,1,1.979223488664547E-4,NO
43,1,1.979223488664547E-4,NO
44,1,0.0,NO
45,3,0.0,NO
46,1,1.979223488664547E-4,NO
47,1,0.7791173257901819,NO
48,1,1.979223488664547E-4,NO
49,1,0.026360927165912346,NO
50,1,1.979223488664547E-4,NO
51,1,0.0,NO
52,1,0.026360927165912346,NO
53,1,0.13567137525120623,NO
54,15,0.0,NO
55,1,1.979223488664547E-4,NO
56,1,0.5716995094569985,NO
57,1,0.026360927165912346,NO
58,6,0.0,NO
59,9,0.22,NO
60,1,0.13567137525120623,NO
61,3,0.0,NO
62,2,0.0,NO
63,0,0.0,NO
64,4,0.0,NO
65,2,0.0,NO
66,1,0.13567137525120623,NO
67,3,0.0,NO
68,3,0.0,NO
69,1,0.13567137525120623,NO
70,13,0.0,NO
71,1,1.979223488664547E-4,NO
72,1,1.979223488664547E-4,NO
73,1,0.5716995094569985,NO
74,1,0.0,NO
75,10,0.0,NO
76,1,0.0,NO
77,3,0.0,NO
78,3,0.0,NO
79,1,1.979223488664547E-4,NO
80,0,0.0,NO
81,1,0.8394466362768601,NO
82,7,0.0,NO
83,1,0.13567137525120623,NO
84,27,0.01,NO
85,1,0.13567137525120623,NO
86,0,6.424949241490414E-4,NO
87,0,0.0,NO
88,7,0.7491905688455253,NO
89,1,1.979223488664547E-4,NO
90,1,0.8394466362768601,YES
91,1,0.13567137525120623,NO
92,1,0.13567137525120623,NO
93,1,1.979223488664547E-4,NO
94,1,1.979223488664547E-4,NO
95,7,0.023799999999999998,NO
96,1,1.979223488664547E-4,NO
97,1,0.13567137525120623,NO
98,2,0.01063551679628444,NO
99,1,0.13567137525120623,NO
100,1,0.032819734505740966,NO
101,1,0.0,NO
102,4,0.0,NO
103,0,0.0,NO
104,6,0.028972164186392528,NO
105,0,0.0,NO
106,2,0.0,NO
107,0,6.424949241490414E-4,NO
108,3,0.0,NO
109,3,0.0,NO
110,10,0.17,NO
111,1,0.032819734505740966,NO
112,1,0.13567137525120623,NO
113,0,6.424949241490414E-4,NO
114,1,0.5716995094569985,NO
115,9,0.01,NO
116,1,0.13567137525120623,NO
117,6,0.0,NO
118,1,1.979223488664547E-4,NO
119,2,0.0,NO
120,10,0.0,NO
121,1,0.13567137525120623,NO
122,3,0.0,NO
123,42,0.068,NO
124,1,0.1095197788397788,NO
125,3,0.0,NO
126,1,1.979223488664547E-4,NO
127,12,0.0,NO
128,9,0.0,NO
129,3,0.0,NO
130,1,0.0,NO
131,1,0.13567137525120623,NO
132,1,0.032819734505740966,NO
133,5,0.0,NO
134,1,0.032819734505740966,NO
135,1,1.979223488664547E-4,NO
136,1,0.0,NO
137,1,0.13567137525120623,NO
138,0,0.0,NO
139,7,0.0,NO
140,1,0.5716995094569985,NO
141,7,0.04,NO
142,8,0.6924479441255068,NO
143,1,0.13567137525120623,NO
144,0,0.0,NO
145,0,0.0,NO
146,1,0.032819734505740966,NO
147,1,1.979223488664547E-4,NO
148,1,0.0,NO
149,2,0.0,NO
150,7,0.0,NO
151,7,0.0,NO
152,1,1.979223488664547E-4,NO
153,1,0.13567137525120623,NO
154,14,0.05,NO
155,7,0.0,NO
156,0,6.424949241490414E-4,NO
157,1,1.979223488664547E-4,NO
158,1,1.979223488664547E-4,NO
159,1,1.979223488664547E-4,NO
160,13,0.0,NO
161,1,0.13567137525120623,NO
162,7,0.0,NO
163,0,6.424949241490414E-4,NO
164,1,1.979223488664547E-4,NO
165,18,0.2275,NO
166,16,0.01,NO
167,4,0.01,NO
168,4,0.0,NO
169,0,0.0,NO
170,1,0.13567137525120623,NO
171,0,0.0,NO
172,29,0.02,NO
173,1,0.032819734505740966,NO
174,1,0.0,NO
175,17,0.01,NO
176,1,0.0,NO
177,2,0.23751952109194896,NO
178,1,1.979223488664547E-4,NO
179,14,0.0,NO
180,47,0.07777777777777778,NO
181,1,0.0,NO
182,29,0.0,NO
183,4,0.0,NO
184,1,1.979223488664547E-4,NO
185,1,0.13567137525120623,NO
186,1,0.13567137525120623,NO
187,1,1.979223488664547E-4,NO
188,1,1.979223488664547E-4,NO
189,1,0.026360927165912346,NO
190,1,1.979223488664547E-4,NO
191,1,0.13567137525120623,NO
192,1,1.979223488664547E-4,NO
193,1,0.13567137525120623,NO
194,1,1.979223488664547E-4,NO
195,1,0.13567137525120623,NO
196,1,1.979223488664547E-4,NO
197,12,0.0,NO
198,1,0.0,NO
199,13,0.0,NO
200,1,0.13567137525120623,NO
201,0,0.0,NO
202,32,0.0,NO
203,1,0.5716995094569985,NO
204,0,0.0,NO
205,1,0.032819734505740966,NO
206,1,1.979223488664547E-4,NO
207,12,0.0,NO
208,1,0.0,NO
209,1,0.13567137525120623,NO
210,1,0.8394466362768601,NO
211,0,6.424949241490414E-4,NO
212,0,0.0,NO
213,1,0.032819734505740966,NO
214,13,0.02,NO
215,8,0.0,NO
216,1,0.8394466362768601,NO
217,1,0.5716995094569985,NO
218,1,0.21609225161310533,NO
219,1,1.979223488664547E-4,NO
220,3,0.0,NO
221,1,0.21609225161310533,NO
222,7,0.0,NO
223,3,0.0,NO
224,3,0.0,NO
225,0,0.0,NO
226,11,0.0,NO
227,1,0.026360927165912346,NO
228,0,0.0,NO
229,1,0.1095197788397788,NO
230,1,1.979223488664547E-4,NO
231,8,0.0,NO
232,1,1.979223488664547E-4,NO
233,10,0.0,NO
234,1,1.979223488664547E-4,NO
235,2,0.0,NO
236,1,0.13567137525120623,NO
237,2,0.23751952109194896,NO
238,1,0.0,NO
239,1,0.13567137525120623,NO
240,4,0.0,NO
241,1,0.5716995094569985,NO
242,1,0.032819734505740966,NO
243,1,0.0,NO
244,1,0.5716995094569985,NO
245,12,0.0,NO
246,1,0.13567137525120623,NO
247,13,0.0,NO
248,1,1.979223488664547E-4,NO
249,1,0.1095197788397788,NO
250,4,0.0,NO
251,0,0.0,NO
252,1,0.25459134947839707,NO
253,1,0.0,NO
254,12,0.0,NO
255,32,0.01,NO
256,1,0.026360927165912346,NO
257,1,0.026360927165912346,NO
258,7,0.023799999999999998,NO
259,1,1.979223488664547E-4,NO
260,0,0.0,NO
261,0,0.0,NO
262,1,0.5716995094569985,NO
263,3,0.0,NO
264,1,1.979223488664547E-4,NO
265,1,1.979223488664547E-4,NO
266,1,1.979223488664547E-4,NO
267,1,0.026360927165912346,NO
268,1,1.979223488664547E-4,NO
269,1,0.13567137525120623,NO
270,9,0.0,NO
271,1,0.0,NO
272,1,0.0,NO
273,3,0.0,NO
274,1,1.979223488664547E-4,NO
275,4,0.0,NO
276,8,0.0,NO
277,1,1.979223488664547E-4,NO
278,85,0.0,NO
279,1,0.1095197788397788,NO
280,1,0.026360927165912346,NO
281,1,0.0,NO
282,0,0.0,NO
283,1,0.5716995094569985,NO
284,1,0.1095197788397788,NO
