ID,Size,PredictedProbability,ActualValue
0,4,0.0,NO
1,0,0.0,NO
2,5,0.06788543491322582,NO
3,1,3.986302424138971E-4,NO
4,0,0.0,NO
5,1,0.0023786198359106083,NO
6,1,0.0023786198359106083,NO
7,5,0.0,NO
8,0,0.0,NO
9,1,0.0023786198359106083,NO
10,1,0.011414618071305964,NO
11,1,0.0032196163457787396,NO
12,0,6.394428699784505E-4,NO
13,1,0.0023786198359106083,NO
14,1,0.011414618071305964,NO
15,1,0.0023786198359106083,NO
16,15,0.0,NO
17,105,0.0,NO
18,7,0.01,NO
19,0,0.0,NO
20,1,0.0023786198359106083,NO
21,2,0.013890832837561502,NO
22,10,0.02,NO
23,0,0.0,NO
24,1,0.002235704834227378,NO
25,1,3.986302424138971E-4,NO
26,1,0.002235704834227378,NO
27,10,0.002777777777777778,NO
28,6,0.0,NO
29,1,3.986302424138971E-4,NO
30,9,0.0,NO
31,1,3.986302424138971E-4,NO
32,9,0.035,NO
33,0,0.0,NO
34,9,0.0,NO
35,1,0.0023786198359106083,NO
36,1,0.002235704834227378,NO
37,6,0.0,NO
38,0,0.0,NO
39,8,0.0,NO
40,1,0.0032196163457787396,NO
41,1,0.011414618071305964,NO
42,3,0.0,NO
43,3,0.0,NO
44,1,3.986302424138971E-4,NO
45,0,0.0,NO
46,0,0.0,NO
47,2,0.0,NO
48,27,0.025,NO
49,4,0.0,NO
50,1,0.0032196163457787396,NO
51,29,0.0,NO
52,5,0.0,NO
53,1,0.0023786198359106083,NO
54,3,0.0,NO
55,1,0.011414618071305964,NO
56,0,0.0,NO
57,3,0.0,NO
58,1,0.006524887167545704,NO
59,1,0.0023786198359106083,NO
60,1,3.986302424138971E-4,NO
61,1,0.10924326698382833,NO
62,1,0.0032196163457787396,NO
63,1,0.0023973076128903786,NO
64,1,0.10924326698382833,NO
65,4,0.0,NO
66,1,3.986302424138971E-4,NO
67,3,0.0,NO
68,1,0.0,NO
69,9,0.0,NO
70,0,6.394428699784505E-4,NO
71,0,0.0,NO
72,0,6.394428699784505E-4,NO
73,1,0.0023786198359106083,NO
74,13,0.0,NO
75,1,0.0,NO
76,1,3.986302424138971E-4,NO
77,0,6.394428699784505E-4,NO
78,6,0.0,NO
79,6,0.01,NO
80,1,0.006524887167545704,NO
81,1,0.011414618071305964,NO
82,1,0.0,NO
83,21,0.0,NO
84,3,0.0,NO
85,1,0.0032196163457787396,NO
86,12,0.0,NO
87,1,0.0023973076128903786,NO
88,13,0.0,NO
89,1,0.0023973076128903786,NO
90,1,0.010515909363915811,NO
91,1,0.03666528476319548,NO
92,0,0.0,NO
93,1,3.986302424138971E-4,NO
94,0,0.0,NO
95,6,6.458333333333332E-4,NO
96,0,0.0,NO
97,0,0.0,NO
98,0,0.0,NO
99,1,0.0023786198359106083,NO
100,3,0.0,NO
101,16,0.0,NO
102,3,0.0,NO
103,3,0.0,NO
104,0,6.394428699784505E-4,NO
105,1,3.986302424138971E-4,NO
106,1,0.0,NO
107,6,0.0,NO
