ID,Size,PredictedProbability,ActualValue
0,1,3.329327264813159E-8,NO
1,1,5.465554929711387E-4,NO
2,0,3.329327264813159E-8,NO
3,1,6.795859818957798E-4,NO
4,1,5.465554929711387E-4,NO
5,1,4.639574643796657E-7,NO
6,0,1.2579613227211717E-7,NO
7,0,6.795859818957798E-4,NO
8,18,1.198555022065398E-6,NO
9,1,1.0523900831177687E-6,NO
10,3,0.0035170490557753426,NO
11,1,5.465554929711387E-4,NO
12,1,5.465554929711387E-4,NO
13,15,1.0786788341639159E-5,NO
14,1,5.465554929711387E-4,NO
15,1,6.795859818957798E-4,NO
16,13,1.0786788341639159E-5,NO
17,1,6.795859818957798E-4,NO
18,39,2.8765223994799246E-6,NO
19,1,6.795859818957798E-4,NO
20,0,5.465554929711387E-4,NO
21,0,5.465554929711387E-4,NO
22,1,3.329327264813159E-8,NO
23,1,5.465554929711387E-4,NO
24,1,6.795859818957798E-4,NO
25,0,6.795859818957798E-4,NO
26,5,1.0786788341639159E-5,NO
27,1,3.329327264813159E-8,NO
28,1,5.465554929711387E-4,NO
29,13,2.8201346332273907E-7,NO
30,1,6.795859818957798E-4,NO
31,1,6.795859818957798E-4,NO
32,5,1.6595361928248292E-6,NO
33,32,1.0786788341639159E-5,NO
34,1,5.465554929711387E-4,NO
35,5,1.0786788341639159E-5,NO
36,115,1.0786788341639159E-5,YES
37,1,1.0653845686715997E-7,NO
38,1,5.465554929711387E-4,NO
39,1,6.795859818957798E-4,NO
40,1,5.465554929711387E-4,NO
41,28,1.0786788341639159E-5,NO
42,3,0.004587254018857293,NO
43,8,0.01639412677596556,NO
44,28,5.393452348848497E-6,NO
45,4,2.8765223994799246E-6,NO
46,6,8.629467907008854E-6,NO
47,1,6.795859818957798E-4,NO
48,11,2.0449320653118583E-7,NO
49,3,0.0035170490557753426,NO
50,1,5.465554929711387E-4,NO
51,1,5.465554929711387E-4,NO
52,13,2.8201346332273907E-7,NO
53,1,6.795859818957798E-4,NO
54,4,2.1573949025073243E-6,NO
55,0,3.5659548307633496E-7,NO
56,1,5.465554929711387E-4,NO
57,7,2.1573949025073243E-6,NO
58,1,0.008097337851477709,NO
59,2,0.004587254018857293,NO
60,26,1.0786788341639159E-5,NO
61,1,5.465554929711387E-4,NO
62,1,0.008097337851477709,NO
63,0,6.795859818957798E-4,NO
64,86,0.5,NO
65,1,6.795859818957798E-4,NO
66,1,1.0034418053924964E-6,NO
67,8,1.0653845686715997E-7,NO
68,0,3.329327264813159E-8,NO
69,10,1.2327993668342452E-6,NO
70,1,5.465554929711387E-4,NO
71,51,1.0786788341639159E-5,NO
72,1,6.795859818957798E-4,NO
73,7,0.003067616206627915,NO
74,1,6.795859818957798E-4,NO
75,15,4.3144361032013115E-5,NO
76,11,1.0786788341639159E-5,NO
77,1,3.329327264813159E-8,NO
78,2,0.004587254018857293,NO
79,6,3.852504551734128E-7,NO
80,1,5.465554929711387E-4,NO
81,7,1.5409982586719675E-6,NO
82,1,6.795859818957798E-4,NO
83,1,1.9092065375813944E-7,NO
84,2,3.4244487836015476E-7,NO
85,10,1.3483739957984667E-6,NO
86,1,6.795859818957798E-4,NO
87,5,4.3144361032013115E-5,NO
88,1,6.795859818957798E-4,NO
89,1,3.329327264813159E-8,NO
90,37,1.438228102977132E-5,NO
91,3,0.0035170490557753426,NO
92,5,3.5956478278691467E-6,NO
93,3,0.0035170490557753426,NO
94,0,5.465554929711387E-4,NO
95,0,0.011628397030210654,NO
96,0,1.2579613227211717E-7,NO
97,2,0.008097337851477709,NO
98,2,0.004587254018857293,NO
99,1,5.465554929711387E-4,NO
100,1,6.795859818957798E-4,NO
101,2,0.0035170490557753426,NO
102,2,6.795859818957798E-4,NO
103,22,4.7941856116901415E-6,NO
104,0,3.5659548307633496E-7,NO
105,6,1.5409982586719675E-6,NO
106,6,0.01724161873677351,NO
107,0,5.076240049300444E-7,NO
108,1,5.465554929711387E-4,NO
109,1,5.465554929711387E-4,NO
110,0,5.076240049300444E-7,NO
111,26,1.0786788341639159E-5,NO
112,1,1.2579613227211717E-7,NO
113,1,5.465554929711387E-4,NO
114,1,6.795859818957798E-4,NO
115,12,1.5409982586719675E-6,NO
116,1,1.9092065375813944E-7,NO
117,0,3.329327264813159E-8,NO
118,1,6.795859818957798E-4,NO
119,1,1.9092065375813944E-7,NO
120,17,1.0786788341639159E-5,NO
121,1,4.7941856116901415E-6,NO
122,12,3.3190613694447207E-6,NO
123,5,2.8201346332273907E-7,NO
124,1,6.795859818957798E-4,NO
125,1,4.1891308810161157E-7,NO
126,1,6.795859818957798E-4,NO
127,24,1.0786788341639159E-5,NO
128,1,6.795859818957798E-4,NO
129,5,2.8201346332273907E-7,NO
130,0,6.795859818957798E-4,NO
131,8,2.8201346332273907E-7,NO
132,1,5.465554929711387E-4,NO
133,0,3.329327264813159E-8,NO
134,1,6.795859818957798E-4,NO
135,7,1.6595361928248292E-6,NO
136,1,5.465554929711387E-4,NO
137,1,5.465554929711387E-4,NO
138,1,5.465554929711387E-4,NO
139,0,5.465554929711387E-4,NO
140,1,5.465554929711387E-4,NO
141,5,8.629467907008854E-6,NO
142,0,3.329327264813159E-8,NO
143,5,2.0449320653118583E-7,NO
144,42,2.157311127410795E-5,NO
145,2,0.0035170490557753426,NO
146,14,4.314771187683917E-6,NO
147,1,6.795859818957798E-4,NO
148,1,6.795859818957798E-4,NO
149,2,0.004587254018857293,NO
