ID,Size,PredictedProbability,ActualValue
0,3,2.08551648316803E-6,NO
1,0,2.2245600951197374E-8,NO
2,2,4.2238449016209313E-7,NO
3,1,2.301268107135783E-7,NO
4,0,1.4038031962365562E-8,NO
5,35,2.3834459891303492E-6,NO
6,7,2.2245502968010572E-6,NO
7,0,1.4699732643729137E-7,NO
8,0,5.561338627570161E-6,NO
9,2,5.381994676400591E-7,NO
10,1,0.0077399465562081856,NO
11,7,1.1917258349793368E-6,NO
12,0,2.804065898987981E-7,NO
13,1,0.002099083381258724,NO
14,0,2.804065898987981E-7,NO
15,1,0.002099083381258724,NO
16,1,0.0077399465562081856,NO
17,0,2.2245600951197374E-8,NO
18,1,0.002099083381258724,NO
19,1,0.0077399465562081856,NO
20,1,0.0077399465562081856,NO
21,1,0.0077399465562081856,NO
22,7,2.08551648316803E-6,NO
23,1,0.002099083381258724,NO
24,1,0.002099083381258724,NO
25,7,1.6683644749118515E-5,NO
26,29,1.1122553542567014E-5,NO
27,2,3.440039170481905E-7,NO
28,0,5.63655391042916E-8,NO
29,1,0.0077399465562081856,NO
30,1,3.889090945913923E-8,NO
31,1,0.11494282410903425,NO
32,14,6.673591507443299E-6,NO
33,1,7.583716431839991E-7,NO
34,18,3.336617615937767E-5,NO
35,1,0.002099083381258724,NO
36,1,0.08403384672481021,NO
37,2,4.186750328393114E-8,NO
38,1,7.583716431839991E-7,NO
39,20,3.336617615937767E-5,NO
40,12,1.6683644749118515E-5,NO
41,1,0.02544533291381981,NO
42,1,8.341961548882248E-6,NO
43,9,0.7692293871146669,YES
44,5,8.341961548882248E-6,NO
45,1,0.002099083381258724,NO
46,1,0.002099083381258724,NO
47,0,1.4038031962365562E-8,NO
48,1,0.002099083381258724,NO
49,6,1.6683644749118515E-5,NO
50,6,3.336617615937767E-5,NO
51,1,1.5889665175641487E-6,NO
52,0,1.4038031962365562E-8,NO
53,0,1.4038031962365562E-8,NO
54,0,5.296566279969127E-7,NO
55,1,0.002099083381258724,NO
56,7,1.6683644749118515E-5,NO
57,49,3.336617615937767E-5,YES
58,24,1.6683644749118515E-5,NO
59,0,1.4038031962365562E-8,NO
60,7,1.1122553542567014E-5,NO
61,1,0.0077399465562081856,NO
62,1,0.002099083381258724,NO
63,0,2.2245600951197374E-8,NO
64,1,0.0077399465562081856,NO
65,0,2.2245600951197374E-8,NO
66,0,1.4038031962365562E-8,NO
67,1,0.02544533291381981,NO
68,0,5.296566279969127E-7,NO
69,1,0.002099083381258724,NO
70,6,5.561338627570161E-6,NO
71,3,1.6683644749118515E-5,NO
72,1,2.301268107135783E-7,NO
73,1,0.002099083381258724,NO
74,1,0.0077399465562081856,NO
75,1,0.002099083381258724,NO
76,18,4.17101556889262E-6,NO
77,62,1.6683644749118515E-5,NO
78,0,1.4038031962365562E-8,NO
79,0,5.63655391042916E-8,NO
80,13,1.6683644749118515E-5,NO
81,0,3.4049367538711014E-7,NO
82,1,0.002099083381258724,NO
83,1,0.002099083381258724,NO
84,1,0.002099083381258724,NO
85,15,1.1122553542567014E-5,NO
86,1,0.002099083381258724,NO
87,21,3.336617615937767E-5,YES
88,2,2.7806847781147475E-6,NO
89,1,0.08403384672481021,NO
90,1,1.6683644749118515E-5,NO
91,1,2.6909987864944174E-7,NO
92,1,0.002099083381258724,NO
93,1,2.780698696158519E-7,NO
94,2,4.186750328393114E-8,NO
95,1,0.02544533291381981,NO
96,1,0.002099083381258724,NO
97,1,0.0077399465562081856,NO
98,0,2.2245600951197374E-8,NO
99,0,2.2245600951197374E-8,NO
100,1,0.02544533291381981,NO
101,1,0.0077399465562081856,NO
102,0,1.4038031962365562E-8,NO
103,2,8.341961548882248E-6,NO
104,1,9.018471006757359E-7,NO
105,17,3.336617615937767E-5,NO
106,1,0.002099083381258724,NO
107,1,2.2245502968010572E-6,NO
108,0,1.4699732643729137E-7,NO
109,1,3.889090945913923E-8,NO
110,1,0.0077399465562081856,NO
111,0,2.2245600951197374E-8,NO
112,1,0.002099083381258724,NO
113,1,0.002099083381258724,NO
114,0,4.17101556889262E-6,NO
115,1,0.0077399465562081856,NO
116,1,3.889090945913923E-8,NO
117,2,4.186750328393114E-8,NO
118,1,0.002099083381258724,NO
119,1,0.002099083381258724,NO
120,2,1.6683644749118515E-5,NO
