ID,Size,PredictedProbability,ActualValue
0,2,4.6277588152789345E-8,NO
1,3,2.7369740562229214E-6,NO
2,0,2.2021749913432505E-8,NO
3,2,2.9935799683997704E-7,NO
4,1,6.386299599195837E-7,NO
5,0,1.4771721435999812E-8,NO
6,35,1.5965718409431272E-6,NO
7,7,1.2772582884483484E-6,NO
8,0,1.4967904322760707E-7,NO
9,0,9.579278105601962E-6,NO
10,2,4.0763633295246515E-7,NO
11,1,7.22160685706592E-9,NO
12,7,1.12699294615115E-6,NO
13,8,6.386226187359104E-6,NO
14,0,3.090147004473297E-7,NO
15,0,3.090147004473297E-7,NO
16,1,3.10179636177994E-4,NO
17,1,3.10179636177994E-4,NO
18,21,3.8317552887802375E-6,NO
19,1,6.386226187359104E-6,NO
20,0,2.2021749913432505E-8,NO
21,1,3.10179636177994E-4,NO
22,1,3.10179636177994E-4,NO
23,2,6.386299599195837E-7,NO
24,1,7.22160685706592E-9,NO
25,6,1.5965718409431272E-6,NO
26,1,7.22160685706592E-9,NO
27,6,1.1974298365987244E-6,NO
28,1,3.10179636177994E-4,NO
29,1,3.10179636177994E-4,NO
30,7,2.1287601887784536E-6,NO
31,29,1.9158189167959846E-5,NO
32,1,3.10179636177994E-4,NO
33,22,9.579278105601962E-6,NO
34,1,4.008142621899241E-8,NO
35,2,2.1287601887784536E-6,NO
36,0,4.1649829723001146E-8,NO
37,1,7.22160685706592E-9,NO
38,12,6.386226187359104E-6,NO
39,1,2.5309012283653188E-8,NO
40,14,6.386226187359104E-6,NO
41,1,7.368805781859768E-7,NO
42,19,6.386226187359104E-6,NO
43,1,3.10179636177994E-4,NO
44,1,4.354296950860017E-7,NO
45,2,4.6277588152789345E-8,NO
46,1,7.368805781859768E-7,NO
47,18,9.579278105601962E-6,NO
48,12,9.579278105601962E-6,NO
49,1,2.8940970029541787E-8,NO
50,1,1.9158189167959846E-5,NO
51,9,9.579278105601962E-6,NO
52,5,0.999980841810832,NO
53,1,3.10179636177994E-4,NO
54,1,3.10179636177994E-4,NO
55,1,3.10179636177994E-4,NO
56,6,0.999980841810832,NO
57,6,9.579278105601962E-6,NO
58,1,7.22160685706592E-9,NO
59,1,6.842463232023823E-7,NO
60,0,1.4771721435999812E-8,NO
61,0,1.4771721435999812E-8,NO
62,0,1.12699294615115E-6,NO
63,1,3.10179636177994E-4,NO
64,0,1.4771721435999812E-8,NO
65,7,4.789684934525008E-6,NO
66,6,1.0643823602040207E-6,NO
67,24,1.9158189167959846E-5,NO
68,0,1.4771721435999812E-8,NO
69,1,7.22160685706592E-9,NO
70,1,3.10179636177994E-4,NO
71,0,2.2021749913432505E-8,NO
72,2,4.6277588152789345E-8,NO
73,1,7.22160685706592E-9,NO
74,0,2.2021749913432505E-8,NO
