ID,Size,PredictedProbability,ActualValue
0,1,1.180819058608537E-7,NO
1,9,8.169934640522877E-5,NO
2,1,1.2159624744252693E-7,NO
3,1,1.3179432704498668E-6,NO
4,1,1.180819058608537E-7,NO
5,1,1.945532861995572E-6,NO
6,1,1.0213878618266503E-5,NO
7,0,1.513193534426666E-6,NO
8,20,8.169934640522877E-5,NO
9,1,1.2159624744252693E-7,NO
10,13,2.7236082361913064E-5,NO
11,5,1.167297007050474E-5,NO
12,3,1.571393102841393E-6,NO
13,1,1.180819058608537E-7,NO
14,1,1.180819058608537E-7,NO
15,3,2.7237417674905077E-6,NO
16,0,4.778515792994696E-7,NO
17,1,1.2159624744252693E-7,NO
18,2,4.300631332679638E-6,NO
19,0,1.7023420822367412E-6,NO
20,1,8.169934640522877E-5,NO
21,1,1.2159624744252693E-7,NO
22,5,7.428316743425941E-6,NO
23,0,2.7236082361913064E-5,NO
24,5,2.7236082361913064E-5,NO
25,1,1.180819058608537E-7,NO
26,9,8.169934640522877E-5,NO
27,1,1.180819058608537E-7,NO
28,8,8.169934640522877E-5,NO
29,11,4.0853010866900895E-5,NO
30,15,1.6337199803953604E-4,NO
31,12,8.169934640522877E-5,NO
32,1,1.180819058608537E-7,NO
33,3,4.806583096208568E-6,NO
34,1,1.945532861995572E-6,NO
35,1,1.180819058608537E-7,NO
36,7,2.042733995179148E-5,NO
37,1,1.2159624744252693E-7,NO
38,1,1.180819058608537E-7,NO
39,6,4.0853010866900895E-5,NO
40,1,1.180819058608537E-7,NO
41,6,4.0853010866900895E-5,NO
42,0,4.778515792994696E-7,NO
43,4,1.0213878618266503E-5,NO
44,1,1.2159624744252693E-7,NO
45,6,2.3345395120812423E-5,NO
46,1,5.106991471324243E-6,NO
47,1,1.180819058608537E-7,NO
48,1,1.180819058608537E-7,NO
49,1,1.3179432704498668E-6,NO
50,1,1.180819058608537E-7,NO
51,13,4.0853010866900895E-5,NO
52,0,4.778515792994696E-7,NO
53,1,1.180819058608537E-7,NO
54,1,1.180819058608537E-7,NO
55,13,8.169934640522877E-5,NO
56,3,2.514224223544704E-6,NO
57,1,1.3179432704498668E-6,NO
58,1,1.0213878618266503E-5,NO
59,1,1.180819058608537E-7,NO
60,9,2.7236082361913064E-5,NO
61,1,1.180819058608537E-7,NO
62,13,8.169934640522877E-5,NO
63,1,1.2159624744252693E-7,NO
64,1,1.900288083673485E-6,NO
65,5,2.7236082361913064E-5,NO
66,3,4.300631332679638E-6,NO
67,3,1.571393102841393E-6,NO
68,8,2.7236082361913064E-5,NO
69,1,1.2159624744252693E-7,NO
70,1,4.539553126390238E-6,NO
71,0,4.778515792994696E-7,NO
72,1,1.2159624744252693E-7,NO
73,2,4.300631332679638E-6,NO
74,10,8.169934640522877E-5,NO
75,2,8.169934640522877E-5,NO
76,3,1.571393102841393E-6,NO
77,3,4.806583096208568E-6,NO
78,1,1.180819058608537E-7,NO
79,6,1.6342005490913846E-5,NO
80,3,2.7237417674905077E-6,NO
81,10,8.169934640522877E-5,NO
82,12,8.169934640522877E-5,NO
83,1,1.900288083673485E-6,NO
84,1,1.180819058608537E-7,NO
85,2,4.0853010866900895E-5,NO
86,1,1.2159624744252693E-7,NO
87,24,8.169934640522877E-5,NO
88,0,4.778515792994696E-7,NO
89,8,8.169934640522877E-5,NO
90,3,4.0853010866900895E-5,NO
91,7,1.167297007050474E-5,NO
92,1,1.2159624744252693E-7,NO
93,2,4.539553126390238E-6,NO
94,1,1.2159624744252693E-7,NO
95,1,1.2159624744252693E-7,NO
96,1,1.2159624744252693E-7,NO
97,1,1.180819058608537E-7,NO
98,1,1.180819058608537E-7,NO
99,1,1.2159624744252693E-7,NO
100,1,4.539553126390238E-6,NO
101,1,1.2159624744252693E-7,NO
102,3,2.514224223544704E-6,NO
103,7,8.169934640522877E-5,NO
104,14,8.169934640522877E-5,NO
105,15,1.6337199803953604E-4,NO
106,1,1.2159624744252693E-7,NO
107,0,1.513193534426666E-6,NO
108,14,1.6337199803953604E-4,NO
109,1,1.2159624744252693E-7,NO
110,3,2.514224223544704E-6,NO
111,0,4.778515792994696E-7,NO
112,6,2.3345395120812423E-5,NO
113,28,8.169934640522877E-5,NO
114,1,1.180819058608537E-7,NO
115,5,2.7236082361913064E-5,NO
116,1,4.300631332679638E-6,NO
117,1,1.180819058608537E-7,NO
118,1,1.2159624744252693E-7,NO
119,3,4.806583096208568E-6,NO
120,1,1.2159624744252693E-7,NO
121,1,1.180819058608537E-7,NO
122,1,1.180819058608537E-7,NO
123,1,1.180819058608537E-7,NO
124,1,1.2159624744252693E-7,NO
125,1,1.180819058608537E-7,NO
126,5,2.042733995179148E-5,NO
127,1,1.900288083673485E-6,NO
128,1,1.2159624744252693E-7,NO
129,21,8.169934640522877E-5,NO
130,1,1.2159624744252693E-7,NO
131,20,8.169934640522877E-5,NO
132,1,1.180819058608537E-7,NO
133,1,1.2159624744252693E-7,NO
134,1,1.2159624744252693E-7,NO
135,17,8.169934640522877E-5,NO
136,0,4.778515792994696E-7,NO
137,0,1.513193534426666E-6,NO
138,8,2.042733995179148E-5,NO
139,1,1.2159624744252693E-7,NO
140,1,1.180819058608537E-7,NO
141,39,2.7236082361913064E-5,NO
142,1,5.106991471324243E-6,NO
143,1,1.2159624744252693E-7,NO
144,1,1.180819058608537E-7,NO
145,5,7.428316743425941E-6,NO
146,3,1.571393102841393E-6,NO
147,0,1.7023420822367412E-6,NO
148,5,2.042733995179148E-5,NO
149,1,1.2159624744252693E-7,NO
150,1,4.300631332679638E-6,NO
151,0,1.167297007050474E-5,NO
152,11,8.169934640522877E-5,NO
153,1,1.2159624744252693E-7,NO
154,1,1.180819058608537E-7,NO
155,1,1.2159624744252693E-7,NO
156,1,1.2159624744252693E-7,NO
157,11,8.169934640522877E-5,NO
158,3,2.7236082361913064E-5,NO
159,1,1.2159624744252693E-7,NO
160,70,8.169934640522877E-5,NO
161,5,7.428316743425941E-6,NO
162,1,1.2159624744252693E-7,NO
163,0,4.778515792994696E-7,NO
164,1,1.180819058608537E-7,NO
165,14,8.169934640522877E-5,NO
166,61,8.169934640522877E-5,NO
167,35,8.169934640522877E-5,NO
168,1,4.539553126390238E-6,NO
169,1,1.2159624744252693E-7,NO
170,9,8.169934640522877E-5,NO
171,3,7.428316743425941E-6,NO
172,69,8.169934640522877E-5,NO
173,1,1.180819058608537E-7,NO
174,0,4.778515792994696E-7,NO
175,10,2.7236082361913064E-5,NO
176,0,4.778515792994696E-7,NO
177,1,1.180819058608537E-7,NO
178,1,1.945532861995572E-6,NO
179,0,4.778515792994696E-7,NO
180,1,1.2159624744252693E-7,NO
181,1,1.2159624744252693E-7,NO
182,1,1.180819058608537E-7,NO
183,1,4.539553126390238E-6,NO
184,9,8.169934640522877E-5,NO
185,2,4.539553126390238E-6,NO
186,14,8.169934640522877E-5,NO
187,0,4.778515792994696E-7,NO
188,1,1.180819058608537E-7,NO
189,0,4.778515792994696E-7,NO
190,1,1.180819058608537E-7,NO
191,1,4.539553126390238E-6,NO
192,0,1.7023420822367412E-6,NO
193,1,1.2159624744252693E-7,NO
194,0,1.7023420822367412E-6,NO
195,3,4.806583096208568E-6,NO
196,1,1.180819058608537E-7,NO
197,0,4.778515792994696E-7,NO
198,13,8.169934640522877E-5,NO
199,3,1.571393102841393E-6,NO
200,22,8.169934640522877E-5,NO
201,2,4.300631332679638E-6,NO
202,4,8.169934640522877E-5,NO
203,1,1.2159624744252693E-7,NO
204,1,1.2159624744252693E-7,NO
205,1,1.0213878618266503E-5,NO
206,3,1.571393102841393E-6,NO
