ID,Size,PredictedProbability,ActualValue
0,1,1.1671105478280556E-4,NO
1,9,1.4979981312356657E-4,NO
2,1,1.1671105478280556E-4,NO
3,1,1.1671105478280556E-4,NO
4,1,1.1671105478280556E-4,NO
5,1,1.1671105478280556E-4,NO
6,1,5.997048136480339E-4,NO
7,0,1.1671105478280556E-4,NO
8,20,5.891759535266532E-4,NO
9,1,1.1671105478280556E-4,NO
10,13,5.04937761358514E-4,NO
11,5,1.2612299696048733E-4,NO
12,3,6.16089050086185E-4,NO
13,1,1.1671105478280556E-4,NO
14,1,1.1671105478280556E-4,NO
15,3,1.1990124248663621E-4,NO
16,0,1.1671105478280556E-4,NO
17,1,1.1671105478280556E-4,NO
18,2,1.1990124248663621E-4,NO
19,0,1.1671105478280556E-4,NO
20,1,5.997048136480339E-4,NO
21,1,1.1671105478280556E-4,NO
22,5,1.2612299696048733E-4,NO
23,0,1.1671105478280556E-4,NO
24,5,1.2612299696048733E-4,NO
25,1,1.1671105478280556E-4,NO
26,9,1.9951992928108947E-4,NO
27,1,1.1671105478280556E-4,NO
28,8,0.12036808070659914,NO
29,11,1.6914409946261976E-4,NO
30,15,0.001582934772886825,NO
31,12,5.04937761358514E-4,NO
32,1,1.1671105478280556E-4,NO
33,3,1.1990124248663621E-4,NO
34,1,1.1671105478280556E-4,NO
35,1,1.1671105478280556E-4,NO
36,7,1.3583872168232436E-4,NO
37,1,1.1671105478280556E-4,NO
38,6,1.3583872168232436E-4,NO
39,1,1.1671105478280556E-4,NO
40,1,1.1671105478280556E-4,NO
41,6,6.979346281469079E-4,NO
42,0,1.1671105478280556E-4,NO
43,4,1.2612299696048733E-4,NO
44,1,1.1671105478280556E-4,NO
45,6,1.3583872168232436E-4,NO
46,1,5.997048136480339E-4,NO
47,1,1.1671105478280556E-4,NO
48,1,1.1671105478280556E-4,NO
49,1,1.1671105478280556E-4,NO
50,1,1.1671105478280556E-4,NO
51,13,5.04937761358514E-4,NO
52,0,1.1671105478280556E-4,NO
53,1,1.1671105478280556E-4,NO
54,1,1.1671105478280556E-4,NO
55,13,3.507864942334592E-4,NO
56,3,1.1990124248663621E-4,NO
57,1,1.1671105478280556E-4,NO
58,1,5.997048136480339E-4,NO
59,1,1.1671105478280556E-4,NO
60,9,1.9951992928108947E-4,NO
61,1,1.1671105478280556E-4,NO
62,13,0.007285822027584295,NO
63,1,1.1671105478280556E-4,NO
64,1,5.997048136480339E-4,NO
65,5,1.2612299696048733E-4,NO
66,3,1.1990124248663621E-4,NO
67,3,6.16089050086185E-4,NO
68,8,0.001024856361017417,NO
69,1,1.1671105478280556E-4,NO
70,1,5.997048136480339E-4,NO
71,0,1.1671105478280556E-4,NO
72,1,1.1671105478280556E-4,NO
73,2,1.1990124248663621E-4,NO
74,10,1.6914409946261976E-4,NO
75,2,6.480416293668013E-4,NO
76,3,6.16089050086185E-4,NO
77,3,1.1990124248663621E-4,NO
78,1,1.1671105478280556E-4,NO
79,6,1.3583872168232436E-4,NO
80,3,1.1990124248663621E-4,NO
81,10,1.3583872168232436E-4,NO
82,12,2.604521973336999E-4,NO
83,1,5.997048136480339E-4,NO
84,1,1.1671105478280556E-4,NO
85,2,6.16089050086185E-4,NO
86,1,1.1671105478280556E-4,NO
87,24,0.4174795204821857,NO
88,0,1.1671105478280556E-4,NO
89,8,1.9951992928108947E-4,NO
90,3,1.1990124248663621E-4,NO
91,7,1.3583872168232436E-4,NO
92,1,1.1671105478280556E-4,NO
93,2,1.1990124248663621E-4,NO
94,1,1.1671105478280556E-4,NO
95,1,1.1671105478280556E-4,NO
96,1,1.1671105478280556E-4,NO
97,1,1.1671105478280556E-4,NO
98,1,1.1671105478280556E-4,NO
99,1,1.1671105478280556E-4,NO
100,1,5.997048136480339E-4,NO
101,1,1.1671105478280556E-4,NO
102,3,1.1990124248663621E-4,NO
103,7,1.8092584487604805E-4,NO
104,14,3.0830582515159997E-4,NO
105,15,0.001582934772886825,NO
106,1,1.1671105478280556E-4,NO
107,0,1.1671105478280556E-4,NO
108,14,0.21977154184501546,NO
109,1,1.1671105478280556E-4,NO
110,3,1.1990124248663621E-4,NO
111,0,1.1671105478280556E-4,NO
112,6,1.3583872168232436E-4,NO
113,28,0.576005754277558,NO
114,1,1.1671105478280556E-4,NO
115,5,1.6798585188121176E-4,NO
116,1,1.1671105478280556E-4,NO
117,1,1.1671105478280556E-4,NO
118,1,1.1671105478280556E-4,NO
119,3,1.1990124248663621E-4,NO
120,1,1.1671105478280556E-4,NO
121,1,1.1671105478280556E-4,NO
122,1,1.1671105478280556E-4,NO
123,1,1.1671105478280556E-4,NO
124,1,1.1671105478280556E-4,NO
125,1,1.1671105478280556E-4,NO
126,5,1.2612299696048733E-4,NO
127,1,5.997048136480339E-4,NO
128,1,1.1671105478280556E-4,NO
129,21,0.005842618471966922,NO
130,1,1.1671105478280556E-4,NO
131,20,5.891759535266532E-4,NO
132,1,1.1671105478280556E-4,NO
133,1,1.1671105478280556E-4,NO
134,1,1.1671105478280556E-4,NO
135,17,0.010421111167068271,NO
136,0,1.1671105478280556E-4,NO
137,0,1.1671105478280556E-4,NO
138,8,1.4979981312356657E-4,NO
139,1,1.1671105478280556E-4,NO
140,1,1.1671105478280556E-4,NO
141,39,0.014533341783141609,NO
142,1,5.997048136480339E-4,NO
143,1,1.1671105478280556E-4,NO
144,1,1.1671105478280556E-4,NO
145,5,1.2612299696048733E-4,NO
146,3,6.16089050086185E-4,NO
147,0,1.1671105478280556E-4,NO
148,5,1.2612299696048733E-4,NO
149,1,1.1671105478280556E-4,NO
150,1,1.1671105478280556E-4,NO
151,0,1.1671105478280556E-4,NO
152,11,2.2528333880658913E-4,NO
153,1,1.1671105478280556E-4,NO
154,1,1.1671105478280556E-4,NO
155,1,1.1671105478280556E-4,NO
156,1,1.1671105478280556E-4,NO
157,11,2.2528333880658913E-4,NO
158,3,0.0987127002815408,NO
159,1,1.1671105478280556E-4,NO
160,70,0.9999999997696135,NO
161,5,1.2612299696048733E-4,NO
162,1,1.1671105478280556E-4,NO
163,0,1.1671105478280556E-4,NO
164,1,1.1671105478280556E-4,NO
165,14,5.976845667438175E-4,NO
166,61,0.9999999884448242,NO
167,35,0.006074860644462846,NO
168,1,5.997048136480339E-4,NO
169,1,1.1671105478280556E-4,NO
170,9,1.9951992928108947E-4,NO
171,3,1.1990124248663621E-4,NO
172,69,0.9999999999873825,NO
173,1,1.1671105478280556E-4,NO
174,0,1.1671105478280556E-4,NO
175,10,4.3677044150550236E-4,NO
176,1,1.1671105478280556E-4,NO
177,0,1.1671105478280556E-4,NO
178,1,1.1671105478280556E-4,NO
179,0,1.1671105478280556E-4,NO
180,1,1.1671105478280556E-4,NO
181,1,1.1671105478280556E-4,NO
182,1,1.1671105478280556E-4,NO
183,1,5.997048136480339E-4,NO
184,9,1.4979981312356657E-4,NO
185,2,1.1990124248663621E-4,NO
186,14,5.976845667438175E-4,NO
187,0,1.1671105478280556E-4,NO
188,1,1.1671105478280556E-4,NO
189,0,1.1671105478280556E-4,NO
190,1,1.1671105478280556E-4,NO
191,1,5.997048136480339E-4,NO
192,0,1.1671105478280556E-4,NO
193,1,1.1671105478280556E-4,NO
194,0,1.1671105478280556E-4,NO
195,3,1.1990124248663621E-4,NO
196,1,1.1671105478280556E-4,NO
197,0,1.1671105478280556E-4,NO
198,13,2.604521973336999E-4,NO
199,3,6.16089050086185E-4,NO
200,22,0.02115170415110021,NO
201,2,1.1990124248663621E-4,NO
202,4,1.1990124248663621E-4,NO
203,1,1.1671105478280556E-4,NO
204,1,1.1671105478280556E-4,NO
205,1,5.997048136480339E-4,NO
206,3,6.16089050086185E-4,NO
207,1,1.1671105478280556E-4,NO
208,0,1.1671105478280556E-4,NO
209,1,1.1671105478280556E-4,NO
210,1,1.1671105478280556E-4,NO
211,1,1.1671105478280556E-4,NO
212,5,1.2612299696048733E-4,NO
213,4,1.2612299696048733E-4,NO
214,0,1.1671105478280556E-4,NO
215,1,1.1671105478280556E-4,NO
216,1,1.1671105478280556E-4,NO
217,1,1.1671105478280556E-4,NO
218,16,7.243555180859071E-4,NO
219,1,1.1671105478280556E-4,NO
220,3,1.1990124248663621E-4,NO
221,32,0.015490382812746,NO
222,6,1.8092584487604805E-4,NO
223,2,1.1990124248663621E-4,NO
224,2,1.1990124248663621E-4,NO
225,40,0.19133893315875222,NO
226,1,1.1671105478280556E-4,NO
227,4,6.16089050086185E-4,NO
228,68,0.9999612190410525,NO
229,3,6.16089050086185E-4,NO
230,0,1.1671105478280556E-4,NO
231,0,1.1671105478280556E-4,NO
232,3,1.1990124248663621E-4,NO
233,10,2.2528333880658913E-4,NO
234,0,1.1671105478280556E-4,NO
235,1,1.1671105478280556E-4,NO
236,0,1.1671105478280556E-4,NO
237,5,1.2612299696048733E-4,NO
238,3,6.16089050086185E-4,NO
239,6,1.8092584487604805E-4,NO
240,1,1.1671105478280556E-4,NO
241,1,1.1671105478280556E-4,NO
242,1,1.1671105478280556E-4,NO
243,1,1.1671105478280556E-4,NO
244,1,1.1671105478280556E-4,NO
245,3,1.1990124248663621E-4,NO
246,1,6.480416293668013E-4,NO
247,1,1.1671105478280556E-4,NO
248,1,1.1671105478280556E-4,NO
249,1,1.1671105478280556E-4,NO
250,0,1.1671105478280556E-4,NO
251,6,1.8092584487604805E-4,NO
252,1,1.1671105478280556E-4,NO
253,7,1.3583872168232436E-4,NO
254,15,0.001582934772886825,NO
255,15,0.012900883846860212,NO
256,7,1.8092584487604805E-4,NO
257,1,1.1671105478280556E-4,NO
258,1,1.1671105478280556E-4,NO
259,0,1.1671105478280556E-4,NO
260,1,1.1671105478280556E-4,NO
261,1,1.1671105478280556E-4,NO
262,1,1.1671105478280556E-4,NO
263,3,6.16089050086185E-4,NO
264,7,3.507864942334592E-4,NO
265,4,1.2612299696048733E-4,NO
266,1,1.1671105478280556E-4,NO
267,1,1.1671105478280556E-4,NO
268,1,1.1671105478280556E-4,NO
269,1,1.1671105478280556E-4,NO
270,1,1.1671105478280556E-4,NO
271,11,0.0011570696491386286,NO
272,0,1.1671105478280556E-4,NO
273,4,1.2612299696048733E-4,NO
274,0,1.1671105478280556E-4,NO
275,0,1.1671105478280556E-4,NO
276,1,1.1671105478280556E-4,NO
277,15,5.976845667438175E-4,NO
278,0,1.1671105478280556E-4,NO
279,1,5.997048136480339E-4,NO
280,0,1.1671105478280556E-4,NO
281,33,0.001425605565197479,NO
282,1,1.1671105478280556E-4,NO
283,1,1.1671105478280556E-4,NO
284,2,1.1990124248663621E-4,NO
285,1,1.1671105478280556E-4,NO
286,1,5.997048136480339E-4,NO
287,1,1.1671105478280556E-4,NO
288,1,1.1671105478280556E-4,NO
289,1,1.1671105478280556E-4,NO
290,2,1.1990124248663621E-4,NO
291,33,0.007843316205933103,NO
292,8,1.9951992928108947E-4,NO
293,1,1.1671105478280556E-4,NO
294,1,1.1671105478280556E-4,NO
295,3,1.1990124248663621E-4,NO
296,1,1.1671105478280556E-4,NO
297,1,1.1671105478280556E-4,NO
298,1,1.1671105478280556E-4,NO
299,6,6.979346281469079E-4,NO
300,1,1.1671105478280556E-4,NO
301,2,1.1990124248663621E-4,NO
302,1,1.1671105478280556E-4,NO
303,1,1.1671105478280556E-4,NO
304,6,1.8092584487604805E-4,NO
305,39,0.9957023686045209,NO
306,1,1.1671105478280556E-4,NO
307,3,1.1990124248663621E-4,NO
308,1,1.1671105478280556E-4,NO
309,1,1.1671105478280556E-4,NO
310,3,1.1990124248663621E-4,NO
311,8,1.4979981312356657E-4,NO
312,1,1.1671105478280556E-4,NO
313,1,1.1671105478280556E-4,NO
314,1,1.1671105478280556E-4,NO
315,1,1.1671105478280556E-4,NO
316,1,1.1671105478280556E-4,NO
317,1,1.1671105478280556E-4,NO
318,1,1.1671105478280556E-4,NO
319,1,1.1671105478280556E-4,NO
320,3,1.1990124248663621E-4,NO
321,34,0.4546935689565742,NO
322,1,1.1671105478280556E-4,NO
323,1,1.1671105478280556E-4,NO
324,1,1.1671105478280556E-4,NO
325,1,1.1671105478280556E-4,NO
326,2,1.1990124248663621E-4,NO
327,2,6.16089050086185E-4,NO
328,0,1.1671105478280556E-4,NO
329,1,1.1671105478280556E-4,NO
330,1,1.1671105478280556E-4,NO
331,36,0.1749866252425418,NO
