ID,Size,PredictedProbability,ActualValue
0,0,4.785086201062896E-5,NO
1,1,2.7072600372399146E-5,NO
2,1,5.404539677718014E-5,NO
3,1,1.540830964774827E-4,NO
4,0,2.9234689080533117E-5,NO
5,30,0.9999986632563175,NO
6,5,7.673925037243047E-5,NO
7,5,1.6468959094795583E-4,NO
8,1,2.7072600372399146E-5,NO
9,7,2.8474488357734575E-4,NO
10,1,5.404539677718014E-5,NO
11,1,6.505495389948237E-5,NO
12,1,2.7072600372399146E-5,NO
13,1,2.2490831760468585E-5,NO
14,11,0.028085179206144513,NO
15,39,0.9999999999997331,NO
16,0,2.4287017325034873E-5,NO
17,1,2.7072600372399146E-5,NO
18,0,2.4287017325034873E-5,NO
19,5,5.573652255976733E-5,NO
20,1,2.2490831760468585E-5,NO
21,13,0.0019833287880825583,NO
22,1,2.2490831760468585E-5,NO
23,27,0.9999999902459942,YES
24,1,6.505495389948237E-5,NO
25,1,5.404539677718014E-5,NO
26,1,6.505495389948237E-5,NO
27,1,2.2490831760468585E-5,NO
28,6,9.908050968617707E-5,NO
29,1,5.404539677718014E-5,NO
30,28,0.9999999852679241,NO
31,6,6.0992360279615306E-5,NO
32,1,6.505495389948237E-5,NO
33,1,6.505495389948237E-5,NO
34,3,7.517502536900465E-5,NO
35,1,2.2490831760468585E-5,NO
36,4,6.999581812480717E-5,NO
37,13,0.012136104027225371,NO
38,3,1.806319936428393E-4,NO
39,1,2.2490831760468585E-5,NO
40,2,0.002036424321694878,NO
41,1,9.21887656613969E-5,NO
42,0,2.9234689080533117E-5,NO
43,0,7.025019965021987E-5,NO
44,1,6.505495389948237E-5,NO
45,2,3.0952845437146227E-4,NO
46,1,2.2490831760468585E-5,NO
47,0,2.572487810260746E-4,NO
48,1,6.505495389948237E-5,NO
49,1,5.404539677718014E-5,NO
50,1,6.505495389948237E-5,NO
51,9,0.014454128230703672,NO
52,0,2.9234689080533117E-5,NO
53,1,2.7072600372399146E-5,NO
54,8,1.581636413044329E-4,NO
55,0,7.025019965021987E-5,NO
56,1,6.505495389948237E-5,NO
57,2,4.0609116651061014E-5,NO
58,9,4.1617635976480576E-4,NO
59,1,2.7072600372399146E-5,NO
60,1,2.7072600372399146E-5,NO
61,1,1.0647845810181159E-4,NO
62,1,5.404539677718014E-5,NO
63,41,1.0,NO
64,1,2.7072600372399146E-5,NO
65,3,1.806319936428393E-4,NO
66,0,1.8262267605074364E-4,NO
67,0,2.572487810260746E-4,NO
68,2,4.8881710571300586E-5,NO
69,6,1.1158220113036652E-4,NO
70,5,1.396986830182211E-4,NO
71,2,4.2645193302892575E-5,NO
72,3,7.517502536900465E-5,NO
73,2,4.3860613736373175E-5,NO
74,7,1.1554023808591079E-4,NO
75,22,0.9965894814756369,NO
76,0,4.785086201062896E-5,NO
77,2,2.7072600372399146E-5,NO
78,1,6.505495389948237E-5,NO
79,1,2.2490831760468585E-5,NO
80,31,0.9999999999954644,NO
81,2,2.7238349677143658E-5,NO
82,10,0.005363277848298255,NO
83,1,6.505495389948237E-5,NO
84,13,0.9944717508518441,NO
85,1,7.582504083649497E-4,NO
86,1,2.6323138044999654E-4,NO
87,1,1.1123289458634509E-4,NO
88,12,0.0026977526878265005,NO
89,1,7.135283698376674E-5,NO
90,1,6.505495389948237E-5,NO
91,2,5.749631929100193E-5,NO
92,1,2.7072600372399146E-5,NO
93,0,1.1498137721298921E-4,NO
94,1,2.2490831760468585E-5,NO
95,7,2.0910040101909886E-4,YES
96,1,6.505495389948237E-5,NO
97,1,2.2490831760468585E-5,NO
98,45,1.0,NO
99,1,3.836493616057389E-5,NO
100,1,5.404539677718014E-5,NO
101,1,5.607176642223052E-4,NO
102,1,2.7072600372399146E-5,NO
103,0,9.95506840104858E-5,NO
104,1,3.836493616057389E-5,NO
105,1,6.505495389948237E-5,NO
106,0,8.162269970316598E-5,NO
107,28,0.9983525106568244,NO
108,2,1.0539375454927554E-4,NO
109,5,1.5394880871647578E-4,NO
110,14,0.10069331133098011,NO
111,1,6.505495389948237E-5,NO
112,1,6.505495389948237E-5,NO
113,1,6.505495389948237E-5,NO
114,1,6.505495389948237E-5,NO
115,33,1.0,NO
116,1,2.7072600372399146E-5,NO
117,3,0.9999999678779302,NO
118,1,5.404539677718014E-5,NO
119,0,2.572487810260746E-4,NO
120,1,7.576717894657796E-5,NO
121,1,2.2490831760468585E-5,NO
122,1,2.7072600372399146E-5,NO
123,6,2.8238730288638784E-4,NO
124,1,6.505495389948237E-5,NO
125,6,0.0013634832488028685,NO
126,1,6.505495389948237E-5,NO
127,1,2.8466780869794455E-4,NO
128,30,0.9999999999956154,NO
129,3,5.548598006400776E-4,NO
130,1,6.505495389948237E-5,NO
131,1,6.505495389948237E-5,NO
132,1,2.7072600372399146E-5,NO
133,1,6.001163923474214E-5,NO
134,1,2.7072600372399146E-5,NO
135,1,1.0647845810181159E-4,NO
136,3,1.806319936428393E-4,NO
137,1,9.24091486657167E-5,NO
138,0,2.4287017325034873E-5,NO
139,1,2.2490831760468585E-5,NO
140,5,1.396986830182211E-4,NO
141,1,4.921553964538477E-4,NO
142,20,0.999284469069784,YES
143,1,6.277654030015762E-5,NO
144,1,4.629078524772208E-5,NO
145,1,2.7072600372399146E-5,NO
146,0,2.9234689080533117E-5,NO
147,1,5.404539677718014E-5,NO
148,6,4.221834494195254E-4,NO
149,1,1.0647845810181159E-4,NO
150,0,4.785086201062896E-5,NO
151,1,2.7072600372399146E-5,NO
152,1,6.505495389948237E-5,NO
153,2,2.7238349677143658E-5,NO
154,0,2.9234689080533117E-5,NO
155,1,5.620574652434261E-4,NO
156,1,5.620574652434261E-4,NO
157,1,5.404539677718014E-5,NO
158,1,6.001163923474214E-5,NO
159,11,0.004599972146518433,NO
160,128,1.0,NO
161,1,6.505495389948237E-5,NO
162,1,2.2490831760468585E-5,NO
163,1,6.505495389948237E-5,NO
164,1,2.3822763677455196E-4,NO
165,10,5.15297225878578E-4,NO
166,0,2.9234689080533117E-5,NO
167,1,5.404539677718014E-5,NO
168,1,2.2490831760468585E-5,NO
169,1,4.6572890721303E-4,NO
170,31,0.9999999999961532,NO
171,1,5.404539677718014E-5,NO
172,1,2.2490831760468585E-5,NO
173,0,7.025019965021987E-5,NO
174,25,0.9999977419964148,NO
175,1,6.505495389948237E-5,NO
176,9,8.760689986007666E-4,NO
177,0,7.025019965021987E-5,NO
178,1,6.505495389948237E-5,NO
179,75,1.0,NO
180,1,6.505495389948237E-5,NO
181,1,2.2490831760468585E-5,NO
182,1,9.21887656613969E-5,NO
183,1,2.7072600372399146E-5,NO
184,1,3.4254677972275885E-4,NO
185,1,2.2490831760468585E-5,NO
186,1,6.505495389948237E-5,NO
187,12,0.035813230783026645,NO
188,1,5.404539677718014E-5,NO
189,1,5.404539677718014E-5,NO
190,1,2.2490831760468585E-5,NO
191,1,5.404539677718014E-5,NO
192,1,1.540830964774827E-4,NO
193,1,4.618038306482546E-5,NO
194,0,4.142882299104664E-5,NO
195,1,5.404539677718014E-5,NO
196,1,5.404539677718014E-5,NO
197,0,2.9234689080533117E-5,NO
198,4,2.8245239314387465E-4,NO
199,0,4.785086201062896E-5,NO
200,9,0.0010487264322710365,NO
201,51,1.0,NO
202,1,7.558648173192622E-5,NO
203,1,1.8205468038171678E-4,NO
204,1,9.21887656613969E-5,NO
205,4,4.4499962055459974E-4,NO
206,1,6.505495389948237E-5,NO
207,1,5.404539677718014E-5,NO
208,1,6.505495389948237E-5,NO
209,2,4.8881710571300586E-5,NO
210,0,4.785086201062896E-5,NO
211,1,6.505495389948237E-5,NO
212,1,2.2490831760468585E-5,NO
213,6,6.963196626121611E-4,NO
214,1,5.404539677718014E-5,NO
215,1,2.7072600372399146E-5,NO
216,1,4.431205150580217E-5,NO
217,8,0.003251999767998565,NO
218,1,5.404539677718014E-5,NO
219,11,0.04759393820903002,NO
220,3,7.881551932420472E-5,NO
221,3,4.93645978189882E-5,NO
222,1,2.2490831760468585E-5,NO
223,0,1.0706602122531452E-4,NO
224,9,0.0015057622983051815,NO
225,10,3.2097134641347253E-4,NO
226,12,0.025480391785792037,NO
227,1,2.2490831760468585E-5,NO
228,1,2.2490831760468585E-5,NO
229,1,5.404539677718014E-5,NO
230,1,2.2490831760468585E-5,NO
231,6,1.2016432653921086E-4,NO
232,1,2.2490831760468585E-5,NO
233,11,3.225054028655719E-4,NO
234,1,5.404539677718014E-5,NO
235,1,2.2490831760468585E-5,NO
236,0,5.836147786651187E-5,NO
237,8,3.455252816148617E-4,NO
238,1,3.065825459813993E-4,NO
239,18,0.11401517791481981,NO
240,1,4.618038306482546E-5,NO
241,15,0.20549284747205157,NO
242,13,0.03528278710102086,NO
243,1,5.404539677718014E-5,NO
244,1,2.2490831760468585E-5,NO
245,1,6.57635380945412E-4,NO
246,1,5.404539677718014E-5,NO
247,7,0.06380613322797789,NO
248,0,2.9234689080533117E-5,NO
249,1,3.6216017276922135E-5,NO
250,1,6.505495389948237E-5,NO
251,1,1.8205468038171678E-4,NO
252,4,3.3997479051464023E-4,NO
253,1,9.21887656613969E-5,NO
254,1,6.505495389948237E-5,NO
255,11,0.013270242732927097,NO
256,3,2.859195883880939E-4,NO
257,1,2.2490831760468585E-5,NO
258,5,6.042058265150277E-5,NO
259,1,7.558648173192622E-5,NO
260,0,5.836147786651187E-5,NO
261,1,5.404539677718014E-5,NO
262,1,4.618038306482546E-5,NO
263,1,6.505495389948237E-5,NO
264,1,5.404539677718014E-5,NO
265,15,0.6675058223959033,NO
266,0,7.025019965021987E-5,NO
267,22,0.6409141132635792,NO
268,1,5.404539677718014E-5,NO
269,1,1.7659482371891428E-4,NO
270,1,3.836493616057389E-5,NO
271,1,2.7072600372399146E-5,NO
272,0,5.383703972538997E-5,NO
273,1,1.9385830383617742E-4,NO
274,1,1.0647845810181159E-4,NO
275,18,0.9840997237811859,NO
276,1,6.505495389948237E-5,NO
277,1,2.2490831760468585E-5,NO
278,8,4.121207146111278E-4,NO
279,1,5.404539677718014E-5,NO
280,10,0.0037163673093732717,NO
281,12,0.004929970833433968,NO
282,4,8.333774019267139E-5,NO
283,1,2.2490831760468585E-5,NO
284,3,4.93645978189882E-5,NO
285,0,4.986839319808001E-5,NO
286,1,2.7072600372399146E-5,NO
287,2,4.134384015964806E-5,YES
288,0,1.1498137721298921E-4,NO
289,6,9.79843527711194E-4,NO
290,0,2.9234689080533117E-5,NO
291,3,1.806319936428393E-4,NO
292,8,4.121207146111278E-4,NO
293,1,2.2490831760468585E-5,NO
294,1,2.2490831760468585E-5,NO
295,4,8.489108941736606E-5,NO
296,1,3.836493616057389E-5,NO
297,1,2.7072600372399146E-5,NO
298,1,0.004447096057534324,NO
299,0,7.025019965021987E-5,NO
300,1,2.2490831760468585E-5,NO
301,0,4.986839319808001E-5,NO
302,3,1.806319936428393E-4,NO
303,138,1.0,NO
304,1,3.434601280081547E-4,NO
305,22,0.9999239643575536,NO
306,6,4.5593973303193326E-5,NO
307,0,7.025019965021987E-5,NO
308,6,1.3556612509632883E-4,NO
309,30,0.9999999998220362,NO
310,1,2.2490831760468585E-5,NO
311,1,4.431205150580217E-5,NO
312,1,2.2490831760468585E-5,NO
313,1,2.2490831760468585E-5,NO
314,1,5.620574652434261E-4,YES
315,0,2.9234689080533117E-5,NO
316,1,6.001163923474214E-5,NO
317,1,3.836493616057389E-5,NO
318,0,2.9234689080533117E-5,NO
319,5,3.6004683613307135E-4,NO
320,1,5.404539677718014E-5,NO
321,1,2.2490831760468585E-5,NO
