ID,Size,PredictedProbability,ActualValue
0,1,2.0851252806929264E-4,NO
1,9,0.0195191323663408,NO
2,1,0.0016569839685183698,NO
3,1,0.0025086563753055824,NO
4,1,2.0851252806929264E-4,NO
5,1,3.7702488843804286E-4,NO
6,1,0.5115711506071458,NO
7,0,1.8431507985918838E-4,NO
8,20,0.4834979367639664,NO
9,1,0.0016569839685183698,NO
10,13,0.12493248213029409,NO
11,5,0.005347407872928632,NO
12,3,0.7131584192964224,NO
13,1,2.0851252806929264E-4,NO
14,1,2.0851252806929264E-4,NO
15,3,0.003983289509809169,NO
16,0,0.0014649406977322763,NO
17,1,0.0016569839685183698,NO
18,2,0.0034281476124305163,NO
19,0,0.0022181241850456647,NO
20,1,0.01837195466327747,NO
21,1,0.0016569839685183698,NO
22,5,0.006375463325719249,NO
23,0,3.542608470894387E-5,NO
24,5,0.01167925992588288,NO
25,1,2.0851252806929264E-4,NO
26,9,0.10349955797134806,NO
27,1,2.0851252806929264E-4,NO
28,8,0.9996362711567365,NO
29,11,0.07403458078728758,NO
30,15,0.995700529660521,NO
31,12,0.06686788234449532,NO
32,1,2.0851252806929264E-4,NO
33,3,5.022746440192597E-4,NO
34,1,3.7702488843804286E-4,NO
35,1,2.0851252806929264E-4,NO
36,7,0.2123400739855563,NO
37,1,0.0016569839685183698,NO
38,6,0.013303663276456946,NO
39,1,2.0851252806929264E-4,NO
40,1,2.0851252806929264E-4,NO
41,6,0.9230566201931051,NO
42,0,0.0014649406977322763,NO
43,4,0.008062440929261179,NO
44,1,0.0016569839685183698,NO
45,6,0.010145420459692125,NO
46,1,0.6308369365765414,NO
47,1,2.0851252806929264E-4,NO
48,1,2.0851252806929264E-4,NO
49,1,0.0025086563753055824,NO
50,1,2.0851252806929264E-4,NO
51,13,0.34629176687936963,NO
52,0,0.0014649406977322763,NO
53,1,2.0851252806929264E-4,NO
54,1,2.0851252806929264E-4,NO
55,13,0.028962941828138977,NO
56,3,0.00251088217680802,NO
57,1,0.0025086563753055824,NO
58,1,0.5115711506071458,NO
59,1,2.0851252806929264E-4,NO
60,9,0.015667472461455483,NO
61,1,2.0851252806929264E-4,NO
62,13,0.9885926325340016,NO
63,1,0.0016569839685183698,NO
64,1,0.5300156823395089,NO
65,5,0.007738380639458672,NO
66,3,0.003799778849189583,NO
67,3,0.7131584192964224,NO
68,8,0.9556223808224933,NO
69,1,0.0016569839685183698,NO
70,1,0.12411809570222015,NO
71,0,0.0014649406977322763,NO
72,1,0.0016569839685183698,NO
73,2,0.0034281476124305163,NO
74,10,0.0021099076816568337,NO
75,2,0.6370792946020518,NO
76,3,0.7131584192964224,NO
77,3,5.022746440192597E-4,NO
78,1,2.0851252806929264E-4,NO
79,6,9.748649120242361E-4,NO
80,3,0.003983289509809169,NO
81,10,0.009724981370620132,NO
82,12,0.2855719855950734,NO
83,1,0.5300156823395089,NO
84,1,2.0851252806929264E-4,NO
85,2,0.5575495786743617,NO
86,1,0.0016569839685183698,NO
87,24,0.9999999795520995,NO
88,0,0.0014649406977322763,NO
89,8,0.2881246131140822,NO
90,3,0.006023444435904844,NO
91,7,0.00524866913713973,NO
92,1,0.0016569839685183698,NO
93,2,2.7199434326351897E-4,NO
94,1,0.0016569839685183698,NO
95,1,0.0016569839685183698,NO
96,1,0.0016569839685183698,NO
97,1,2.0851252806929264E-4,NO
98,1,2.0851252806929264E-4,NO
99,1,0.0016569839685183698,NO
100,1,0.12411809570222015,NO
101,1,0.0016569839685183698,NO
102,3,0.00251088217680802,NO
103,7,0.005707287457512959,NO
104,14,0.008432048808235311,NO
105,15,0.9972756381076439,NO
106,1,0.0016569839685183698,NO
107,0,1.8431507985918838E-4,NO
108,14,0.9999788865715913,NO
109,1,0.0016569839685183698,NO
110,3,0.00251088217680802,NO
111,0,0.0014649406977322763,NO
112,6,0.010231912156666053,NO
113,28,0.9999999461595617,NO
114,1,2.0851252806929264E-4,NO
115,5,0.002046590943120071,NO
116,1,0.002992595220472859,NO
117,1,2.0851252806929264E-4,NO
118,1,0.0016569839685183698,NO
119,3,5.022746440192597E-4,NO
120,1,0.0016569839685183698,NO
121,1,2.0851252806929264E-4,NO
122,1,2.0851252806929264E-4,NO
123,1,2.0851252806929264E-4,NO
124,1,0.0016569839685183698,NO
125,1,2.0851252806929264E-4,NO
126,5,0.005605240866320401,NO
127,1,0.5300156823395089,NO
128,1,0.0016569839685183698,NO
129,21,0.9996514228004967,NO
130,1,0.0016569839685183698,NO
131,20,0.616607582585754,NO
132,1,2.0851252806929264E-4,NO
133,1,0.0016569839685183698,NO
134,1,0.0016569839685183698,NO
135,17,0.997892004761293,NO
136,0,0.0014649406977322763,NO
137,0,1.8431507985918838E-4,NO
138,8,0.02142120461450769,NO
139,1,0.0016569839685183698,NO
140,1,2.0851252806929264E-4,NO
141,39,0.9999985110586417,NO
142,1,0.6308369365765414,NO
143,1,0.0016569839685183698,NO
144,1,2.0851252806929264E-4,NO
145,5,0.006375463325719249,NO
146,3,0.7131584192964224,NO
147,0,0.0022181241850456647,NO
148,5,0.005605240866320401,NO
149,1,0.0016569839685183698,NO
150,1,0.002992595220472859,NO
151,0,6.409778467327426E-4,NO
152,11,0.16073759663125903,NO
153,1,0.0016569839685183698,NO
154,1,2.0851252806929264E-4,NO
155,1,0.0016569839685183698,NO
156,1,0.0016569839685183698,NO
157,11,0.13469861156187318,NO
158,3,0.9999999809600494,NO
159,1,0.0016569839685183698,NO
160,70,1.0,NO
161,5,0.006375463325719249,NO
162,1,0.0016569839685183698,NO
163,0,0.0014649406977322763,NO
164,1,2.0851252806929264E-4,NO
165,14,0.49961655175689207,NO
166,61,3.6144495889984035E-40,NO
167,35,0.9999751409686645,NO
168,1,0.12411809570222015,NO
169,1,0.0016569839685183698,NO
170,9,0.06454406454726157,NO
171,3,3.1620229486204024E-4,NO
172,69,1.0,NO
173,1,2.0851252806929264E-4,NO
174,0,0.0014649406977322763,NO
175,10,0.051934300438544474,NO
176,1,2.0851252806929264E-4,NO
177,0,0.0014649406977322763,NO
178,1,3.7702488843804286E-4,NO
179,0,0.0014649406977322763,NO
180,1,0.0016569839685183698,NO
181,1,0.0016569839685183698,NO
182,1,2.0851252806929264E-4,NO
183,1,0.12411809570222015,NO
184,9,0.0039700616048319246,NO
185,2,2.7199434326351897E-4,NO
186,14,0.17669206168871546,NO
187,0,0.0014649406977322763,NO
188,1,2.0851252806929264E-4,NO
189,0,0.0014649406977322763,NO
190,1,2.0851252806929264E-4,NO
191,1,0.12411809570222015,NO
192,0,0.0022181241850456647,NO
193,1,0.0016569839685183698,NO
194,0,0.0022181241850456647,NO
195,3,5.022746440192597E-4,NO
196,1,2.0851252806929264E-4,NO
197,0,0.0014649406977322763,NO
198,13,0.08436655103496327,NO
199,3,0.7131584192964224,NO
200,22,0.9999849576446457,NO
201,2,0.0034281476124305163,NO
202,4,0.003484307801035657,NO
203,1,0.0016569839685183698,NO
204,1,0.0016569839685183698,NO
205,1,0.5115711506071458,NO
206,3,0.7131584192964224,NO
207,1,2.0851252806929264E-4,NO
208,0,1.8431507985918838E-4,NO
209,1,2.0851252806929264E-4,NO
210,1,0.0016569839685183698,NO
211,1,0.0016569839685183698,NO
212,5,9.79000039025758E-4,NO
213,4,0.002957272804203279,NO
214,0,1.8431507985918838E-4,NO
215,1,0.0016569839685183698,NO
216,1,0.0016569839685183698,NO
217,1,2.0851252806929264E-4,NO
218,16,0.6088967090198707,NO
219,1,2.0851252806929264E-4,NO
220,3,0.003799778849189583,NO
221,32,0.9999993641409387,NO
222,6,0.014076214314218084,NO
223,2,4.593055504496165E-5,NO
224,2,0.0034281476124305163,NO
225,40,0.9999999999758846,NO
226,1,2.0851252806929264E-4,NO
227,4,0.7324180487218315,NO
228,68,1.0,NO
229,3,0.7131584192964224,NO
230,0,0.0022181241850456647,NO
231,0,0.0014649406977322763,NO
232,3,0.00251088217680802,NO
233,10,0.04668266248854311,NO
234,0,0.0014649406977322763,NO
235,1,0.0016569839685183698,NO
236,0,0.0022181241850456647,NO
237,5,0.006375463325719249,NO
238,3,0.7131584192964224,NO
239,6,0.02403392810283147,NO
240,1,0.0016569839685183698,NO
241,1,0.0016569839685183698,NO
242,1,0.002992595220472859,NO
243,1,2.0851252806929264E-4,NO
244,1,2.0851252806929264E-4,NO
245,3,0.00251088217680802,NO
246,1,2.1576376244170843E-4,NO
247,1,0.0016569839685183698,NO
248,1,2.0851252806929264E-4,NO
249,1,2.0851252806929264E-4,NO
250,0,0.0014649406977322763,NO
251,6,0.04565775857001783,NO
252,1,0.0016569839685183698,NO
253,7,0.0011975937373895097,NO
254,15,0.9919386192902031,NO
255,15,0.8532048123499808,NO
256,7,0.012836034908078471,NO
257,1,0.0016569839685183698,NO
258,1,0.0016569839685183698,NO
259,0,1.8431507985918838E-4,NO
260,1,0.0016569839685183698,NO
261,1,0.0016569839685183698,NO
262,1,0.0016569839685183698,NO
263,3,0.7131584192964224,NO
264,7,0.041311041708440945,NO
265,4,0.0035921067075642974,NO
266,1,0.0016569839685183698,NO
267,1,0.0016569839685183698,NO
268,1,2.0851252806929264E-4,NO
269,1,0.0016569839685183698,NO
270,1,0.0016569839685183698,NO
271,11,0.805129556180366,NO
272,0,0.0022181241850456647,NO
273,4,0.00447428477149662,NO
274,0,0.002454202937691983,NO
275,0,0.0014649406977322763,NO
276,1,0.0016569839685183698,NO
277,15,0.22757442836863784,NO
278,0,0.0014649406977322763,NO
279,1,0.12411809570222015,NO
280,0,0.0022181241850456647,NO
281,33,0.9949572016503535,NO
282,1,2.0851252806929264E-4,NO
283,1,0.0016569839685183698,NO
284,2,0.002160501181977351,NO
285,1,2.0851252806929264E-4,NO
