ID,Size,PredictedProbability,ActualValue
0,0,3.7294193545748765E-6,NO
1,1,2.1430180646157696E-6,NO
2,1,5.790586484292173E-6,NO
3,1,2.232723583052147E-5,NO
4,0,2.282105421760604E-6,NO
5,30,0.9999954477531207,NO
6,5,8.02021701254267E-6,NO
7,5,1.7240762597545073E-5,NO
8,1,2.1430180646157696E-6,NO
9,7,3.4690416254359636E-5,NO
10,1,5.790586484292173E-6,NO
11,1,6.999800136870903E-6,NO
12,1,1.772810764067736E-6,NO
13,1,2.1430180646157696E-6,NO
14,11,0.0051493728516991515,NO
15,39,0.9999999999995793,NO
16,0,1.8878707652745641E-6,NO
17,1,2.1430180646157696E-6,NO
18,0,1.8878707652745641E-6,NO
19,5,4.936797941136927E-6,NO
20,1,1.772810764067736E-6,NO
21,13,1.8224036127597552E-4,NO
22,1,1.772810764067736E-6,NO
23,27,0.9999999915856231,YES
24,1,6.999800136870903E-6,NO
25,1,5.790586484292173E-6,NO
26,1,6.999800136870903E-6,NO
27,1,1.772810764067736E-6,NO
28,6,8.265234740573394E-6,NO
29,1,5.790586484292173E-6,NO
30,28,0.9999999774212023,NO
31,6,5.228567779098911E-6,NO
32,1,6.999800136870903E-6,NO
33,1,6.999800136870903E-6,NO
34,3,7.933588767379145E-6,NO
35,1,1.772810764067736E-6,NO
36,4,5.746864504355213E-6,NO
37,13,0.0023863890994156823,NO
38,3,2.5913363904679543E-5,NO
39,1,1.772810764067736E-6,NO
40,2,5.848560011093096E-4,NO
41,1,1.264590839261733E-5,NO
42,0,2.282105421760604E-6,NO
43,0,7.454102731081744E-6,NO
44,1,6.999800136870903E-6,NO
45,2,4.296601972935959E-5,NO
46,1,1.772810764067736E-6,NO
47,0,2.7057608549500466E-5,NO
48,1,6.999800136870903E-6,NO
49,1,5.790586484292173E-6,NO
50,1,6.999800136870903E-6,NO
51,9,0.0032597918847810207,NO
52,0,2.282105421760604E-6,NO
53,1,2.1430180646157696E-6,NO
54,8,1.4324196925101958E-5,NO
55,1,5.790586484292173E-6,NO
56,0,7.454102731081744E-6,NO
57,1,6.999800136870903E-6,NO
58,2,4.096371073532438E-6,NO
59,1,2.1430180646157696E-6,NO
60,1,2.1430180646157696E-6,NO
61,1,1.1439047361202627E-5,NO
62,41,1.0,NO
63,1,2.1430180646157696E-6,NO
64,9,4.192388861116315E-5,NO
65,3,2.5913363904679543E-5,NO
66,0,1.8090969556428183E-5,NO
67,0,2.7057608549500466E-5,NO
68,2,4.951793574555889E-6,NO
69,6,1.1935190119362785E-5,NO
70,5,1.1993778486285303E-5,NO
71,2,4.5855245916059304E-6,NO
72,3,7.933588767379145E-6,NO
73,2,3.5755881267310805E-6,NO
74,7,1.0409473535976915E-5,NO
75,22,0.9898549919364873,NO
76,0,3.7294193545748765E-6,NO
77,2,2.1430180646157696E-6,NO
78,1,6.999800136870903E-6,NO
79,1,1.772810764067736E-6,NO
80,31,0.9999999999797052,NO
81,2,2.1995662441881083E-6,NO
82,10,8.838097882432695E-4,NO
83,1,6.999800136870903E-6,NO
84,1,1.48876001778252E-4,NO
85,1,5.252907060506126E-5,NO
86,13,0.1971200062255533,NO
87,1,1.528665616469128E-5,NO
88,12,3.811700859214725E-4,NO
89,2,6.228226626257532E-6,NO
90,1,6.999800136870903E-6,NO
91,1,5.693003807935097E-6,NO
92,1,2.1430180646157696E-6,NO
93,0,1.2181463462034225E-5,NO
94,1,1.772810764067736E-6,NO
95,7,2.613778635156772E-5,YES
96,1,6.999800136870903E-6,NO
97,1,1.772810764067736E-6,NO
98,46,1.0,NO
99,1,3.871612869901321E-6,NO
100,1,5.790586484292173E-6,NO
101,1,1.070243030326122E-4,NO
102,1,2.1430180646157696E-6,NO
103,0,1.3466651032952848E-5,NO
104,1,3.871612869901321E-6,NO
105,1,6.999800136870903E-6,NO
106,0,8.144599986048803E-6,NO
107,28,0.9992322848737462,NO
108,14,0.008668571700008156,NO
109,2,1.167900607706987E-5,NO
110,5,1.7173710288638568E-5,NO
111,1,6.999800136870903E-6,NO
112,1,6.999800136870903E-6,NO
113,1,6.999800136870903E-6,NO
114,1,6.999800136870903E-6,NO
115,33,1.0,NO
116,1,2.1430180646157696E-6,NO
117,3,0.9999999976673066,NO
118,1,5.790586484292173E-6,NO
