ID,Size,PredictedProbability,ActualValue
0,1,0.0,NO
1,9,0.0,NO
2,1,0.0,NO
3,1,0.0,NO
4,1,0.0,NO
5,1,0.0,NO
6,1,0.0,NO
7,0,0.0,NO
8,20,0.0,NO
9,1,0.0,NO
10,13,0.0,NO
11,5,0.0,NO
12,3,0.0,NO
13,1,0.0,NO
14,1,0.0,NO
15,3,0.0,NO
16,0,0.0,NO
17,1,0.0,NO
18,2,0.0,NO
19,0,0.0,NO
20,1,0.0016129032258064516,NO
21,1,0.0,NO
22,5,0.0,NO
23,0,0.0,NO
24,5,0.0,NO
25,1,0.0,NO
26,9,0.0,NO
27,1,0.0,NO
28,8,0.0,NO
29,11,0.0,NO
30,15,0.0,NO
31,12,0.0,NO
32,1,0.0,NO
33,3,0.0,NO
34,1,0.0,NO
35,1,0.0,NO
36,7,0.0,NO
37,1,0.0,NO
38,6,0.0,NO
39,1,0.0,NO
40,1,0.0,NO
41,6,0.0,NO
42,0,0.0,NO
43,4,0.0,NO
44,1,0.0,NO
45,6,0.0,NO
46,1,0.17780702386953934,NO
47,1,0.0,NO
48,1,0.0,NO
49,1,0.0,NO
50,1,0.0,NO
51,13,0.0,NO
52,0,0.0,NO
53,1,0.0,NO
54,1,0.0,NO
55,13,0.0,NO
56,3,0.0,NO
57,1,0.0,NO
58,1,0.0,NO
59,1,0.0,NO
60,9,0.0,NO
61,1,0.0,NO
62,13,0.04340902797900769,NO
63,1,0.0,NO
64,1,0.13212168101318894,NO
65,5,0.0,NO
66,3,0.0,NO
67,3,0.0,NO
68,8,0.0,NO
69,1,0.0,NO
70,1,0.0,NO
71,0,0.0,NO
72,1,0.0,NO
73,2,0.0,NO
74,10,0.0,NO
75,2,0.0077777777777777776,NO
76,3,0.0,NO
77,3,0.0,NO
78,1,0.0,NO
79,6,0.0,NO
80,3,0.0,NO
81,10,0.0,NO
82,12,0.0,NO
83,1,0.13212168101318894,NO
84,1,0.0,NO
85,2,0.0,NO
86,1,0.0,NO
87,24,0.0,NO
88,0,0.0,NO
89,8,0.0,NO
90,3,0.0,NO
91,7,0.0,NO
92,1,0.0,NO
93,2,0.0,NO
94,1,0.0,NO
95,1,0.0,NO
96,1,0.0,NO
97,1,0.0,NO
98,1,0.0,NO
99,1,0.0,NO
100,1,0.0,NO
101,1,0.0,NO
102,3,0.0,NO
103,7,0.0,NO
104,14,0.0,NO
105,15,0.0,NO
106,1,0.0,NO
107,0,0.0,NO
108,14,0.0,NO
109,1,0.0,NO
110,3,0.0,NO
111,0,0.0,NO
112,6,0.0,NO
113,28,0.0,NO
114,1,0.0,NO
115,5,0.0,NO
116,1,0.0,NO
117,1,0.0,NO
118,1,0.0,NO
119,3,0.0,NO
120,1,0.0,NO
121,1,0.0,NO
122,1,0.0,NO
123,1,0.0,NO
124,1,0.0,NO
125,1,0.0,NO
126,5,0.0,NO
127,1,0.13212168101318894,NO
128,1,0.0,NO
129,21,0.0,NO
130,1,0.0,NO
131,20,0.0,NO
132,1,0.0,NO
133,1,0.0,NO
134,1,0.0,NO
135,17,0.0,NO
136,0,0.0,NO
137,0,0.0,NO
138,8,0.0,NO
139,1,0.0,NO
140,1,0.0,NO
141,39,0.0,NO
142,1,0.17780702386953934,NO
143,1,0.0,NO
144,1,0.0,NO
145,5,0.0,NO
146,3,0.0,NO
147,0,0.0,NO
148,5,0.0,NO
149,1,0.0,NO
150,1,0.0,NO
151,0,0.0,NO
152,11,0.0,NO
153,1,0.0,NO
154,1,0.0,NO
155,1,0.0,NO
156,1,0.0,NO
157,11,0.0,NO
158,3,0.0,NO
159,1,0.0,NO
160,70,0.0,NO
161,5,0.0,NO
162,1,0.0,NO
163,0,0.0,NO
164,1,0.0,NO
165,14,0.0,NO
166,61,0.0,NO
167,35,0.0,NO
168,1,0.0,NO
169,1,0.0,NO
170,9,0.0,NO
171,3,0.0,NO
172,69,0.0,NO
173,1,0.0,NO
174,0,0.0,NO
175,10,0.0,NO
176,1,0.0,NO
177,0,0.0,NO
178,1,0.0,NO
179,0,0.0,NO
180,1,0.0,NO
181,1,0.0,NO
182,1,0.0,NO
183,1,0.0,NO
184,9,0.0,NO
185,2,0.0,NO
186,14,0.0,NO
187,0,0.0,NO
188,1,0.0,NO
189,0,0.0,NO
190,1,0.0,NO
191,1,0.0,NO
192,0,0.0,NO
193,1,0.0,NO
194,0,0.0,NO
195,3,0.0,NO
196,1,0.0,NO
197,0,0.0,NO
198,13,0.0,NO
199,3,0.0,NO
200,22,0.0,NO
201,2,0.0,NO
202,4,0.0,NO
203,1,0.0,NO
204,1,0.0,NO
205,1,0.0,NO
206,3,0.0,NO
207,1,0.0,NO
208,0,0.0,NO
209,1,0.0,NO
210,1,0.0,NO
211,1,0.0,NO
212,5,0.0,NO
213,4,0.0,NO
214,0,0.0,NO
215,1,0.0,NO
216,1,0.0,NO
217,1,0.0,NO
218,16,0.0,NO
219,1,0.0,NO
220,3,0.0,NO
221,32,0.006999999999999999,NO
222,6,0.0,NO
223,2,0.0,NO
224,2,0.0,NO
225,40,0.0,NO
226,1,0.0,NO
227,4,0.0,NO
228,68,0.01,NO
229,3,0.0,NO
230,0,0.0,NO
231,0,0.0,NO
232,3,0.0,NO
233,10,0.0,NO
234,0,0.0,NO
235,1,0.0,NO
236,0,0.0,NO
237,5,0.0,NO
238,3,0.0,NO
239,6,0.0,NO
240,1,0.0,NO
241,1,0.0,NO
242,1,0.0,NO
243,1,0.0,NO
244,1,0.0,NO
245,3,0.0,NO
246,1,0.0,NO
247,1,0.0,NO
248,1,0.0,NO
249,1,0.0,NO
250,0,0.0,NO
251,6,0.0,NO
252,1,0.0,NO
253,7,0.0,NO
254,15,0.0,NO
255,15,0.0,NO
256,7,0.0,NO
257,1,0.0,NO
258,1,0.0,NO
259,0,0.0,NO
260,1,0.0,NO
261,1,0.0,NO
262,1,0.0,NO
263,3,0.0,NO
264,7,0.0,NO
265,4,0.0,NO
266,1,0.0,NO
267,1,0.0,NO
268,1,0.0,NO
269,1,0.0,NO
270,1,0.0,NO
271,11,0.0,NO
272,0,0.0,NO
273,4,0.0,NO
274,0,0.0,NO
275,0,0.0,NO
276,1,0.0,NO
277,15,0.0,NO
278,0,0.0,NO
279,1,0.0,NO
280,0,0.0,NO
281,33,0.006999999999999999,NO
282,1,0.0,NO
283,1,0.0,NO
284,2,0.0,NO
285,1,0.0,NO
286,1,0.0,NO
287,1,0.0,NO
288,1,0.0,NO
289,1,0.0,NO
290,2,0.0,NO
291,33,0.0,NO
292,8,0.0,NO
293,1,0.0,NO
294,1,0.0,NO
295,3,0.0,NO
296,1,0.0,NO
297,1,0.0,NO
298,1,0.0,NO
299,6,0.0,NO
300,1,0.0,NO
301,2,0.0,NO
302,1,0.0,NO
303,1,0.0,NO
304,6,0.0,NO
305,39,0.0,NO
306,1,0.0,NO
307,3,0.0,NO
308,1,0.0,NO
309,1,0.0,NO
310,3,0.0,NO
311,8,0.0,NO
312,1,0.0,NO
313,1,0.0,NO
314,1,0.0,NO
315,1,0.0,NO
316,1,0.0,NO
317,1,0.0,NO
318,1,0.0,NO
319,1,0.0,NO
320,3,0.0,NO
321,34,0.0,NO
322,1,0.0,NO
323,1,0.0,NO
324,1,0.0,NO
325,1,0.0,NO
326,2,0.0,NO
327,2,0.0,NO
328,0,0.0,NO
329,1,0.0,NO
330,1,0.0,NO
331,36,0.0,NO
332,1,0.0,NO
333,1,0.0,NO
334,1,0.0,NO
335,3,0.0,NO
336,1,0.0,NO
337,3,0.0,NO
338,5,0.0,NO
339,1,0.0,NO
340,10,0.0,NO
341,1,0.13212168101318894,NO
342,0,0.0,NO
343,1,0.0,NO
344,41,0.0,NO
345,4,0.0,NO
346,6,0.0,NO
347,1,0.0,NO
348,1,0.0,NO
349,1,0.0,NO
350,0,0.0,NO
351,1,0.13212168101318894,NO
352,1,0.0,NO
353,0,0.0,NO
354,1,0.0,NO
355,7,0.0,NO
356,1,0.0,NO
357,6,0.0,NO
358,58,0.0,NO
359,1,0.13212168101318894,NO
360,2,0.0,NO
361,9,0.0,NO
362,1,0.0,NO
363,0,0.0,NO
364,0,0.0,NO
365,1,0.0,NO
366,1,0.0,NO
367,1,0.0,NO
368,1,0.0,NO
369,3,0.0,NO
370,1,0.0,NO
371,1,0.0,NO
372,1,0.0,NO
373,1,0.0,NO
374,1,0.0,NO
375,3,0.0,NO
376,1,0.0,NO
377,1,0.0,NO
378,8,0.010703703703703705,NO
379,1,0.0,NO
380,1,0.0,NO
381,2,0.0,NO
382,3,0.0,NO
383,1,0.0,NO
384,1,0.0,NO
385,109,0.0,NO
386,0,0.0,NO
387,1,0.0,NO
388,1,0.0,NO
389,1,0.0,NO
390,2,0.0,NO
391,1,0.0,NO
392,6,0.0,NO
393,1,0.0,NO
394,41,0.0,NO
395,0,0.0,NO
396,12,0.0,NO
397,7,0.0,NO
398,2,0.0,NO
399,11,0.0,NO
400,1,0.0,NO
401,1,0.0,NO
402,1,0.13212168101318894,NO
403,0,0.0,NO
404,7,0.0,NO
405,22,0.0,NO
406,7,0.0,NO
407,4,0.0,NO
408,11,0.0,NO
409,0,0.0,NO
410,1,0.0,NO
411,1,0.0,NO
412,5,0.0,NO
413,26,0.0,NO
414,28,0.0,NO
415,1,0.0,NO
416,1,0.0,NO
417,7,0.0,NO
418,1,0.0,NO
419,3,0.0,NO
420,1,0.0,NO
421,1,0.13212168101318894,NO
422,1,0.0,NO
423,1,0.0,NO
424,1,0.0,NO
425,1,0.0,NO
426,1,0.0,NO
427,12,0.0,NO
428,3,0.0,NO
429,1,0.0,NO
430,1,0.0,NO
431,0,0.0,NO
432,1,0.0,NO
433,1,0.0,NO
434,9,0.0,NO
435,5,0.0,NO
436,3,0.0,NO
437,8,0.0,NO
438,1,0.0,NO
439,1,0.0,NO
440,1,0.01338952972493345,NO
441,1,0.0,NO
442,1,0.0,NO
443,1,0.0,NO
444,1,0.0,NO
445,37,0.0,NO
446,1,0.0,NO
447,1,0.0,NO
448,3,0.0,NO
449,7,0.0,NO
450,1,0.0,NO
451,3,0.0,NO
452,1,0.0,NO
453,21,0.0,NO
454,0,0.0,NO
455,1,0.0,NO
456,21,0.0,NO
457,12,0.0,NO
458,5,0.0,NO
459,0,0.0,NO
460,12,0.8279516113151716,YES
461,0,0.0,NO
462,1,0.0,NO
463,1,0.0,NO
464,1,0.0,NO
465,8,0.0,NO
466,1,0.0,NO
467,7,0.0,NO
468,1,0.0,NO
469,4,0.0,NO
470,13,0.0,NO
471,12,0.0,NO
472,1,0.0,NO
473,1,0.0,NO
474,1,0.0,NO
475,1,0.0,NO
476,1,0.0,NO
477,3,0.0,NO
478,1,0.0,NO
479,1,0.0,NO
480,1,0.0,NO
481,1,0.0,NO
482,1,0.0,NO
483,1,0.0,NO
484,4,0.0,NO
485,1,0.0,NO
486,9,0.0,NO
487,3,0.0,NO
488,1,0.0,NO
489,1,0.0,NO
490,105,0.0,NO
491,18,0.0,NO
492,1,0.0,NO
493,0,0.0,NO
494,1,0.0,NO
495,1,0.0,NO
496,1,0.0,NO
497,5,0.0,NO
498,1,0.0,NO
499,13,0.0,NO
500,1,0.0,NO
501,2,0.0,NO
502,26,0.0,NO
503,1,0.0,NO
504,1,0.0,NO
505,5,0.0,NO
506,1,0.0,NO
507,1,0.0,NO
508,1,0.0,NO
509,1,0.0,NO
510,1,0.0,NO
511,1,0.0,NO
512,1,0.0,NO
513,1,0.0,NO
514,1,0.0,NO
515,1,0.0,NO
516,1,0.13212168101318894,NO
517,2,0.0,NO
518,6,0.0,NO
519,33,0.0,NO
520,1,0.0,NO
521,1,0.0,NO
522,0,0.0,NO
523,15,0.0,NO
524,0,0.0,NO
525,1,0.0,NO
526,1,0.0,NO
527,1,0.0,NO
528,5,0.0,NO
529,1,0.0,NO
530,1,0.0,NO
531,1,0.0,NO
532,0,0.0,NO
533,0,0.0,NO
534,0,0.0,NO
535,1,0.0,NO
536,1,0.0,NO
537,1,0.0,NO
538,1,0.0,NO
539,15,0.0,NO
540,1,0.0,NO
541,0,0.0,NO
542,1,0.0,NO
543,1,0.0,NO
544,1,0.0,NO
545,2,0.0,NO
546,1,0.0,NO
547,2,0.0,NO
548,1,0.0,NO
549,1,0.0,NO
550,1,0.0,NO
551,2,0.0,NO
552,3,0.0,NO
553,1,0.0,NO
554,1,0.0,NO
555,1,0.0,NO
556,5,0.0,NO
557,1,0.0,NO
558,1,0.0,NO
559,1,0.0,NO
560,6,0.0,NO
561,1,0.0,NO
562,1,0.0,NO
563,2,0.0,NO
564,29,0.0,NO
565,1,0.0,NO
566,0,0.0,NO
567,1,0.0,NO
568,1,0.0,NO
569,15,0.0,NO
570,1,0.0,NO
571,1,0.0,NO
572,1,0.0,NO
573,28,0.0,NO
574,1,0.0,NO
575,1,0.0,NO
576,1,0.0,NO
577,1,0.0,NO
578,3,0.0,NO
579,5,0.0,NO
580,29,0.0,NO
581,13,0.0,NO
582,0,0.0,NO
583,1,0.0,NO
584,6,0.0,NO
585,1,0.0,NO
586,3,0.0,NO
587,1,0.0,NO
588,0,0.0,NO
589,1,0.0,NO
590,2,0.0,NO
591,0,0.0,NO
592,50,0.0,NO
593,1,0.0,NO
594,1,0.0,NO
595,13,0.0,NO
596,17,0.0,NO
597,1,0.0,NO
598,15,0.0,NO
599,18,0.0,NO
600,7,0.0,NO
601,1,0.0,NO
602,1,0.0,NO
603,7,0.0,NO
604,81,0.02,NO
605,14,0.0,NO
606,1,0.0,NO
607,9,0.0,NO
608,1,0.0,NO
609,4,0.0,NO
610,1,0.0,NO
611,2,0.001037037037037037,NO
612,1,0.0,NO
613,5,0.0,NO
614,1,0.0,NO
615,3,0.0,NO
616,1,0.0,NO
617,2,0.0,NO
618,20,0.0,NO
619,4,0.0,NO
620,0,0.0,NO
621,1,0.0,NO
622,1,0.0,NO
623,1,0.0,NO
624,1,0.0,NO
625,1,0.0,NO
626,1,0.0,NO
627,28,0.0,NO
628,6,0.0,NO
629,7,0.0,NO
630,1,0.0,NO
631,20,0.0,NO
632,1,0.0,NO
633,12,0.0,NO
634,3,0.0,NO
635,0,0.0,NO
636,1,0.0,NO
637,0,0.0,NO
638,4,0.0,NO
639,2,0.0,NO
640,1,0.0,NO
641,1,0.0,NO
642,6,0.0,NO
643,1,0.0,NO
644,1,0.0,NO
645,1,0.0,NO
646,1,0.0,NO
647,0,0.0,NO
648,1,0.0,NO
649,1,0.0,NO
650,4,0.0,NO
651,6,0.0,NO
652,0,0.0,NO
653,1,0.0,NO
654,1,0.0,NO
655,1,0.0,NO
656,9,0.0,NO
657,13,0.0,NO
658,1,0.007584547294883499,NO
659,5,0.0,NO
660,0,0.0,NO
661,7,0.0,NO
662,1,0.0,NO
663,1,0.0,NO
664,1,0.0,NO
665,1,0.0,NO
666,1,0.0,NO
667,1,0.0,NO
668,1,0.0,NO
669,1,0.0,NO
670,1,0.0,NO
671,0,0.0,NO
672,3,0.0,NO
673,1,0.17780702386953934,NO
674,7,0.0,NO
675,4,0.0,NO
676,1,0.0,NO
677,1,0.0,NO
678,1,0.0,NO
679,0,0.0,NO
680,2,0.0,NO
681,4,0.0,NO
682,51,0.0,NO
683,2,0.0,NO
684,1,0.0,NO
685,7,0.0,NO
686,1,0.0,NO
687,37,0.0,NO
688,1,0.0,NO
689,20,0.0,NO
690,1,0.0,NO
691,7,0.0,NO
692,1,0.0,NO
693,1,0.0,NO
694,1,0.0,NO
695,6,0.0,NO
696,1,0.0,NO
697,3,0.0,NO
698,0,0.0,NO
699,13,0.0,NO
700,3,0.0,NO
701,1,0.0,NO
702,0,0.0,NO
703,1,0.0,NO
704,1,0.0,NO
705,7,0.0,NO
706,1,0.0,NO
707,1,0.0,NO
708,0,0.0,NO
709,0,0.0,NO
710,1,0.0,NO
711,44,0.04,NO
712,1,0.0,NO
713,6,0.0,NO
714,1,0.0,NO
715,1,0.0,NO
716,1,0.0,NO
717,7,0.0,NO
718,6,0.0,NO
719,1,0.0,NO
720,0,0.0,NO
721,1,0.0,NO
722,1,0.0,NO
723,1,0.0,NO
724,2,0.0,NO
725,3,0.0,NO
726,18,0.0,NO
727,1,0.0,NO
728,34,0.0,NO
729,1,0.0,NO
730,0,0.0,NO
731,1,0.0,NO
732,1,0.0,NO
733,0,0.0,NO
734,32,0.0,NO
735,1,0.0,NO
736,20,0.0,NO
737,1,0.0,NO
738,1,0.0,NO
739,2,0.0,NO
740,1,0.13212168101318894,NO
741,1,0.0,NO
742,1,0.0,NO
743,0,0.0,NO
744,1,0.0,NO
745,6,0.0,NO
746,1,0.0,NO
747,1,0.0,NO
748,13,0.0,NO
749,1,0.0,NO
750,6,0.0,NO
751,13,0.0,NO
752,1,0.0,NO
753,1,0.17780702386953934,NO
754,15,0.0,NO
755,1,0.0,NO
756,5,0.0,NO
757,1,0.0,NO
758,4,0.0,NO
759,1,0.0,NO
760,3,0.0,NO
761,1,0.0,NO
762,11,0.0,NO
763,1,0.0,NO
764,5,0.0,NO
765,19,0.0,NO
766,8,0.0,NO
767,1,0.0,NO
768,1,0.0,NO
769,1,0.0,NO
770,5,0.0,NO
771,1,0.0,NO
772,1,0.0,NO
773,1,0.0,NO
774,3,0.0,NO
775,31,0.0,NO
776,7,0.0,NO
777,1,0.0,NO
778,1,0.0,NO
779,1,0.0,NO
780,5,0.0,NO
781,6,0.0,NO
782,0,0.0,NO
783,1,0.0,NO
784,1,0.0,NO
785,0,0.0,NO
786,7,0.0,NO
787,1,0.0,NO
788,1,0.0,NO
789,4,0.0,NO
790,1,0.0,NO
791,1,0.0,NO
792,3,0.0,NO
793,1,0.0,NO
794,1,0.0,NO
795,1,0.0,NO
796,13,0.0,NO
797,1,0.0,NO
798,8,0.0,NO
799,1,0.0,NO
800,1,0.0,NO
801,3,0.0,NO
802,1,0.0,NO
803,1,0.0,NO
804,1,0.0,NO
805,6,0.0,NO
806,6,0.0,NO
807,22,0.0,NO
808,3,0.0,NO
809,1,0.0,NO
810,1,0.0,NO
811,1,0.0,NO
812,0,0.0,NO
813,4,0.0,NO
814,4,0.0,NO
815,1,0.0,NO
816,2,0.0,NO
817,3,0.0,NO
818,6,0.0,NO
819,3,0.0,NO
820,1,0.0,NO
821,6,0.0,NO
822,21,0.0,NO
823,5,0.0,NO
824,1,0.0,NO
825,2,0.0,NO
826,1,0.0,NO
827,1,0.0,NO
828,1,0.0,NO
829,2,0.0,NO
830,4,0.0,NO
831,1,0.0,NO
832,11,0.02,NO
833,1,0.0,NO
834,1,0.0,NO
835,1,0.0,NO
836,22,0.0,NO
837,1,0.0,NO
838,5,0.0,NO
839,4,0.0,NO
840,6,0.0,NO
841,7,0.0,NO
842,0,0.0,NO
843,4,0.0,NO
844,1,0.0,NO
845,1,0.0,NO
846,1,0.13212168101318894,NO
847,58,0.0,NO
848,1,0.0,NO
849,3,0.0,NO
850,90,0.0,NO
851,2,0.0,NO
852,1,0.0,NO
853,1,0.0,NO
854,6,0.0,NO
855,1,0.0,NO
856,1,0.0,NO
857,2,0.0,NO
858,1,0.0,NO
859,37,0.0,NO
860,1,0.0,NO
861,1,0.0,NO
862,2,0.0,NO
863,1,0.0,NO
864,40,0.0,NO
865,1,0.0,NO
866,1,0.0,NO
867,0,0.0,NO
868,12,0.0,NO
869,1,0.0,NO
870,1,0.0,NO
871,1,0.0,NO
872,12,0.0,NO
873,32,0.0,NO
874,2,0.0,NO
875,1,0.0,NO
876,4,0.0,NO
877,5,0.0,NO
878,8,0.005294117647058823,NO
879,0,0.0,NO
880,1,0.0,NO
881,0,0.0,NO
882,3,0.0,NO
883,4,0.0,NO
884,2,0.0,NO
885,7,0.0,NO
886,1,0.0,NO
887,2,0.0,NO
888,0,0.0,NO
889,0,0.0,NO
890,3,0.0,NO
891,1,0.0,NO
892,1,0.0,NO
893,3,0.0,NO
894,1,0.0,NO
895,3,0.0,NO
896,1,0.0,NO
897,4,0.0,NO
898,1,0.0,NO
899,2,0.0,NO
900,1,0.0,NO
901,40,0.0,NO
902,1,0.0,NO
903,12,0.0,NO
904,7,0.0,NO
905,1,0.0,NO
906,4,0.0,NO
907,10,0.0,NO
908,3,0.0,NO
909,22,0.0,NO
910,1,0.0,NO
911,0,0.0,NO
912,11,0.0,NO
