ID,Size,PredictedProbability,ActualValue
0,0,0.0,NO
1,1,0.14900621006339995,NO
2,1,0.25771910237995804,NO
3,1,0.0,NO
4,0,0.0,NO
5,30,0.0,NO
6,4,0.04166666666666666,NO
7,5,0.0,NO
8,1,0.14900621006339995,NO
9,1,0.25771910237995804,NO
10,1,0.14900621006339995,NO
11,1,0.04001764232312189,NO
12,1,0.24015714239828867,NO
13,11,0.01,NO
14,12,0.035,NO
15,39,0.05,NO
16,0,0.0,NO
17,1,0.14900621006339995,NO
18,0,0.0,NO
19,1,0.24015714239828867,NO
20,13,0.006666666666666665,NO
21,1,0.24015714239828867,NO
22,37,0.42,NO
23,5,0.008407643312101911,NO
24,1,0.04001764232312189,NO
25,1,0.0,NO
26,1,0.25771910237995804,NO
27,8,0.0,NO
28,1,0.24015714239828867,NO
29,1,0.25771910237995804,NO
30,28,0.0,NO
31,4,0.0,NO
32,1,0.04001764232312189,NO
33,1,0.04001764232312189,NO
34,3,0.0,NO
35,1,0.24015714239828867,NO
36,4,0.0,NO
37,13,0.0,NO
38,4,0.0,NO
39,3,0.0,NO
40,1,0.24015714239828867,NO
41,1,0.0,NO
42,2,0.0,NO
43,0,0.0,NO
44,0,0.0,NO
45,1,0.0,NO
46,1,0.24015714239828867,NO
47,2,0.0,NO
48,0,0.0,NO
49,1,0.14900621006339995,NO
50,1,0.25771910237995804,NO
51,1,0.04001764232312189,NO
52,1,0.04001764232312189,NO
53,9,0.01,NO
54,0,0.0,NO
55,1,0.14900621006339995,NO
56,7,0.04,NO
57,0,0.0,NO
58,1,0.04001764232312189,NO
59,2,0.8370496648374786,NO
60,9,0.0,NO
61,1,0.14900621006339995,NO
62,1,0.14900621006339995,NO
63,1,0.7999506907935778,NO
64,1,0.25771910237995804,NO
65,41,0.03,NO
66,1,0.14900621006339995,NO
67,3,0.0,NO
68,0,0.0,NO
69,0,0.0,NO
70,2,0.0,NO
71,4,0.04,NO
72,5,0.0,NO
73,2,0.0,NO
74,3,0.0,NO
75,2,0.0,NO
76,22,0.11,NO
77,6,0.0,NO
78,2,0.0,NO
79,0,0.0,NO
80,1,0.04001764232312189,NO
81,28,0.1433333333333333,NO
82,1,0.24015714239828867,NO
83,2,0.0,NO
84,10,0.0,NO
85,1,0.04001764232312189,NO
86,16,0.06,NO
87,1,0.20385715156389003,NO
88,12,0.29055555555555557,NO
89,1,0.0,NO
90,1,0.0,NO
91,1,0.0,NO
92,1,0.54,NO
93,2,0.0,NO
94,1,0.14900621006339995,NO
95,1,0.24015714239828867,NO
96,0,0.0,NO
97,18,0.0,NO
98,7,0.6475,NO
99,1,0.04001764232312189,NO
100,1,0.24015714239828867,NO
101,58,0.94,YES
102,1,0.0,NO
103,1,0.25771910237995804,NO
104,1,0.0,NO
105,0,0.0,NO
106,1,0.0,NO
107,1,0.04001764232312189,NO
108,0,0.0,NO
109,0,0.0,NO
110,5,0.0,NO
111,14,0.01,NO
112,28,0.02,NO
113,1,0.04001764232312189,NO
114,2,0.0,NO
115,1,0.04001764232312189,NO
116,1,0.04001764232312189,NO
117,1,0.14900621006339995,NO
118,3,0.01,NO
119,1,0.25771910237995804,NO
120,0,0.0,NO
121,1,0.0,NO
122,1,0.24015714239828867,NO
123,1,0.14900621006339995,NO
124,6,0.0,NO
125,6,0.0,NO
126,1,0.04001764232312189,NO
127,6,0.0,NO
128,1,0.04001764232312189,NO
129,1,0.0,NO
130,34,0.643547619047619,NO
131,3,0.0,NO
132,1,0.04001764232312189,NO
133,1,0.0,NO
134,1,0.04001764232312189,NO
135,1,0.14900621006339995,NO
136,0,0.0,NO
137,1,0.14900621006339995,NO
138,1,0.878132033162575,NO
139,3,0.0,NO
140,1,0.7919280660847018,NO
141,0,0.0,NO
142,2,0.18,NO
143,1,0.24015714239828867,NO
144,20,0.9066666666666667,NO
145,5,0.0,NO
146,1,0.0,NO
147,1,0.0,NO
148,1,0.0,NO
149,1,0.14900621006339995,NO
150,0,0.0,NO
151,6,0.0,NO
152,1,0.25771910237995804,NO
153,1,0.878132033162575,NO
154,0,0.0,NO
155,1,0.04001764232312189,NO
156,1,0.14900621006339995,NO
157,2,0.0,NO
158,0,0.0,NO
159,1,1.0,NO
160,1,0.0,NO
161,1,0.25771910237995804,NO
162,1,0.0,NO
163,11,0.0,NO
164,1,0.24015714239828867,NO
165,128,0.5495,NO
166,6,0.01,NO
167,1,0.04001764232312189,NO
168,1,0.24015714239828867,NO
169,1,0.04001764232312189,NO
170,1,0.6230827500674458,NO
171,10,0.0,NO
172,0,0.0,NO
173,1,0.25771910237995804,NO
174,1,0.24015714239828867,NO
175,1,0.0,NO
176,1,0.25771910237995804,NO
177,30,0.02,NO
178,1,0.24015714239828867,NO
179,0,0.0,NO
180,25,0.01,NO
181,1,0.24015714239828867,NO
182,9,0.0,NO
183,0,0.0,NO
184,1,0.04001764232312189,NO
185,75,0.04,NO
186,1,0.04001764232312189,NO
187,1,0.24015714239828867,NO
188,1,0.0,NO
189,1,0.24015714239828867,NO
190,1,0.14900621006339995,NO
191,1,0.0,NO
192,1,0.24015714239828867,NO
193,1,0.04001764232312189,NO
194,1,0.25771910237995804,NO
195,1,0.14900621006339995,NO
196,12,0.0,NO
197,1,0.25771910237995804,NO
198,1,0.25771910237995804,NO
199,1,0.24015714239828867,NO
200,1,0.0,NO
201,1,0.0,NO
202,1,0.25771910237995804,NO
203,1,0.0,NO
204,6,0.01,NO
205,4,0.0,NO
206,0,0.0,NO
207,9,0.0,NO
208,47,0.03,NO
209,1,0.14900621006339995,NO
210,1,0.0,NO
211,0,0.0,NO
212,1,0.7999506907935778,NO
213,1,0.0,NO
214,4,0.0,NO
215,1,0.04001764232312189,NO
216,1,0.04001764232312189,NO
217,1,0.04001764232312189,NO
218,2,0.0,NO
219,0,0.0,NO
220,1,0.24015714239828867,NO
221,5,0.0016666666666666663,NO
222,1,0.25771910237995804,NO
223,8,0.0,NO
224,1,0.14900621006339995,NO
225,3,0.0,NO
226,1,0.0,NO
227,1,0.25771910237995804,NO
228,11,0.07,NO
229,3,0.0,NO
230,1,0.24015714239828867,NO
231,0,0.0,NO
232,1,0.25771910237995804,NO
233,9,0.0,NO
234,10,0.0,NO
235,12,0.0,NO
236,1,0.24015714239828867,NO
237,1,0.24015714239828867,NO
238,1,0.25771910237995804,NO
239,1,0.24015714239828867,NO
240,6,0.0,NO
241,1,0.24015714239828867,NO
242,1,0.14900621006339995,NO
243,11,0.0,NO
244,1,0.25771910237995804,NO
245,1,0.24015714239828867,NO
246,0,0.0,NO
247,7,0.09,NO
248,18,0.0,NO
249,1,0.0,NO
250,1,0.0,NO
251,1,0.25771910237995804,NO
252,12,0.02,NO
253,15,0.0,NO
254,1,0.24015714239828867,NO
255,2,0.02,NO
256,1,0.25771910237995804,NO
257,7,0.0,NO
258,0,0.0,NO
259,1,0.0,NO
260,1,0.04001764232312189,NO
261,1,0.0,NO
262,4,0.0016666666666666666,NO
263,1,0.0,NO
264,1,0.04001764232312189,NO
265,11,0.0,NO
266,3,0.0,NO
267,1,0.24015714239828867,NO
268,1,0.0,NO
269,0,0.0,NO
270,1,0.25771910237995804,NO
271,1,0.0,NO
272,1,0.04001764232312189,NO
273,1,0.25771910237995804,NO
274,1,0.14900621006339995,NO
275,3,0.0,NO
276,15,0.0,NO
277,0,0.0,NO
278,22,0.025833333333333333,NO
279,1,0.25771910237995804,NO
280,1,0.0,NO
281,1,0.14900621006339995,NO
282,1,0.7999506907935778,NO
283,0,0.0,NO
284,1,0.0,NO
285,18,0.0,NO
286,1,0.04001764232312189,NO
287,1,0.24015714239828867,NO
288,8,0.0,NO
289,1,0.25771910237995804,NO
290,4,0.0,NO
291,12,0.0,NO
292,1,0.446672987848828,NO
293,3,0.0,NO
294,0,0.0,NO
295,10,0.0,NO
296,1,0.14900621006339995,NO
297,0,0.0,NO
298,10,0.020869565217391303,NO
299,6,0.0,NO
300,0,0.0,NO
301,3,0.0,NO
302,8,0.0,NO
303,1,0.24015714239828867,NO
304,1,0.1047368263524388,NO
305,4,0.0,NO
306,1,0.14900621006339995,NO
307,1,0.0,NO
308,0,0.0,NO
309,1,0.0,NO
310,1,0.0,NO
311,0,0.0,NO
312,3,0.0,NO
313,134,0.0,NO
314,1,0.10849245753581847,NO
315,22,0.01,NO
316,6,0.0,NO
317,0,0.0,NO
318,8,0.05,NO
319,1,0.24015714239828867,NO
320,1,0.0,NO
321,30,0.13,NO
322,1,0.24015714239828867,NO
323,1,0.24015714239828867,NO
324,1,0.009802631578947368,NO
325,0,0.0,NO
326,1,0.0,NO
327,0,0.0,NO
328,1,0.0,NO
329,5,0.04220707070707071,NO
330,1,0.25771910237995804,NO
331,1,0.14900621006339995,NO
332,1,0.24015714239828867,NO
333,0,0.0,NO
334,1,0.0,NO
335,3,0.0,NO
336,1,0.14900621006339995,NO
337,5,0.0,NO
338,2,0.0,NO
339,1,0.25771910237995804,NO
340,1,0.04001764232312189,NO
341,6,0.06797619047619045,NO
342,1,0.24015714239828867,NO
343,9,0.053013470779927956,NO
344,6,0.0,NO
345,1,0.0,NO
346,2,0.0,NO
347,1,0.0,NO
348,1,0.04001764232312189,NO
349,1,0.25771910237995804,NO
350,1,0.14900621006339995,NO
351,1,0.24015714239828867,NO
352,1,0.25771910237995804,NO
353,1,0.14900621006339995,NO
354,1,0.0,NO
355,2,0.01,NO
356,1,0.24015714239828867,NO
357,1,0.24015714239828867,NO
358,1,0.24015714239828867,NO
359,1,0.24015714239828867,NO
360,17,0.0,NO
361,1,0.0,NO
362,1,0.04001764232312189,NO
363,1,0.0,NO
364,6,0.0,NO
365,1,0.24015714239828867,NO
366,1,0.04001764232312189,NO
367,1,0.04001764232312189,NO
368,2,0.0,NO
369,1,0.0,NO
370,4,0.0,NO
371,0,0.0,NO
372,1,0.25771910237995804,NO
