ID,Size,PredictedProbability,ActualValue
0,1,0.0,NO
1,1,7.228963301174841E-4,NO
2,0,0.0,NO
3,1,0.0,NO
4,1,0.0,NO
5,1,0.0,NO
6,0,0.0,NO
7,0,0.0,NO
8,18,0.0,NO
9,1,0.0,NO
10,3,0.0,NO
11,1,0.0,NO
12,1,0.0,NO
13,15,0.0,NO
14,1,7.081185402515492E-4,NO
15,1,0.0,NO
16,13,0.0,NO
17,1,9.84369318642382E-4,NO
18,39,0.0,NO
19,1,0.0,NO
20,0,0.0,NO
21,0,0.0,NO
22,1,0.0,NO
23,1,7.228963301174841E-4,NO
24,1,9.84369318642382E-4,NO
25,0,0.0,NO
26,5,0.0,NO
27,1,0.0,NO
28,1,7.081185402515492E-4,NO
29,13,0.0,NO
30,1,0.001483726954424982,NO
31,1,0.0,NO
32,5,0.0,NO
33,32,0.0,NO
34,1,7.081185402515492E-4,NO
35,5,0.0075,NO
36,115,0.0,YES
37,1,0.0,NO
38,1,0.0,NO
39,1,9.84369318642382E-4,NO
40,1,7.081185402515492E-4,NO
41,28,0.0,NO
42,3,0.0,NO
43,8,0.0,NO
44,28,0.0,NO
45,4,0.0,NO
46,6,0.11533333333333333,NO
47,1,0.001483726954424982,NO
48,11,0.0,NO
49,3,0.0,NO
50,1,7.081185402515492E-4,NO
51,1,7.081185402515492E-4,NO
52,13,0.0,NO
53,1,9.84369318642382E-4,NO
54,4,0.0,NO
55,0,0.0,NO
56,1,7.081185402515492E-4,NO
57,7,0.0,NO
58,1,0.0,NO
59,2,0.0,NO
60,26,0.0,NO
61,1,7.081185402515492E-4,NO
62,1,0.0,NO
63,0,0.0,NO
64,86,0.0,NO
65,1,0.0,NO
66,1,0.0,NO
67,8,0.0,NO
68,0,0.0,NO
69,10,0.0,NO
70,1,0.0,NO
71,51,0.0,NO
72,1,0.001483726954424982,NO
73,7,0.0,NO
74,1,9.84369318642382E-4,NO
75,15,0.0,NO
76,11,0.0,NO
77,1,0.0,NO
78,2,0.0,NO
79,6,0.0,NO
80,1,7.228963301174841E-4,NO
81,7,0.006666666666666666,NO
82,1,0.0,NO
83,1,0.0,NO
84,2,0.0,NO
85,10,0.0,NO
86,1,9.84369318642382E-4,NO
87,5,0.0,NO
88,1,0.0,NO
89,1,0.0,NO
90,37,0.0,NO
91,3,0.0,NO
92,5,0.0,NO
93,3,0.0,NO
94,0,0.0,NO
95,0,0.0,NO
96,0,0.0,NO
97,2,0.0,NO
98,2,0.0,NO
99,1,7.228963301174841E-4,NO
100,1,9.84369318642382E-4,NO
101,2,0.0,NO
102,2,0.0,NO
103,22,0.0,NO
104,0,0.0,NO
105,6,0.0,NO
106,6,0.0,NO
107,0,0.0,NO
108,1,7.228963301174841E-4,NO
109,1,7.228963301174841E-4,NO
110,0,0.0,NO
111,26,0.0,NO
112,1,0.0,NO
113,1,7.081185402515492E-4,NO
114,1,0.001483726954424982,NO
115,12,0.0,NO
116,1,0.0,NO
117,0,0.0,NO
118,1,9.84369318642382E-4,NO
119,1,0.0,NO
120,17,0.0,NO
121,1,0.0,NO
122,12,0.0,NO
123,5,0.0,NO
124,1,0.0,NO
125,1,0.0,NO
126,1,9.84369318642382E-4,NO
127,24,0.01,NO
128,1,9.84369318642382E-4,NO
129,5,0.0,NO
130,0,0.0,NO
131,8,0.0,NO
132,1,7.081185402515492E-4,NO
133,0,0.0,NO
134,1,9.84369318642382E-4,NO
135,7,0.0,NO
136,1,7.081185402515492E-4,NO
137,1,0.0,NO
138,1,0.0,NO
139,0,0.0,NO
140,1,0.0,NO
141,5,0.02,NO
142,0,0.0,NO
143,5,0.0,NO
144,42,0.0,NO
145,2,0.0,NO
146,14,0.0,NO
147,1,0.001483726954424982,NO
148,1,9.84369318642382E-4,NO
149,2,0.0,NO
150,1,9.84369318642382E-4,NO
151,1,0.0,NO
152,0,0.0,NO
153,1,0.0,NO
154,14,0.0,NO
155,1,0.001483726954424982,NO
156,8,0.01,NO
157,1,0.0,NO
158,8,0.0,NO
159,1,0.001483726954424982,NO
160,1,7.228963301174841E-4,NO
161,1,7.228963301174841E-4,NO
162,6,0.0,NO
163,6,0.0,NO
164,20,0.0,NO
165,1,0.0,NO
166,13,0.0,NO
167,31,0.0,NO
168,1,0.0,NO
169,0,0.0,NO
170,1,7.228963301174841E-4,NO
171,1,0.0,NO
172,15,0.0,NO
173,2,0.0,NO
174,1,0.0,NO
175,1,0.0,NO
176,1,7.081185402515492E-4,NO
177,1,0.0,NO
178,1,0.0,NO
179,0,0.0,NO
180,1,9.84369318642382E-4,NO
181,6,0.0,NO
182,1,7.228963301174841E-4,NO
183,1,0.0,NO
184,2,0.0,NO
185,1,7.228963301174841E-4,NO
186,1,0.0,NO
187,1,0.001483726954424982,NO
188,0,0.0,NO
189,12,0.03911904761904762,NO
190,126,0.0,NO
191,1,9.84369318642382E-4,NO
192,11,0.0,NO
193,0,0.0,NO
194,1,7.081185402515492E-4,NO
195,5,0.0,NO
196,13,0.0,NO
197,1,0.0,NO
198,1,0.001483726954424982,NO
199,1,9.84369318642382E-4,NO
200,4,0.0,NO
201,1,0.0,NO
202,1,7.081185402515492E-4,NO
203,10,0.0,NO
204,0,0.0,NO
205,1,7.228963301174841E-4,NO
206,1,0.0,NO
207,3,0.0,NO
208,1,7.081185402515492E-4,NO
209,15,0.0,NO
210,1,0.0,NO
211,0,0.0,NO
212,1,7.081185402515492E-4,NO
213,1,0.0,NO
214,14,0.0,NO
215,1,0.0,NO
216,25,0.0,NO
217,1,7.081185402515492E-4,NO
218,1,9.84369318642382E-4,NO
219,1,7.228963301174841E-4,NO
220,3,0.0,NO
221,15,0.0,NO
222,9,0.0,NO
223,1,5.9916117435590175E-6,NO
224,0,0.0,NO
225,1,7.081185402515492E-4,NO
226,1,0.001483726954424982,NO
227,1,0.0,NO
228,0,0.0,NO
229,1,7.228963301174841E-4,NO
230,1,0.0,NO
231,1,0.0,NO
232,1,7.081185402515492E-4,NO
233,1,0.0,NO
234,1,0.0,NO
235,57,0.01,NO
236,5,0.0,NO
237,1,7.081185402515492E-4,NO
238,1,0.0,NO
239,0,0.0,NO
240,12,0.0,NO
241,1,0.0,NO
242,1,0.0,NO
243,1,0.0,NO
244,1,7.081185402515492E-4,NO
245,1,7.228963301174841E-4,NO
246,1,0.0,NO
247,1,9.84369318642382E-4,NO
248,1,7.228963301174841E-4,NO
249,2,0.0,NO
250,6,0.0,NO
251,4,0.0,NO
252,1,7.081185402515492E-4,NO
253,0,0.0,NO
254,0,0.0,NO
255,1,0.0,NO
256,1,0.001483726954424982,NO
257,7,0.0,NO
258,1,7.228963301174841E-4,NO
259,2,0.0,NO
260,1,0.0,NO
261,0,0.0,NO
262,1,0.001483726954424982,NO
263,1,9.043481101578331E-4,NO
264,2,0.0,NO
265,4,0.0,NO
266,0,0.0,NO
267,5,0.0,NO
268,1,7.081185402515492E-4,NO
269,8,0.0,NO
270,3,0.0,NO
271,2,0.0,NO
272,1,0.0,NO
273,3,0.0,NO
274,13,0.0,NO
275,1,7.081185402515492E-4,NO
276,1,0.001483726954424982,NO
277,1,0.0,NO
278,1,0.0,NO
279,3,0.0,NO
280,1,0.0,NO
281,1,7.081185402515492E-4,NO
282,1,0.0,NO
283,10,0.0,NO
284,1,0.0,NO
285,5,0.0,NO
286,1,7.081185402515492E-4,NO
287,1,9.84369318642382E-4,NO
288,1,7.081185402515492E-4,NO
289,4,0.0,NO
290,1,7.081185402515492E-4,NO
291,1,7.228963301174841E-4,NO
292,6,0.0,NO
293,1,0.0,NO
294,11,0.0,NO
295,1,0.0,NO
296,5,0.0,NO
297,1,7.228963301174841E-4,NO
298,7,0.0,NO
299,1,7.228963301174841E-4,NO
