@relation SYNCOPE_full

@attribute LOC numeric
@attribute NumParameters numeric
@attribute NumBranches numeric
@attribute NestingDepth numeric
@attribute NumCodeSmells numeric
@attribute NumLocalVariables numeric
@attribute NumRevisions numeric
@attribute NumAuthors numeric
@attribute TotalStmtAdded numeric
@attribute TotalStmtDeleted numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute HasFixHistory numeric
@attribute IsBuggy {no,yes}

@data
3,1,1,1,0,0,2,1,3,0,2,1.5,0,no
1,0,0,0,0,0,1,1,1,0,1,1,0,no
5,1,0,0,0,2,3,1,10,0,5,3.333333,0,no
3,1,1,1,0,0,2,2,3,0,2,1.5,0,no
1,0,0,0,0,0,1,1,1,0,1,1,0,no
6,2,1,1,0,3,1,1,6,0,6,6,0,no
1,1,0,0,0,0,2,1,2,0,1,1,0,no
5,0,2,2,0,2,1,1,5,0,5,5,0,no
0,0,0,0,0,0,1,1,0,0,0,0,0,no
1,1,0,0,0,0,2,2,2,0,1,1,0,no
6,0,2,2,0,3,1,1,6,0,6,6,0,no
6,1,2,2,0,3,2,1,12,0,6,6,0,no
1,1,0,0,0,0,2,1,2,0,1,1,0,no
1,1,0,0,0,0,2,2,2,0,1,1,0,no
12,3,3,3,0,3,1,1,12,0,12,12,0,no
3,2,0,0,0,0,1,1,3,0,3,3,0,no
3,1,1,1,0,0,1,1,3,0,3,3,0,no
25,1,4,2,1,9,2,1,50,0,25,25,0,no
1,0,0,0,0,0,1,1,1,0,1,1,0,no
7,1,1,1,0,2,1,1,7,0,7,7,0,no
9,2,3,1,0,2,1,1,9,0,9,9,0,no
7,1,1,1,0,4,1,1,7,0,7,7,0,no
142,1,13,3,2,21,3,1,284,0,142,94.666667,0,yes
2,1,0,0,0,1,1,1,2,0,2,2,0,no
0,2,0,0,0,0,1,1,0,0,0,0,0,no
9,2,2,2,0,0,2,2,8,7,8,7.5,0,no
1,0,0,0,0,0,3,1,2,0,1,0.666667,1,no
3,2,1,1,0,0,1,1,3,0,3,3,0,yes
1,0,0,0,0,0,1,1,1,0,1,1,0,no
1,1,0,0,0,0,1,1,1,0,1,1,0,no
1,0,0,0,0,0,4,2,2,0,1,0.5,0,no
11,0,4,3,0,1,3,1,22,0,11,7.333333,0,no
3,2,0,0,0,1,1,1,3,0,3,3,0,no
1,0,0,0,0,0,1,1,1,0,1,1,0,no
9,4,1,1,0,1,1,1,9,0,9,9,0,no
