@relation training

@attribute LOC numeric
@attribute NumParameters numeric
@attribute NumBranches numeric
@attribute NestingDepth numeric
@attribute NumCodeSmells numeric
@attribute NumLocalVariables numeric
@attribute NumRevisions numeric
@attribute NumAuthors numeric
@attribute TotalStmtAdded numeric
@attribute TotalStmtDeleted numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute HasFixHistory numeric
@attribute IsBuggy {no,yes}

@data
0,2,0,0,0,0,2,1,0,0,0,0,0,no
0,2,0,0,0,0,2,1,0,0,0,0,0,no
0,2,0,0,0,0,2,1,0,0,0,0,0,no
0,2,0,0,0,0,2,1,0,0,0,0,0,no
0,2,0,0,0,0,2,1,0,0,0,0,0,no
1,1,0,0,0,0,2,1,2,0,1,1,0,no
1,1,0,0,0,0,2,1,2,0,1,1,0,no
1,1,0,0,0,0,2,1,2,0,1,1,0,no
1,1,0,0,0,0,2,1,2,0,1,1,0,no
1,1,0,0,0,0,2,1,2,0,1,1,0,no
1,0,0,0,0,0,2,2,2,0,1,1,0,no
1,0,0,0,0,0,2,2,2,0,1,1,0,no
1,0,0,0,0,0,2,2,2,0,1,1,0,no
1,0,0,0,0,0,2,2,2,0,1,1,0,no
1,1,0,0,0,0,3,2,5,3,4,2.666667,0,no
1,1,0,0,0,0,3,2,5,3,4,2.666667,0,no
1,1,0,0,0,0,4,2,5,3,4,2,0,no
1,1,0,0,0,0,4,2,5,3,4,2,0,no
1,1,0,0,0,0,3,2,5,3,4,2.666667,0,no
1,0,0,0,0,0,2,2,2,0,1,1,0,no
0,1,0,0,0,0,2,1,0,0,0,0,0,no
0,1,0,0,0,0,2,1,0,0,0,0,0,no
0,1,0,0,0,0,2,1,0,0,0,0,0,no
0,1,0,0,0,0,2,1,0,0,0,0,0,no
0,1,0,0,0,0,2,1,0,0,0,0,0,no
30,3,2,2,0,6,2,1,60,0,30,30,0,no
30,3,2,2,0,6,2,1,60,0,30,30,0,no
30,3,2,2,0,6,2,1,60,0,30,30,0,no
30,3,2,2,0,6,2,1,60,0,30,30,0,no
30,3,2,2,0,6,2,1,60,0,30,30,0,no
5,1,0,0,0,2,3,1,10,0,5,3.333333,0,no
5,1,0,0,0,2,3,1,10,0,5,3.333333,0,no
4,1,0,0,0,2,5,2,10,2,5,2.4,0,no
5,1,0,0,0,2,3,1,10,0,5,3.333333,0,no
5,1,0,0,0,2,3,1,10,0,5,3.333333,0,no
5,1,0,0,0,3,3,1,15,0,5,5,0,no
5,1,0,0,0,3,3,1,15,0,5,5,0,no
5,1,0,0,0,3,3,1,15,0,5,5,0,no
5,1,0,0,0,3,3,1,15,0,5,5,0,no
5,1,0,0,0,3,3,1,15,0,5,5,0,no
1,1,0,0,0,0,2,1,2,0,1,1,0,no
1,1,0,0,0,0,2,1,2,0,1,1,0,no
1,1,0,0,0,0,2,1,2,0,1,1,0,no
