MethodFullyQualifiedName,ReleaseID,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalChurn,MaxChurn,AvgChurn,NFix,IsBuggy
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/closeHandle(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/main(String[]),1,17,1,4,2,0,3,1,1,17,17,17,17.0000,0,no
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntryBatch(byte[], int)",1,12,2,1,1,0,2,1,1,12,12,12,12.0000,0,no
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntry(byte[], int)",1,9,2,1,1,0,2,1,1,9,9,9,9.0000,0,no
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/getFreshEntryId(int),1,5,1,0,0,0,0,1,1,5,5,5,5.0000,0,no
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/removeEntryId(Integer),1,12,1,2,2,1,1,1,1,12,12,12,12.0000,0,no
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/closeHandle(),1,1,0,0,0,0,0,2,1,1,1,1,0.5000,0,no
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/main(String[]),1,35,1,7,3,2,8,3,2,41,47,41,15.6667,0,no
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeSameEntryBatch(byte[], int)",1,13,2,2,1,1,1,2,1,13,13,13,6.5000,0,no
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeConsecutiveEntriesBatch(int),1,22,1,2,1,1,5,2,1,26,30,26,15.0000,0,no
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeSameEntryBatchFS(byte[], int)",1,14,2,2,2,0,1,2,2,14,14,14,7.0000,0,no
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/addComplete(int, LedgerHandle, long, Object)",1,1,4,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/readComplete(int, LedgerHandle, Enumeration, Object)",1,8,4,1,1,0,1,1,1,8,8,8,8.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedgerId(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedger(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getEntry(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/run(),1,65,0,10,4,2,5,5,3,74,74,54,14.8000,0,yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/accept(long),1,5,1,1,1,0,0,1,1,0,0,0,0.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/shutdown(),1,7,0,1,1,0,0,4,3,14,15,9,3.7500,0,yes
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/listJournalIds(File, JournalIdFilter)",1,19,2,4,3,1,6,1,1,19,19,19,19.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/instantiateZookeeperClient(String),1,7,1,1,1,0,1,1,1,7,7,7,7.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/registerBookie(int),1,14,1,2,2,0,0,1,1,14,14,14,14.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/newZookeeper(String, int)",1,30,2,5,3,0,1,1,1,30,30,30,30.0000,0,yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/process(WatchedEvent),1,20,1,5,3,0,0,2,1,20,20,17,10.0000,0,yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/checkDirectoryLayoutVersion(File),1,37,1,5,3,0,6,1,1,37,37,37,37.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/createDirectoryLayoutVersionFile(File),1,12,1,1,2,0,3,1,1,12,12,12,12.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/fullRead(FileChannel, ByteBuffer)",1,9,2,2,2,0,2,1,1,9,9,9,9.0000,0,no
