Filename,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
RandomForest_CostSensitive_run10.csv,0,0.29088471849865954,0.5358024691358024,0.37706342311033886,0.3777591451643343,0.9213027793868338,0.6944616206653381,0.38659448910767086,0.685,0.8025,0.8275,0.835,0.86,0.87,0.8775,0.8925,0.9075,0.925,0.9425,0.965,0.97,0.9775,0.985,0.9925,0.995,1.0,1.0,0.907236842105263,0.685,0.8025,0.8275,0.835,0.86,0.87,0.8775,0.8925,0.9075,0.925,0.9425,0.965,0.97,0.9775,0.985,0.9925,0.995,1.0,1.0,0.9110526315789474,0.685,0.8025,0.8275,0.835,0.86,0.87,0.8775,0.8925,0.9075,0.925,0.9425,0.965,0.97,0.9775,0.985,0.9925,0.995,1.0,1,0.9110526315789474,
NaiveBayes_SMOTE_run7.csv,79,0.048622917375042506,0.3530864197530864,0.08547519426180514,0.04698029323118154,0.9062229545771242,0.5117217032231504,0.10828239590758369,0.2025,0.235,0.26,0.3075,0.34,0.3825,0.4225,0.445,0.475,0.5075,0.5475,0.6425,0.7325,0.7825,0.8225,0.8675,0.92,0.97,1.0,0.4889473684210527,0.2025,0.235,0.26,0.3075,0.34,0.3825,0.4225,0.445,0.475,0.5075,0.5475,0.6425,0.7325,0.7825,0.8225,0.8675,0.92,0.97,1.0,0.5717105263157896,0.2025,0.235,0.26,0.3075,0.3400000000000001,0.38250000000000006,0.4225,0.44500000000000006,0.475,0.5075,0.5475,0.6425,0.7325,0.7825,0.8225,0.8675,0.92,0.97,1,0.5717105263157896,
RandomForest_SMOTE_run6.csv,0,0.10747872816838334,0.5925925925925926,0.1819560272934041,0.22132845692423,0.8963680320836436,0.7297626985135153,0.23642419095525705,0.71,0.7775,0.8325,0.85,0.8675,0.875,0.89,0.9,0.9225,0.925,0.9425,0.9625,0.975,0.9775,0.9825,0.9925,0.9975,0.9975,1.0,0.9113157894736843,0.71,0.7775,0.8325,0.85,0.8675,0.875,0.89,0.9,0.9225,0.925,0.9425,0.9625,0.975,0.9775,0.9825,0.9925,0.9975,0.9975,1.0,0.9146052631578948,0.71,0.7775,0.8325,0.85,0.8675,0.875,0.89,0.9,0.9225,0.925,0.9425,0.9625,0.975,0.9775,0.9825,0.9925,0.9975,0.9975,1,0.9146052631578948,
RandomForest_BestFirst_run9.csv,0,0.8,0.08888888888888889,0.16,0.6797955876669568,0.8944279164690498,0.16326226985387296,0.264779934745158,0.42,0.5025,0.5625,0.605,0.6375,0.6575,0.685,0.7025,0.73,0.7575,0.8075,0.855,0.9025,0.915,0.935,0.9575,0.98,0.99,1.0,0.6706578947368422,0.42,0.5025,0.5625,0.605,0.6375,0.6575,0.685,0.7025,0.73,0.7575,0.8075,0.855,0.9025,0.915,0.935,0.9575,0.98,0.99,1.0,0.7685526315789474,0.41999999999999993,0.5025,0.5625,0.605,0.6375,0.6575,0.685,0.7025,0.73,0.7575,0.8075,0.855,0.9025,0.915,0.935,0.9575,0.98,0.99,1,0.7685526315789474,
NaiveBayes_BestFirst_run2.csv,34,0.05422794117647059,0.145679012345679,0.07903549899531145,0.05357844261161586,0.9424422786235478,0.25344866105126695,0.07363206836688398,0.1075,0.1325,0.1725,0.1975,0.3525,0.46,0.5175,0.555,0.605,0.65,0.6975,0.7375,0.78,0.8225,0.895,0.945,0.96,0.9775,1.0,0.5289473684210527,0.1075,0.1325,0.1725,0.1975,0.3525,0.46,0.5175,0.555,0.605,0.65,0.6975,0.7375,0.78,0.8225,0.895,0.945,0.96,0.9775,1.0,0.6086842105263157,0.10750000000000004,0.13250000000000006,0.1725,0.1975,0.35250000000000004,0.45999999999999996,0.5175,0.555,0.605,0.65,0.6975,0.7375,0.78,0.8225,0.895,0.945,0.96,0.9775,1,0.6086842105263157,
NaiveBayes_BestFirst_run3.csv,28,0.056797020484171325,0.1506172839506173,0.08248816768086545,0.05347354431511724,0.9417902828002203,0.2609039841064332,0.07740635340011323,0.1075,0.13,0.1725,0.205,0.375,0.4725,0.53,0.5675,0.635,0.6675,0.7075,0.7525,0.7975,0.8225,0.8925,0.9425,0.9575,0.98,1.0,0.5325,0.1075,0.13,0.1725,0.205,0.375,0.4725,0.53,0.5675,0.635,0.6675,0.7075,0.7525,0.7975,0.8225,0.8925,0.9425,0.9575,0.98,1.0,0.616578947368421,0.10750000000000004,0.13,0.1725,0.20499999999999996,0.375,0.4724999999999999,0.53,0.5675,0.635,0.6675,0.7075,0.7525,0.7975,0.8225,0.8925,0.9425,0.9575,0.98,1,0.616578947368421,
RandomForest_BestFirst_run8.csv,0,0.7358490566037735,0.0962962962962963,0.1703056768558952,0.6386310881162633,0.8918579256484807,0.17567020664084698,0.26404167087735814,0.42,0.475,0.5475,0.6,0.63,0.6525,0.68,0.7125,0.7475,0.755,0.8025,0.85,0.9075,0.9175,0.9425,0.96,0.985,0.9925,1.0,0.6678947368421052,0.42,0.475,0.5475,0.6,0.63,0.6525,0.68,0.7125,0.7475,0.755,0.8025,0.85,0.9075,0.9175,0.9425,0.96,0.985,0.9925,1.0,0.7672368421052632,0.41999999999999993,0.475,0.5475,0.6,0.63,0.6525,0.68,0.7125,0.7475,0.755,0.8025,0.85,0.9075,0.9175,0.9425,0.96,0.985,0.9925,1,0.7672368421052632,
RandomForest_SMOTE_run7.csv,0,0.11259806183664052,0.6024691358024692,0.18973561430793157,0.22570447748937605,0.8944467877301809,0.737737349869425,0.24493945677712955,0.7,0.755,0.8175,0.835,0.8625,0.865,0.875,0.88,0.9125,0.9225,0.935,0.9525,0.97,0.975,0.9775,0.99,0.9975,0.9975,1.0,0.9027631578947368,0.7,0.755,0.8175,0.835,0.8625,0.865,0.875,0.88,0.9125,0.9225,0.935,0.9525,0.97,0.975,0.9775,0.99,0.9975,0.9975,1.0,0.9063157894736842,0.7,0.755,0.8175,0.835,0.8625,0.865,0.875,0.88,0.9125,0.9225,0.935,0.9525,0.97,0.975,0.9775,0.99,0.9975,0.9975,1,0.9063157894736842,
NaiveBayes_SMOTE_run6.csv,78,0.04728604728604729,0.3506172839506173,0.08333333333333333,0.04571782864679779,0.9037631919176019,0.5088839636061837,0.10570481426106501,0.1925,0.23,0.255,0.3025,0.34,0.38,0.41,0.44,0.465,0.5025,0.5375,0.63,0.7125,0.78,0.805,0.8475,0.905,0.955,1.0,0.479078947368421,0.1925,0.23,0.255,0.3025,0.34,0.38,0.41,0.44,0.465,0.5025,0.5375,0.63,0.7125,0.78,0.805,0.8475,0.905,0.955,1.0,0.5626315789473685,0.1925,0.22999999999999998,0.255,0.3025,0.3400000000000001,0.38,0.4099999999999999,0.43999999999999995,0.4650000000000001,0.5025,0.5375,0.63,0.7125,0.78,0.805,0.8475,0.905,0.955,1,0.5626315789473684,
IBk_CostSensitive_run8.csv,0,0.28624078624078625,0.5753086419753086,0.3822805578342904,0.28209676456583843,0.9048217946819282,0.7264484070172499,0.39749495684875824,0.7025,0.765,0.8025,0.8125,0.82,0.8375,0.8475,0.865,0.89,0.8975,0.925,0.935,0.9425,0.9625,0.9775,0.9875,0.99,0.9975,1.0,0.8851315789473686,0.7025,0.765,0.8025,0.8125,0.82,0.8375,0.8475,0.865,0.89,0.8975,0.925,0.935,0.9425,0.9625,0.9775,0.9875,0.99,0.9975,1.0,0.8925000000000002,0.7025,0.765,0.8025,0.8125,0.82,0.8375,0.8475,0.865,0.89,0.8975,0.925,0.935,0.9425,0.9625,0.9775,0.9875,0.99,0.9975,1,0.8925000000000002,
