MethodName,Version,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables
main,Original,117,1,15,3,3,37

// --- Dettaglio Metodi Refattorizzati ---
main2,Refactored_EntryPoint,9,1,0,0,0,5
parseCommandLineArguments,Refactored_Helper,24,1,1,1,0,4
loadConfigurationFrom,Refactored_Helper,1,1,0,0,0,0
setupTimeout,Refactored_Helper,8,1,1,1,0,1
buildClientConfiguration,Refactored_Helper,3,1,0,0,0,1
executeBenchmark,Refactored_Helper,19,2,2,1,0,5
synchronizeWithZooKeeper,Refactored_Helper,21,1,5,3,1,3
processAndReportResults,Refactored_Helper,11,2,1,1,1,3
getSortedLatencies,Refactored_Helper,14,1,5,2,0,6
dumpLatenciesToFile,Refactored_Helper,3,2,1,2,0,2
publishResultsToZooKeeper,Refactored_Helper,3,3,0,0,0,2

// --- Riepilogo Aggregato per Confronto (Feature 1 vs Feature 2) ---
main2 (refactored system),Refactored_Aggregate,116,1,16,3,2,32
