MethodName,Version,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables
main,Original,123,1,16,3,3,38

// --- Dettaglio Metodi Refattorizzati ---
run,Refactored_Helper,2,0,0,0,0,0
process,Refactored_Helper,2,1,1,1,0,0
process,Refactored_Helper,2,1,1,1,0,0
main2,Refactored_EntryPoint,11,1,1,1,0,4
buildOptions,Refactored_Helper,20,0,0,0,0,1
parseArguments,Refactored_Helper,25,2,1,1,0,3
setupTimeout,Refactored_Helper,10,1,1,1,0,2
run,Refactored_Helper,2,0,0,0,0,0
runWarmup,Refactored_Helper,9,1,1,1,0,3
runBenchmark,Refactored_Helper,13,1,1,1,0,4
waitForCoordination,Refactored_Helper,19,2,4,3,1,3
analyzeAndSaveResults,Refactored_Helper,22,2,6,2,1,10

// --- Riepilogo Aggregato per Confronto (Feature 1 vs Feature 2) ---
MethodName,Version,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables
main2 (refactored system),Refactored_Aggregate,137,1,17,3,2,30
