fullyQualifiedName,firstCommit,#Commits
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/closeHandle(),commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,1
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/main(String[]),commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,1
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntryBatch(byte[], int)",commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,1
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java/writeSameEntry(byte[], int)",commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,1
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/getFreshEntryId(int),commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,1
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/removeEntryId(Integer),commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,1
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/closeHandle(),commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,2
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/main(String[]),commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,3
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeSameEntryBatch(byte[], int)",commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,2
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeConsecutiveEntriesBatch(int),commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,2
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/writeSameEntryBatchFS(byte[], int)",commit c1c8bef6125cb70ed2da68e92bb49e45f4ea64a9 1301527761 -----sp,2
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/addComplete(int, LedgerHandle, long, Object)",commit 30c326643938bb3df6b35515e714622d98772352 1302280523 -----sp,1
"bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java/readComplete(int, LedgerHandle, Enumeration, Object)",commit 30c326643938bb3df6b35515e714622d98772352 1302280523 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedgerId(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedger(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getEntry(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/run(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/accept(long),commit cc467bd5880c2879e6c0355469d51759f89bbabc 1321007059 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/shutdown(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,4
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/listJournalIds(File, JournalIdFilter)",commit cc467bd5880c2879e6c0355469d51759f89bbabc 1321007059 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/instantiateZookeeperClient(String),commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/registerBookie(int),commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/newZookeeper(String, int)",commit a01067bb2003e6836acc638b734581844eb08324 1314139109 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/process(WatchedEvent),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/checkDirectoryLayoutVersion(File),commit 4be547c861f024e48a7b0074effb8c26ff0a97fc 1321466464 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/createDirectoryLayoutVersionFile(File),commit 4be547c861f024e48a7b0074effb8c26ff0a97fc 1321466464 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/fullRead(FileChannel, ByteBuffer)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/putHandle(LedgerDescriptor),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getHandle(long, boolean, byte[])",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getHandle(long, boolean)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/createHandle(long, boolean)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/setLastLogMark(long, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/markLog(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/rollLog(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readLog(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/toString(),commit cc467bd5880c2879e6c0355469d51759f89bbabc 1321007059 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLastLogMark(),commit cc467bd5880c2879e6c0355469d51759f89bbabc 1321007059 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/isRunning(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/openChannel(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/openChannel(long, long)",commit cc467bd5880c2879e6c0355469d51759f89bbabc 1321007059 -----sp,2
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedgerForEntry(ByteBuffer, byte[])",commit 4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180 1321459552 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntryInternal(LedgerDescriptor, ByteBuffer, WriteCallback, Object)",commit 4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180 1321459552 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/recoveryAddEntry(ByteBuffer, WriteCallback, Object, byte[])",commit 4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180 1321459552 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntry(ByteBuffer, WriteCallback, Object, byte[])",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/fenceLedger(long),commit 4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180 1321459552 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readEntry(long, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
