key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
BOOKKEEPER-142,2011-12-12,2011-12-16,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-146,2011-12-21,2012-05-25,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-148,2012-01-02,2012-01-11,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-150,2012-01-03,2012-01-17,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-152,2012-01-11,2012-02-13,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-153,2012-01-16,2012-01-18,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-156,2012-01-29,2012-02-08,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-161,2012-02-06,2012-02-07,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-162,2012-02-07,2012-02-13,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-163,2012-02-07,2012-03-13,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-166,2012-02-07,2012-03-30,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-167,2012-02-08,2012-02-08,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-171,2012-02-14,2012-02-15,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-170,2012-02-14,2012-02-15,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-169,2012-02-14,2012-02-17,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-174,2012-02-16,2012-02-17,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-173,2012-02-16,2012-04-20,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-176,2012-02-17,2012-03-01,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-177,2012-02-23,2012-02-24,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-180,2012-03-01,2012-03-08,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-182,2012-03-08,2012-03-16,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-184,2012-03-13,2012-03-15,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-186,2012-03-16,2012-03-19,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-189,2012-03-20,2012-03-21,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-188,2012-03-20,2012-03-21,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-190,2012-03-21,2012-03-29,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-193,2012-03-26,2012-03-31,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-195,2012-03-28,2012-03-28,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-194,2012-03-28,2012-03-29,4.0.0,4.1.0,4.1.0,4.0.0,1
BOOKKEEPER-198,2012-03-30,2012-03-31,4.0.0,4.1.0,4.1.0,4.0.0,1
