id,releaseName,releaseDate,numOfCommits
1,1.0.0-incubating,2012-08-06,1070
2,1.0.1-incubating,2012-08-29,27
3,1.0.3-incubating,2012-09-30,29
4,1.0.2-incubating,2012-10-02,2
5,1.0.4,2012-12-10,112
6,1.0.5,2013-01-23,161
7,1.0.6,2013-02-27,242
8,1.0.7,2013-03-26,67
9,1.1.0,2013-04-05,47
10,1.0.8,2013-04-18,57
11,1.1.1,2013-04-29,48
12,1.1.2,2013-06-11,97
13,1.1.3,2013-07-12,42
14,1.1.4,2013-09-27,93
15,1.1.5,2013-11-28,111
16,1.1.6,2014-02-22,111
17,1.0.9,2014-04-11,48
18,1.1.7,2014-04-11,7
19,1.1.8,2014-07-03,168
20,1.2.0-M1,2014-09-08,150
21,1.2.0,2014-10-03,77
22,1.2.1,2014-11-17,183
23,1.2.2,2015-01-30,196
24,1.2.3,2015-03-20,160
25,1.2.4,2015-05-05,91
26,1.2.5,2015-07-28,144
27,1.2.6,2015-11-05,294
28,2.0.0-M1,2015-12-23,224
29,1.2.7,2016-01-15,50
