Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
BOOKKEEPER,1,RandomForest,none,none,none,0.509,0.152,0.824,0.217,0.234,0.260
BOOKKEEPER,2,RandomForest,none,none,none,0.469,0.133,0.827,0.190,0.207,0.231
BOOKKEEPER,3,RandomForest,none,none,none,0.502,0.159,0.824,0.223,0.242,0.263
BOOKKEEPER,4,RandomForest,none,none,none,0.491,0.147,0.824,0.208,0.226,0.249
BOOKKEEPER,5,RandomForest,none,none,none,0.470,0.150,0.822,0.208,0.227,0.245
BOOKKEEPER,6,RandomForest,none,none,none,0.505,0.147,0.824,0.210,0.227,0.254
BOOKKEEPER,7,RandomForest,none,none,none,0.470,0.148,0.820,0.206,0.225,0.244
BOOKKEEPER,8,RandomForest,none,none,none,0.502,0.158,0.819,0.222,0.240,0.262
BOOKKEEPER,9,RandomForest,none,none,none,0.493,0.147,0.832,0.208,0.226,0.250
BOOKKEEPER,10,RandomForest,none,none,none,0.485,0.151,0.831,0.212,0.230,0.251
BOOKKEEPER,1,NaiveBayes,none,none,none,0.162,0.298,0.684,0.155,0.209,0.164
BOOKKEEPER,2,NaiveBayes,none,none,none,0.164,0.306,0.681,0.160,0.214,0.169
BOOKKEEPER,3,NaiveBayes,none,none,none,0.165,0.306,0.685,0.160,0.214,0.169
BOOKKEEPER,4,NaiveBayes,none,none,none,0.162,0.300,0.683,0.156,0.211,0.165
BOOKKEEPER,5,NaiveBayes,none,none,none,0.164,0.303,0.684,0.159,0.213,0.168
BOOKKEEPER,6,NaiveBayes,none,none,none,0.160,0.296,0.687,0.153,0.208,0.162
BOOKKEEPER,7,NaiveBayes,none,none,none,0.162,0.302,0.684,0.157,0.211,0.166
BOOKKEEPER,8,NaiveBayes,none,none,none,0.162,0.298,0.680,0.156,0.210,0.164
BOOKKEEPER,9,NaiveBayes,none,none,none,0.161,0.299,0.684,0.155,0.209,0.164
BOOKKEEPER,10,NaiveBayes,none,none,none,0.162,0.299,0.683,0.156,0.210,0.164
BOOKKEEPER,1,IBk,none,none,none,0.415,0.193,0.713,0.240,0.264,0.259
BOOKKEEPER,2,IBk,none,none,none,0.410,0.182,0.712,0.229,0.253,0.250
BOOKKEEPER,3,IBk,none,none,none,0.429,0.202,0.714,0.251,0.274,0.270
BOOKKEEPER,4,IBk,none,none,none,0.413,0.192,0.707,0.238,0.262,0.257
BOOKKEEPER,5,IBk,none,none,none,0.408,0.191,0.707,0.236,0.260,0.254
BOOKKEEPER,6,IBk,none,none,none,0.428,0.200,0.716,0.249,0.273,0.269
BOOKKEEPER,7,IBk,none,none,none,0.404,0.189,0.706,0.234,0.258,0.252
BOOKKEEPER,8,IBk,none,none,none,0.414,0.199,0.711,0.245,0.269,0.262
BOOKKEEPER,9,IBk,none,none,none,0.415,0.195,0.713,0.241,0.265,0.260
BOOKKEEPER,10,IBk,none,none,none,0.439,0.199,0.719,0.251,0.274,0.272
BOOKKEEPER,1,RandomForest,BestFirst (backward),none,none,0.451,0.095,0.728,0.142,0.156,0.190
BOOKKEEPER,2,RandomForest,BestFirst (backward),none,none,0.385,0.082,0.732,0.120,0.136,0.160
BOOKKEEPER,3,RandomForest,BestFirst (backward),none,none,0.448,0.100,0.736,0.148,0.164,0.194
BOOKKEEPER,4,RandomForest,BestFirst (backward),none,none,0.425,0.085,0.722,0.127,0.142,0.173
BOOKKEEPER,5,RandomForest,BestFirst (backward),none,none,0.427,0.096,0.733,0.141,0.157,0.185
BOOKKEEPER,6,RandomForest,BestFirst (backward),none,none,0.414,0.089,0.723,0.132,0.147,0.174
BOOKKEEPER,7,RandomForest,BestFirst (backward),none,none,0.392,0.089,0.723,0.129,0.145,0.168
BOOKKEEPER,8,RandomForest,BestFirst (backward),none,none,0.456,0.107,0.723,0.158,0.173,0.203
BOOKKEEPER,9,RandomForest,BestFirst (backward),none,none,0.422,0.085,0.736,0.127,0.142,0.172
BOOKKEEPER,10,RandomForest,BestFirst (backward),none,none,0.439,0.099,0.739,0.146,0.161,0.191
BOOKKEEPER,1,NaiveBayes,BestFirst (backward),none,none,0.167,0.218,0.677,0.141,0.189,0.143
BOOKKEEPER,2,NaiveBayes,BestFirst (backward),none,none,0.170,0.235,0.676,0.148,0.197,0.151
BOOKKEEPER,3,NaiveBayes,BestFirst (backward),none,none,0.170,0.228,0.673,0.146,0.195,0.148
BOOKKEEPER,4,NaiveBayes,BestFirst (backward),none,none,0.161,0.213,0.675,0.135,0.183,0.136
BOOKKEEPER,5,NaiveBayes,BestFirst (backward),none,none,0.168,0.225,0.684,0.144,0.192,0.145
BOOKKEEPER,6,NaiveBayes,BestFirst (backward),none,none,0.167,0.226,0.682,0.144,0.192,0.145
BOOKKEEPER,7,NaiveBayes,BestFirst (backward),none,none,0.165,0.221,0.680,0.140,0.189,0.142
BOOKKEEPER,8,NaiveBayes,BestFirst (backward),none,none,0.166,0.221,0.676,0.141,0.189,0.143
BOOKKEEPER,9,NaiveBayes,BestFirst (backward),none,none,0.176,0.241,0.681,0.155,0.203,0.157
BOOKKEEPER,10,NaiveBayes,BestFirst (backward),none,none,0.164,0.221,0.677,0.139,0.188,0.141
BOOKKEEPER,1,IBk,BestFirst (backward),none,none,0.457,0.103,0.634,0.153,0.168,0.200
BOOKKEEPER,2,IBk,BestFirst (backward),none,none,0.411,0.099,0.633,0.143,0.159,0.183
BOOKKEEPER,3,IBk,BestFirst (backward),none,none,0.414,0.103,0.638,0.148,0.165,0.188
BOOKKEEPER,4,IBk,BestFirst (backward),none,none,0.385,0.085,0.617,0.124,0.139,0.163
BOOKKEEPER,5,IBk,BestFirst (backward),none,none,0.401,0.100,0.622,0.143,0.160,0.181
BOOKKEEPER,6,IBk,BestFirst (backward),none,none,0.426,0.099,0.623,0.144,0.160,0.187
BOOKKEEPER,7,IBk,BestFirst (backward),none,none,0.417,0.107,0.636,0.153,0.170,0.192
BOOKKEEPER,8,IBk,BestFirst (backward),none,none,0.424,0.107,0.623,0.154,0.171,0.194
BOOKKEEPER,9,IBk,BestFirst (backward),none,none,0.401,0.084,0.631,0.124,0.138,0.166
BOOKKEEPER,10,IBk,BestFirst (backward),none,none,0.433,0.111,0.631,0.160,0.177,0.201
BOOKKEEPER,1,RandomForest,none,SMOTE,none,0.297,0.320,0.760,0.271,0.308,0.271
BOOKKEEPER,2,RandomForest,none,SMOTE,none,0.292,0.310,0.759,0.263,0.301,0.264
BOOKKEEPER,3,RandomForest,none,SMOTE,none,0.313,0.342,0.766,0.290,0.327,0.291
