Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
SYNCOPE,0,RandomForest,none,none,none,0.842,0.327,0.885,0.467,0.471,0.521
SYNCOPE,0,NaiveBayes,none,none,none,0.063,0.245,0.761,0.082,0.100,0.103
SYNCOPE,0,IBk,none,none,none,0.680,0.347,0.831,0.455,0.459,0.481
SYNCOPE,0,RandomForest,BestFirst (backward),none,none,0.900,0.184,0.745,0.302,0.305,0.404
SYNCOPE,0,NaiveBayes,BestFirst (backward),none,none,0.066,0.184,0.770,0.081,0.097,0.092
SYNCOPE,0,IBk,BestFirst (backward),none,none,0.900,0.184,0.728,0.302,0.305,0.404
SYNCOPE,0,RandomForest,none,SMOTE,none,0.130,0.571,0.838,0.195,0.211,0.255
SYNCOPE,0,NaiveBayes,none,SMOTE,none,0.061,0.367,0.763,0.085,0.105,0.125
SYNCOPE,0,IBk,none,SMOTE,none,0.124,0.571,0.831,0.188,0.204,0.249
SYNCOPE,0,RandomForest,none,none,SensitiveThreshold,0.463,0.510,0.868,0.479,0.485,0.479
SYNCOPE,0,NaiveBayes,none,none,SensitiveThreshold,0.059,0.265,0.761,0.077,0.096,0.102
SYNCOPE,0,IBk,none,none,SensitiveThreshold,0.424,0.510,0.831,0.456,0.463,0.458
SYNCOPE,1,RandomForest,none,none,none,0.952,0.408,0.896,0.568,0.571,0.621
SYNCOPE,1,NaiveBayes,none,none,none,0.045,0.163,0.775,0.053,0.071,0.065
SYNCOPE,1,IBk,none,none,none,0.833,0.408,0.853,0.544,0.548,0.580
SYNCOPE,1,RandomForest,BestFirst (backward),none,none,0.700,0.143,0.745,0.234,0.237,0.313
SYNCOPE,1,NaiveBayes,BestFirst (backward),none,none,0.067,0.102,0.726,0.067,0.081,0.068
SYNCOPE,1,IBk,BestFirst (backward),none,none,0.778,0.143,0.746,0.238,0.241,0.330
SYNCOPE,1,RandomForest,none,SMOTE,none,0.117,0.531,0.885,0.175,0.192,0.231
SYNCOPE,1,NaiveBayes,none,SMOTE,none,0.045,0.245,0.783,0.057,0.077,0.080
SYNCOPE,1,IBk,none,SMOTE,none,0.118,0.571,0.867,0.179,0.196,0.242
SYNCOPE,1,RandomForest,none,none,SensitiveThreshold,0.360,0.551,0.904,0.427,0.435,0.437
SYNCOPE,1,NaiveBayes,none,none,SensitiveThreshold,0.050,0.204,0.775,0.062,0.081,0.079
SYNCOPE,1,IBk,none,none,SensitiveThreshold,0.354,0.571,0.853,0.429,0.438,0.442
SYNCOPE,2,RandomForest,none,none,none,0.773,0.386,0.813,0.512,0.515,0.543
SYNCOPE,2,NaiveBayes,none,none,none,0.056,0.250,0.756,0.075,0.092,0.099
SYNCOPE,2,IBk,none,none,none,0.792,0.432,0.765,0.555,0.559,0.581
SYNCOPE,2,RandomForest,BestFirst (backward),none,none,0.600,0.068,0.705,0.120,0.122,0.200
SYNCOPE,2,NaiveBayes,BestFirst (backward),none,none,0.047,0.114,0.682,0.052,0.067,0.057
SYNCOPE,2,IBk,BestFirst (backward),none,none,0.600,0.068,0.706,0.120,0.122,0.200
SYNCOPE,2,RandomForest,none,SMOTE,none,0.116,0.568,0.787,0.178,0.193,0.241
SYNCOPE,2,NaiveBayes,none,SMOTE,none,0.056,0.386,0.750,0.080,0.098,0.123
SYNCOPE,2,IBk,none,SMOTE,none,0.116,0.591,0.782,0.179,0.194,0.245
SYNCOPE,2,RandomForest,none,none,SensitiveThreshold,0.286,0.545,0.809,0.366,0.375,0.386
SYNCOPE,2,NaiveBayes,none,none,SensitiveThreshold,0.058,0.295,0.756,0.080,0.097,0.110
SYNCOPE,2,IBk,none,none,SensitiveThreshold,0.293,0.545,0.765,0.372,0.381,0.391
SYNCOPE,3,RandomForest,none,none,none,0.714,0.278,0.887,0.397,0.400,0.443
SYNCOPE,3,NaiveBayes,none,none,none,0.044,0.222,0.753,0.060,0.074,0.081
SYNCOPE,3,IBk,none,none,none,0.591,0.361,0.840,0.444,0.448,0.458
SYNCOPE,3,RandomForest,BestFirst (backward),none,none,0.667,0.111,0.697,0.188,0.190,0.270
SYNCOPE,3,NaiveBayes,BestFirst (backward),none,none,0.068,0.167,0.708,0.085,0.097,0.094
SYNCOPE,3,IBk,BestFirst (backward),none,none,0.667,0.111,0.698,0.188,0.190,0.270
SYNCOPE,3,RandomForest,none,SMOTE,none,0.093,0.583,0.857,0.147,0.160,0.217
SYNCOPE,3,NaiveBayes,none,SMOTE,none,0.049,0.389,0.770,0.073,0.088,0.118
SYNCOPE,3,IBk,none,SMOTE,none,0.088,0.583,0.824,0.139,0.153,0.210
SYNCOPE,3,RandomForest,none,none,SensitiveThreshold,0.207,0.500,0.887,0.284,0.293,0.312
SYNCOPE,3,NaiveBayes,none,none,SensitiveThreshold,0.044,0.250,0.753,0.060,0.074,0.086
SYNCOPE,3,IBk,none,none,SensitiveThreshold,0.202,0.528,0.840,0.283,0.292,0.317
SYNCOPE,4,RandomForest,none,none,none,0.733,0.333,0.872,0.456,0.458,0.492
SYNCOPE,4,NaiveBayes,none,none,none,0.020,0.121,0.756,0.021,0.035,0.030
SYNCOPE,4,IBk,none,none,none,0.647,0.333,0.835,0.437,0.440,0.461
SYNCOPE,4,RandomForest,BestFirst (backward),none,none,0.667,0.061,0.765,0.110,0.111,0.199
SYNCOPE,4,NaiveBayes,BestFirst (backward),none,none,0.018,0.061,0.703,0.015,0.027,0.018
SYNCOPE,4,IBk,BestFirst (backward),none,none,0.667,0.061,0.765,0.110,0.111,0.199
SYNCOPE,4,RandomForest,none,SMOTE,none,0.175,0.515,0.849,0.252,0.262,0.291
SYNCOPE,4,NaiveBayes,none,SMOTE,none,0.026,0.242,0.722,0.032,0.047,0.056
SYNCOPE,4,IBk,none,SMOTE,none,0.183,0.576,0.847,0.268,0.277,0.315
SYNCOPE,4,RandomForest,none,none,SensitiveThreshold,0.291,0.485,0.877,0.357,0.364,0.369
SYNCOPE,4,NaiveBayes,none,none,SensitiveThreshold,0.029,0.212,0.756,0.038,0.052,0.059
SYNCOPE,4,IBk,none,none,SensitiveThreshold,0.268,0.455,0.835,0.330,0.337,0.342
SYNCOPE,5,RandomForest,none,none,none,0.615,0.390,0.863,0.473,0.478,0.486
SYNCOPE,5,NaiveBayes,none,none,none,0.068,0.366,0.808,0.098,0.114,0.138
SYNCOPE,5,IBk,none,none,none,0.621,0.439,0.787,0.510,0.514,0.518
SYNCOPE,5,RandomForest,BestFirst (backward),none,none,0.500,0.073,0.722,0.125,0.128,0.188
SYNCOPE,5,NaiveBayes,BestFirst (backward),none,none,0.061,0.171,0.750,0.076,0.090,0.086
SYNCOPE,5,IBk,BestFirst (backward),none,none,0.750,0.073,0.698,0.132,0.133,0.232
SYNCOPE,5,RandomForest,none,SMOTE,none,0.098,0.585,0.796,0.154,0.168,0.223
SYNCOPE,5,NaiveBayes,none,SMOTE,none,0.060,0.463,0.820,0.089,0.106,0.144
SYNCOPE,5,IBk,none,SMOTE,none,0.103,0.659,0.813,0.163,0.178,0.244
SYNCOPE,5,RandomForest,none,none,SensitiveThreshold,0.267,0.585,0.854,0.357,0.366,0.386
SYNCOPE,5,NaiveBayes,none,none,SensitiveThreshold,0.064,0.390,0.808,0.094,0.110,0.138
SYNCOPE,5,IBk,none,none,SensitiveThreshold,0.264,0.585,0.787,0.354,0.364,0.384
SYNCOPE,6,RandomForest,none,none,none,0.923,0.462,0.920,0.612,0.615,0.650
SYNCOPE,6,NaiveBayes,none,none,none,0.101,0.385,0.818,0.142,0.160,0.177
SYNCOPE,6,IBk,none,none,none,0.800,0.462,0.874,0.581,0.585,0.604
SYNCOPE,6,RandomForest,BestFirst (backward),none,none,0.800,0.077,0.829,0.138,0.140,0.246
SYNCOPE,6,NaiveBayes,BestFirst (backward),none,none,0.124,0.250,0.797,0.151,0.166,0.161
SYNCOPE,6,IBk,BestFirst (backward),none,none,0.800,0.077,0.829,0.138,0.140,0.246
SYNCOPE,6,RandomForest,none,SMOTE,none,0.152,0.673,0.909,0.232,0.248,0.303
SYNCOPE,6,NaiveBayes,none,SMOTE,none,0.073,0.442,0.826,0.105,0.125,0.155
SYNCOPE,6,IBk,none,SMOTE,none,0.148,0.692,0.869,0.227,0.243,0.303
SYNCOPE,6,RandomForest,none,none,SensitiveThreshold,0.395,0.615,0.926,0.473,0.481,0.485
SYNCOPE,6,NaiveBayes,none,none,SensitiveThreshold,0.089,0.385,0.818,0.126,0.144,0.164
SYNCOPE,6,IBk,none,none,SensitiveThreshold,0.386,0.615,0.874,0.466,0.474,0.479
SYNCOPE,7,RandomForest,none,none,none,0.917,0.314,0.843,0.466,0.468,0.535
SYNCOPE,7,NaiveBayes,none,none,none,0.031,0.171,0.800,0.039,0.053,0.054
SYNCOPE,7,IBk,none,none,none,0.588,0.286,0.776,0.381,0.385,0.406
SYNCOPE,7,RandomForest,BestFirst (backward),none,none,0.400,0.057,0.807,0.098,0.100,0.149
SYNCOPE,7,NaiveBayes,BestFirst (backward),none,none,0.009,0.029,0.753,0.000,0.014,0.000
SYNCOPE,7,IBk,BestFirst (backward),none,none,0.400,0.057,0.807,0.098,0.100,0.149
SYNCOPE,7,RandomForest,none,SMOTE,none,0.103,0.629,0.812,0.164,0.177,0.240
SYNCOPE,7,NaiveBayes,none,SMOTE,none,0.031,0.257,0.810,0.040,0.055,0.066
SYNCOPE,7,IBk,none,SMOTE,none,0.098,0.629,0.815,0.157,0.170,0.234
SYNCOPE,7,RandomForest,none,none,SensitiveThreshold,0.250,0.429,0.840,0.308,0.316,0.320
SYNCOPE,7,NaiveBayes,none,none,SensitiveThreshold,0.032,0.200,0.800,0.041,0.055,0.060
SYNCOPE,7,IBk,none,none,SensitiveThreshold,0.239,0.457,0.776,0.306,0.314,0.322
SYNCOPE,8,RandomForest,none,none,none,0.769,0.294,0.921,0.423,0.426,0.473
SYNCOPE,8,NaiveBayes,none,none,none,0.062,0.382,0.818,0.093,0.107,0.137
SYNCOPE,8,IBk,none,none,none,0.667,0.353,0.857,0.458,0.462,0.482
SYNCOPE,8,RandomForest,BestFirst (backward),none,none,1.000,0.059,0.737,0.110,0.111,0.242
SYNCOPE,8,NaiveBayes,BestFirst (backward),none,none,0.045,0.147,0.717,0.057,0.069,0.068
SYNCOPE,8,IBk,BestFirst (backward),none,none,1.000,0.059,0.709,0.110,0.111,0.242
SYNCOPE,8,RandomForest,none,SMOTE,none,0.071,0.471,0.867,0.111,0.124,0.167
SYNCOPE,8,NaiveBayes,none,SMOTE,none,0.044,0.382,0.809,0.065,0.080,0.110
SYNCOPE,8,IBk,none,SMOTE,none,0.080,0.559,0.859,0.127,0.140,0.195
SYNCOPE,8,RandomForest,none,none,SensitiveThreshold,0.257,0.529,0.912,0.339,0.346,0.361
SYNCOPE,8,NaiveBayes,none,none,SensitiveThreshold,0.059,0.412,0.818,0.089,0.103,0.137
SYNCOPE,8,IBk,none,none,SensitiveThreshold,0.256,0.588,0.857,0.349,0.357,0.381
SYNCOPE,9,RandomForest,none,none,none,0.875,0.219,0.883,0.348,0.350,0.436
SYNCOPE,9,NaiveBayes,none,none,none,0.036,0.219,0.799,0.048,0.061,0.070
SYNCOPE,9,IBk,none,none,none,0.700,0.219,0.736,0.331,0.333,0.389
SYNCOPE,9,RandomForest,BestFirst (backward),none,none,NaN,0.000,0.657,0.000,NaN,NaN
SYNCOPE,9,NaiveBayes,BestFirst (backward),none,none,0.049,0.156,0.702,0.063,0.074,0.074
SYNCOPE,9,IBk,BestFirst (backward),none,none,NaN,0.000,0.657,0.000,NaN,NaN
SYNCOPE,9,RandomForest,none,SMOTE,none,0.062,0.469,0.828,0.096,0.109,0.153
SYNCOPE,9,NaiveBayes,none,SMOTE,none,0.027,0.250,0.803,0.035,0.049,0.060
SYNCOPE,9,IBk,none,SMOTE,none,0.060,0.469,0.730,0.094,0.107,0.151
SYNCOPE,9,RandomForest,none,none,SensitiveThreshold,0.208,0.469,0.878,0.280,0.288,0.304
SYNCOPE,9,NaiveBayes,none,none,SensitiveThreshold,0.031,0.219,0.799,0.041,0.054,0.063
SYNCOPE,9,IBk,none,none,SensitiveThreshold,0.205,0.469,0.736,0.278,0.286,0.302
