Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
SYNCOPE,1,RandomForest,none,none,none,NaN,0.000,0.999,0.000,NaN,NaN
SYNCOPE,1,NaiveBayes,none,none,none,0.000,0.000,0.556,-0.001,0.000,-0.004
SYNCOPE,1,IBk,none,none,none,0.000,0.000,0.912,-0.000,0.000,-0.000
SYNCOPE,1,RandomForest,BestFirst (backward),none,none,NaN,0.000,0.482,0.000,NaN,NaN
SYNCOPE,1,NaiveBayes,BestFirst (backward),none,none,0.000,0.000,0.822,-0.001,0.000,-0.003
SYNCOPE,1,IBk,BestFirst (backward),none,none,NaN,0.000,0.890,0.000,NaN,NaN
SYNCOPE,1,RandomForest,none,SMOTE,none,0.000,0.000,0.998,-0.000,0.000,-0.000
SYNCOPE,1,NaiveBayes,none,SMOTE,none,0.000,0.000,0.843,-0.001,0.000,-0.005
SYNCOPE,1,IBk,none,SMOTE,none,0.000,0.000,0.912,-0.000,0.000,-0.000
SYNCOPE,1,RandomForest,none,none,SensitiveThreshold,0.333,1.000,0.999,0.500,0.500,0.577
SYNCOPE,1,NaiveBayes,none,none,SensitiveThreshold,0.000,0.000,0.556,-0.001,0.000,-0.004
SYNCOPE,1,IBk,none,none,SensitiveThreshold,0.000,0.000,0.912,-0.000,0.000,-0.000
SYNCOPE,2,RandomForest,none,none,none,NaN,0.000,0.494,0.000,NaN,NaN
SYNCOPE,2,NaiveBayes,none,none,none,0.014,0.200,0.868,0.020,0.026,0.042
SYNCOPE,2,IBk,none,none,none,0.000,0.000,0.776,-0.001,0.000,-0.001
SYNCOPE,2,RandomForest,BestFirst (backward),none,none,0.000,0.000,0.592,-0.001,0.000,-0.001
SYNCOPE,2,NaiveBayes,BestFirst (backward),none,none,0.000,0.000,0.701,-0.006,0.000,-0.010
SYNCOPE,2,IBk,BestFirst (backward),none,none,0.000,0.000,0.716,-0.001,0.000,-0.001
SYNCOPE,2,RandomForest,none,SMOTE,none,NaN,0.000,0.537,0.000,NaN,NaN
SYNCOPE,2,NaiveBayes,none,SMOTE,none,0.016,0.400,0.870,0.024,0.030,0.065
SYNCOPE,2,IBk,none,SMOTE,none,0.000,0.000,0.776,-0.003,0.000,-0.003
SYNCOPE,2,RandomForest,none,none,SensitiveThreshold,0.000,0.000,0.492,-0.001,0.000,-0.001
SYNCOPE,2,NaiveBayes,none,none,SensitiveThreshold,0.013,0.200,0.868,0.018,0.024,0.038
SYNCOPE,2,IBk,none,none,SensitiveThreshold,0.000,0.000,0.776,-0.001,0.000,-0.001
SYNCOPE,3,RandomForest,none,none,none,1.000,0.100,0.996,0.181,0.182,0.316
SYNCOPE,3,NaiveBayes,none,none,none,0.014,0.200,0.883,0.019,0.025,0.041
SYNCOPE,3,IBk,none,none,none,1.000,0.100,0.997,0.181,0.182,0.316
SYNCOPE,3,RandomForest,BestFirst (backward),none,none,1.000,0.100,0.988,0.181,0.182,0.316
SYNCOPE,3,NaiveBayes,BestFirst (backward),none,none,0.026,0.200,0.885,0.040,0.045,0.063
SYNCOPE,3,IBk,BestFirst (backward),none,none,1.000,0.100,0.989,0.181,0.182,0.316
SYNCOPE,3,RandomForest,none,SMOTE,none,0.109,0.500,0.990,0.174,0.179,0.228
SYNCOPE,3,NaiveBayes,none,SMOTE,none,0.018,0.800,0.900,0.030,0.036,0.108
SYNCOPE,3,IBk,none,SMOTE,none,0.106,0.500,0.991,0.171,0.175,0.226
SYNCOPE,3,RandomForest,none,none,SensitiveThreshold,0.636,0.700,0.997,0.666,0.667,0.666
SYNCOPE,3,NaiveBayes,none,none,SensitiveThreshold,0.012,0.200,0.883,0.017,0.023,0.037
SYNCOPE,3,IBk,none,none,SensitiveThreshold,0.636,0.700,0.997,0.666,0.667,0.666
SYNCOPE,4,RandomForest,none,none,none,1.000,0.235,0.895,0.380,0.381,0.484
SYNCOPE,4,NaiveBayes,none,none,none,0.022,0.235,0.868,0.032,0.041,0.058
SYNCOPE,4,IBk,none,none,none,1.000,0.059,0.935,0.111,0.111,0.242
SYNCOPE,4,RandomForest,BestFirst (backward),none,none,1.000,0.059,0.846,0.111,0.111,0.242
SYNCOPE,4,NaiveBayes,BestFirst (backward),none,none,0.048,0.176,0.858,0.067,0.075,0.083
SYNCOPE,4,IBk,BestFirst (backward),none,none,1.000,0.059,0.797,0.111,0.111,0.242
SYNCOPE,4,RandomForest,none,SMOTE,none,0.169,0.706,0.892,0.267,0.273,0.339
SYNCOPE,4,NaiveBayes,none,SMOTE,none,0.027,0.765,0.885,0.042,0.051,0.125
SYNCOPE,4,IBk,none,SMOTE,none,0.078,0.706,0.918,0.132,0.140,0.225
SYNCOPE,4,RandomForest,none,none,SensitiveThreshold,0.636,0.412,0.898,0.498,0.500,0.510
SYNCOPE,4,NaiveBayes,none,none,SensitiveThreshold,0.024,0.294,0.867,0.036,0.045,0.069
SYNCOPE,4,IBk,none,none,SensitiveThreshold,0.636,0.412,0.935,0.498,0.500,0.510
SYNCOPE,5,RandomForest,none,none,none,1.000,0.042,0.613,0.078,0.081,0.202
SYNCOPE,5,NaiveBayes,none,none,none,0.159,0.437,0.752,0.196,0.233,0.225
SYNCOPE,5,IBk,none,none,none,0.750,0.076,0.781,0.132,0.137,0.232
SYNCOPE,5,RandomForest,BestFirst (backward),none,none,1.000,0.017,0.472,0.032,0.033,0.128
SYNCOPE,5,NaiveBayes,BestFirst (backward),none,none,0.206,0.328,0.769,0.223,0.253,0.230
SYNCOPE,5,IBk,BestFirst (backward),none,none,1.000,0.017,0.462,0.032,0.033,0.128
SYNCOPE,5,RandomForest,none,SMOTE,none,0.310,0.076,0.656,0.111,0.122,0.140
SYNCOPE,5,NaiveBayes,none,SMOTE,none,0.106,0.504,0.724,0.130,0.175,0.179
SYNCOPE,5,IBk,none,SMOTE,none,0.209,0.151,0.782,0.153,0.176,0.155
SYNCOPE,5,RandomForest,none,none,SensitiveThreshold,0.692,0.076,0.624,0.131,0.136,0.222
SYNCOPE,5,NaiveBayes,none,none,SensitiveThreshold,0.161,0.471,0.752,0.203,0.240,0.237
SYNCOPE,5,IBk,none,none,SensitiveThreshold,0.625,0.084,0.781,0.142,0.148,0.222
SYNCOPE,6,RandomForest,none,none,none,0.297,0.250,0.892,0.264,0.272,0.265
SYNCOPE,6,NaiveBayes,none,none,none,0.053,0.386,0.825,0.076,0.094,0.120
SYNCOPE,6,IBk,none,none,none,0.271,0.364,0.860,0.302,0.311,0.305
SYNCOPE,6,RandomForest,BestFirst (backward),none,none,0.333,0.159,0.753,0.210,0.215,0.225
SYNCOPE,6,NaiveBayes,BestFirst (backward),none,none,0.068,0.432,0.757,0.100,0.117,0.150
SYNCOPE,6,IBk,BestFirst (backward),none,none,0.318,0.159,0.699,0.206,0.212,0.219
SYNCOPE,6,RandomForest,none,SMOTE,none,0.171,0.432,0.873,0.233,0.245,0.260
SYNCOPE,6,NaiveBayes,none,SMOTE,none,0.049,0.523,0.824,0.071,0.090,0.133
SYNCOPE,6,IBk,none,SMOTE,none,0.111,0.500,0.857,0.166,0.181,0.219
SYNCOPE,6,RandomForest,none,none,SensitiveThreshold,0.231,0.545,0.893,0.314,0.324,0.344
SYNCOPE,6,NaiveBayes,none,none,SensitiveThreshold,0.051,0.432,0.825,0.073,0.092,0.123
SYNCOPE,6,IBk,none,none,SensitiveThreshold,0.215,0.591,0.860,0.304,0.315,0.345
SYNCOPE,7,RandomForest,none,none,none,0.706,0.286,0.717,0.403,0.407,0.446
